Date,Close,IFF
04/04/2014,94.85,-0.020143665
03/04/2014,96.78,0.003623005
02/04/2014,96.43,0.000207426
01/04/2014,96.41,0.007705161
31/03/2014,95.67,0.016121734
28/03/2014,94.14,0.010035314
27/03/2014,93.2,0.006566577
26/03/2014,92.59,-0.008281844
25/03/2014,93.36,0.005908595
24/03/2014,92.81,-0.010290583
21/03/2014,93.77,0.005560917
20/03/2014,93.25,0.005699859
19/03/2014,92.72,-0.00912562
18/03/2014,93.57,0.000320667
17/03/2014,93.54,0.007511571
14/03/2014,92.84,0.001077702
13/03/2014,92.74,-0.014132998
12/03/2014,94.06,-0.002336202
11/03/2014,94.28,-0.010550847
10/03/2014,95.28,-0.000209886
07/03/2014,95.3,0.000734792
06/03/2014,95.23,-0.000524907
05/03/2014,95.28,-0.007319911
04/03/2014,95.98,0.020845054
03/03/2014,94,0.002236542
28/02/2014,93.79,0.006525134
27/02/2014,93.18,-0.001394177
26/02/2014,93.31,0.017295859
25/02/2014,91.71,0.002948405
24/02/2014,91.44,0.000546956
21/02/2014,91.39,-0.006326374
20/02/2014,91.97,0.005014181
19/02/2014,91.51,-0.011192728
18/02/2014,92.54,0.008682494
14/02/2014,91.74,0.012945875
13/02/2014,90.56,0.027426581
12/02/2014,88.11,-0.005207166
11/02/2014,88.57,0.009073443
10/02/2014,87.77,0.009846656
07/02/2014,86.91,0.011340089
06/02/2014,85.93,0.015007903
05/02/2014,84.65,0.009614888
04/02/2014,83.84,-0.002382655
03/02/2014,84.04,-0.030930301
31/01/2014,86.68,-0.007127286
30/01/2014,87.3,0.016865365
29/01/2014,85.84,-0.015719233
28/01/2014,87.2,0.024847441
27/01/2014,85.06,0.000705633
24/01/2014,85,-0.015757548
23/01/2014,86.35,-0.011056199
22/01/2014,87.31,-0.001259086
21/01/2014,87.42,0.004586112
17/01/2014,87.02,0.001725229
16/01/2014,86.87,0.006814927
15/01/2014,86.28,0.004879759
14/01/2014,85.86,0.012540451
13/01/2014,84.79,-0.010791894
10/01/2014,85.71,0.007495058
09/01/2014,85.07,0.002353773
08/01/2014,84.87,-0.006810736
07/01/2014,85.45,0.000936659
06/01/2014,85.37,-0.00642188
03/01/2014,85.92,0.003147406
02/01/2014,85.65,-0.003845486
31/12/2013,85.98,-0.000116299
30/12/2013,85.99,0.000581632
27/12/2013,85.94,-0.002092294
26/12/2013,86.12,0.000580754
24/12/2013,86.07,0.003724833
23/12/2013,85.75,0.001283622
20/12/2013,85.64,0.006325428
19/12/2013,85.1,-0.005157067
18/12/2013,85.54,0.017572243
17/12/2013,84.05,-0.001664289
16/12/2013,84.19,-0.006039452
13/12/2013,84.7,-0.002829523
12/12/2013,84.94,-0.001529322
11/12/2013,85.07,-0.010407625
10/12/2013,85.96,-0.003831645
09/12/2013,86.29,-0.00023175
