Date,Close,TSN
04/04/2014,41.22,-0.018507919
03/04/2014,41.99,0.013184897
02/04/2014,41.44,-0.047364254
01/04/2014,43.45,-0.012806029
31/03/2014,44.01,0.019734463
28/03/2014,43.15,0.006510137
27/03/2014,42.87,0
26/03/2014,42.87,0.010316621
25/03/2014,42.43,0.001415095
24/03/2014,42.37,0
21/03/2014,42.37,0.001889913
20/03/2014,42.29,0.00902619
19/03/2014,41.91,-0.009971593
18/03/2014,42.33,0.015714609
17/03/2014,41.67,0.004570062
14/03/2014,41.48,0.024650424
13/03/2014,40.47,0
12/03/2014,40.47,0.018202722
11/03/2014,39.74,-0.011259971
10/03/2014,40.19,-0.001988566
07/03/2014,40.27,0.002486326
06/03/2014,40.17,-0.006204264
05/03/2014,40.42,0.020495594
04/03/2014,39.6,0.020151173
03/03/2014,38.81,-0.016356102
28/02/2014,39.45,0.01378276
27/02/2014,38.91,-0.005126902
26/02/2014,39.11,0.004613027
25/02/2014,38.93,0.001799718
24/02/2014,38.86,-0.001285843
21/02/2014,38.91,-0.006659861
20/02/2014,39.17,0.022722382
19/02/2014,38.29,-0.001304972
18/02/2014,38.34,0.016038204
14/02/2014,37.73,0.006914921
13/02/2014,37.47,0.015600101
12/02/2014,36.89,0.003530214
11/02/2014,36.76,0.007098037
10/02/2014,36.5,0.011296442
07/02/2014,36.09,0.01086513
06/02/2014,35.7,0.003085989
05/02/2014,35.59,0.003377431
04/02/2014,35.47,-0.015387071
03/02/2014,36.02,-0.037596365
31/01/2014,37.4,0.081001277
30/01/2014,34.49,0.002903603
29/01/2014,34.39,-0.00782046
28/01/2014,34.66,0.000288559
27/01/2014,34.65,-0.00345722
24/01/2014,34.77,-0.019650355
23/01/2014,35.46,-0.003378382
22/01/2014,35.58,0.016721376
21/01/2014,34.99,-0.00142796
17/01/2014,35.04,0
16/01/2014,35.04,0.007447757
15/01/2014,34.78,0.008953128
14/01/2014,34.47,0.016674366
13/01/2014,33.9,-0.027351138
10/01/2014,34.84,0.00691247
