Date,Close,HES
04/04/2014,85.34,-0.003392411
03/04/2014,85.63,0.007855132
02/04/2014,84.96,0.011840063
01/04/2014,83.96,0.012946716
31/03/2014,82.88,-0.004093925
28/03/2014,83.22,0.014768456
27/03/2014,82,0.007712593
26/03/2014,81.37,-0.008200278
25/03/2014,82.04,0.005622799
24/03/2014,81.58,-0.004647189
21/03/2014,81.96,0.009562412
20/03/2014,81.18,0.006922154
19/03/2014,80.62,-0.005442864
18/03/2014,81.06,0.008051075
17/03/2014,80.41,0.001618023
14/03/2014,80.28,0.005370649
13/03/2014,79.85,-0.011950846
12/03/2014,80.81,-0.004937672
11/03/2014,81.21,-0.012603409
10/03/2014,82.24,0.004509178
07/03/2014,81.87,0.005266071
06/03/2014,81.44,0.008632437
05/03/2014,80.74,0.004842023
04/03/2014,80.35,0.010886674
03/03/2014,79.48,-0.006896147
28/02/2014,80.03,0.006644543
27/02/2014,79.5,0.002266718
26/02/2014,79.32,-0.012279317
25/02/2014,80.3,-0.014219714
24/02/2014,81.45,0.003443614
21/02/2014,81.17,-0.005406083
20/02/2014,81.61,0.01108932
19/02/2014,80.71,0.003102317
18/02/2014,80.46,0.012003145
14/02/2014,79.5,0.010495133
13/02/2014,78.67,0.00816852
12/02/2014,78.03,-0.002815461
11/02/2014,78.25,0.016233286
10/02/2014,76.99,-0.002464813
07/02/2014,77.18,0.011336365
06/02/2014,76.31,0.021859518
05/02/2014,74.66,-0.001338509
04/02/2014,74.76,0.011299555
03/02/2014,73.92,-0.02101677
31/01/2014,75.49,-0.013682624
30/01/2014,76.53,-0.006901518
29/01/2014,77.06,0.003379699
28/01/2014,76.8,0.016012942
27/01/2014,75.58,-0.008825718
24/01/2014,76.25,-0.014969365
23/01/2014,77.4,-0.009259325
22/01/2014,78.12,0.002563447
21/01/2014,77.92,0.010190349
17/01/2014,77.13,-0.007620315
16/01/2014,77.72,0.000643542
15/01/2014,77.67,-0.023665227
14/01/2014,79.53,0.008333382
13/01/2014,78.87,-0.025412897
10/01/2014,80.9,-0.005424076
09/01/2014,81.34,-0.004293695
08/01/2014,81.69,0.010212331
07/01/2014,80.86,0.01169313
06/01/2014,79.92,-0.00449439
03/01/2014,80.28,-0.010409016
02/01/2014,81.12,-0.022911068
31/12/2013,83,0.004709869
30/12/2013,82.61,-0.005552887
27/12/2013,83.07,0.005673945
26/12/2013,82.6,0.017833623
24/12/2013,81.14,0.011403197
23/12/2013,80.22,0.00062348
20/12/2013,80.17,-0.004604575
19/12/2013,80.54,-0.003594228
18/12/2013,80.83,0.016465384
17/12/2013,79.51,0.002014353
16/12/2013,79.35,0.005053706
13/12/2013,78.95,0.004952077
12/12/2013,78.56,-0.004825406
11/12/2013,78.94,-0.012588283
10/12/2013,79.94,-0.007105047
09/12/2013,80.51,-0.004337864
06/12/2013,80.86,-0.00751559
05/12/2013,81.47,-0.009042095
04/12/2013,82.21,0.012977655
03/12/2013,81.15,0.002961868
02/12/2013,80.91,-0.002715381
29/11/2013,81.13,-0.004304785
27/11/2013,81.48,-0.025805539
26/11/2013,83.61,0.011790319
25/11/2013,82.63,-0.008435818
22/11/2013,83.33,0.012073067
21/11/2013,82.33,0.012466551
20/11/2013,81.31,-0.007107873
19/11/2013,81.89,-0.0002442
18/11/2013,81.91,-0.011531353
15/11/2013,82.86,0.014098435
14/11/2013,81.7,0.011324592
13/11/2013,80.78,0.010453057
12/11/2013,79.94,-0.011566574
11/11/2013,80.87,0.007073306
08/11/2013,80.3,0.019110463
