Date,Close,EMR
04/04/2014,67.27,-0.009910591
03/04/2014,67.94,0.001472971
02/04/2014,67.84,0.007694622
01/04/2014,67.32,0.007754289
31/03/2014,66.8,0.000598982
28/03/2014,66.76,0.008423636
27/03/2014,66.2,0.006972895
26/03/2014,65.74,-0.009236193
25/03/2014,66.35,0.014574419
24/03/2014,65.39,0.000611902
21/03/2014,65.35,0.027301215
20/03/2014,63.59,-0.000628832
19/03/2014,63.63,-0.00376471
18/03/2014,63.87,0.003293346
17/03/2014,63.66,0.017430326
14/03/2014,62.56,-0.00732604
13/03/2014,63.02,-0.015430947
12/03/2014,64,-0.006385817
11/03/2014,64.41,-0.008040866
10/03/2014,64.93,-0.010265929
07/03/2014,65.6,0.008419491
06/03/2014,65.05,-0.000153716
05/03/2014,65.06,-0.000921801
04/03/2014,65.12,0.011894788
03/03/2014,64.35,-0.014042357
28/02/2014,65.26,0.000153245
27/02/2014,65.25,0.00030656
26/02/2014,65.23,0.010479369
25/02/2014,64.55,0.003569492
24/02/2014,64.32,0.014091356
21/02/2014,63.42,-0.002205073
20/02/2014,63.56,0.004573059
19/02/2014,63.27,-0.008341907
18/02/2014,63.8,-0.01106706
14/02/2014,64.51,-0.000464936
13/02/2014,64.54,-0.008792961
12/02/2014,65.11,0.002460404
11/02/2014,64.95,-0.000615669
10/02/2014,64.99,-0.003072671
07/02/2014,65.19,0.019360939
06/02/2014,63.94,0.002819109
05/02/2014,63.76,-0.00469411
04/02/2014,64.06,-0.00296158
03/02/2014,64.25,-0.025963514
31/01/2014,65.94,-0.009658995
30/01/2014,66.58,0.013762032
29/01/2014,65.67,-0.010150833
28/01/2014,66.34,0.012437594
27/01/2014,65.52,0.003976148
24/01/2014,65.26,-0.031523612
23/01/2014,67.35,-0.023623723
22/01/2014,68.96,-0.008519292
21/01/2014,69.55,0.006201794
17/01/2014,69.12,-0.011936577
16/01/2014,69.95,0.002433265
15/01/2014,69.78,0.008202075
14/01/2014,69.21,0.016902632
13/01/2014,68.05,-0.007320677
10/01/2014,68.55,0.004092975
09/01/2014,68.27,-0.004092975
08/01/2014,68.55,-0.005092772
07/01/2014,68.9,0.000725953
06/01/2014,68.85,-0.007524272
03/01/2014,69.37,0.001009591
02/01/2014,69.3,-0.012618464
31/12/2013,70.18,-0.001139277
30/12/2013,70.26,0.000711896
27/12/2013,70.21,0.001567957
26/12/2013,70.1,0.004862014
24/12/2013,69.76,0.005606282
23/12/2013,69.37,0.000432557
20/12/2013,69.34,0.009855152
19/12/2013,68.66,0.010394647
18/12/2013,67.95,0.022171878
17/12/2013,66.46,-0.006449216
16/12/2013,66.89,0.010369016
13/12/2013,66.2,-0.006174253
12/12/2013,66.61,0.00315766
11/12/2013,66.4,-0.017022958
10/12/2013,67.54,-0.001479509
09/12/2013,67.64,0.00682394
06/12/2013,67.18,0.010925799
05/12/2013,66.45,-0.000150478
04/12/2013,66.46,-0.00360469
03/12/2013,66.7,-0.000899146
02/12/2013,66.76,-0.003439256
29/11/2013,66.99,-0.007880496
27/11/2013,67.52,0.004155542
26/11/2013,67.24,0.003575689
25/11/2013,67,-0.014815086
22/11/2013,68,0.004126148
21/11/2013,67.72,0.009346556
20/11/2013,67.09,-0.004016368
19/11/2013,67.36,-0.003408673
18/11/2013,67.59,-0.005606388
15/11/2013,67.97,0.011244385
14/11/2013,67.21,0.005370742
13/11/2013,66.85,0.008261406
12/11/2013,66.3,-0.009756175
11/11/2013,66.95,-0.000298686
08/11/2013,66.97,0.013832727
07/11/2013,66.05,-0.020381344
06/11/2013,67.41,0.008342071
05/11/2013,66.85,-0.007748511
04/11/2013,67.37,0.005059535
01/11/2013,67.03,0.000895522
31/10/2013,66.97,0.001045791
30/10/2013,66.9,-0.007297672
29/10/2013,67.39,0.004014577
28/10/2013,67.12,-0.00148876
25/10/2013,67.22,0.010317849
24/10/2013,66.53,0.000902256
23/10/2013,66.47,0.001053662
22/10/2013,66.4,0.006951819
21/10/2013,65.94,0.004559971
18/10/2013,65.64,0.006572435
17/10/2013,65.21,0.007233583
16/10/2013,64.74,-0.000463285
15/10/2013,64.77,-0.012733163
14/10/2013,65.6,0.003818256
11/10/2013,65.35,0.00567791
10/10/2013,64.98,0.028091735
09/10/2013,63.18,0.00317058
08/10/2013,62.98,-0.011681269
07/10/2013,63.72,-0.003915738
04/10/2013,63.97,0.003758814
03/10/2013,63.73,-0.010923954
02/10/2013,64.43,-0.00988425
01/10/2013,65.07,0.005702412
30/09/2013,64.7,-0.003086422
27/09/2013,64.9,-0.007980398
26/09/2013,65.42,0.008596921
25/09/2013,64.86,-0.001540595
24/09/2013,64.96,0
23/09/2013,64.96,0.000615953
20/09/2013,64.92,-0.024046205
19/09/2013,66.5,0.012255241
18/09/2013,65.69,0.012253178
17/09/2013,64.89,0.005563297
16/09/2013,64.53,0.007622344
13/09/2013,64.04,0.006737197
12/09/2013,63.61,0.000314465
11/09/2013,63.59,-0.001100197
10/09/2013,63.66,0.018389865
09/09/2013,62.5,0.016617306
06/09/2013,61.47,-0.003248338
05/09/2013,61.67,0.005528469
04/09/2013,61.33,0.010325422
03/09/2013,60.7,0.005451405
30/08/2013,60.37,-0.003967603
29/08/2013,60.61,0.001981834
28/08/2013,60.49,-0.001486743
27/08/2013,60.58,-0.01912917
26/08/2013,61.75,-0.00339504
23/08/2013,61.96,-0.001129123
22/08/2013,62.03,0.018713425
21/08/2013,60.88,-0.011107595
20/08/2013,61.56,0.007173164
19/08/2013,61.12,-0.002451182
16/08/2013,61.27,0.006385613
15/08/2013,60.88,-0.019358067
14/08/2013,62.07,-0.005462739
13/08/2013,62.41,-0.001441038
12/08/2013,62.5,0.009646377
09/08/2013,61.9,-0.006601747
