Date,Close,IBM
04/04/2014,191.77,-0.004785943
03/04/2014,192.69,-0.004453197
02/04/2014,193.55,-0.004896286
01/04/2014,194.5,0.010387959
31/03/2014,192.49,0.010654511
28/03/2014,190.45,0.003260758
27/03/2014,189.83,-0.014590401
26/03/2014,192.62,-0.01248533
25/03/2014,195.04,0.035433799
24/03/2014,188.25,0.008428515
21/03/2014,186.67,-0.006567554
20/03/2014,187.9,0.017122879
19/03/2014,184.71,-0.01130503
18/03/2014,186.81,0.005367411
17/03/2014,185.81,0.019564778
14/03/2014,182.21,-0.009232264
13/03/2014,183.9,-0.012536639
12/03/2014,186.22,-0.0028956
11/03/2014,186.76,0.001983117
10/03/2014,186.39,-0.006897132
07/03/2014,187.68,0.000213151
06/03/2014,187.64,0.002668234
05/03/2014,187.14,0.003747528
04/03/2014,186.44,0.011761668
03/03/2014,184.26,-0.004926518
28/02/2014,185.17,-0.000539899
27/02/2014,185.27,0.006552429
26/02/2014,184.06,0.004519597
25/02/2014,183.23,-0.001199957
24/02/2014,183.45,0.003604198
21/02/2014,182.79,-0.008009851
20/02/2014,184.26,0.007134912
19/02/2014,182.95,-0.001310974
18/02/2014,183.19,-0.002725689
14/02/2014,183.69,0.010122375
13/02/2014,181.84,0.008837883
12/02/2014,180.24,0.003000502
11/02/2014,179.7,0.014348413
10/02/2014,177.14,-0.000620785
07/02/2014,177.25,0.014662686
06/02/2014,174.67,0.00246482
05/02/2014,174.24,0.008067348
04/02/2014,172.84,-0.000347082
03/02/2014,172.9,-0.021626794
31/01/2014,176.68,-0.003841379
30/01/2014,177.36,0.005427422
29/01/2014,176.4,-0.002547772
28/01/2014,176.85,-0.005919679
27/01/2014,177.9,-0.009733254
24/01/2014,179.64,-0.017054805
23/01/2014,182.73,0.002630283
22/01/2014,182.25,-0.033347214
21/01/2014,188.43,-0.008771059
17/01/2014,190.09,0.007021277
16/01/2014,188.76,0.00541834
15/01/2014,187.74,0.009741553
14/01/2014,185.92,0.009511529
13/01/2014,184.16,-0.016693081
10/01/2014,187.26,-0.000640615
09/01/2014,187.38,-0.003143735
08/01/2014,187.97,-0.009214215
07/01/2014,189.71,0.019749917
06/01/2014,186,-0.003434954
03/01/2014,186.64,0.005965034
02/01/2014,185.53,-0.010935515
31/12/2013,187.57,0.00620356
30/12/2013,186.41,0.007160385
27/12/2013,185.08,-0.001457766
26/12/2013,185.35,0.011558313
24/12/2013,183.22,0.005417991
23/12/2013,182.23,0.01220167
20/12/2013,180.02,-0.001110371
19/12/2013,180.22,0.008469905
18/12/2013,178.7,0.016588994
17/12/2013,175.76,-0.01182107
16/12/2013,177.85,0.028805642
13/12/2013,172.8,-0.003293183
12/12/2013,173.37,-0.01050014
11/12/2013,175.2,-0.01089929
10/12/2013,177.12,-0.001917762
09/12/2013,177.46,-0.001182666
06/12/2013,177.67,0.00898946
05/12/2013,176.08,0.001932807
04/12/2013,175.74,-0.001932807
03/12/2013,176.08,-0.007919489
02/12/2013,177.48,-0.012319564
29/11/2013,179.68,0.003959297
27/11/2013,178.97,0.009318581
26/11/2013,177.31,-0.009150941
25/11/2013,178.94,-0.013102564
22/11/2013,181.3,-0.015488912
21/11/2013,184.13,-0.005740295
20/11/2013,185.19,-0.000323939
19/11/2013,185.25,0.004219416
18/11/2013,184.47,0.006962983
15/11/2013,183.19,0.005363998
14/11/2013,182.21,-0.007327242
13/11/2013,183.55,0.002618517
12/11/2013,183.07,0.001038393
11/11/2013,182.88,0.015928906
08/11/2013,179.99,-5.55571E-05
07/11/2013,180,0.004510155
06/11/2013,179.19,0.007506197
05/11/2013,177.85,-0.013515229
04/11/2013,180.27,0.00578583
01/11/2013,179.23,0.000111595
31/10/2013,179.21,-0.005231535
30/10/2013,180.15,-0.010875973
29/10/2013,182.12,0.026540629
28/10/2013,177.35,0.002823266
25/10/2013,176.85,-0.005357407
24/10/2013,177.8,0.011483001
23/10/2013,175.77,0.004561792
22/10/2013,174.97,0.012132512
21/10/2013,172.86,-0.005308113
18/10/2013,173.78,-0.006023942
17/10/2013,174.83,-0.06584965
16/10/2013,186.73,0.011147427
15/10/2013,184.66,-0.01243188
14/10/2013,186.97,0.004341657
11/10/2013,186.16,0.007494711
10/10/2013,184.77,0.018848382
09/10/2013,181.32,0.014443091
08/10/2013,178.72,-0.018241295
07/10/2013,182.01,-0.011417458
04/10/2013,184.1,0.00130449
03/10/2013,183.86,-0.005964987
02/10/2013,184.96,-0.007648015
01/10/2013,186.38,0.006459275
30/09/2013,185.18,-0.009352393
27/09/2013,186.92,-0.017500579
26/09/2013,190.22,0.003950596
25/09/2013,189.47,-0.002635464
24/09/2013,189.97,-0.005354906
23/09/2013,190.99,0.005091741
20/09/2013,190.02,-0.017579546
19/09/2013,193.39,-0.005311892
18/09/2013,194.42,0.011692409
17/09/2013,192.16,-0.005138731
16/09/2013,193.15,0.005086692
13/09/2013,192.17,0.007521582
12/09/2013,190.73,0.000157303
11/09/2013,190.7,0.021734224
10/09/2013,186.6,0.008719577
09/09/2013,184.98,0.010597637
06/09/2013,183.03,-0.006100569
05/09/2013,184.15,0.00555436
04/09/2013,183.13,-0.00452206
03/09/2013,183.96,0.009229238
30/08/2013,182.27,-0.002027898
29/08/2013,182.64,0.00263158
28/08/2013,182.16,-0.003178956
27/08/2013,182.74,-0.010885054
26/08/2013,184.74,-0.003674091
23/08/2013,185.42,0.001241197
22/08/2013,185.19,0.001783543
21/08/2013,184.86,0.001624168
20/08/2013,184.56,0.001789637
19/08/2013,184.23,-0.006006999
16/08/2013,185.34,-0.002425027
15/08/2013,185.79,-0.009321829
14/08/2013,187.53,-0.004734681
