Date,Close,WIN
04/04/2014,8.63,0.003482302
03/04/2014,8.6,-0.012709588
02/04/2014,8.71,0.024405627
01/04/2014,8.5,0.03106582
31/03/2014,8.24,0.002430135
28/03/2014,8.22,0.022141126
27/03/2014,8.04,-0.042611437
26/03/2014,8.39,0.002386636
25/03/2014,8.37,0.003590668
24/03/2014,8.34,-0.007168489
21/03/2014,8.4,0.004773279
20/03/2014,8.36,0.013245227
19/03/2014,8.25,-0.014440684
18/03/2014,8.37,0.012019375
17/03/2014,8.27,0.001209922
14/03/2014,8.26,0.012180419
13/03/2014,8.16,0.013572078
12/03/2014,8.05,-0.012345836
11/03/2014,8.15,0.013588844
10/03/2014,8.04,-0.014815086
07/03/2014,8.16,-0.002447982
06/03/2014,8.18,0.007361996
05/03/2014,8.12,-0.002460026
04/03/2014,8.14,0.024876905
03/03/2014,7.94,-0.010025147
28/02/2014,8.02,0.00249688
27/02/2014,8,0.008788506
26/02/2014,7.93,-0.007537724
25/02/2014,7.99,0.005018831
24/02/2014,7.95,0.011385322
21/02/2014,7.86,-0.011385322
20/02/2014,7.95,0.006309169
19/02/2014,7.9,0
18/02/2014,7.9,-0.002528446
14/02/2014,7.92,0.001263424
13/02/2014,7.91,0.001265022
12/02/2014,7.9,0.058648727
11/02/2014,7.45,0.010796326
10/02/2014,7.37,0.001357773
07/02/2014,7.36,-0.010810916
06/02/2014,7.44,0.016260521
05/02/2014,7.32,0.008230499
04/02/2014,7.26,0.008298803
03/02/2014,7.2,-0.038151766
31/01/2014,7.48,-0.010638398
30/01/2014,7.56,0.013315776
29/01/2014,7.46,-0.008010724
28/01/2014,7.52,-0.002656044
27/01/2014,7.54,-0.002649008
24/01/2014,7.56,-0.009216655
23/01/2014,7.63,-0.003924138
22/01/2014,7.66,-0.01297035
21/01/2014,7.76,-0.017880425
17/01/2014,7.9,-0.003790276
16/01/2014,7.93,0.008866429
15/01/2014,7.86,-0.011385322
14/01/2014,7.95,0.005044147
13/01/2014,7.91,-0.01754431
10/01/2014,8.05,0.012500163
09/01/2014,7.95,-0.007518832
08/01/2014,8.01,0
07/01/2014,8.01,0.006261761
06/01/2014,7.96,-0.00376176
03/01/2014,7.99,-0.002500001
02/01/2014,8.01,0.00375235
31/12/2013,7.98,-0.00500001
30/12/2013,8.02,-0.013622502
27/12/2013,8.13,-0.035048905
26/12/2013,8.42,0.005955944
24/12/2013,8.37,0.003590668
23/12/2013,8.34,0.012062872
20/12/2013,8.24,0.010982417
19/12/2013,8.15,-0.004895971
18/12/2013,8.19,0.013522025
17/12/2013,8.08,0.01370738
16/12/2013,7.97,0.001255493
13/12/2013,7.96,-0.006261761
12/12/2013,8.01,0.011299555
11/12/2013,7.92,-0.011299555
10/12/2013,8.01,-0.00498133
09/12/2013,8.05,0
06/12/2013,8.05,0.001243008
05/12/2013,8.04,-0.025784117
04/12/2013,8.25,0.015883046
03/12/2013,8.12,0.006176672
02/12/2013,8.07,0
29/11/2013,8.07,-0.002475249
27/11/2013,8.09,0.003715175
26/11/2013,8.06,0
25/11/2013,8.06,-0.012330612
22/11/2013,8.16,-0.00732604
21/11/2013,8.22,0
20/11/2013,8.22,-0.013293247
19/11/2013,8.33,0.004813487
18/11/2013,8.29,0.004836769
15/11/2013,8.25,-0.001211387
14/11/2013,8.26,-0.002418381
13/11/2013,8.28,0.012150818
12/11/2013,8.18,0.014778594
11/11/2013,8.06,0.004975135
08/11/2013,8.02,-0.017305747
07/11/2013,8.16,-0.058315152
06/11/2013,8.65,0.016317378
05/11/2013,8.51,-0.003519065
04/11/2013,8.54,0
01/11/2013,8.54,-0.001170275
31/10/2013,8.55,0.003514942
30/10/2013,8.52,-0.010507978
29/10/2013,8.61,0.002325582
28/10/2013,8.59,0.003498546
25/10/2013,8.56,0.001168907
24/10/2013,8.55,-0.001168907
23/10/2013,8.56,-0.001167542
22/10/2013,8.57,0.005851392
21/10/2013,8.52,-0.009345862
18/10/2013,8.6,0
17/10/2013,8.6,0.007001195
16/10/2013,8.54,0.015339534
15/10/2013,8.41,-0.012994867
14/10/2013,8.52,0.002350177
11/10/2013,8.5,0.011834458
10/10/2013,8.4,0.022878782
09/10/2013,8.21,0.012255055
08/10/2013,8.11,0
07/10/2013,8.11,0.011159446
04/10/2013,8.02,-0.00373367
03/10/2013,8.05,-0.014796817
02/10/2013,8.17,-0.002444989
01/10/2013,8.19,0.024723138
30/09/2013,7.99,-0.016139394
27/09/2013,8.12,-0.008583744
26/09/2013,8.19,-0.044186292
