Date,Close,HP
04/04/2014,107.29,-0.00548405
03/04/2014,107.88,0.000927386
02/04/2014,107.78,-0.003611951
01/04/2014,108.17,0.005655232
31/03/2014,107.56,-0.001300753
28/03/2014,107.7,0.017043207
27/03/2014,105.88,-0.00282939
26/03/2014,106.18,-0.007693067
25/03/2014,107,0.013075771
24/03/2014,105.61,-0.009705612
21/03/2014,106.64,0.02324252
20/03/2014,104.19,0.013041773
19/03/2014,102.84,0.003311584
18/03/2014,102.5,0.013752673
17/03/2014,101.1,0.031652982
14/03/2014,97.95,0.014810514
13/03/2014,96.51,-0.019394174
12/03/2014,98.4,-0.000508001
11/03/2014,98.45,-0.019015614
10/03/2014,100.34,-0.001593308
07/03/2014,100.5,-0.003179021
06/03/2014,100.82,0.016299546
05/03/2014,99.19,0.001513394
04/03/2014,99.04,0.006279773
03/03/2014,98.42,-0.003347368
28/02/2014,98.75,0.018808691
27/02/2014,96.91,0.006625969
26/02/2014,96.27,-0.009511082
25/02/2014,97.19,0.008161624
24/02/2014,96.4,0.021600924
21/02/2014,94.34,-0.003386247
20/02/2014,94.66,0.0077417
19/02/2014,93.93,0.009627802
18/02/2014,93.03,0.02657819
14/02/2014,90.59,0.010319093
13/02/2014,89.66,0.023129592
12/02/2014,87.61,-0.005463872
11/02/2014,88.09,0.027156196
10/02/2014,85.73,-0.016657412
07/02/2014,87.17,0.003447487
06/02/2014,86.87,0.022820876
05/02/2014,84.91,-0.001529862
04/02/2014,85.04,-0.014360179
03/02/2014,86.27,-0.020309344
31/01/2014,88.04,0.003869357
30/01/2014,87.7,0.029859874
29/01/2014,85.12,-0.01446258
28/01/2014,86.36,0.006389056
27/01/2014,85.81,-0.002328019
24/01/2014,86.01,-0.01408474
23/01/2014,87.23,-0.009810711
22/01/2014,88.09,0.009581458
21/01/2014,87.25,0.018508336
17/01/2014,85.65,0.008912924
16/01/2014,84.89,-0.001059634
15/01/2014,84.98,-0.002702863
14/01/2014,85.21,0.01787982
13/01/2014,83.7,-0.021862023
10/01/2014,85.55,0.007391364
09/01/2014,84.92,0.005549994
08/01/2014,84.45,0.010355386
07/01/2014,83.58,0.019694952
06/01/2014,81.95,-0.013333531
03/01/2014,83.05,0.009679446
02/01/2014,82.25,-0.022005337
31/12/2013,84.08,0.000594849
30/12/2013,84.03,0.000833383
27/12/2013,83.96,0.009814561
26/12/2013,83.14,0.001323946
24/12/2013,83.03,0.018230938
23/12/2013,81.53,-0.006113983
20/12/2013,82.03,0.004398297
19/12/2013,81.67,0.001838348
18/12/2013,81.52,0.008376496
17/12/2013,80.84,-0.005181998
16/12/2013,81.26,0.021645328
13/12/2013,79.52,-0.003640248
12/12/2013,79.81,0.017569813
11/12/2013,78.42,-0.011663418
10/12/2013,79.34,-0.001888812
09/12/2013,79.49,-0.004268146
06/12/2013,79.83,-0.004998136
05/12/2013,80.23,-0.009181206
04/12/2013,80.97,0.016185612
03/12/2013,79.67,0.020543456
02/12/2013,78.05,0.013544225
29/11/2013,77,-0.004535155
27/11/2013,77.35,-0.017556676
26/11/2013,78.72,0.018979795
25/11/2013,77.24,-0.022150576
22/11/2013,78.97,-0.000379819
21/11/2013,79,0.001900539
20/11/2013,78.85,0.003811949
19/11/2013,78.55,-0.003177632
18/11/2013,78.8,-0.00594675
15/11/2013,79.27,0.015381985
14/11/2013,78.06,0.014191955
13/11/2013,76.96,0.003123376
12/11/2013,76.72,-0.021406362
11/11/2013,78.38,0.004603589
08/11/2013,78.02,0.030583423
07/11/2013,75.67,-0.025829769
06/11/2013,77.65,-0.001672779
05/11/2013,77.78,-0.00089957
04/11/2013,77.85,0.005409596
01/11/2013,77.43,-0.001548587
31/10/2013,77.55,0.000515929
30/10/2013,77.51,-0.014727807
29/10/2013,78.66,0.019123987
28/10/2013,77.17,0.007805425
25/10/2013,76.57,0.00905221
24/10/2013,75.88,0.011665032
23/10/2013,75,-0.024887716
22/10/2013,76.89,0.005215816
21/10/2013,76.49,-0.003523658
18/10/2013,76.76,0.012057813
17/10/2013,75.84,0.007677073
16/10/2013,75.26,0.00907641
15/10/2013,74.58,-0.007081331
14/10/2013,75.11,0.015158919
11/10/2013,73.98,0.011009286
10/10/2013,73.17,0.028557527
09/10/2013,71.11,-0.009935015
08/10/2013,71.82,-0.00375235
07/10/2013,72.09,-0.022087461
04/10/2013,73.7,0.014762433
03/10/2013,72.62,0.009825029
02/10/2013,71.91,0.013862856
01/10/2013,70.92,0.028170877
30/09/2013,68.95,-0.001738879
27/09/2013,69.07,-0.005774522
26/09/2013,69.47,0.006208958
25/09/2013,69.04,0.003482302
24/09/2013,68.8,-0.008827204
23/09/2013,69.41,-0.013025304
20/09/2013,70.32,-0.007085193
19/09/2013,70.82,0.016802332
18/09/2013,69.64,0.009087693
17/09/2013,69.01,0.001450116
16/09/2013,68.91,-0.001160261
13/09/2013,68.99,0.03585777
12/09/2013,66.56,-0.008378266
11/09/2013,67.12,0.015010789
10/09/2013,66.12,0.005763705
09/09/2013,65.74,0.021215246
06/09/2013,64.36,-0.002172902
05/09/2013,64.5,0.008407336
04/09/2013,63.96,0.016552754
03/09/2013,62.91,-0.002064312
30/08/2013,63.04,-0.003641838
29/08/2013,63.27,-0.01396868
28/08/2013,64.16,0.014759257
27/08/2013,63.22,-0.013355529
26/08/2013,64.07,-0.00932118
23/08/2013,64.67,0.001857298
22/08/2013,64.55,0.010120756
21/08/2013,63.9,-0.016144405
20/08/2013,64.94,0.014268232
19/08/2013,64.02,-0.011492594
16/08/2013,64.76,-0.011362014
15/08/2013,65.5,-0.015001418
14/08/2013,66.49,-0.011514146
13/08/2013,67.26,-0.00059453
12/08/2013,67.3,-0.009023062
09/08/2013,67.91,0.000589188
08/08/2013,67.87,0.008582474
07/08/2013,67.29,0.013615831
06/08/2013,66.38,0.001205909
05/08/2013,66.3,0.010766652
02/08/2013,65.59,0.011037978
01/08/2013,64.87,0.026080966
31/07/2013,63.2,0.000949818
30/07/2013,63.14,-0.004740094
29/07/2013,63.44,-0.020130195
26/07/2013,64.73,-0.027879024
25/07/2013,66.56,0.009358559
24/07/2013,65.94,-0.013706066
23/07/2013,66.85,-0.002241316
22/07/2013,67,-0.00580402
19/07/2013,67.39,0.013144327
18/07/2013,66.51,0.019739481
17/07/2013,65.21,0.01343131
16/07/2013,64.34,-0.014197769
15/07/2013,65.26,-0.003365461
12/07/2013,65.48,0.01151998
11/07/2013,64.73,0.002165173
10/07/2013,64.59,-0.012003838
09/07/2013,65.37,-0.007315991
08/07/2013,65.85,0.005634676
05/07/2013,65.48,0.025678132
03/07/2013,63.82,-0.003597407
02/07/2013,64.05,0.004537994
01/07/2013,63.76,0.020759798
28/06/2013,62.45,-0.004154688
27/06/2013,62.71,-0.003660967
26/06/2013,62.94,-0.01137453
25/06/2013,63.66,0.029491258
24/06/2013,61.81,0.00194332
21/06/2013,61.69,0.007484578
20/06/2013,61.23,-0.032774018
19/06/2013,63.27,-0.012096605
18/06/2013,64.04,0.008310514
17/06/2013,63.51,0.043278692
14/06/2013,60.82,-0.017763035
13/06/2013,61.91,0.015299778
12/06/2013,60.97,-0.022862771
11/06/2013,62.38,-0.030781374
10/06/2013,64.33,0.003269758
07/06/2013,64.12,0.024790091
06/06/2013,62.55,-0.001757049
05/06/2013,62.66,-0.002391011
04/06/2013,62.81,0.001274494
03/06/2013,62.73,0.015907783
31/05/2013,61.74,-0.024479264
30/05/2013,63.27,-0.013656911
29/05/2013,64.14,0.005785334
28/05/2013,63.77,0.011830724
24/05/2013,63.02,0.014867191
23/05/2013,62.09,-0.004820061
22/05/2013,62.39,-0.036356195
21/05/2013,64.7,-0.012288941
20/05/2013,65.5,0.001680801
17/05/2013,65.39,0.037710919
16/05/2013,62.97,0.015685341
15/05/2013,61.99,-0.002094917
14/05/2013,62.12,0.003063283
13/05/2013,61.93,-0.008521637
10/05/2013,62.46,-0.007973252
09/05/2013,62.96,0.003819228
08/05/2013,62.72,0.001915098
07/05/2013,62.6,0.005285509
06/05/2013,62.27,0.008385793
03/05/2013,61.75,0.032088315
02/05/2013,59.8,0.029012129
01/05/2013,58.09,-0.009082403
30/04/2013,58.62,0.006675249
29/04/2013,58.23,0.004130104
26/04/2013,57.99,-0.02688151
25/04/2013,59.57,-0.018956338
24/04/2013,60.71,0.019628042
23/04/2013,59.53,0.012508615
22/04/2013,58.79,0.02602025
19/04/2013,57.28,-0.001046938
18/04/2013,57.34,0.019192419
17/04/2013,56.25,-0.042633686
16/04/2013,58.7,0.016835993
15/04/2013,57.72,-0.060991437
12/04/2013,61.35,-0.020329839
11/04/2013,62.61,-0.012223345
10/04/2013,63.38,0.024759671
09/04/2013,61.83,0.007630527
08/04/2013,61.36,0.007196629
05/04/2013,60.92,0.028471081
04/04/2013,59.21,0.003553003
03/04/2013,59,-0.014972102
02/04/2013,59.89,0.001336675
01/04/2013,59.81,-0.014770827
28/03/2013,60.7,-0.004274213
27/03/2013,60.96,-0.002948405
26/03/2013,61.14,0.014663744
25/03/2013,60.25,-0.005297149
22/03/2013,60.57,0.002314051
21/03/2013,60.43,-0.003963672
20/03/2013,60.67,-0.010004183
19/03/2013,61.28,-0.021311753
18/03/2013,62.6,-0.056821119
15/03/2013,66.26,0.012911245
14/03/2013,65.41,0.032789823
13/03/2013,63.3,-0.007711109
12/03/2013,63.79,0.000627254
11/03/2013,63.75,-0.008279357
08/03/2013,64.28,-0.011138729
07/03/2013,65,0.00478064
06/03/2013,64.69,-0.004011113
05/03/2013,64.95,0.014578422
04/03/2013,64.01,-0.032129426
01/03/2013,66.1,-0.00241765
28/02/2013,66.26,0.013064138
27/02/2013,65.4,0.012927235
26/02/2013,64.56,0.015925395
25/02/2013,63.54,-0.030991014
22/02/2013,65.54,0.019567684
21/02/2013,64.27,-0.020635164
20/02/2013,65.61,-0.034896839
19/02/2013,67.94,0.001620388
15/02/2013,67.83,-0.000442184
14/02/2013,67.86,0.032652294
13/02/2013,65.68,0.003966443
12/02/2013,65.42,0.008596921
11/02/2013,64.86,0.007272759
08/02/2013,64.39,0.001243201
07/02/2013,64.31,-0.002019418
06/02/2013,64.44,0.00233046
05/02/2013,64.29,0.008434914
04/02/2013,63.75,-0.015255589
01/02/2013,64.73,0.006043251
31/01/2013,64.34,0.015822371
30/01/2013,63.33,0.011913412
29/01/2013,62.58,0.005287203
28/01/2013,62.25,0.000803536
25/01/2013,62.2,0.004350285
24/01/2013,61.93,0.01055119
23/01/2013,61.28,0.001633187
22/01/2013,61.18,0.002946475
18/01/2013,61,0.021541844
17/01/2013,59.7,0.009086383
16/01/2013,59.16,0.002030458
15/01/2013,59.04,0.017082752
14/01/2013,58.04,-0.008577853
11/01/2013,58.54,-0.005621342
10/01/2013,58.87,0.019035128
09/01/2013,57.76,0.020640929
08/01/2013,56.58,-0.00827251
07/01/2013,57.05,-0.010635616
04/01/2013,57.66,0.011687878
03/01/2013,56.99,-0.001052262
02/01/2013,57.05,0.01839783
31/12/2012,56.01,0.026229233
28/12/2012,54.56,-0.014917504
27/12/2012,55.38,-0.006658893
26/12/2012,55.75,-0.00447428
24/12/2012,56,-0.007649241
21/12/2012,56.43,-0.009699397
20/12/2012,56.98,0.012894288
19/12/2012,56.25,0.000355619
18/12/2012,56.23,0.034926195
17/12/2012,54.3,0.011670041
14/12/2012,53.67,-0.009273063
13/12/2012,54.17,-0.008638966
