Date,Close,JNPR
04/04/2014,25.9,-0.034158919
03/04/2014,26.8,0.016933613
02/04/2014,26.35,-0.003031454
01/04/2014,26.43,0.025676827
31/03/2014,25.76,0.005449605
28/03/2014,25.62,0.011383832
27/03/2014,25.33,-0.014501528
26/03/2014,25.7,-0.019268419
25/03/2014,26.2,0.014222804
24/03/2014,25.83,-0.005020285
21/03/2014,25.96,-0.019455124
20/03/2014,26.47,0.000755858
19/03/2014,26.45,0.020627164
18/03/2014,25.91,0.021455865
17/03/2014,25.36,-0.010200167
14/03/2014,25.62,0.020107123
13/03/2014,25.11,-0.014627658
12/03/2014,25.48,0.003538435
11/03/2014,25.39,-0.034452798
10/03/2014,26.28,0.000761325
07/03/2014,26.26,-0.006831146
06/03/2014,26.44,0.002651015
05/03/2014,26.37,0.004180131
04/03/2014,26.26,-0.008720434
03/03/2014,26.49,-0.009393268
28/02/2014,26.74,-0.010046596
27/02/2014,27.01,0.004452698
26/02/2014,26.89,-0.007410186
25/02/2014,27.09,-0.017926216
24/02/2014,27.58,-0.013326327
21/02/2014,27.95,0.019509289
20/02/2014,27.41,0.007690937
19/02/2014,27.2,-0.009513427
18/02/2014,27.46,0.001457726
14/02/2014,27.42,-0.001821826
13/02/2014,27.47,0.013560772
12/02/2014,27.1,-0.020453598
11/02/2014,27.66,-0.002527533
10/02/2014,27.73,0.017461339
07/02/2014,27.25,0.008846353
06/02/2014,27.01,0.008551828
05/02/2014,26.78,0.000747105
04/02/2014,26.76,0.01543996
03/02/2014,26.35,-0.00981881
31/01/2014,26.61,-0.046263757
30/01/2014,27.87,0.005035982
29/01/2014,27.73,0.007965285
28/01/2014,27.51,-0.014793703
27/01/2014,27.92,0.007189104
24/01/2014,27.72,0.063673095
23/01/2014,26.01,-0.006514681
22/01/2014,26.18,0.005746041
21/01/2014,26.03,0.001153181
17/01/2014,26,0.008109718
16/01/2014,25.79,-0.00348365
15/01/2014,25.88,0.017934204
14/01/2014,25.42,0.003941668
13/01/2014,25.32,0.072893495
10/01/2014,23.54,0.030625641
09/01/2014,22.83,-0.003934431
08/01/2014,22.92,0.011408636
07/01/2014,22.66,0.001766785
06/01/2014,22.62,-0.006609409
03/01/2014,22.77,0.012817855
02/01/2014,22.48,-0.003995566
31/12/2013,22.57,0.001773836
30/12/2013,22.53,0.01385497
27/12/2013,22.22,0.014049631
26/12/2013,21.91,0.004574573
24/12/2013,21.81,0.005978404
23/12/2013,21.68,-0.004142699
20/12/2013,21.77,0.026531694
19/12/2013,21.2,-0.004236297
18/12/2013,21.29,0.015621619
17/12/2013,20.96,-0.003809528
16/12/2013,21.04,0.017742014
13/12/2013,20.67,0.001452433
12/12/2013,20.64,-0.032414659
11/12/2013,21.32,-0.012584645
10/12/2013,21.59,-0.004159932
09/12/2013,21.68,0.000461361
06/12/2013,21.67,0.014877076
05/12/2013,21.35,0.024177523
04/12/2013,20.84,0.022810987
03/12/2013,20.37,0.002949855
02/12/2013,20.31,0.001971415
29/11/2013,20.27,-0.00344743
27/11/2013,20.34,0.007401958
26/11/2013,20.19,-0.01474953
25/11/2013,20.49,-0.003410478
22/11/2013,20.56,0.021136201
21/11/2013,20.13,0.011491508
20/11/2013,19.9,0.025446666
19/11/2013,19.4,-0.009746166
18/11/2013,19.59,-0.01268087
15/11/2013,19.84,0.022427036
14/11/2013,19.4,0.005686239
13/11/2013,19.29,-0.015942739
12/11/2013,19.6,0.027413147
11/11/2013,19.07,-0.010433063
08/11/2013,19.27,0.03109605
07/11/2013,18.68,-0.001604707
06/11/2013,18.71,0.008049413
05/11/2013,18.56,0.004860933
04/11/2013,18.47,-0.000541272
01/11/2013,18.48,-0.008620743
31/10/2013,18.64,-0.002143624
30/10/2013,18.68,-0.016985546
29/10/2013,19,0.007926065
28/10/2013,18.85,0.00798939
25/10/2013,18.7,0.005899722
24/10/2013,18.59,-0.0244433
23/10/2013,19.05,-0.06650509
22/10/2013,20.36,-0.023781757
21/10/2013,20.85,0.001439885
18/10/2013,20.82,0.006747014
17/10/2013,20.68,-0.01678294
16/10/2013,21.03,0.046723827
15/10/2013,20.07,-0.026550232
14/10/2013,20.61,0.02108438
11/10/2013,20.18,0.008459866
10/10/2013,20.01,0
09/10/2013,20.01,-0.018321879
08/10/2013,20.38,-0.008793413
07/10/2013,20.56,-0.014006508
04/10/2013,20.85,0.035142709
03/10/2013,20.13,-0.002480775
02/10/2013,20.18,0.001487727
01/10/2013,20.15,0.01449663
30/09/2013,19.86,-0.004521485
27/09/2013,19.95,-0.009975145
26/09/2013,20.15,0.002484473
25/09/2013,20.1,-0.004962789
24/09/2013,20.2,-0.015229968
23/09/2013,20.51,-0.023133562
20/09/2013,20.99,-0.020278931
19/09/2013,21.42,-0.011142177
18/09/2013,21.66,0.011142177
17/09/2013,21.42,0.016949558
16/09/2013,21.06,0.001901141
13/09/2013,21.02,-0.006638242
12/09/2013,21.16,-0.011745496
11/09/2013,21.41,0.012218197
10/09/2013,21.15,0.013327184
09/09/2013,20.87,0.001918466
06/09/2013,20.83,0.015969369
05/09/2013,20.5,-0.010674531
04/09/2013,20.72,0.063252347
03/09/2013,19.45,0.028685148
30/08/2013,18.9,0.001588563
29/08/2013,18.87,-0.007391797
28/08/2013,19.01,0.003161225
27/08/2013,18.95,-0.029635649
26/08/2013,19.52,-0.011207453
23/08/2013,19.74,-0.008575084
22/08/2013,19.91,0.000502386
21/08/2013,19.9,-0.020393644
20/08/2013,20.31,0.012385593
19/08/2013,20.06,-0.018765983
16/08/2013,20.44,0.006872879
15/08/2013,20.3,-0.038652154
14/08/2013,21.1,-0.002839567
13/08/2013,21.16,0.027307086
12/08/2013,20.59,-0.015900118
09/08/2013,20.92,-0.057583223
08/08/2013,22.16,0.007246409
07/08/2013,22,0.000454649
06/08/2013,21.99,-0.001363327
05/08/2013,22.02,0.010041161
02/08/2013,21.8,-0.007767917
01/08/2013,21.97,0.013749071
31/07/2013,21.67,-0.010557821
30/07/2013,21.9,0.018433702
29/07/2013,21.5,-0.0009298
