Date,Close,SYY
04/04/2014,35.65,-0.005873321
03/04/2014,35.86,0.003351958
02/04/2014,35.74,-0.010299326
01/04/2014,36.11,-0.00055371
31/03/2014,36.13,0.004160317
28/03/2014,35.98,0.01427596
27/03/2014,35.47,-0.010935199
26/03/2014,35.86,0.000278901
25/03/2014,35.85,0
24/03/2014,35.85,-0.005840651
21/03/2014,36.06,-0.005255164
20/03/2014,36.25,0.002762433
19/03/2014,36.15,-0.009361302
18/03/2014,36.49,0.008808204
17/03/2014,36.17,0.006379165
14/03/2014,35.94,0.00306535
13/03/2014,35.83,-0.010273588
12/03/2014,36.2,0.00138217
11/03/2014,36.15,-0.001105889
10/03/2014,36.19,-0.000552486
07/03/2014,36.21,-0.002206897
06/03/2014,36.29,0.002483102
05/03/2014,36.2,-0.005509656
04/03/2014,36.4,0.011049836
03/03/2014,36,-0.000555401
28/02/2014,36.02,0.001945256
27/02/2014,35.95,-0.001667593
26/02/2014,36.01,-0.002496188
25/02/2014,36.1,0.003607608
24/02/2014,35.97,-0.001944175
21/02/2014,36.04,0.005285866
20/02/2014,35.85,0.00083717
19/02/2014,35.82,-0.002787847
18/02/2014,35.92,0.005863482
14/02/2014,35.71,0.002523484
13/02/2014,35.62,0.007608886
12/02/2014,35.35,-0.009291915
11/02/2014,35.68,0.008161013
10/02/2014,35.39,-0.003385053
07/02/2014,35.51,0.006498116
06/02/2014,35.28,0.014848931
05/02/2014,34.76,0.004902677
04/02/2014,34.59,0.002315486
03/02/2014,34.51,-0.01638203
31/01/2014,35.08,-0.001993451
30/01/2014,35.15,0.002849005
29/01/2014,35.05,-0.019215059
28/01/2014,35.73,0.004769261
27/01/2014,35.56,0.002252253
24/01/2014,35.48,-0.017600678
23/01/2014,36.11,-0.008273627
22/01/2014,36.41,-0.004111284
21/01/2014,36.56,0.001368551
17/01/2014,36.51,-0.010354316
16/01/2014,36.89,0.003530214
15/01/2014,36.76,0.002996869
14/01/2014,36.65,0.010146803
13/01/2014,36.28,-0.002202644
10/01/2014,36.36,0.011896668
09/01/2014,35.93,-0.001668521
08/01/2014,35.99,-0.013523043
07/01/2014,36.48,0.013245227
06/01/2014,36,-0.001387925
03/01/2014,36.05,0.00361262
02/01/2014,35.92,-0.004998622
31/12/2013,36.1,-0.015393377
30/12/2013,36.66,-0.004354933
27/12/2013,36.82,0.007907335
26/12/2013,36.53,0.001643836
24/12/2013,36.47,-0.000548246
23/12/2013,36.49,0.001096792
20/12/2013,36.45,0.005226253
19/12/2013,36.26,-0.000275748
18/12/2013,36.27,0.006639029
17/12/2013,36.03,-0.004707194
16/12/2013,36.2,-0.002207506
13/12/2013,36.28,0.00137912
12/12/2013,36.23,-0.019948742
11/12/2013,36.96,0
10/12/2013,36.96,-0.017699577
09/12/2013,37.62,0.092098967
06/12/2013,34.31,0.021804046
05/12/2013,33.57,-0.001785715
04/12/2013,33.63,-0.001782532
03/12/2013,33.69,0.001485222
02/12/2013,33.64,0.000297309
29/11/2013,33.63,-0.005338091
27/11/2013,33.81,-0.010298752
26/11/2013,34.16,0.011186458
25/11/2013,33.78,-0.004430667
22/11/2013,33.93,0.012455677
21/11/2013,33.51,0.005386009
20/11/2013,33.33,-0.008068175
19/11/2013,33.6,-0.000892459
18/11/2013,33.63,-0.002079312
15/11/2013,33.7,0.003865026
14/11/2013,33.57,0.005076911
13/11/2013,33.4,0.007513183
12/11/2013,33.15,0.001811595
11/11/2013,33.09,-0.001208094
08/11/2013,33.13,-0.000301796
07/11/2013,33.14,-0.015569177
06/11/2013,33.66,0.010452537
05/11/2013,33.31,-0.019325709
04/11/2013,33.96,0.04209882
01/11/2013,32.56,0.006779687
31/10/2013,32.34,-0.004627496
30/10/2013,32.49,-0.010714935
29/10/2013,32.84,-0.011805798
28/10/2013,33.23,0.007248597
25/10/2013,32.99,0.004861754
24/10/2013,32.83,0.008565363
23/10/2013,32.55,-0.002454742
22/10/2013,32.63,0.013576265
21/10/2013,32.19,0.003734832
18/10/2013,32.07,-0.000935016
17/10/2013,32.1,0.000311575
16/10/2013,32.09,0.007193151
15/10/2013,31.86,-0.007816204
14/10/2013,32.11,-0.00341987
11/10/2013,32.22,-0.002170207
10/10/2013,32.29,0.020019436
09/10/2013,31.65,0.015602928
08/10/2013,31.16,-0.014970816
07/10/2013,31.63,-0.002841359
04/10/2013,31.72,0.005056901
03/10/2013,31.56,-0.003479365
02/10/2013,31.67,-0.00692262
01/10/2013,31.89,0.00188324
30/09/2013,31.83,-0.006263722
27/09/2013,32.03,-0.002805925
26/09/2013,32.12,0.003430535
25/09/2013,32.01,-0.012110069
24/09/2013,32.4,0.002781643
23/09/2013,32.31,-0.008014839
20/09/2013,32.57,-0.007951112
19/09/2013,32.83,-0.016913722
18/09/2013,33.39,0.006610601
17/09/2013,33.17,0.004835307
16/09/2013,33.01,0.003945976
13/09/2013,32.88,0.00732604
12/09/2013,32.64,0.003990796
11/09/2013,32.51,0.008650038
10/09/2013,32.23,0.000310318
09/09/2013,32.22,0.005602256
06/09/2013,32.04,-0.001870908
05/09/2013,32.1,-0.00124533
04/09/2013,32.14,-0.001243781
03/09/2013,32.18,0.004984434
30/08/2013,32.02,0.002188527
29/08/2013,31.95,0.01513747
28/08/2013,31.47,-0.008543004
27/08/2013,31.74,-0.004714766
26/08/2013,31.89,-0.011225562
23/08/2013,32.25,-0.0009298
22/08/2013,32.28,0.009337136
21/08/2013,31.98,-0.013973213
20/08/2013,32.43,-0.002156169
19/08/2013,32.5,0.001539646
16/08/2013,32.45,-0.000924072
15/08/2013,32.48,-0.016791724
14/08/2013,33.03,-0.002419112
13/08/2013,33.11,0.003630866
12/08/2013,32.99,-0.05942925
09/08/2013,35.01,0.004293695
08/08/2013,34.86,0.000286903
07/08/2013,34.85,-0.006007742
06/08/2013,35.06,0.001427145
05/08/2013,35.01,0.000857265
02/08/2013,34.98,0.00544648
01/08/2013,34.79,0.008080852
31/07/2013,34.51,-0.00549055
30/07/2013,34.7,-0.008036783
29/07/2013,34.98,0.006021524
26/07/2013,34.77,0.006636873
25/07/2013,34.54,0.003189795
24/07/2013,34.43,-0.03088607
23/07/2013,35.51,-0.006456163
22/07/2013,35.74,-0.008081415
19/07/2013,36.03,0.004729457
18/07/2013,35.86,0.011499215
17/07/2013,35.45,-0.003379333
16/07/2013,35.57,-0.003087722
15/07/2013,35.68,0.00224467
12/07/2013,35.6,0.004222385
11/07/2013,35.45,0.014204784
10/07/2013,34.95,-0.002000858
09/07/2013,35.02,0.009756175
08/07/2013,34.68,0.021568892
05/07/2013,33.94,0.005613842
03/07/2013,33.75,-0.008262071
02/07/2013,34.03,-0.008485786
01/07/2013,34.32,0.004672906
28/06/2013,34.16,-0.003798398
27/06/2013,34.29,0.005556382
26/06/2013,34.1,0.006472515
25/06/2013,33.88,0.006514681
24/06/2013,33.66,-0.000594001
21/06/2013,33.68,0.008348289
20/06/2013,33.4,-0.022206686
19/06/2013,34.15,-0.017129175
18/06/2013,34.74,0.0014403
17/06/2013,34.69,0.00636208
14/06/2013,34.47,-0.00231817
13/06/2013,34.55,0.011352181
12/06/2013,34.16,0.000878606
11/06/2013,34.13,0.001466061
10/06/2013,34.08,0.009434032
07/06/2013,33.76,0.011020216
06/06/2013,33.39,0.001198682
05/06/2013,33.35,-0.024582905
04/06/2013,34.18,0.008520692
03/06/2013,33.89,0.002659183
31/05/2013,33.8,-0.008836582
30/05/2013,34.1,0
29/05/2013,34.1,-0.025479085
28/05/2013,34.98,0.004584535
24/05/2013,34.82,0.00749499
23/05/2013,34.56,-0.01464912
22/05/2013,35.07,-0.000285103
21/05/2013,35.08,0.00657803
20/05/2013,34.85,-0.008286946
17/05/2013,35.14,0.007139828
16/05/2013,34.89,-0.006855211
15/05/2013,35.13,0.010875894
14/05/2013,34.75,0.014201079
13/05/2013,34.26,0.001752849
10/05/2013,34.2,0.001170275
09/05/2013,34.16,-0.008163311
08/05/2013,34.44,0.001162115
07/05/2013,34.4,0.002036957
06/05/2013,34.33,-0.009566677
03/05/2013,34.66,-0.010333043
02/05/2013,35.02,0.012933073
01/05/2013,34.57,-0.008353786
30/04/2013,34.86,-0.004293695
29/04/2013,35.01,0.006016348
26/04/2013,34.8,-0.001722653
25/04/2013,34.86,0.00402415
24/04/2013,34.72,-0.008317845
23/04/2013,35.01,0.008029868
