Date,Close,MCHP
04/04/2014,47.18,-0.029035982
03/04/2014,48.57,0.006195807
02/04/2014,48.27,0.008739132
01/04/2014,47.85,0.001882649
31/03/2014,47.76,0.017744445
28/03/2014,46.92,0.010067559
27/03/2014,46.45,-0.014957544
26/03/2014,47.15,-0.010758463
25/03/2014,47.66,0.00252101
24/03/2014,47.54,0.001894937
21/03/2014,47.45,-0.01339773
20/03/2014,48.09,0.01719841
19/03/2014,47.27,-0.002535391
18/03/2014,47.39,0.014881227
17/03/2014,46.69,0.01336803
14/03/2014,46.07,-0.001951643
13/03/2014,46.16,-0.005616779
12/03/2014,46.42,0.004750603
11/03/2014,46.2,-0.006687545
10/03/2014,46.51,-0.001503921
07/03/2014,46.58,-0.001501663
06/03/2014,46.65,0.002145924
05/03/2014,46.55,0.005169083
04/03/2014,46.31,0.02980716
03/03/2014,44.95,-0.013259863
28/02/2014,45.55,-0.001316367
27/02/2014,45.61,0.001755541
26/02/2014,45.53,0.004181804
25/02/2014,45.34,0.001545084
24/02/2014,45.27,0.000220921
21/02/2014,45.26,0.001326553
20/02/2014,45.2,0.006659292
19/02/2014,44.9,-0.013274531
18/02/2014,45.5,-0.005698021
14/02/2014,45.76,-0.001092061
13/02/2014,45.81,0.005691784
12/02/2014,45.55,0.015487035
11/02/2014,44.85,0.002008705
10/02/2014,44.76,0.007174919
07/02/2014,44.44,0.016563056
06/02/2014,43.71,0.000228807
05/02/2014,43.7,0.00206162
04/02/2014,43.61,-0.000229279
03/02/2014,43.62,-0.028030768
31/01/2014,44.86,-0.01108413
30/01/2014,45.36,0.01667261
29/01/2014,44.61,-0.009814935
28/01/2014,45.05,0.022220643
27/01/2014,44.06,-0.000453823
24/01/2014,44.08,-0.020434078
23/01/2014,44.99,-0.023504652
22/01/2014,46.06,-0.00411657
21/01/2014,46.25,0.001081666
17/01/2014,46.2,-0.001514005
16/01/2014,46.27,-0.001511716
15/01/2014,46.34,0.004975673
14/01/2014,46.11,0.021039566
13/01/2014,45.15,0.001773443
10/01/2014,45.07,-0.00332263
09/01/2014,45.22,-0.001546791
08/01/2014,45.29,0.013112756
07/01/2014,44.7,0.00560854
06/01/2014,44.45,-0.0020227
03/01/2014,44.54,0.008341836
02/01/2014,44.17,-0.013045619
31/12/2013,44.75,0.006501536
30/12/2013,44.46,0.004056801
27/12/2013,44.28,-0.001579601
26/12/2013,44.35,-0.001802208
24/12/2013,44.43,0.007908752
23/12/2013,44.08,0.015086
20/12/2013,43.42,0.016955464
19/12/2013,42.69,0.003284846
18/12/2013,42.55,0.01443983
17/12/2013,41.94,0.004301082
16/12/2013,41.76,0.005522886
13/12/2013,41.53,-0.01053902
12/12/2013,41.97,-0.004279607
11/12/2013,42.15,-0.020197962
10/12/2013,43.01,-0.006950908
09/12/2013,43.31,-0.005755743
06/12/2013,43.56,0.028643244
05/12/2013,42.33,-0.002123895
04/12/2013,42.42,-0.005172831
03/12/2013,42.64,-0.002576416
02/12/2013,42.75,-0.012552466
29/11/2013,43.29,-0.00253778
27/11/2013,43.4,-0.002071586
26/11/2013,43.49,-0.008015616
25/11/2013,43.84,0.000684541
22/11/2013,43.81,-0.000456413
21/11/2013,43.83,0.024247811
20/11/2013,42.78,0.005860994
19/11/2013,42.53,-0.019096994
18/11/2013,43.35,-0.005979779
15/11/2013,43.61,0.004366317
14/11/2013,43.42,-0.000460511
13/11/2013,43.44,-0.001380262
12/11/2013,43.5,0.012491488
11/11/2013,42.96,0.001630752
08/11/2013,42.89,0.017166794
07/11/2013,42.16,-0.019030294
06/11/2013,42.97,0.007240485
05/11/2013,42.66,0.000938086
04/11/2013,42.62,0.001878817
01/11/2013,42.54,-0.00982464
31/10/2013,42.96,0.072640778
30/10/2013,39.95,-0.008722797
29/10/2013,40.3,0.022331878
28/10/2013,39.41,0.013796846
25/10/2013,38.87,-0.003082458
24/10/2013,38.99,0.001283203
23/10/2013,38.94,-0.039773679
22/10/2013,40.52,0.000493705
21/10/2013,40.5,0.004950505
18/10/2013,40.3,0.00273326
17/10/2013,40.19,0.006991289
16/10/2013,39.91,0.008808412
15/10/2013,39.56,-0.020763723
14/10/2013,40.39,0.007205895
11/10/2013,40.1,0.010277068
10/10/2013,39.69,0.022163689
09/10/2013,38.82,-0.00180157
08/10/2013,38.89,-0.015057066
07/10/2013,39.48,0.002282238
04/10/2013,39.39,-0.002788695
03/10/2013,39.5,-0.009824994
02/10/2013,39.89,-0.010225803
01/10/2013,40.3,0.00024817
30/09/2013,40.29,-0.00024817
27/09/2013,40.3,-0.007170262
26/09/2013,40.59,0.005930336
25/09/2013,40.35,-0.014516186
24/09/2013,40.94,0.015011971
23/09/2013,40.33,0.002234083
20/09/2013,40.24,-0.005205118
19/09/2013,40.45,0.00049456
18/09/2013,40.43,0.003717016
17/09/2013,40.28,0.005227143
16/09/2013,40.07,0.011798806
13/09/2013,39.6,0.003288229
12/09/2013,39.47,0.001013942
11/09/2013,39.43,0
10/09/2013,39.43,0.012504948
09/09/2013,38.94,0.001027749
06/09/2013,38.9,-0.005383938
05/09/2013,39.11,-0.011693067
04/09/2013,39.57,0.009649643
03/09/2013,39.19,0.009743667
30/08/2013,38.81,-0.005652636
29/08/2013,39.03,0.001281887
28/08/2013,38.98,0.011352031
27/08/2013,38.54,-0.016214485
26/08/2013,39.17,0.002300321
23/08/2013,39.08,0.000511902
22/08/2013,39.06,0.005648282
21/08/2013,38.84,-0.006927545
20/08/2013,39.11,0.004869931
19/08/2013,38.92,-0.015045547
16/08/2013,39.51,0.002534213
15/08/2013,39.41,-0.023571804
14/08/2013,40.35,-0.013049551
13/08/2013,40.88,0.002939738
12/08/2013,40.76,0.003686867
09/08/2013,40.61,-0.00589248
08/08/2013,40.85,-0.003909118
07/08/2013,41.01,-0.007288662
06/08/2013,41.31,-0.008916796
05/08/2013,41.68,0.004810014
02/08/2013,41.48,-0.005049909
01/08/2013,41.69,0.047903055
31/07/2013,39.74,0.012406793
30/07/2013,39.25,0.001019628
29/07/2013,39.21,-0.002038217
26/07/2013,39.29,-0.009877249
25/07/2013,39.68,0.005053068
24/07/2013,39.48,-0.013335208
23/07/2013,40.01,0.005765149
22/07/2013,39.78,-0.002259888
19/07/2013,39.87,-0.004005012
18/07/2013,40.03,0.00099975
17/07/2013,39.99,0.009547811
16/07/2013,39.61,0.006077507
15/07/2013,39.37,-0.001776425
12/07/2013,39.44,0.013272272
11/07/2013,38.92,0.023132935
10/07/2013,38.03,0.006066219
09/07/2013,37.8,0.009569451
08/07/2013,37.44,-0.020880896
05/07/2013,38.23,0.011311445
03/07/2013,37.8,0.009302393
02/07/2013,37.45,0.002138466
01/07/2013,37.37,0.003216299
28/06/2013,37.25,0.004304553
27/06/2013,37.09,0.003781744
26/06/2013,36.95,0.0037961
25/06/2013,36.81,0.013951806
24/06/2013,36.3,-0.012320484
21/06/2013,36.75,0.008471153
20/06/2013,36.44,-0.026270976
19/06/2013,37.41,-0.016700189
18/06/2013,38.04,0.012964859
17/06/2013,37.55,0.013674968
14/06/2013,37.04,-0.005653535
13/06/2013,37.25,0.024732882
12/06/2013,36.34,-0.011763232
11/06/2013,36.77,-0.00135888
10/06/2013,36.82,0.003264421
07/06/2013,36.7,0.013441431
06/06/2013,36.21,-0.006331749
05/06/2013,36.44,-0.017680319
04/06/2013,37.09,0.00676318
03/06/2013,36.84,0.009820046
31/05/2013,36.48,-0.020619287
30/05/2013,37.24,0.017608473
29/05/2013,36.59,0.004107907
28/05/2013,36.44,0.003298519
24/05/2013,36.32,-0.000550509
23/05/2013,36.34,0.000550509
22/05/2013,36.32,-0.009590428
21/05/2013,36.67,-0.000272665
20/05/2013,36.68,-0.010846093
17/05/2013,37.08,-0.013394253
16/05/2013,37.58,-0.001329611
15/05/2013,37.63,0.0061309
14/05/2013,37.4,0.00643779
13/05/2013,37.16,-0.001344628
10/05/2013,37.21,0.002960573
09/05/2013,37.1,-0.009656727
08/05/2013,37.46,0.008040783
07/05/2013,37.16,-0.006705134
06/05/2013,37.41,-0.00373533
03/05/2013,37.55,0.025351951
02/05/2013,36.61,0.014028562
01/05/2013,36.1,-0.008825209
30/04/2013,36.42,0.012710865
29/04/2013,35.96,0.010061572
26/04/2013,35.6,-0.019196583
25/04/2013,36.29,0.014991952
24/04/2013,35.75,0.009838449
23/04/2013,35.4,0.01968399
22/04/2013,34.71,0.010716974
19/04/2013,34.34,0.003208403
18/04/2013,34.23,-0.020243606
17/04/2013,34.93,-0.038471682
16/04/2013,36.3,0.01191645
15/04/2013,35.87,-0.012191894
12/04/2013,36.31,-0.01068357
11/04/2013,36.7,-0.001089325
10/04/2013,36.74,0.022571836
09/04/2013,35.92,0.006143555
08/04/2013,35.7,0.004491866
05/04/2013,35.54,-0.00337079
04/04/2013,35.66,0.008165609
03/04/2013,35.37,-0.020151815
02/04/2013,36.09,-0.004975135
01/04/2013,36.27,-0.013691342
28/03/2013,36.77,0.007370035
27/03/2013,36.5,-0.005736937
26/03/2013,36.71,0.013437745
25/03/2013,36.22,0.000552334
22/03/2013,36.2,0.013068447
21/03/2013,35.73,-0.017478597
20/03/2013,36.36,0.009117345
19/03/2013,36.03,0.000277585
18/03/2013,36.02,-0.007192285
15/03/2013,36.28,-0.012599455
14/03/2013,36.74,0.002998503
13/03/2013,36.63,-0.005445154
12/03/2013,36.83,-0.003252917
11/03/2013,36.95,0.002710029
08/03/2013,36.85,0.002445321
07/03/2013,36.76,-0.000543922
06/03/2013,36.78,-0.00379919
05/03/2013,36.92,0.015834347
04/03/2013,36.34,-0.003296706
01/03/2013,36.46,-0.000274236
28/02/2013,36.47,-0.007103855
27/02/2013,36.73,0.007926787
26/02/2013,36.44,0.009097237
25/02/2013,36.11,-0.020828377
22/02/2013,36.87,0.019997927
21/02/2013,36.14,-0.008541173
20/02/2013,36.45,-0.019022313
19/02/2013,37.15,0.00188603
15/02/2013,37.08,-0.006451635
14/02/2013,37.32,0.014847081
13/02/2013,36.77,0.004087756
12/02/2013,36.62,0.004927467
11/02/2013,36.44,0.001373061
08/02/2013,36.39,0.069699752
07/02/2013,33.94,-0.014914738
06/02/2013,34.45,0.006698729
05/02/2013,34.22,0.006449744
04/02/2013,34,-0.015178342
01/02/2013,34.52,0.03148708
31/01/2013,33.45,-0.009521048
30/01/2013,33.77,0.005642183
29/01/2013,33.58,-0.004160481
28/01/2013,33.72,0.012533736
25/01/2013,33.3,0.001803427
24/01/2013,33.24,0.002711253
23/01/2013,33.15,-0.002410366
22/01/2013,33.23,-0.008987478
18/01/2013,33.53,-0.002383081
17/01/2013,33.61,0.007466064
16/01/2013,33.36,0.010244139
15/01/2013,33.02,-0.002721913
14/01/2013,33.11,-0.014393052
11/01/2013,33.59,0.00119154
10/01/2013,33.55,0.018349139
09/01/2013,32.94,0.010989122
08/01/2013,32.58,-0.01794725
07/01/2013,33.17,-0.001205182
04/01/2013,33.21,-0.005704865
03/01/2013,33.4,-0.010424517
02/01/2013,33.75,0.034974924
31/12/2012,32.59,0.014837985
28/12/2012,32.11,-0.006518726
27/12/2012,32.32,-0.007398307
26/12/2012,32.56,0
24/12/2012,32.56,-0.000920952
21/12/2012,32.59,-0.001226618
20/12/2012,32.63,0.005223549
19/12/2012,32.46,0.004322328
18/12/2012,32.32,0.014334929
17/12/2012,31.86,0.006929162
14/12/2012,31.64,-0.003470582
13/12/2012,31.75,0.001576044
12/12/2012,31.7,0.00728197
11/12/2012,31.47,0.015370139
10/12/2012,30.99,0.004527821
07/12/2012,30.85,0.011082252
06/12/2012,30.51,0.019193177
05/12/2012,29.93,0.003682013
04/12/2012,29.82,-0.003013563
03/12/2012,29.91,-0.016907414
30/11/2012,30.42,0.008252234
29/11/2012,30.17,-0.002978655
28/11/2012,30.26,0.017333767
27/11/2012,29.74,0.001345895
26/11/2012,29.7,-0.009716947
23/11/2012,29.99,0.01952924
21/11/2012,29.41,-0.007115056
20/11/2012,29.62,-0.01074557
