Date,Close,RTN
04/04/2014,97.61,-0.024590159
03/04/2014,100.04,0.002301727
02/04/2014,99.81,0.006836259
01/04/2014,99.13,0.003435735
31/03/2014,98.79,0.001418153
28/03/2014,98.65,0.011315682
27/03/2014,97.54,0.004624167
26/03/2014,97.09,-0.009941153
25/03/2014,98.06,0.00747227
24/03/2014,97.33,-0.001745112
21/03/2014,97.5,-0.010914578
20/03/2014,98.57,-0.008284549
19/03/2014,99.39,-0.019133618
18/03/2014,101.31,0.003460724
17/03/2014,100.96,0.008654618
14/03/2014,100.09,0.012668579
13/03/2014,98.83,-0.009165598
12/03/2014,99.74,0.005932945
11/03/2014,99.15,-0.015809815
10/03/2014,100.73,-0.005346547
07/03/2014,101.27,0.007731997
06/03/2014,100.49,-0.00198827
05/03/2014,100.69,0.002983889
04/03/2014,100.39,0.022056385
03/03/2014,98.2,0.002957526
28/02/2014,97.91,0.00327366
27/02/2014,97.59,0.010403349
26/02/2014,96.58,-0.002068681
25/02/2014,96.78,-0.014769499
24/02/2014,98.22,0.016631119
21/02/2014,96.6,0.002591346
20/02/2014,96.35,0.012427709
19/02/2014,95.16,-0.007433422
18/02/2014,95.87,-0.000625652
14/02/2014,95.93,0.006693885
13/02/2014,95.29,-0.003979896
12/02/2014,95.67,0.01452963
11/02/2014,94.29,0.011305581
10/02/2014,93.23,-0.011093447
07/02/2014,94.27,0.007132622
06/02/2014,93.6,0.009122682
05/02/2014,92.75,0.019267999
04/02/2014,90.98,-0.016028256
03/02/2014,92.45,-0.027945505
31/01/2014,95.07,0.034021253
30/01/2014,91.89,0.036121809
29/01/2014,88.63,-0.00652274
28/01/2014,89.21,0.007312853
27/01/2014,88.56,0.004867291
24/01/2014,88.13,-0.033144807
23/01/2014,91.1,-0.014710154
22/01/2014,92.45,0.01000117
21/01/2014,91.53,0.016079642
17/01/2014,90.07,-0.00674968
16/01/2014,90.68,-0.005279379
15/01/2014,91.16,0.000219419
14/01/2014,91.14,0.013365196
13/01/2014,89.93,-0.008084656
10/01/2014,90.66,0.007306575
09/01/2014,90,0.01162284
08/01/2014,88.96,0.003039687
07/01/2014,88.69,-0.005173201
06/01/2014,89.15,0.003708494
03/01/2014,88.82,0.00045045
02/01/2014,88.78,-0.021395958
31/12/2013,90.7,0.002981286
30/12/2013,90.43,-0.004633724
27/12/2013,90.85,-0.002089176
26/12/2013,91.04,0.01594365
24/12/2013,89.6,0.005708225
23/12/2013,89.09,0.007888254
20/12/2013,88.39,-0.00113071
19/12/2013,88.49,-0.0027085
18/12/2013,88.73,0.022106643
17/12/2013,86.79,0.001845232
16/12/2013,86.63,0.002195644
13/12/2013,86.44,0.008481027
12/12/2013,85.71,0.003623404
11/12/2013,85.4,-0.018676954
10/12/2013,87.01,0.001840562
09/12/2013,86.85,0.001959316
