Date,Close,OXY
04/04/2014,94.55,-0.020517835
03/04/2014,96.51,0.005090127
02/04/2014,96.02,0.011732797
01/04/2014,94.9,-0.004101168
31/03/2014,95.29,-0.002724797
28/03/2014,95.55,0.009569451
27/03/2014,94.64,0.011691067
26/03/2014,93.54,-0.011796725
25/03/2014,94.65,0.008275031
24/03/2014,93.87,-0.00212834
21/03/2014,94.07,0.012192664
20/03/2014,92.93,-0.023502969
19/03/2014,95.14,-0.022038314
18/03/2014,97.26,0.004224415
17/03/2014,96.85,0.003413149
14/03/2014,96.52,0.007383177
13/03/2014,95.81,-0.006035398
12/03/2014,96.39,-0.000207469
11/03/2014,96.41,-0.008366521
10/03/2014,97.22,0.000926164
07/03/2014,97.13,0.008893544
06/03/2014,96.27,-0.006006646
05/03/2014,96.85,-0.003813062
04/03/2014,97.22,0.012107562
03/03/2014,96.05,-0.004881352
28/02/2014,96.52,0.010309906
27/02/2014,95.53,0.003460392
26/02/2014,95.2,-0.00649149
25/02/2014,95.82,-0.002605661
24/02/2014,96.07,0.007103341
21/02/2014,95.39,-0.000104827
20/02/2014,95.4,0.004833465
19/02/2014,94.94,-0.0140155
18/02/2014,96.28,0.005415552
14/02/2014,95.76,0.037126
13/02/2014,92.27,0.000867397
12/02/2014,92.19,0.006420393
11/02/2014,91.6,0.009984174
10/02/2014,90.69,0.001103266
07/02/2014,90.59,0.023567294
06/02/2014,88.48,0.013540629
05/02/2014,87.29,0.001719888
04/02/2014,87.14,-0.001146921
03/02/2014,87.24,-0.003775532
31/01/2014,87.57,-0.008301634
30/01/2014,88.3,0.005450842
29/01/2014,87.82,-0.005564086
28/01/2014,88.31,0.013911285
27/01/2014,87.09,-0.010394748
24/01/2014,88,-0.016007556
23/01/2014,89.42,-0.017075479
22/01/2014,90.96,0.010943568
21/01/2014,89.97,-0.006646751
17/01/2014,90.57,-0.013162414
16/01/2014,91.77,0.003383729
15/01/2014,91.46,-0.00925076
14/01/2014,92.31,0.008376443
13/01/2014,91.54,-0.024921728
10/01/2014,93.85,-0.010493498
09/01/2014,94.84,0.000527343
08/01/2014,94.79,-0.007985752
07/01/2014,95.55,0.018484815
06/01/2014,93.8,0.002989539
03/01/2014,93.52,-0.003522446
02/01/2014,93.85,-0.013231207
31/12/2013,95.1,0.005800174
30/12/2013,94.55,-0.003167901
27/12/2013,94.85,0.008682816
26/12/2013,94.03,0.005866371
24/12/2013,93.48,0.002677951
