Date,Close,WFM
04/04/2014,51.1,-0.022063988
03/04/2014,52.24,-0.007057731
02/04/2014,52.61,0.008398599
01/04/2014,52.17,0.028384487
31/03/2014,50.71,-0.008639363
28/03/2014,51.15,0.018150035
27/03/2014,50.23,-0.016388954
26/03/2014,51.06,-0.023229848
25/03/2014,52.26,-0.028112407
24/03/2014,53.75,-0.023716527
21/03/2014,55.04,0.013904359
20/03/2014,54.28,0.006283517
19/03/2014,53.94,-0.013076897
18/03/2014,54.65,0.002014837
17/03/2014,54.54,0.011247468
14/03/2014,53.93,0.001855977
13/03/2014,53.83,-0.030191663
12/03/2014,55.48,0.022235288
11/03/2014,54.26,0.007584904
10/03/2014,53.85,0.003348217
07/03/2014,53.67,-0.004090746
06/03/2014,53.89,-0.004997697
05/03/2014,54.16,-0.016662475
04/03/2014,55.07,0.028362859
03/03/2014,53.53,-0.0096673
28/02/2014,54.05,0.011162907
27/02/2014,53.45,0.002622707
26/02/2014,53.31,-0.004491866
25/02/2014,53.55,0.012590601
24/02/2014,52.88,0.002271868
21/02/2014,52.76,0.007801391
20/02/2014,52.35,0.00076438
19/02/2014,52.31,0.011729776
18/02/2014,51.7,-0.010582109
14/02/2014,52.25,0.015235084
13/02/2014,51.46,-0.074857233
12/02/2014,55.46,-0.007544494
11/02/2014,55.88,0.016600886
10/02/2014,54.96,0.014293811
07/02/2014,54.18,0.001847405
06/02/2014,54.08,0.02092752
05/02/2014,52.96,0.000944555
04/02/2014,52.91,0.012935314
03/02/2014,52.23,-0.000574218
31/01/2014,52.26,-0.003247686
30/01/2014,52.43,0.015763494
29/01/2014,51.61,-0.007528266
28/01/2014,52,0.019222027
27/01/2014,51.01,-0.01169376
24/01/2014,51.61,0.002133644
23/01/2014,51.5,-0.006773127
22/01/2014,51.85,-0.007684956
21/01/2014,52.25,-0.001147667
17/01/2014,52.31,-0.007807333
16/01/2014,52.72,-0.010941441
15/01/2014,53.3,-0.00896532
14/01/2014,53.78,0.024088481
13/01/2014,52.5,-0.001142205
10/01/2014,52.56,-0.01772628
09/01/2014,53.5,-0.008746683
08/01/2014,53.97,-0.020176767
07/01/2014,55.07,0.014080876
06/01/2014,54.3,-0.035992673
03/01/2014,56.29,-0.013761685
02/01/2014,57.07,-0.013229088
31/12/2013,57.83,0.00294398
30/12/2013,57.66,0.017142277
27/12/2013,56.68,-0.017489078
26/12/2013,57.68,-0.005360089
24/12/2013,57.99,0.000690012
23/12/2013,57.95,-0.022522706
20/12/2013,59.27,0.008812123
19/12/2013,58.75,0.020463271
18/12/2013,57.56,0.004352753
17/12/2013,57.31,0.021517585
16/12/2013,56.09,0.001427297
13/12/2013,56.01,0.001965866
12/12/2013,55.9,-0.004996442
11/12/2013,56.18,0.008401158
10/12/2013,55.71,0.000359066
09/12/2013,55.69,-0.010183205
06/12/2013,56.26,0.011620762
05/12/2013,55.61,-0.009841719
04/12/2013,56.16,-0.009393069
03/12/2013,56.69,-0.000705343
02/12/2013,56.73,0.002294186
29/11/2013,56.6,-0.008269599
27/11/2013,57.07,0.010569061
26/11/2013,56.47,0.006217268
25/11/2013,56.12,0.00303382
22/11/2013,55.95,-0.009428158
21/11/2013,56.48,0.011396135
20/11/2013,55.84,0.00215131
19/11/2013,55.72,-0.022536665
18/11/2013,56.99,-0.031946082
15/11/2013,58.84,-0.00728138
14/11/2013,59.27,0.003718733
13/11/2013,59.05,0.000847099
12/11/2013,59,0.020548668
11/11/2013,57.8,-0.012892314
08/11/2013,58.55,0.02227879
07/11/2013,57.26,-0.1185977
06/11/2013,64.47,0.012172435
05/11/2013,63.69,0.003302669
04/11/2013,63.48,0.002839567
01/11/2013,63.3,0.002689237
31/10/2013,63.13,-0.013061796
30/10/2013,63.96,-0.013819023
29/10/2013,64.85,0.000308452
28/10/2013,64.83,-0.006304319
25/10/2013,65.24,0.010013178
24/10/2013,64.59,0.006991406
23/10/2013,64.14,0.001716471
22/10/2013,64.03,0.002658536
21/10/2013,63.86,0.000156605
18/10/2013,63.85,0.007072721
17/10/2013,63.4,0.011740576
16/10/2013,62.66,0.018523522
15/10/2013,61.51,-0.006158853
14/10/2013,61.89,0.011538277
11/10/2013,61.18,0.022647468
10/10/2013,59.81,0.023514574
09/10/2013,58.42,-0.011403408
08/10/2013,59.09,-0.001014885
07/10/2013,59.15,-0.006739705
04/10/2013,59.55,0.011144999
03/10/2013,58.89,-0.011816478
02/10/2013,59.59,0.007918498
01/10/2013,59.12,0.010542522
30/09/2013,58.5,0.002910213
27/09/2013,58.33,-0.003081139
26/09/2013,58.51,0.003081139
25/09/2013,58.33,-0.003764549
24/09/2013,58.55,0.005308686
23/09/2013,58.24,0.00671895
20/09/2013,57.85,-0.011856828
19/09/2013,58.54,-0.013236236
18/09/2013,59.32,0.020092622
17/09/2013,58.14,0.007423426
16/09/2013,57.71,0.010451236
13/09/2013,57.11,0.013219546
12/09/2013,56.36,0.004802144
11/09/2013,56.09,0.010934948
10/09/2013,55.48,0.010327114
09/09/2013,54.91,0.007127874
06/09/2013,54.52,0.006071217
05/09/2013,54.19,0.007037066
04/09/2013,53.81,0.009335393
03/09/2013,53.31,0.010560158
30/08/2013,52.75,0.005322195
29/08/2013,52.47,0.019048195
28/08/2013,51.48,-0.007354397
27/08/2013,51.86,-0.010167953
26/08/2013,52.39,-0.009309462
23/08/2013,52.88,0.000378286
22/08/2013,52.86,0.012564414
21/08/2013,52.2,-0.004587164
20/08/2013,52.44,-0.002095438
19/08/2013,52.55,-0.007771814
16/08/2013,52.96,-0.016108234
15/08/2013,53.82,-0.014571871
14/08/2013,54.61,-0.016706399
13/08/2013,55.53,0.002343822
12/08/2013,55.4,-0.000360946
09/08/2013,55.42,-0.008623841
08/08/2013,55.9,0.008984786
07/08/2013,55.4,-0.012021316
06/08/2013,56.07,0.006082309
05/08/2013,55.73,0.015916415
02/08/2013,54.85,-0.005273219
01/08/2013,55.14,-0.007948019
31/07/2013,55.58,-0.000719424
30/07/2013,55.62,0.001979664
29/07/2013,55.51,-0.008252648
26/07/2013,55.97,0.015303206
25/07/2013,55.12,0.011495428
24/07/2013,54.49,-0.010587905
23/07/2013,55.07,-0.01621073
22/07/2013,55.97,0.000714924
19/07/2013,55.93,-0.005171657
18/07/2013,56.22,-0.000355682
17/07/2013,56.24,-0.002486238
16/07/2013,56.38,-0.005130484
15/07/2013,56.67,0.007794548
12/07/2013,56.23,0.008214332
11/07/2013,55.77,0.02010391
10/07/2013,54.66,-0.000914328
09/07/2013,54.71,0.015844104
08/07/2013,53.85,0.011580256
05/07/2013,53.23,0.003764356
03/07/2013,53.03,0.006621914
02/07/2013,52.68,0.011838977
01/07/2013,52.06,0.011203517
28/06/2013,51.48,-0.017140526
27/06/2013,52.37,-0.009313001
26/06/2013,52.86,0.017942837
25/06/2013,51.92,0.021217341
24/06/2013,50.83,-0.006080238
21/06/2013,51.14,0.00844384
20/06/2013,50.71,-0.023773528
19/06/2013,51.93,-0.015287896
18/06/2013,52.73,0.007996996
17/06/2013,52.31,0.017938566
14/06/2013,51.38,0.000584055
13/06/2013,51.35,0.012344626
12/06/2013,50.72,-0.010395308
11/06/2013,51.25,-0.015489177
10/06/2013,52.05,0.010428831
07/06/2013,51.51,0.012306045
06/06/2013,50.88,0.009081997
05/06/2013,50.42,-0.016132555
04/06/2013,51.24,-0.022004362
03/06/2013,52.38,0.009977059
31/05/2013,51.86,-0.024946547
30/05/2013,53.17,-0.684363181
29/05/2013,105.41,-0.002841988
28/05/2013,105.71,0.008645724
24/05/2013,104.8,0.002101443
23/05/2013,104.58,0.009897741
22/05/2013,103.55,-0.014572207
21/05/2013,105.07,0.012739026
20/05/2013,103.74,-0.000289143
17/05/2013,103.77,0.016812018
16/05/2013,102.04,-0.012562857
15/05/2013,103.33,0.006602607
14/05/2013,102.65,0.012646607
13/05/2013,101.36,0.004647722
10/05/2013,100.89,0.000198255
09/05/2013,100.87,-0.013001267
08/05/2013,102.19,0.096387186
07/05/2013,92.8,0.010834342
06/05/2013,91.8,0.003710579
03/05/2013,91.46,0.013096539
02/05/2013,90.27,0.013944116
01/05/2013,89.02,0.007894481
30/04/2013,88.32,0.002153585
29/04/2013,88.13,-0.005431721
26/04/2013,88.61,0.004071022
25/04/2013,88.25,-0.01059523
24/04/2013,89.19,0.004607526
23/04/2013,88.78,0.019104516
22/04/2013,87.1,0.011895965
19/04/2013,86.07,0.012392022
18/04/2013,85.01,-0.009716202
17/04/2013,85.84,-0.013652879
16/04/2013,87.02,0.005184642
15/04/2013,86.57,-0.016497109
12/04/2013,88.01,0.006726355
11/04/2013,87.42,0.012083696
10/04/2013,86.37,0.031640393
09/04/2013,83.68,-0.00071676
08/04/2013,83.74,0.008635218
05/04/2013,83.02,-0.001083489
04/04/2013,83.11,-0.001442828
03/04/2013,83.23,-0.015380333
02/04/2013,84.52,-0.009655085
01/04/2013,85.34,-0.016387141
28/03/2013,86.75,-0.005861749
27/03/2013,87.26,0.004479419
26/03/2013,86.87,0.006003944
25/03/2013,86.35,-0.01642488
22/03/2013,87.78,0.017467693
21/03/2013,86.26,-0.000347725
20/03/2013,86.29,0.008495832
19/03/2013,85.56,-0.010116954
18/03/2013,86.43,-0.007262698
15/03/2013,87.06,-0.017308562
14/03/2013,88.58,0.006455654
13/03/2013,88.01,0.025547995
12/03/2013,85.79,-0.002444847
11/03/2013,86,0.01169604
08/03/2013,85,-0.012044816
07/03/2013,86.03,0.006296663
06/03/2013,85.49,-0.002570095
05/03/2013,85.71,-0.003959018
04/03/2013,86.05,0.003026073
01/03/2013,85.79,0.001983549
28/02/2013,85.62,0.003744446
27/02/2013,85.3,0.01583396
26/02/2013,83.96,-0.006411039
25/02/2013,84.5,-0.015617061
22/02/2013,85.83,0.010541208
21/02/2013,84.93,-0.004229827
20/02/2013,85.29,-0.023980298
19/02/2013,87.36,-0.00866201
15/02/2013,88.12,0.007060729
14/02/2013,87.5,-0.102040726
13/02/2013,96.9,0.00818615
12/02/2013,96.11,0.001978858
11/02/2013,95.92,0.013962748
08/02/2013,94.59,0.004450103
07/02/2013,94.17,0.008638672
06/02/2013,93.36,-0.012136847
05/02/2013,94.5,0.002330756
04/02/2013,94.28,-0.020368158
01/02/2013,96.22,-0.000311737
31/01/2013,96.25,0.010443959
30/01/2013,95.25,-0.003876989
29/01/2013,95.62,-0.007397794
28/01/2013,96.33,0.007084101
25/01/2013,95.65,0.022199643
24/01/2013,93.55,0.004070271
23/01/2013,93.17,0.008082376
22/01/2013,92.42,0.020551663
18/01/2013,90.54,0.003318954
17/01/2013,90.24,0.008457651
16/01/2013,89.48,0.002013649
15/01/2013,89.3,0.001568979
14/01/2013,89.16,0.005623679
11/01/2013,88.66,0.002484473
10/01/2013,88.44,-0.005862475
09/01/2013,88.96,0.012214583
08/01/2013,87.88,-0.006012838
07/01/2013,88.41,-0.031289086
04/01/2013,91.22,-0.006120238
03/01/2013,91.78,-0.002068028
02/01/2013,91.97,0.008846233
31/12/2012,91.16,0.021735165
28/12/2012,89.2,-0.009928131
27/12/2012,90.09,-0.004098593
26/12/2012,90.46,-0.005951742
24/12/2012,91,-0.001976068
21/12/2012,91.18,-0.005686804
20/12/2012,91.7,0.005028982
19/12/2012,91.24,-0.005138027
18/12/2012,91.71,0.020601114
17/12/2012,89.84,0.014575883
14/12/2012,88.54,-0.007650802
13/12/2012,89.22,-0.015459353
12/12/2012,90.61,-0.012720865
11/12/2012,91.77,0.012169201
10/12/2012,90.66,0.000772414
07/12/2012,90.59,-0.006382064
06/12/2012,91.17,-0.018367087
05/12/2012,92.86,0.008543825
