Date,Close,BA
04/04/2014,127.38,-0.010930777
03/04/2014,128.78,0.003656311
02/04/2014,128.31,0.000779666
01/04/2014,128.21,0.02144347
31/03/2014,125.49,0.008241695
28/03/2014,124.46,0.010094163
27/03/2014,123.21,-0.002593825
26/03/2014,123.53,-0.003958801
25/03/2014,124.02,0.00484967
24/03/2014,123.42,0.006829295
21/03/2014,122.58,-0.009337894
20/03/2014,123.73,0.012115447
19/03/2014,122.24,-0.014617769
18/03/2014,124.04,-0.011064011
17/03/2014,125.42,0.01858984
14/03/2014,123.11,0.009959266
13/03/2014,121.89,-0.02062431
12/03/2014,124.43,-0.009916115
11/03/2014,125.67,-0.009661146
10/03/2014,126.89,-0.012919571
07/03/2014,128.54,-0.002486404
06/03/2014,128.86,0.000543373
05/03/2014,128.79,-0.011118947
04/03/2014,130.23,0.015554579
03/03/2014,128.22,-0.005444518
28/02/2014,128.92,0.002796336
27/02/2014,128.56,0.015284226
26/02/2014,126.61,-0.001341805
25/02/2014,126.78,-0.02192232
24/02/2014,129.59,0.010160246
21/02/2014,128.28,-0.009928719
20/02/2014,129.56,0.009071588
19/02/2014,128.39,-0.017296393
18/02/2014,130.63,0.003604437
14/02/2014,130.16,0.005083582
13/02/2014,129.5,0.010635508
12/02/2014,128.13,-0.015719089
11/02/2014,130.16,0.023318327
10/02/2014,127.16,0.001101582
07/02/2014,127.02,0.034846731
06/02/2014,122.67,0.010406944
05/02/2014,121.4,-0.005257981
04/02/2014,122.04,-0.008485691
03/02/2014,123.08,-0.017557027
31/01/2014,125.26,-0.010087857
30/01/2014,126.53,-0.025361275
29/01/2014,129.78,-0.054796935
28/01/2014,137.09,-0.001967572
27/01/2014,137.36,0.005182304
24/01/2014,136.65,-0.033533146
23/01/2014,141.31,-0.02142339
22/01/2014,144.37,0.018879039
21/01/2014,141.67,0.008577659
17/01/2014,140.46,0.001781452
16/01/2014,140.21,-0.002919918
15/01/2014,140.62,0.004347368
14/01/2014,140.01,-0.004916115
13/01/2014,140.7,-0.00849262
10/01/2014,141.9,-0.001619548
09/01/2014,142.13,0.009259653
08/01/2014,140.82,0.002203818
07/01/2014,140.51,0.015058366
06/01/2014,138.41,0.005724031
03/01/2014,137.62,0.006927003
02/01/2014,136.67,0.001317909
31/12/2013,136.49,0.004184875
30/12/2013,135.92,-0.007184255
27/12/2013,136.9,-0.009957563
26/12/2013,138.27,0.010469016
24/12/2013,136.83,0.003147534
23/12/2013,136.4,-0.001977516
20/12/2013,136.67,0.011036015
19/12/2013,135.17,-0.002364591
18/12/2013,135.49,-0.002874306
17/12/2013,135.88,0.008573593
16/12/2013,134.72,0.006628213
13/12/2013,133.83,0.006522007
12/12/2013,132.96,0.003012958
11/12/2013,132.56,-0.008563111
10/12/2013,133.7,-0.00730311
09/12/2013,134.68,-0.003705629
06/12/2013,135.18,0.018290234
05/12/2013,132.73,0.009310138
04/12/2013,131.5,-0.003795071
03/12/2013,132,-0.016231195
02/12/2013,134.16,-0.000670616
29/11/2013,134.25,-0.003494817
27/11/2013,134.72,-0.000445269
26/11/2013,134.78,0.013294691
25/11/2013,133,-0.022085145
22/11/2013,135.97,0.022611599
21/11/2013,132.93,0.003617458
20/11/2013,132.45,-0.033629714
19/11/2013,136.98,-0.010024054
18/11/2013,138.36,0.016616036
15/11/2013,136.08,0.007301725
14/11/2013,135.09,0.014314715
13/11/2013,133.17,0.006327705
12/11/2013,132.33,-0.001510232
11/11/2013,132.53,-0.007217534
08/11/2013,133.49,0.014943674
07/11/2013,131.51,-0.011942697
06/11/2013,133.09,-0.003600094
05/11/2013,133.57,0.005856752
04/11/2013,132.79,-0.001805734
01/11/2013,133.03,0.01920144
31/10/2013,130.5,0.006303349
30/10/2013,129.68,0.000154238
29/10/2013,129.66,-0.001695307
28/10/2013,129.88,-0.010035707
25/10/2013,131.19,0.016989301
24/10/2013,128.98,-0.000310078
23/10/2013,129.02,0.05201968
22/10/2013,122.48,0.008280433
21/10/2013,121.47,-0.008606963
18/10/2013,122.52,0.001879009
17/10/2013,122.29,0.016074203
16/10/2013,120.34,0.018112184
15/10/2013,118.18,-0.010772701
14/10/2013,119.46,0.012466469
11/10/2013,117.98,-0.007767685
10/10/2013,118.9,0.037970024
09/10/2013,114.47,-0.008438135
08/10/2013,115.44,-0.010769931
07/10/2013,116.69,-0.004361031
04/10/2013,117.2,0.016864967
03/10/2013,115.24,-0.022310862
02/10/2013,117.84,0.000764039
