Date,Close,SNA
04/04/2014,111.8,-0.017730961
03/04/2014,113.8,0.002287324
02/04/2014,113.54,-0.003604558
01/04/2014,113.95,0.004133146
31/03/2014,113.48,0.011343617
28/03/2014,112.2,0.016263443
27/03/2014,110.39,-0.005870947
26/03/2014,111.04,-0.017320315
25/03/2014,112.98,0.022195291
24/03/2014,110.5,-0.017759907
21/03/2014,112.48,0.00026675
20/03/2014,112.45,0.003028146
19/03/2014,112.11,-0.005869814
18/03/2014,112.77,0.009712707
17/03/2014,111.68,0.005567043
14/03/2014,111.06,0.008045968
13/03/2014,110.17,-0.016027716
12/03/2014,111.95,-0.005789373
11/03/2014,112.6,-0.005226107
10/03/2014,113.19,-0.008708328
07/03/2014,114.18,0.006678408
06/03/2014,113.42,0.005038239
05/03/2014,112.85,-0.000442968
04/03/2014,112.9,0.01202955
03/03/2014,111.55,-0.005542657
28/02/2014,112.17,0.009674894
27/02/2014,111.09,0.012773648
26/02/2014,109.68,0.010632547
25/02/2014,108.52,-0.006887396
24/02/2014,109.27,0.004586322
21/02/2014,108.77,-0.002020574
20/02/2014,108.99,0.005151331
19/02/2014,108.43,-0.00899749
18/02/2014,109.41,-0.001461321
14/02/2014,109.57,0.001278539
13/02/2014,109.43,0.003845454
12/02/2014,109.01,-0.001283462
11/02/2014,109.15,0.013373499
10/02/2014,107.7,-0.008874157
07/02/2014,108.66,0.033026062
06/02/2014,105.13,0.074730106
05/02/2014,97.56,-0.005315899
04/02/2014,98.08,0.008704166
03/02/2014,97.23,-0.029589756
31/01/2014,100.15,-0.005774608
30/01/2014,100.73,0.006573729
29/01/2014,100.07,-0.002594812
28/01/2014,100.33,0.009111452
27/01/2014,99.42,-0.00591688
24/01/2014,100.01,-0.037292124
23/01/2014,103.81,-0.016053856
22/01/2014,105.49,-0.004728588
21/01/2014,105.99,-0.015726244
17/01/2014,107.67,-0.002133878
16/01/2014,107.9,-0.000741153
15/01/2014,107.98,0.000648478
14/01/2014,107.91,0.017952796
13/01/2014,105.99,-0.014425128
10/01/2014,107.53,0.000279031
09/01/2014,107.5,-0.002415685
08/01/2014,107.76,-0.001112966
07/01/2014,107.88,0.002320079
06/01/2014,107.63,-0.0104442
03/01/2014,108.76,0.001932723
02/01/2014,108.55,-0.008896285
31/12/2013,109.52,0.007147469
30/12/2013,108.74,0.004331604
27/12/2013,108.27,-0.005618251
26/12/2013,108.88,0.003496185
24/12/2013,108.5,0.005267304
23/12/2013,107.93,0.009682601
20/12/2013,106.89,0.003279767
19/12/2013,106.54,-0.008318971
18/12/2013,107.43,0.022974365
17/12/2013,104.99,0.00295703
16/12/2013,104.68,0.008538451
13/12/2013,103.79,0.005797678
12/12/2013,103.19,-0.002419785
11/12/2013,103.44,-0.020571935
10/12/2013,105.59,-0.005854597
09/12/2013,106.21,0.002356602
06/12/2013,105.96,0.018382345
05/12/2013,104.03,-0.004699122
04/12/2013,104.52,-0.008384195
03/12/2013,105.4,0.001234158
02/12/2013,105.27,-0.00832471
29/11/2013,106.15,0.001036807
27/11/2013,106.04,-0.00291916
26/11/2013,106.35,-0.000657988
