Date,Close,CSC
04/04/2014,60.82,-0.009165367
03/04/2014,61.38,-0.006819315
02/04/2014,61.8,0.00486619
01/04/2014,61.5,0.011118493
31/03/2014,60.82,0.00875243
28/03/2014,60.29,0.003156411
27/03/2014,60.1,-0.011908841
26/03/2014,60.82,-0.017924547
25/03/2014,61.92,-0.003546675
24/03/2014,62.14,-0.016281285
21/03/2014,63.16,-0.003003717
20/03/2014,63.35,0.001737894
19/03/2014,63.24,0.000316306
18/03/2014,63.22,0.013696663
17/03/2014,62.36,0.010154008
14/03/2014,61.73,0.006337878
13/03/2014,61.34,-0.008926457
12/03/2014,61.89,-0.004674789
11/03/2014,62.18,0.002415266
10/03/2014,62.03,-0.014881465
07/03/2014,62.96,0.006053866
06/03/2014,62.58,0.000479501
05/03/2014,62.55,-0.007168489
04/03/2014,63,0.012779727
03/03/2014,62.2,-0.015949301
28/02/2014,63.2,-0.001106982
27/02/2014,63.27,-0.005359408
26/02/2014,63.61,0.004885362
25/02/2014,63.3,-0.001578532
24/02/2014,63.4,0.019108862
21/02/2014,62.2,-0.002408672
20/02/2014,62.35,-0.00304268
19/02/2014,62.54,-0.005421796
18/02/2014,62.88,0.018620121
14/02/2014,61.72,-0.009513899
13/02/2014,62.31,0.013898091
12/02/2014,61.45,0.002117782
11/02/2014,61.32,0.01743752
10/02/2014,60.26,0.003324471
07/02/2014,60.06,0.028370697
06/02/2014,58.38,0.008083284
05/02/2014,57.91,-0.010136673
04/02/2014,58.5,-0.001537279
03/02/2014,58.59,-0.030590621
31/01/2014,60.41,0.090916601
30/01/2014,55.16,0.02051354
29/01/2014,54.04,0.00668402
28/01/2014,53.68,0.005229747
27/01/2014,53.4,-0.016160842
24/01/2014,54.27,-0.029413885
23/01/2014,55.89,-0.021593759
22/01/2014,57.11,0.027695717
21/01/2014,55.55,0.001801802
17/01/2014,55.45,-0.011654099
16/01/2014,56.1,-0.001780944
15/01/2014,56.2,0.006247231
14/01/2014,55.85,0.019892157
13/01/2014,54.75,-0.01971309
10/01/2014,55.84,-0.005714301
09/01/2014,56.16,0.006968669
08/01/2014,55.77,0.002154013
07/01/2014,55.65,0.00161856
06/01/2014,55.56,-0.005743017
03/01/2014,55.88,0.005203205
02/01/2014,55.59,-0.005203205
31/12/2013,55.88,0.000895175
30/12/2013,55.83,0.003588735
27/12/2013,55.63,0.001439108
26/12/2013,55.55,0.000360101
24/12/2013,55.53,0.011045834
23/12/2013,54.92,0.001457726
20/12/2013,54.84,0.008975241
19/12/2013,54.35,0.016697976
18/12/2013,53.45,0.008266062
17/12/2013,53.01,-0.000188626
16/12/2013,53.02,0.013290494
13/12/2013,52.32,-0.00057323
12/12/2013,52.35,-0.01064042
11/12/2013,52.91,-0.006405448
10/12/2013,53.25,-0.001688714
09/12/2013,53.34,-0.013962807
06/12/2013,54.09,0.020546109
05/12/2013,52.99,-0.011632401
04/12/2013,53.61,0.018639342
03/12/2013,52.62,-0.002277905
02/12/2013,52.74,0.002277905
29/11/2013,52.62,-0.001708915
27/11/2013,52.71,0.000759157
26/11/2013,52.67,-0.003411679
25/11/2013,52.85,-0.007727868
22/11/2013,53.26,-0.011016823
21/11/2013,53.85,0.013272463
20/11/2013,53.14,-0.007685857
19/11/2013,53.55,-0.001119821
18/11/2013,53.61,0.000373134
15/11/2013,53.59,0.005801457
14/11/2013,53.28,0.007535831
13/11/2013,52.88,0.019863143
12/11/2013,51.84,0.012617852
11/11/2013,51.19,0.003130505
08/11/2013,51.03,0.014011083
07/11/2013,50.32,-0.017141588
06/11/2013,51.19,0.008632583
05/11/2013,50.75,0.00672205
04/11/2013,50.41,0.000396825
01/11/2013,50.39,0.02268035
31/10/2013,49.26,-0.04640928
30/10/2013,51.6,-0.00752972
29/10/2013,51.99,0.005013508
28/10/2013,51.73,-0.001738291
25/10/2013,51.82,0.000965344
24/10/2013,51.77,-0.007888449
23/10/2013,52.18,-0.017289307
22/10/2013,53.09,0.002451675
21/10/2013,52.96,0.007771814
18/10/2013,52.55,-0.008526816
17/10/2013,53,0.012148973
16/10/2013,52.36,0.009402353
15/10/2013,51.87,-0.00519182
14/10/2013,52.14,-0.000191773
11/10/2013,52.15,0.013902522
10/10/2013,51.43,0.033412221
09/10/2013,49.74,-0.004613387
08/10/2013,49.97,-0.017850533
07/10/2013,50.87,-0.020430714
04/10/2013,51.92,0.007151862
03/10/2013,51.55,-0.011571971
02/10/2013,52.15,0.003072789
01/10/2013,51.99,0.004820216
30/09/2013,51.74,-0.005397083
27/09/2013,52.02,0.004045079
26/09/2013,51.81,0.001158749
25/09/2013,51.75,-0.002894358
24/09/2013,51.9,0.00212171
23/09/2013,51.79,-0.004238927
20/09/2013,52.01,-0.013938173
19/09/2013,52.74,-0.010937314
18/09/2013,53.32,0.00583092
17/09/2013,53.01,0.006814336
16/09/2013,52.65,0.019757044
13/09/2013,51.62,0.003493114
12/09/2013,51.44,-0.016580291
11/09/2013,52.3,0.028116249
10/09/2013,50.85,0.000786937
09/09/2013,50.81,0.006317889
06/09/2013,50.49,-0.003361348
05/09/2013,50.66,-0.003153333
04/09/2013,50.82,0.007109035
03/09/2013,50.46,0.006162429
30/08/2013,50.15,-0.003980105
29/08/2013,50.35,0.006775634
28/08/2013,50.01,-0.002396646
27/08/2013,50.13,-0.023655745
26/08/2013,51.33,-0.003888786
23/08/2013,51.53,-0.001163693
22/08/2013,51.59,0.017007545
21/08/2013,50.72,-0.026844639
20/08/2013,52.1,0.020947236
19/08/2013,51.02,-0.010334498
16/08/2013,51.55,0.004861458
15/08/2013,51.3,-0.017583295
14/08/2013,52.21,-0.001148545
13/08/2013,52.27,0.002681994
12/08/2013,52.13,0.000959601
09/08/2013,52.08,-0.001343184
08/08/2013,52.15,-0.038556727
07/08/2013,54.2,0.081458223
06/08/2013,49.96,-0.004593118
05/08/2013,50.19,0.016067829
02/08/2013,49.39,0.003041673
01/08/2013,49.24,0.03261383
31/07/2013,47.66,0.003362761
30/07/2013,47.5,0.003796672
29/07/2013,47.32,-0.00925543
26/07/2013,47.76,-0.003344485
25/07/2013,47.92,0.008171863
24/07/2013,47.53,0.001263158
23/07/2013,47.47,-0.001683856
22/07/2013,47.55,0.003370553
19/07/2013,47.39,0.010606803
18/07/2013,46.89,0.004274424
17/07/2013,46.69,-0.001925752
16/07/2013,46.78,-0.018216983
15/07/2013,47.64,-0.003143668
12/07/2013,47.79,0.001885015
11/07/2013,47.7,0.006520162
10/07/2013,47.39,0.002323863
09/07/2013,47.28,0.00466399
08/07/2013,47.06,0.012831656
05/07/2013,46.46,0.019122704
03/07/2013,45.58,0.023755141
02/07/2013,44.51,-0.002019976
01/07/2013,44.6,0.018785208
28/06/2013,43.77,-0.020577323
27/06/2013,44.68,0.014427662
26/06/2013,44.04,0.007063946
25/06/2013,43.73,0.015672135
24/06/2013,43.05,-0.029750478
21/06/2013,44.35,-0.000225454
20/06/2013,44.36,-0.027350232
19/06/2013,45.59,-0.002191061
18/06/2013,45.69,0.010782369
17/06/2013,45.2,0.007550558
14/06/2013,44.86,0.00558848
13/06/2013,44.61,0.010365122
12/06/2013,44.15,-0.02173268
11/06/2013,45.12,-0.020836372
10/06/2013,46.07,-0.01443835
07/06/2013,46.74,0.028647792
06/06/2013,45.42,0.015979035
05/06/2013,44.7,-0.002680967
04/06/2013,44.82,0.002680967
03/06/2013,44.7,0.002015452
31/05/2013,44.61,0.006522007
30/05/2013,44.32,0.017526339
29/05/2013,43.55,0.008069208
28/05/2013,43.2,-0.001387925
24/05/2013,43.26,-0.009203931
23/05/2013,43.66,0.004591376
22/05/2013,43.46,-0.019143702
21/05/2013,44.3,-0.00786963
20/05/2013,44.65,0.001120448
17/05/2013,44.6,0.046114375
16/05/2013,42.59,-0.048577706
15/05/2013,44.71,-0.101573439
14/05/2013,49.49,0.014245255
13/05/2013,48.79,-0.010195847
10/05/2013,49.29,0.009376343
09/05/2013,48.83,0.002665848
08/05/2013,48.7,0.014478019
07/05/2013,48,0.003547953
06/05/2013,47.83,0.011565685
03/05/2013,47.28,0.011059236
02/05/2013,46.76,0.018780908
01/05/2013,45.89,-0.02070378
30/04/2013,46.85,0.01029831
29/04/2013,46.37,0.016744982
26/04/2013,45.6,-0.001533911
25/04/2013,45.67,0.005929522
24/04/2013,45.4,0.004193804
23/04/2013,45.21,0.020107916
22/04/2013,44.31,0.001807093
19/04/2013,44.23,-0.005186617
18/04/2013,44.46,-0.011405692
17/04/2013,44.97,-0.031303858
16/04/2013,46.4,0.025317808
15/04/2013,45.24,-0.031548358
12/04/2013,46.69,-0.038239953
11/04/2013,48.51,-0.002059309
10/04/2013,48.61,0.02057643
09/04/2013,47.62,-0.001259182
08/04/2013,47.68,0.008847751
05/04/2013,47.26,-0.012406846
04/04/2013,47.85,0.000627156
03/04/2013,47.82,-0.009573434
02/04/2013,48.28,-0.004546402
01/04/2013,48.5,-0.014939396
28/03/2013,49.23,0.005908136
27/03/2013,48.94,-0.003263977
26/03/2013,49.1,0.011676871
25/03/2013,48.53,0.001443448
22/03/2013,48.46,-0.000618876
21/03/2013,48.49,-0.012501444
20/03/2013,49.1,0.019745602
19/03/2013,48.14,-0.003732121
18/03/2013,48.32,-0.00536637
15/03/2013,48.58,-0.024401373
14/03/2013,49.78,0.007865322
13/03/2013,49.39,-0.012075011
12/03/2013,49.99,-0.010150351
11/03/2013,50.5,0.014761888
08/03/2013,49.76,-0.001807048
07/03/2013,49.85,0.010080731
06/03/2013,49.35,-0.005053068
05/03/2013,49.6,0.026766334
04/03/2013,48.29,0.00041425
01/03/2013,48.27,0.004984434
28/02/2013,48.03,-0.003118182
27/02/2013,48.18,0.013372535
26/02/2013,47.54,0.022764519
25/02/2013,46.47,-0.025285529
22/02/2013,47.66,0.011819471
