Date,Close,ALTR
04/04/2014,34.91,-0.041795454
03/04/2014,36.4,0.008275909
02/04/2014,36.1,-0.009099746
01/04/2014,36.43,0.00522913
31/03/2014,36.24,0.022040228
28/03/2014,35.45,-0.005064727
27/03/2014,35.63,-0.007827829
26/03/2014,35.91,-0.014376803
25/03/2014,36.43,0.018562661
24/03/2014,35.76,-0.016364254
21/03/2014,36.35,-0.018804206
20/03/2014,37.04,0.028757288
19/03/2014,35.99,0.000833912
18/03/2014,35.96,0.012592863
17/03/2014,35.51,0.006214709
14/03/2014,35.29,-0.006214709
13/03/2014,35.51,-0.013704592
12/03/2014,36,0.000833681
11/03/2014,35.97,-0.012981815
10/03/2014,36.44,-0.002466768
07/03/2014,36.53,0.00659162
06/03/2014,36.29,-0.003301241
05/03/2014,36.41,-0.005204778
04/03/2014,36.6,0.021541844
03/03/2014,35.82,-0.013586789
28/02/2014,36.31,0.001653804
27/02/2014,36.25,0.003039096
26/02/2014,36.14,0.00666299
25/02/2014,35.9,-0.000278513
24/02/2014,35.91,0.005865119
21/02/2014,35.7,0.001401542
20/02/2014,35.65,-0.002801122
19/02/2014,35.75,0.024350014
18/02/2014,34.89,0.003732955
14/02/2014,34.76,0.000863434
13/02/2014,34.73,0.000287977
12/02/2014,34.72,0.009550065
11/02/2014,34.39,0.014055868
10/02/2014,33.91,0.006508899
07/02/2014,33.69,0.018272187
06/02/2014,33.08,0.022624016
05/02/2014,32.34,-0.00524288
04/02/2014,32.51,-0.000615006
03/02/2014,32.53,-0.02729096
31/01/2014,33.43,-0.003285056
30/01/2014,33.54,0.017140699
29/01/2014,32.97,0.018984036
28/01/2014,32.35,0.014635167
27/01/2014,31.88,-0.007500035
24/01/2014,32.12,-0.024905207
23/01/2014,32.93,-0.011773721
22/01/2014,33.32,0.007833725
21/01/2014,33.06,0.02016567
17/01/2014,32.4,0.01242252
16/01/2014,32,-0.00778214
15/01/2014,32.25,0.013737337
14/01/2014,31.81,0.013609958
13/01/2014,31.38,-0.002863964
10/01/2014,31.47,0.000317813
09/01/2014,31.46,-0.010120263
08/01/2014,31.78,-0.011264199
07/01/2014,32.14,0.004990653
06/01/2014,31.98,-0.005923634
03/01/2014,32.17,0.004673634
02/01/2014,32.02,-0.015187027
31/12/2013,32.51,0.002155505
30/12/2013,32.44,0.001542496
27/12/2013,32.39,0.006504592
26/12/2013,32.18,0.002489111
24/12/2013,32.1,0.003745323
23/12/2013,31.98,0.015123162
20/12/2013,31.5,0.007648221
19/12/2013,31.26,-0.018384036
18/12/2013,31.84,0.008199352
17/12/2013,31.58,0.014994698
16/12/2013,31.11,0.009041069
13/12/2013,30.83,-0.008397982
12/12/2013,31.09,-0.000321595
11/12/2013,31.1,-0.009918494
10/12/2013,31.41,-0.013911068
09/12/2013,31.85,-0.008441507
06/12/2013,32.12,0.008127585
05/12/2013,31.86,-0.003446659
04/12/2013,31.97,0.002819109
03/12/2013,31.88,-0.005318329
02/12/2013,32.05,-0.00622086
29/11/2013,32.25,-0.008337241
27/11/2013,32.52,0.01331083
26/11/2013,32.09,-0.004663463
25/11/2013,32.24,-0.003096937
22/11/2013,32.34,0.0102565
