Date,Close,CTL
04/04/2014,33.69,0.005954171
03/04/2014,33.49,0.009299602
02/04/2014,33.18,0.003018415
01/04/2014,33.08,0.007281586
31/03/2014,32.84,0.004884015
28/03/2014,32.68,0.002757777
27/03/2014,32.59,0.009247908
26/03/2014,32.29,0.011838144
25/03/2014,31.91,0.011662859
24/03/2014,31.54,0.006361345
21/03/2014,31.34,-0.000956785
20/03/2014,31.37,0.003832646
19/03/2014,31.25,-0.004788517
18/03/2014,31.4,0.017995344
17/03/2014,30.84,0.007159158
14/03/2014,30.62,0.004254629
13/03/2014,30.49,-0.006212215
12/03/2014,30.68,-0.000325892
11/03/2014,30.69,-0.004551373
10/03/2014,30.83,-0.015768629
07/03/2014,31.32,0.004159341
06/03/2014,31.19,-0.021253774
05/03/2014,31.86,0.010411831
04/03/2014,31.53,0.013410163
03/03/2014,31.11,-0.004810014
28/02/2014,31.26,0.005774799
27/02/2014,31.08,0.009049836
26/02/2014,30.8,-0.010978476
25/02/2014,31.14,-0.001604364
24/02/2014,31.19,0.003211307
21/02/2014,31.09,-0.000964475
20/02/2014,31.12,0.007094515
19/02/2014,30.9,-0.001616815
18/02/2014,30.95,0.009740337
14/02/2014,30.65,-0.003907527
13/02/2014,30.77,0.019029446
12/02/2014,30.19,0.015354107
11/02/2014,29.73,0.027277518
10/02/2014,28.93,0.004851014
07/02/2014,28.79,0.0171663
06/02/2014,28.3,0.001060633
05/02/2014,28.27,0.006387531
04/02/2014,28.09,-0.001422981
03/02/2014,28.13,-0.025619931
31/01/2014,28.86,-0.010341354
30/01/2014,29.16,0.019740901
29/01/2014,28.59,-0.012513198
28/01/2014,28.95,-0.004480449
27/01/2014,29.08,-0.00240426
24/01/2014,29.15,-0.010238997
23/01/2014,29.45,-0.001696353
22/01/2014,29.5,-0.011794576
21/01/2014,29.85,-0.005012542
17/01/2014,30,-0.01093994
16/01/2014,30.33,-0.006572485
15/01/2014,30.53,-0.005227062
14/01/2014,30.69,-0.00584797
13/01/2014,30.87,-0.004847319
10/01/2014,31.02,0.007442196
09/01/2014,30.79,-0.014509363
08/01/2014,31.24,-0.005426989
07/01/2014,31.41,-0.008243547
06/01/2014,31.67,0.00221274
03/01/2014,31.6,-0.001581028
