Date,Close,EOG
04/04/2014,99.77,-0.008781615
03/04/2014,100.65,0.015418808
02/04/2014,99.11,0.001312535
01/04/2014,98.98,-0.684063821
31/03/2014,196.17,-0.005033952
28/03/2014,197.16,0.018944809
27/03/2014,193.46,0.006950596
26/03/2014,192.12,0.0028669
25/03/2014,191.57,0.010336687
24/03/2014,189.6,-0.010702022
21/03/2014,191.64,0.006859204
20/03/2014,190.33,0.014820575
19/03/2014,187.53,-0.008654385
18/03/2014,189.16,0.01025541
17/03/2014,187.23,0.006752437
14/03/2014,185.97,0.016591142
13/03/2014,182.91,-0.012064052
12/03/2014,185.13,-0.002535539
11/03/2014,185.6,-0.01841771
10/03/2014,189.05,-0.004591401
07/03/2014,189.92,-0.005984584
06/03/2014,191.06,0.002987815
05/03/2014,190.49,-0.005601376
04/03/2014,191.56,0.011920845
03/03/2014,189.29,-0.000686541
28/02/2014,189.42,0.010347939
27/02/2014,187.47,0.005509361
26/02/2014,186.44,0.013173714
25/02/2014,184,0.01975915
24/02/2014,180.4,0.013393057
21/02/2014,178,-0.011339953
20/02/2014,180.03,0.006520127
19/02/2014,178.86,-0.005908931
18/02/2014,179.92,0.016588589
14/02/2014,176.96,0.00845563
13/02/2014,175.47,0.00205374
12/02/2014,175.11,0.002172423
11/02/2014,174.73,0.003037861
10/02/2014,174.2,-0.013116812
07/02/2014,176.5,0.018585238
06/02/2014,173.25,0.03381199
05/02/2014,167.49,-0.006486767
04/02/2014,168.58,0.041420307
03/02/2014,161.74,-0.021408855
31/01/2014,165.24,-0.005371652
30/01/2014,166.13,0.008948606
29/01/2014,164.65,-0.015488302
28/01/2014,167.22,0.031096882
27/01/2014,162.1,-0.020939019
24/01/2014,165.53,-0.021751679
23/01/2014,169.17,-0.014961117
22/01/2014,171.72,0.014606507
21/01/2014,169.23,0.001596736
17/01/2014,168.96,-0.006724499
16/01/2014,170.1,-0.001527346
15/01/2014,170.36,0.010384799
14/01/2014,168.6,0.030960733
13/01/2014,163.46,-0.020287128
10/01/2014,166.81,-0.001138372
09/01/2014,167,0.001318234
08/01/2014,166.78,-0.000419627
07/01/2014,166.85,0.017106834
06/01/2014,164.02,-0.003286874
03/01/2014,164.56,-0.002791433
02/01/2014,165.02,-0.016944466
31/12/2013,167.84,0.002923717
30/12/2013,167.35,-0.010757585
27/12/2013,169.16,0.006761993
26/12/2013,168.02,-0.001427382
24/12/2013,168.26,0.003810889
23/12/2013,167.62,-0.005354924
20/12/2013,168.52,0.019110961
19/12/2013,165.33,0.020347141
18/12/2013,162,0.014612416
17/12/2013,159.65,-0.000563574
16/12/2013,159.74,0.004517513
13/12/2013,159.02,0.004159058
12/12/2013,158.36,0.013349636
11/12/2013,156.26,-0.019330703
10/12/2013,159.31,0.007371273
09/12/2013,158.14,-0.011943067
06/12/2013,160.04,-0.032822072
05/12/2013,165.38,-0.010526096
04/12/2013,167.13,0.009921611
03/12/2013,165.48,0.002904868
02/12/2013,165,0
29/11/2013,165,-0.008629327
27/11/2013,166.43,-0.016506647
26/11/2013,169.2,5.91034E-05
25/11/2013,169.19,-0.005658057
22/11/2013,170.15,0.004949047
21/11/2013,169.31,0.014216698
20/11/2013,166.92,-0.005794347
19/11/2013,167.89,-0.003745434
18/11/2013,168.52,-0.016828876
15/11/2013,171.38,0.010027939
14/11/2013,169.67,0.001238463
13/11/2013,169.46,0.014024475
12/11/2013,167.1,-0.025699243
11/11/2013,171.45,0.002862068
08/11/2013,170.96,-0.003620019
07/11/2013,171.58,-0.029064133
06/11/2013,176.64,-0.017341962
05/11/2013,179.73,-0.020540935
04/11/2013,183.46,0.024722592
01/11/2013,178.98,0.003245848
31/10/2013,178.4,-0.010760286
30/10/2013,180.33,-0.025999658
29/10/2013,185.08,0.014476443
28/10/2013,182.42,-0.005575918
25/10/2013,183.44,0.011017734
24/10/2013,181.43,0.016617494
23/10/2013,178.44,-0.036913897
22/10/2013,185.15,0.00449293
21/10/2013,184.32,0.002879576
18/10/2013,183.79,0.013144392
17/10/2013,181.39,-0.004949416
16/10/2013,182.29,0.012808655
15/10/2013,179.97,-0.006038298
14/10/2013,181.06,0.01149853
11/10/2013,178.99,0.023344285
10/10/2013,174.86,0.019285776
09/10/2013,171.52,0.000349875
08/10/2013,171.46,-0.007958449
07/10/2013,172.83,-0.010131916
04/10/2013,174.59,0.016109358
03/10/2013,171.8,-0.003254303
02/10/2013,172.36,0.001219123
01/10/2013,172.15,0.016812041
30/09/2013,169.28,-0.008529213
27/09/2013,170.73,-0.007934234
26/09/2013,172.09,0.004134283
25/09/2013,171.38,-0.004134283
24/09/2013,172.09,0.018947627
23/09/2013,168.86,-5.92189E-05
20/09/2013,168.87,-0.010954173
19/09/2013,170.73,-0.006189439
18/09/2013,171.79,0.023678807
17/09/2013,167.77,0.011811751
16/09/2013,165.8,-0.003852641
13/09/2013,166.44,-0.00926957
12/09/2013,167.99,0.005012841
11/09/2013,167.15,0.022078623
10/09/2013,163.5,-0.000917011
09/09/2013,163.65,0.011863556
06/09/2013,161.72,0.001794833
05/09/2013,161.43,0.005590771
04/09/2013,160.53,0.013167986
03/09/2013,158.43,0.008748629
30/08/2013,157.05,-0.000254664
29/08/2013,157.09,-0.014974218
28/08/2013,159.46,0.020079851
27/08/2013,156.29,-0.005232941
26/08/2013,157.11,0.003123708
23/08/2013,156.62,0.014275852
22/08/2013,154.4,0.016719303
21/08/2013,151.84,-0.018143159
20/08/2013,154.62,0.012560772
19/08/2013,152.69,-0.018171699
16/08/2013,155.49,-0.007049504
15/08/2013,156.59,0.001214096
14/08/2013,156.4,-0.01169604
13/08/2013,158.24,-0.00328076
12/08/2013,158.76,-0.000503778
09/08/2013,158.84,0.001638208
08/08/2013,158.58,0.014993928
07/08/2013,156.22,0.019390473
06/08/2013,153.22,-0.006245954
05/08/2013,154.18,0.00748677
02/08/2013,153.03,0.006293039
01/08/2013,152.07,0.044233585
31/07/2013,145.49,0.009599853
30/07/2013,144.1,-0.004224237
29/07/2013,144.71,-0.007092472
26/07/2013,145.74,-0.011122219
25/07/2013,147.37,0.022647139
24/07/2013,144.07,-0.031227982
23/07/2013,148.64,-0.005702226
22/07/2013,149.49,0.005500416
19/07/2013,148.67,0.011296498
18/07/2013,147,0.007991027
17/07/2013,145.83,0.008746913
16/07/2013,144.56,0.007080904
15/07/2013,143.54,-0.008117998
12/07/2013,144.71,0.008048333
11/07/2013,143.55,0.008956746
10/07/2013,142.27,0.000351506
09/07/2013,142.22,0.017448489
08/07/2013,139.76,-0.004568826
05/07/2013,140.4,0.015938309
03/07/2013,138.18,0.002173441
02/07/2013,137.88,0.018815299
01/07/2013,135.31,0.027193705
28/06/2013,131.68,0.005101081
27/06/2013,131.01,-0.006391257
26/06/2013,131.85,0.012977281
25/06/2013,130.15,0.021277398
24/06/2013,127.41,-0.023196416
21/06/2013,130.4,-0.004514335
20/06/2013,130.99,-0.034514642
19/06/2013,135.59,0.004212711
18/06/2013,135.02,0.012595657
17/06/2013,133.33,0.011996975
14/06/2013,131.74,-0.011996975
13/06/2013,133.33,0.02814302
12/06/2013,129.63,0.004019484
11/06/2013,129.11,-0.019254229
10/06/2013,131.62,-0.008021231
07/06/2013,132.68,0.015494765
06/06/2013,130.64,0.016360914
05/06/2013,128.52,-0.027928776
04/06/2013,132.16,0.003107122
03/06/2013,131.75,0.02031889
31/05/2013,129.1,-0.027428283
30/05/2013,132.69,-0.001054535
29/05/2013,132.83,0.012957181
28/05/2013,131.12,0.002214164
24/05/2013,130.83,-0.004347336
23/05/2013,131.4,0.003583277
22/05/2013,130.93,-0.025264343
21/05/2013,134.28,-0.009855947
20/05/2013,135.61,0.002658201
17/05/2013,135.25,0.015123021
16/05/2013,133.22,-0.010973945
15/05/2013,134.69,-0.014593419
14/05/2013,136.67,0.022269999
13/05/2013,133.66,0.000598713
10/05/2013,133.58,-0.018542399
09/05/2013,136.08,-0.013285837
08/05/2013,137.9,0.016155913
07/05/2013,135.69,0.073773555
06/05/2013,126.04,0.016479055
03/05/2013,123.98,0.035382308
02/05/2013,119.67,0.007044054
