Date,Close,AMGN
04/04/2014,119.11,-0.041281968
03/04/2014,124.13,-0.014793761
02/04/2014,125.98,-0.000714144
01/04/2014,126.07,0.021892539
31/03/2014,123.34,0.022880165
28/03/2014,120.55,-0.014330669
27/03/2014,122.29,0.017987284
26/03/2014,120.11,-0.00432002
25/03/2014,120.63,-0.005373912
24/03/2014,121.28,-0.013513166
21/03/2014,122.93,-0.032965622
20/03/2014,127.05,0.00370619
19/03/2014,126.58,-0.007006523
18/03/2014,127.47,0.028729147
17/03/2014,123.86,0.010714388
14/03/2014,122.54,-0.011521426
13/03/2014,123.96,-0.016164231
12/03/2014,125.98,0.013666546
11/03/2014,124.27,-0.00905201
10/03/2014,125.4,0.025358704
07/03/2014,122.26,-0.015662726
06/03/2014,124.19,-0.015976057
05/03/2014,126.19,0.001506801
04/03/2014,126,0.018503472
03/03/2014,123.69,-0.002664408
28/02/2014,124.02,0.007608292
27/02/2014,123.08,0.009961706
26/02/2014,121.86,-0.02030774
25/02/2014,124.36,-0.011433265
24/02/2014,125.79,0.015542694
21/02/2014,123.85,0.002910975
20/02/2014,123.49,0.001134338
19/02/2014,123.35,-0.012807779
18/02/2014,124.94,0.008843212
14/02/2014,123.84,-0.002500102
13/02/2014,124.15,0.015749636
12/02/2014,122.21,0.007968824
11/02/2014,121.24,0.007783429
10/02/2014,120.3,0.011705819
07/02/2014,118.9,0.024089346
06/02/2014,116.07,0.008652819
05/02/2014,115.07,-0.0061512
04/02/2014,115.78,-0.008343058
03/02/2014,116.75,-0.01866834
31/01/2014,118.95,-0.016177804
30/01/2014,120.89,0.014329996
29/01/2014,119.17,-0.012757083
28/01/2014,120.7,0.018226405
27/01/2014,118.52,-0.006475781
24/01/2014,119.29,-0.035493042
23/01/2014,123.6,-0.006210449
22/01/2014,124.37,0.042038864
21/01/2014,119.25,0.000838926
17/01/2014,119.15,0.001007641
16/01/2014,119.03,0.004378217
15/01/2014,118.51,0.006688422
14/01/2014,117.72,0.011276388
13/01/2014,116.4,-0.01356734
10/01/2014,117.99,-0.007598821
09/01/2014,118.89,0.025643523
08/01/2014,115.88,-0.004735061
07/01/2014,116.43,0.025663624
06/01/2014,113.48,-0.00868617
03/01/2014,114.47,-0.011551785
02/01/2014,115.8,0.014964608
31/12/2013,114.08,-0.012283989
30/12/2013,115.49,0.003208884
27/12/2013,115.12,0.006623695
26/12/2013,114.36,0.018622841
24/12/2013,112.25,-0.008427639
23/12/2013,113.2,-0.007305406
20/12/2013,114.03,0.012619856
19/12/2013,112.6,-0.001153863
18/12/2013,112.73,0.015465378
17/12/2013,111,-0.010039525
16/12/2013,112.12,-0.000356697
13/12/2013,112.16,-0.003648827
12/12/2013,112.57,-0.004254948
11/12/2013,113.05,-0.009245058
10/12/2013,114.1,0.001052262
09/12/2013,113.98,-0.001227532
06/12/2013,114.12,0.006770149
05/12/2013,113.35,0.002473281
04/12/2013,113.07,-0.003355115
03/12/2013,113.45,-0.008950569
02/12/2013,114.47,0.003412823
29/11/2013,114.08,0.002281703
27/11/2013,113.82,0.001318739
26/11/2013,113.67,-0.002547996
25/11/2013,113.96,0.008194239
22/11/2013,113.03,0.006924744
21/11/2013,112.25,-0.029061349
20/11/2013,115.56,0.000865726
19/11/2013,115.46,-0.004924629
18/11/2013,116.03,0.009090578
15/11/2013,114.98,-0.003732805
14/11/2013,115.41,0.016423886
13/11/2013,113.53,0.007248971
12/11/2013,112.71,-0.004072965
11/11/2013,113.17,-0.000353388
08/11/2013,113.21,0.019444066
07/11/2013,111.03,-0.020503482
06/11/2013,113.33,-0.015844863
05/11/2013,115.14,-0.018415459
04/11/2013,117.28,-0.011950814
01/11/2013,118.69,0.021718692
31/10/2013,116.14,-0.006351407
30/10/2013,116.88,-0.011822379
29/10/2013,118.27,-0.000507185
28/10/2013,118.33,0.017132318
25/10/2013,116.32,0.001032169
24/10/2013,116.2,0.004571535
23/10/2013,115.67,-0.00465759
22/10/2013,116.21,0.022363342
21/10/2013,113.64,-0.011200677
18/10/2013,114.92,-0.008060017
17/10/2013,115.85,0.013644674
16/10/2013,114.28,0.025165248
15/10/2013,111.44,-0.001255493
14/10/2013,111.58,0.006203103
11/10/2013,110.89,0.00878589
10/10/2013,109.92,0.033675708
09/10/2013,106.28,-0.013829411
08/10/2013,107.76,-0.022571836
07/10/2013,110.22,-0.024112673
04/10/2013,112.91,0.015980343
03/10/2013,111.12,-0.017307953
02/10/2013,113.06,-0.013354618
01/10/2013,114.58,0.023488939
30/09/2013,111.92,-0.011283492
27/09/2013,113.19,0.003008319
26/09/2013,112.85,0.003284075
25/09/2013,112.48,-0.020241825
24/09/2013,114.78,-0.002349564
23/09/2013,115.05,-0.015524245
20/09/2013,116.85,-0.002820153
19/09/2013,117.18,-0.002897318
18/09/2013,117.52,0.01534864
17/09/2013,115.73,-0.012451322
16/09/2013,117.18,0.018257483
13/09/2013,115.06,0.01400338
12/09/2013,113.46,0.013219374
11/09/2013,111.97,0.007260373
10/09/2013,111.16,-0.004577489
09/09/2013,111.67,0.005927806
06/09/2013,111.01,-0.01714787
05/09/2013,112.93,-0.000796636
04/09/2013,113.02,0.017944507
03/09/2013,111.01,0.018823015
30/08/2013,108.94,0.000734619
29/08/2013,108.86,-0.00311841
28/08/2013,109.2,0.000641231
27/08/2013,109.13,-0.041463226
26/08/2013,113.75,0.074344687
23/08/2013,105.6,-0.006512836
22/08/2013,106.29,0.015549759
21/08/2013,104.65,-0.009036922
20/08/2013,105.6,0.010758422
19/08/2013,104.47,-0.004202891
16/08/2013,104.91,-0.008069536
15/08/2013,105.76,-0.0082863
14/08/2013,106.64,-0.011375414
13/08/2013,107.86,-0.003239694
12/08/2013,108.21,-0.013037276
09/08/2013,109.63,-0.006817898
08/08/2013,110.38,-0.018134979
07/08/2013,112.4,0.066010541
06/08/2013,105.22,-0.020786076
05/08/2013,107.43,-0.015058717
02/08/2013,109.06,-0.003021289
01/08/2013,109.39,0.010106664
31/07/2013,108.29,-0.026517568
30/07/2013,111.2,0.016593752
29/07/2013,109.37,-0.002100745
26/07/2013,109.6,0.000821505
25/07/2013,109.51,0.026932358
24/07/2013,106.6,-0.0001876
23/07/2013,106.62,-0.02161795
22/07/2013,108.95,-0.004030417
19/07/2013,109.39,0.043152007
18/07/2013,104.77,0.004400237
17/07/2013,104.31,0.002495682
16/07/2013,104.05,-0.003836935
15/07/2013,104.45,0.001724799
12/07/2013,104.27,0.009733609
11/07/2013,103.26,0.011689204
10/07/2013,102.06,0.037231707
09/07/2013,98.33,0.00152664
08/07/2013,98.18,0.005515283
05/07/2013,97.64,0.018920182
03/07/2013,95.81,-0.002605933
02/07/2013,96.06,-0.014776812
01/07/2013,97.49,-0.011929787
28/06/2013,98.66,-0.003339239
27/06/2013,98.99,-0.00614333
26/06/2013,99.6,0.032863453
25/06/2013,96.38,0.002493249
24/06/2013,96.14,-0.022015085
21/06/2013,98.28,0.020559935
20/06/2013,96.28,-0.029675768
19/06/2013,99.18,-0.023122417
18/06/2013,101.5,0.024131194
17/06/2013,99.08,0.016896076
14/06/2013,97.42,-0.011126537
13/06/2013,98.51,0.021963116
12/06/2013,96.37,-0.016057988
11/06/2013,97.93,-0.003872814
10/06/2013,98.31,-0.005073063
07/06/2013,98.81,0.013449006
06/06/2013,97.49,0.030092333
05/06/2013,94.6,-0.028038733
04/06/2013,97.29,-0.018735911
03/06/2013,99.13,-0.01402407
31/05/2013,100.53,-0.045597206
30/05/2013,105.22,0.007919511
29/05/2013,104.39,-0.017190223
28/05/2013,106.2,0.002734432
24/05/2013,105.91,0.00274193
23/05/2013,105.62,0.010373636
22/05/2013,104.53,0.002778179
21/05/2013,104.24,0.019959969
20/05/2013,102.18,-0.033206458
17/05/2013,105.63,0.006267827
16/05/2013,104.97,-0.023071789
15/05/2013,107.42,-0.004829133
14/05/2013,107.94,0.009775249
13/05/2013,106.89,0.001591686
10/05/2013,106.72,0.020447513
09/05/2013,104.56,-0.004865725
08/05/2013,105.07,0.005822572
07/05/2013,104.46,-0.003535767
06/05/2013,104.83,-0.015617184
03/05/2013,106.48,0.008393504
02/05/2013,105.59,0.009993897
01/05/2013,104.54,0.003161679
30/04/2013,104.21,-0.023331863
29/04/2013,106.67,-0.015903614
26/04/2013,108.38,-0.002580171
25/04/2013,108.66,0.03493028
24/04/2013,104.93,-0.071968205
23/04/2013,112.76,-0.005836076
22/04/2013,113.42,0.018149964
19/04/2013,111.38,0.035829093
18/04/2013,107.46,-0.018257769
17/04/2013,109.44,-0.012801482
16/04/2013,110.85,0.021612112
15/04/2013,108.48,-0.028086372
12/04/2013,111.57,0.030486004
11/04/2013,108.22,-0.000277175
10/04/2013,108.25,0.037172005
09/04/2013,104.3,-0.007640916
08/04/2013,105.1,0.010136837
05/04/2013,104.04,-0.017530937
04/04/2013,105.88,0.01015719
03/04/2013,104.81,-0.01505639
02/04/2013,106.4,0.039198157
01/04/2013,102.31,-0.001952935
28/03/2013,102.51,0.023291293
27/03/2013,100.15,0.014989466
26/03/2013,98.66,0.018929301
25/03/2013,96.81,0.002585718
