Date,Close,URBN
04/04/2014,38,-0.007341407
03/04/2014,38.28,0.004450852
02/04/2014,38.11,0.039063287
01/04/2014,36.65,0.004923424
31/03/2014,36.47,0.003020736
28/03/2014,36.36,0.01106206
27/03/2014,35.96,0
26/03/2014,35.96,0.004459316
25/03/2014,35.8,-0.019364367
24/03/2014,36.5,0.003293087
21/03/2014,36.38,0.013839136
20/03/2014,35.88,-0.001949047
19/03/2014,35.95,0.002227793
18/03/2014,35.87,0.014885825
17/03/2014,35.34,-0.005924689
14/03/2014,35.55,0.018739901
13/03/2014,34.89,-0.011399382
12/03/2014,35.29,-0.017416171
11/03/2014,35.91,-0.043591756
10/03/2014,37.51,-0.00133209
07/03/2014,37.56,0.015292048
06/03/2014,36.99,-0.00404695
05/03/2014,37.14,-0.004298771
04/03/2014,37.3,-0.005880797
03/03/2014,37.52,0.002134473
28/02/2014,37.44,-0.004796172
27/02/2014,37.62,-0.007415288
26/02/2014,37.9,0.029725043
25/02/2014,36.79,0.015614617
24/02/2014,36.22,0.008317209
21/02/2014,35.92,0.004743974
20/02/2014,35.75,-0.015818285
19/02/2014,36.32,0.000275368
18/02/2014,36.31,0.012749618
14/02/2014,35.85,-0.005008358
13/02/2014,36.03,0.021886396
12/02/2014,35.25,-0.010160968
11/02/2014,35.61,-0.028514043
10/02/2014,36.64,0.010977059
07/02/2014,36.24,0.017817843
06/02/2014,35.6,0.025029748
05/02/2014,34.72,-0.001439056
04/02/2014,34.77,0.014192852
03/02/2014,34.28,-0.043944303
31/01/2014,35.82,-0.003900813
30/01/2014,35.96,0.015412943
29/01/2014,35.41,-0.012070322
28/01/2014,35.84,-0.012202037
27/01/2014,36.28,0.007747687
24/01/2014,36,-0.014341117
23/01/2014,36.52,-0.009809343
22/01/2014,36.88,-0.000271113
21/01/2014,36.89,-0.003517796
17/01/2014,37.02,0.006504088
16/01/2014,36.78,-0.009471049
15/01/2014,37.13,0
14/01/2014,37.13,0.006484757
13/01/2014,36.89,-0.018265348
10/01/2014,37.57,-0.011643423
09/01/2014,38.01,0.003690041
08/01/2014,37.87,-0.002900463
07/01/2014,37.98,0.000526732
06/01/2014,37.96,-0.000789993
03/01/2014,37.99,0.005543105
02/01/2014,37.78,0.018162892
31/12/2013,37.1,-0.005912406
30/12/2013,37.32,0.006991155
27/12/2013,37.06,-0.013135157
26/12/2013,37.55,0.021263081
