Date,Close,DUK
04/04/2014,70.49,0.000567617
03/04/2014,70.45,0.002700592
02/04/2014,70.26,-0.005818508
01/04/2014,70.67,-0.007752523
31/03/2014,71.22,0.011012394
28/03/2014,70.44,0.00028397
27/03/2014,70.42,0.013150561
26/03/2014,69.5,-0.006024979
25/03/2014,69.92,0.008618266
24/03/2014,69.32,0.003468212
21/03/2014,69.08,-0.001301989
20/03/2014,69.17,0.006672494
19/03/2014,68.71,-0.0220232
18/03/2014,70.24,-0.012169387
17/03/2014,71.1,0.005641764
14/03/2014,70.7,0.001840448
13/03/2014,70.57,0.002980205
12/03/2014,70.36,0.012729915
11/03/2014,69.47,-0.002156878
10/03/2014,69.62,-0.006300135
07/03/2014,70.06,0.000428296
06/03/2014,70.03,-0.001141716
05/03/2014,70.11,-0.000142623
04/03/2014,70.12,0.000998787
03/03/2014,70.05,-0.011779034
28/02/2014,70.88,0.006368998
27/02/2014,70.43,-0.006368998
26/02/2014,70.88,-0.002114017
25/02/2014,71.03,-0.001125651
24/02/2014,71.11,-0.005329606
21/02/2014,71.49,-0.003490892
20/02/2014,71.74,0.000278823
19/02/2014,71.72,0.003072199
18/02/2014,71.5,0.000699545
14/02/2014,71.45,0.000279955
13/02/2014,71.43,0.007870736
12/02/2014,70.87,-0.006049115
11/02/2014,71.3,0.007885144
10/02/2014,70.74,0.010658809
07/02/2014,69.99,-0.000285714
06/02/2014,70.01,0.005586207
05/02/2014,69.62,-0.004585849
04/02/2014,69.94,-0.007407441
03/02/2014,70.46,-0.002268218
31/01/2014,70.62,0.010390813
30/01/2014,69.89,0.012961011
29/01/2014,68.99,0.002467166
28/01/2014,68.82,0.001308615
27/01/2014,68.73,0.006861842
24/01/2014,68.26,-0.003947662
23/01/2014,68.53,-0.001749527
22/01/2014,68.65,0.002041412
21/01/2014,68.51,0.013815622
17/01/2014,67.57,0.003112728
16/01/2014,67.36,0.003420332
15/01/2014,67.13,-0.00653306
14/01/2014,67.57,-0.002955522
13/01/2014,67.77,-0.012027132
10/01/2014,68.59,0.010552641
09/01/2014,67.87,0.000294724
08/01/2014,67.85,-0.009388363
07/01/2014,68.49,0.007768452
06/01/2014,67.96,0.000588755
03/01/2014,67.92,-0.00323387
02/01/2014,68.14,-0.012687009
31/12/2013,69.01,-0.001448016
30/12/2013,69.11,0.002317834
27/12/2013,68.95,0.002614001
26/12/2013,68.77,-0.007388661
24/12/2013,69.28,0.003325384
23/12/2013,69.05,-0.006495873
20/12/2013,69.5,0.004470409
19/12/2013,69.19,-0.007774298
18/12/2013,69.73,0.019550257
17/12/2013,68.38,-0.001899336
16/12/2013,68.51,0.004681793
13/12/2013,68.19,0
12/12/2013,68.19,-0.002050982
11/12/2013,68.33,-0.013663003
10/12/2013,69.27,-0.007765354
09/12/2013,69.81,-0.005428585
06/12/2013,70.19,0.008441283
05/12/2013,69.6,-0.004587164
04/12/2013,69.92,0.002434311
03/12/2013,69.75,0.002009186
02/12/2013,69.61,-0.005015415
29/11/2013,69.96,-0.001000072
27/11/2013,70.03,-0.006688988
26/11/2013,70.5,-0.006926312
25/11/2013,70.99,-0.001970167
22/11/2013,71.13,0.005356652
21/11/2013,70.75,0.010228815
20/11/2013,70.03,-0.01544487
19/11/2013,71.12,-0.005888143
18/11/2013,71.54,-0.003627742
15/11/2013,71.8,0.004047176
14/11/2013,71.51,0.008284819
13/11/2013,70.92,-0.011217168
12/11/2013,71.72,-0.01012702
11/11/2013,72.45,0.000276091
08/11/2013,72.43,-0.006742372
07/11/2013,72.92,-0.003969074
06/11/2013,73.21,0.010435355
05/11/2013,72.45,-0.000276014
04/11/2013,72.47,-0.0005518
01/11/2013,72.51,0.010815413
31/10/2013,71.73,-0.003895928
30/10/2013,72.01,-0.008435368
29/10/2013,72.62,0.003448517
28/10/2013,72.37,0
25/10/2013,72.37,0.010277868
24/10/2013,71.63,-0.001116227
23/10/2013,71.71,0.008683528
22/10/2013,71.09,0.014594662
21/10/2013,70.06,-0.000285429
18/10/2013,70.08,0.004003437
17/10/2013,69.8,0.011092817
16/10/2013,69.03,0.017241806
15/10/2013,67.85,-0.010701561
14/10/2013,68.58,-0.003929278
11/10/2013,68.85,0.008166882
10/10/2013,68.29,0.011487608
09/10/2013,67.51,0.004602488
08/10/2013,67.2,0.012880214
07/10/2013,66.34,-0.001355728
04/10/2013,66.43,0.001506478
03/10/2013,66.33,-0.013774735
02/10/2013,67.25,-0.000297354
01/10/2013,67.27,0.007310738
30/09/2013,66.78,-0.001795333
27/09/2013,66.9,-0.011148387
26/09/2013,67.65,0.005781648
25/09/2013,67.26,-0.006372752
24/09/2013,67.69,-0.000590755
23/09/2013,67.73,0.005477843
20/09/2013,67.36,-0.008426393
19/09/2013,67.93,-0.00249945
18/09/2013,68.1,0.028447819
17/09/2013,66.19,0.00242021
16/09/2013,66.03,0.007295974
13/09/2013,65.55,0.008887585
12/09/2013,64.97,-0.005219539
11/09/2013,65.31,-0.009751715
10/09/2013,65.95,0.005778605
09/09/2013,65.57,0.001831782
06/09/2013,65.45,0.009980889
05/09/2013,64.8,0.001698973
04/09/2013,64.69,-0.004165066
03/09/2013,64.96,-0.009804
30/08/2013,65.6,-0.000914216
29/08/2013,65.66,-0.005922119
28/08/2013,66.05,0.003032603
27/08/2013,65.85,0.000911577
26/08/2013,65.79,-0.00847591
23/08/2013,66.35,0.006198523
22/08/2013,65.94,0.001973435
21/08/2013,65.81,-0.014781566
20/08/2013,66.79,0.006911085
19/08/2013,66.33,-0.010796326
16/08/2013,67.05,-0.012744689
15/08/2013,67.91,-0.016213019
14/08/2013,69.02,-0.025745129
13/08/2013,70.82,0.000706265
12/08/2013,70.77,0
09/08/2013,70.77,-0.006478896
08/08/2013,71.23,0.002530223
07/08/2013,71.05,-0.000984737
06/08/2013,71.12,-0.003509022
05/08/2013,71.37,-0.005310242
02/08/2013,71.75,0.003350555
01/08/2013,71.51,0.007157423
31/07/2013,71,-0.006877703
30/07/2013,71.49,0.003783902
29/07/2013,71.22,0.00605593
26/07/2013,70.79,0.002687603
25/07/2013,70.6,0.001417435
24/07/2013,70.5,-0.01142386
23/07/2013,71.31,0.007601388
22/07/2013,70.77,-0.001553124
19/07/2013,70.88,-0.003802018
18/07/2013,71.15,0.006203319
17/07/2013,70.71,0.00311615
16/07/2013,70.49,-0.007349856
15/07/2013,71.01,0.012184906
12/07/2013,70.15,0.003570157
11/07/2013,69.9,0.018918898
10/07/2013,68.59,0.006288869
09/07/2013,68.16,0.006328669
08/07/2013,67.73,0.006814841
05/07/2013,67.27,-0.001782267
03/07/2013,67.39,0.003121055
02/07/2013,67.18,0.00507388
01/07/2013,66.84,-0.009825894
28/06/2013,67.5,-0.000296252
27/06/2013,67.52,-0.001332051
26/06/2013,67.61,0.022284628
25/06/2013,66.12,0.010032004
24/06/2013,65.46,-0.001831502
21/06/2013,65.58,0.007346222
20/06/2013,65.1,-0.024580209
19/06/2013,66.72,-0.022379593
18/06/2013,68.23,0.008536996
17/06/2013,67.65,0.000147831
14/06/2013,67.64,0.002220085
13/06/2013,67.49,0.013425023
12/06/2013,66.59,-0.00926763
11/06/2013,67.21,-0.010066702
10/06/2013,67.89,0.00295029
07/06/2013,67.69,0.002810861
06/06/2013,67.5,0.010274828
05/06/2013,66.81,-0.005076153
04/06/2013,67.15,-0.000744325
03/06/2013,67.2,0.00402595
31/05/2013,66.93,-0.005661517
30/05/2013,67.31,0.002379891
29/05/2013,67.15,-0.008895537
28/05/2013,67.75,-0.0165414
24/05/2013,68.88,-0.012694919
23/05/2013,69.76,-0.006145071
22/05/2013,70.19,-0.016951953
21/05/2013,71.39,0.000840807
20/05/2013,71.33,-0.004057368
17/05/2013,71.62,0.006443502
16/05/2013,71.16,-0.015063046
15/05/2013,72.24,0.002217296
14/05/2013,72.08,0.004310052
13/05/2013,71.77,-0.005696438
10/05/2013,72.18,0.001802677
09/05/2013,72.05,-0.011865481
08/05/2013,72.91,-0.010776995
07/05/2013,73.7,0.01091416
06/05/2013,72.9,-0.021307721
03/05/2013,74.47,-0.00415411
02/05/2013,74.78,-0.001469901
01/05/2013,74.89,-0.004130861
30/04/2013,75.2,0
29/04/2013,75.2,0.004531528
26/04/2013,74.86,-0.003733338
25/04/2013,75.14,0.005605246
24/04/2013,74.72,0.004157453
23/04/2013,74.41,0.001748605
22/04/2013,74.28,-0.000807428
19/04/2013,74.34,0.014907445
18/04/2013,73.24,0.001229592
17/04/2013,73.15,-0.005725206
16/04/2013,73.57,0.017551527
15/04/2013,72.29,-0.009362591
12/04/2013,72.97,-0.002737103
11/04/2013,73.17,0.005206918
10/04/2013,72.79,0.002338217
09/04/2013,72.62,-0.005356052
08/04/2013,73.01,0.013236096
05/04/2013,72.05,0.003615132
04/04/2013,71.79,0.001114983
03/04/2013,71.71,-0.012610158
02/04/2013,72.62,0.00413965
01/04/2013,72.32,-0.003726455
28/03/2013,72.59,0.012057523
27/03/2013,71.72,0.010794245
26/03/2013,70.95,0.00948814
25/03/2013,70.28,-0.004684514
22/03/2013,70.61,0.004969131
21/03/2013,70.26,-0.001990616
20/03/2013,70.4,0.006984563
19/03/2013,69.91,0.004156818
18/03/2013,69.62,-0.004728819
15/03/2013,69.95,0.000285959
14/03/2013,69.93,0.000286041
13/03/2013,69.91,0.005306574
12/03/2013,69.54,-0.003588606
11/03/2013,69.79,0.002151618
08/03/2013,69.64,0.001293197
07/03/2013,69.55,-0.004733567
06/03/2013,69.88,-0.003998863
05/03/2013,70.16,0.006434569
04/03/2013,69.71,0.006620634
01/03/2013,69.25,0
28/02/2013,69.25,-0.012627517
27/02/2013,70.13,0.007729784
26/02/2013,69.59,0.006921441
25/02/2013,69.11,-0.005051609
22/02/2013,69.46,0.009111351
21/02/2013,68.83,-0.000290529
20/02/2013,68.85,-0.001596401
19/02/2013,68.96,0.013136957
15/02/2013,68.06,0.000881964
14/02/2013,68,-0.011986695
13/02/2013,68.82,-0.009832352
12/02/2013,69.5,0.005193318
11/02/2013,69.14,0.00202693
08/02/2013,69,-0.000579542
07/02/2013,69.04,-0.001013391
06/02/2013,69.11,0.003333578
05/02/2013,68.88,0.007724297
04/02/2013,68.35,-0.007143408
01/02/2013,68.84,0.0014537
31/01/2013,68.74,0.004373822
30/01/2013,68.44,0.006743905
29/01/2013,67.98,0.005161873
28/01/2013,67.63,-0.00427887
25/01/2013,67.92,0.001768347
24/01/2013,67.8,0.00576882
23/01/2013,67.41,0.001484561
22/01/2013,67.31,0.007456044
18/01/2013,66.81,0.011895044
17/01/2013,66.02,0.004402284
16/01/2013,65.73,-0.004856589
15/01/2013,66.05,0.010042689
14/01/2013,65.39,-0.004577365
11/01/2013,65.69,0.004883269
10/01/2013,65.37,0.005522333
09/01/2013,65.01,0.001693481
08/01/2013,64.9,0.002313923
07/01/2013,64.75,-0.00477622
04/01/2013,65.06,0.002924654
03/01/2013,64.87,-0.002155837
02/01/2013,65.01,0.018787914
31/12/2012,63.8,0.012459746
28/12/2012,63.01,-0.011048092
27/12/2012,63.71,-0.0056347
26/12/2012,64.07,-0.00792853
24/12/2012,64.58,0.001084515
21/12/2012,64.51,-0.008335954
20/12/2012,65.05,0.004622504
19/12/2012,64.75,-0.011669102
18/12/2012,65.51,0.011514674
17/12/2012,64.76,0.014778211
14/12/2012,63.81,-0.001722384
13/12/2012,63.92,-0.00592733
12/12/2012,64.3,0.00031109
11/12/2012,64.28,-0.000622084
10/12/2012,64.32,0
07/12/2012,64.32,0.002334813
06/12/2012,64.17,-0.004509065
05/12/2012,64.46,0.013431406
04/12/2012,63.6,-0.005800753
03/12/2012,63.97,0.002347603
30/11/2012,63.82,0.022661615
29/11/2012,62.39,0.011121075
28/11/2012,61.7,0.001784411
27/11/2012,61.59,0.004556558
26/11/2012,61.31,0.014126385
23/11/2012,60.45,0.000496401
21/11/2012,60.42,-0.006105126
20/11/2012,60.79,-0.003284615
19/11/2012,60.99,0.001476742
16/11/2012,60.9,0.01705763
15/11/2012,59.87,-0.014426915
14/11/2012,60.74,-0.020693203
13/11/2012,62.01,0.009071826
12/11/2012,61.45,-0.00826518
09/11/2012,61.96,-0.009637081
08/11/2012,62.56,-0.006055795
07/11/2012,62.94,-0.017794344
06/11/2012,64.07,0.000156091
05/11/2012,64.06,-0.013643622
02/11/2012,64.94,-0.005681397
01/11/2012,65.31,-0.005801543
31/10/2012,65.69,0.00886856
26/10/2012,65.11,0.005544447
25/10/2012,64.75,0.006663076
24/10/2012,64.32,-0.010362787
23/10/2012,64.99,-0.007816731
22/10/2012,65.5,-0.00015266
19/10/2012,65.51,-0.001372893
18/10/2012,65.6,0.005043183
17/10/2012,65.27,0.010937489
16/10/2012,64.56,0
15/10/2012,64.56,0.00621506
12/10/2012,64.16,-0.004975135
11/10/2012,64.48,-0.004641816
10/10/2012,64.78,-0.007841971
09/10/2012,65.29,0.000919399
08/10/2012,65.23,0.003839956
05/10/2012,64.98,-0.006289811
04/10/2012,65.39,0.009372428
03/10/2012,64.78,0.000308785
02/10/2012,64.76,0.005885103
01/10/2012,64.38,-0.006348245
28/09/2012,64.79,0.011331126
27/09/2012,64.06,-0.004205941
26/09/2012,64.33,-0.000155436
25/09/2012,64.34,-0.004806583
24/09/2012,64.65,0.008855802
21/09/2012,64.08,0.002343568
20/09/2012,63.93,0.007851799
19/09/2012,63.43,0.004265746
18/09/2012,63.16,-0.015397005
17/09/2012,64.14,-0.000779241
14/09/2012,64.19,-0.007295337
13/09/2012,64.66,0.009478744
12/09/2012,64.05,-0.006380848
11/09/2012,64.46,-0.005723583
10/09/2012,64.83,0.001698186
07/09/2012,64.72,-0.004316997
06/09/2012,65,0.008187271
05/09/2012,64.47,-0.005259913
04/09/2012,64.81,0.000462999
31/08/2012,64.78,-0.000462999
30/08/2012,64.81,-0.007685251
29/08/2012,65.31,-0.000918274
28/08/2012,65.37,-0.002139365
27/08/2012,65.51,0.00061078
24/08/2012,65.47,0.003519245
23/08/2012,65.24,-0.011581964
22/08/2012,66,-0.000908678
21/08/2012,66.06,-0.005735865
20/08/2012,66.44,-0.000752276
17/08/2012,66.49,-0.003003456
16/08/2012,66.69,-0.001198861
15/08/2012,66.77,-0.021190687
14/08/2012,68.2,-0.000293212
13/08/2012,68.22,0.005438391
10/08/2012,67.85,-0.003530973
09/08/2012,68.09,0.000734592
08/08/2012,68.04,-0.000146962
07/08/2012,68.05,-0.002348453
06/08/2012,68.21,-0.005701353
03/08/2012,68.6,0.016757705
02/08/2012,67.46,-0.000889021
01/08/2012,67.52,-0.003843316
31/07/2012,67.78,-0.004269421
30/07/2012,68.07,0.009001758
27/07/2012,67.46,0.001780416
26/07/2012,67.34,0.02283067
25/07/2012,65.82,0.008391231
24/07/2012,65.27,-0.00351763
23/07/2012,65.5,-0.010932389
20/07/2012,66.22,0.001511259
19/07/2012,66.12,0.000756487
18/07/2012,66.07,-0.004078247
17/07/2012,66.34,-0.00601144
16/07/2012,66.74,0
13/07/2012,66.74,0.001499475
12/07/2012,66.64,0.002403847
11/07/2012,66.48,0.005127443
10/07/2012,66.14,0.012628544
09/07/2012,65.31,-0.013988369
06/07/2012,66.23,-0.034721589
05/07/2012,68.57,-0.001748507
03/07/2012,68.69,1.082009005
02/07/2012,23.28,0.009495108
29/06/2012,23.06,0
28/06/2012,23.06,0.002170611
27/06/2012,23.01,0.004791993
26/06/2012,22.9,-0.001309186
25/06/2012,22.93,0.00218293
22/06/2012,22.88,0.005698021
21/06/2012,22.75,-0.003510315
20/06/2012,22.83,-0.011757157
19/06/2012,23.1,-0.007762005
18/06/2012,23.28,0.000859476
15/06/2012,23.26,0.005172425
14/06/2012,23.14,0.012611604
13/06/2012,22.85,-0.004802454
12/06/2012,22.96,-0.000870701
11/06/2012,22.98,-0.007370508
08/06/2012,23.15,0.011294647
07/06/2012,22.89,0.008775835
06/06/2012,22.69,0.003532013
05/06/2012,22.61,0.005766261
04/06/2012,22.48,0.005799704
01/06/2012,22.35,0.016693372
31/05/2012,21.98,0.005932027
30/05/2012,21.85,-0.005932027
29/05/2012,21.98,0.000910332
25/05/2012,21.96,0.007312647
24/05/2012,21.8,0.009216655
23/05/2012,21.6,-0.00231214
22/05/2012,21.65,0.012081931
21/05/2012,21.39,-0.003267214
18/05/2012,21.46,0.001398928
17/05/2012,21.43,0.001868286
16/05/2012,21.39,-0.013466653
15/05/2012,21.68,-0.000461148
14/05/2012,21.69,-0.00138217
11/05/2012,21.72,-0.003217654
10/05/2012,21.79,0.008757834
09/05/2012,21.6,0.002317498
08/05/2012,21.55,0.003719205
07/05/2012,21.47,-0.004183134
04/05/2012,21.56,0.007448824
03/05/2012,21.4,-0.003731348
02/05/2012,21.48,-0.002325042
01/05/2012,21.53,0.004655502
30/04/2012,21.43,0
27/04/2012,21.43,0.002335904
26/04/2012,21.38,0.004218427
25/04/2012,21.29,0.005180139
24/04/2012,21.18,0.011873804
23/04/2012,20.93,-0.003814978
20/04/2012,21.01,0.006685794
19/04/2012,20.87,-0.007161644
18/04/2012,21.02,0.009560302
17/04/2012,20.82,0.009167736
16/04/2012,20.63,0.01072135
13/04/2012,20.41,0.001470949
12/04/2012,20.38,0.001473116
11/04/2012,20.35,-0.000982318
10/04/2012,20.37,-0.011713165
09/04/2012,20.61,-0.007251663
