Date,Close,EL
04/04/2014,66.98,-0.018197114
03/04/2014,68.21,0.001760822
02/04/2014,68.09,-0.002493584
01/04/2014,68.26,0.020423975
31/03/2014,66.88,0.002245342
28/03/2014,66.73,-0.00746495
27/03/2014,67.23,0
26/03/2014,67.23,-0.002080238
25/03/2014,67.37,0.001039578
24/03/2014,67.3,-0.015773895
21/03/2014,68.37,-0.010909993
20/03/2014,69.12,-0.008212711
19/03/2014,69.69,-0.006151225
18/03/2014,70.12,0.002427359
17/03/2014,69.95,0.009335795
14/03/2014,69.3,-0.00690253
13/03/2014,69.78,-0.006000875
12/03/2014,70.2,0.001282874
11/03/2014,70.11,-0.001282874
10/03/2014,70.2,0.002567396
07/03/2014,70.02,0.014094869
06/03/2014,69.04,-0.003325865
05/03/2014,69.27,-0.006618729
04/03/2014,69.73,0.016921367
03/03/2014,68.56,-0.004075697
28/02/2014,68.84,0.018176988
27/02/2014,67.6,-0.005605561
26/02/2014,67.98,0.007382287
25/02/2014,67.48,-0.006204777
24/02/2014,67.9,0.00368868
21/02/2014,67.65,-0.003099405
20/02/2014,67.86,0.00695012
19/02/2014,67.39,-0.010186845
18/02/2014,68.08,0.00146994
14/02/2014,67.98,0.006493529
13/02/2014,67.54,0.009820046
12/02/2014,66.88,0.001496334
11/02/2014,66.78,0.005857192
10/02/2014,66.39,-0.001655505
07/02/2014,66.5,-0.004501133
06/02/2014,66.8,0.02179263
05/02/2014,65.36,-0.056945893
04/02/2014,69.19,0.013239446
03/02/2014,68.28,-0.006714373
31/01/2014,68.74,-0.003050333
30/01/2014,68.95,0.005964088
29/01/2014,68.54,-0.018932569
28/01/2014,69.85,0.018640811
27/01/2014,68.56,-0.003349111
24/01/2014,68.79,-0.024128702
23/01/2014,70.47,-0.023282959
22/01/2014,72.13,-0.000692953
21/01/2014,72.18,-0.005388614
17/01/2014,72.57,0.005250081
16/01/2014,72.19,-0.0093755
15/01/2014,72.87,-0.011868361
14/01/2014,73.74,-0.001355197
13/01/2014,73.84,-0.002839951
10/01/2014,74.05,0.008271794
09/01/2014,73.44,0.004914015
08/01/2014,73.08,-0.011022769
07/01/2014,73.89,-0.00256809
06/01/2014,74.08,0.005821447
03/01/2014,73.65,-0.000814332
02/01/2014,73.71,-0.021607229
31/12/2013,75.32,0.003724399
30/12/2013,75.04,0.007893546
27/12/2013,74.45,-0.002548797
26/12/2013,74.64,0.000267989
24/12/2013,74.62,-0.001874415
23/12/2013,74.76,0.00549931
20/12/2013,74.35,0.005935536
19/12/2013,73.91,-0.001216956
18/12/2013,74,0.017036187
17/12/2013,72.75,-0.005619917
16/12/2013,73.16,0.007133089
13/12/2013,72.64,-0.005902152
12/12/2013,73.07,-0.010211812
11/12/2013,73.82,0.002984672
10/12/2013,73.6,-0.003932475
09/12/2013,73.89,0.002439026
06/12/2013,73.71,0.013384521
05/12/2013,72.73,-0.005074413
04/12/2013,73.1,-0.018836521
03/12/2013,74.49,-0.005221944
02/12/2013,74.88,-0.001067806
29/11/2013,74.96,-0.003861266
27/11/2013,75.25,0.002394892
26/11/2013,75.07,0.010040917
25/11/2013,74.32,-0.009241343
22/11/2013,75.01,0.013421219
21/11/2013,74.01,0.00963961
20/11/2013,73.3,0.010146803
19/11/2013,72.56,-0.004125986
18/11/2013,72.86,-0.011055869
15/11/2013,73.67,0.003126914
14/11/2013,73.44,0.005598431
13/11/2013,73.03,0.032707668
12/11/2013,70.68,-0.003107786
11/11/2013,70.9,-0.000845904
08/11/2013,70.96,0.009060085
07/11/2013,70.32,-0.013138566
06/11/2013,71.25,0.007042283
05/11/2013,70.75,0.008659292
04/11/2013,70.14,0.002855513
01/11/2013,69.94,-0.014478606
31/10/2013,70.96,-0.00590138
30/10/2013,71.38,-0.01983559
29/10/2013,72.81,0.01731705
28/10/2013,71.56,0.000698959
25/10/2013,71.51,0.001679497
24/10/2013,71.39,0.001682322
23/10/2013,71.27,-0.009217942
22/10/2013,71.93,0.012028117
21/10/2013,71.07,-0.013695016
18/10/2013,72.05,0.004730115
17/10/2013,71.71,0.010091186
16/10/2013,70.99,0.006926312
15/10/2013,70.5,-0.016180444
14/10/2013,71.65,0.008972442
11/10/2013,71.01,0.005365729
10/10/2013,70.63,0.02668738
09/10/2013,68.77,0.000872854
08/10/2013,68.71,-0.008405847
07/10/2013,69.29,-0.009908891
04/10/2013,69.98,0.007746417
03/10/2013,69.44,-0.013872228
02/10/2013,70.41,-0.001277411
01/10/2013,70.5,0.008547061
30/09/2013,69.9,-0.007411664
27/09/2013,70.42,-0.00453387
26/09/2013,70.74,-0.005638583
25/09/2013,71.14,-0.005187534
24/09/2013,71.51,0.010543431
23/09/2013,70.76,-0.013893985
20/09/2013,71.75,-0.009432724
19/09/2013,72.43,0.003596131
18/09/2013,72.17,0.011707451
17/09/2013,71.33,0.003089022
16/09/2013,71.11,0.004368973
13/09/2013,70.8,0.00666055
12/09/2013,70.33,0.009141615
11/09/2013,69.69,0.010385208
10/09/2013,68.97,-0.00751123
09/09/2013,69.49,0.027870776
06/09/2013,67.58,0.003112266
05/09/2013,67.37,0.000891001
04/09/2013,67.31,0.015722417
03/09/2013,66.26,0.013675946
30/08/2013,65.36,-0.000152987
29/08/2013,65.37,-0.000152964
28/08/2013,65.38,-0.003968865
27/08/2013,65.64,-0.024529106
26/08/2013,67.27,-0.012996786
23/08/2013,68.15,0.012996786
22/08/2013,67.27,0.014222861
21/08/2013,66.32,-0.00810937
20/08/2013,66.86,0.001646584
19/08/2013,66.75,-0.007462721
16/08/2013,67.25,-0.001634351
15/08/2013,67.36,0.033666097
14/08/2013,65.13,-0.020064513
13/08/2013,66.45,-0.001954447
12/08/2013,66.58,-0.000150184
09/08/2013,66.59,0.008899674
08/08/2013,66,-0.009650256
07/08/2013,66.64,-0.011785025
06/08/2013,67.43,0.002227007
05/08/2013,67.28,0.005813537
02/08/2013,66.89,0.00149611
01/08/2013,66.79,0.017215768
31/07/2013,65.65,0.000761905
30/07/2013,65.6,-0.006079046
29/07/2013,66,-0.003025721
26/07/2013,66.2,0.013841578
25/07/2013,65.29,0.008923136
24/07/2013,64.71,-0.003701994
23/07/2013,64.95,-0.026137334
22/07/2013,66.67,-0.013409021
19/07/2013,67.57,0.012359624
18/07/2013,66.74,0.00616219
17/07/2013,66.33,-0.006761351
