Date,Close,NTRS
04/04/2014,64.16,-0.020212059
03/04/2014,65.47,-0.002593244
02/04/2014,65.64,-0.001674405
01/04/2014,65.75,0.002893917
31/03/2014,65.56,0.009964059
28/03/2014,64.91,0.00913107
27/03/2014,64.32,-0.005426791
26/03/2014,64.67,-0.009847748
25/03/2014,65.31,-0.005192437
24/03/2014,65.65,-0.001826207
21/03/2014,65.77,0.002893036
20/03/2014,65.58,0.02563847
19/03/2014,63.92,0.013228539
18/03/2014,63.08,0.005245184
17/03/2014,62.75,0.01137924
14/03/2014,62.04,0.003875974
13/03/2014,61.8,-0.014458083
12/03/2014,62.7,-0.006993035
11/03/2014,63.14,-0.015401845
10/03/2014,64.12,0.001560793
07/03/2014,64.02,0.01892204
06/03/2014,62.82,0.01104453
05/03/2014,62.13,-0.002571935
04/03/2014,62.29,0.01553178
03/03/2014,61.33,-0.008442979
28/02/2014,61.85,-0.005321306
27/02/2014,62.18,0.007425377
26/02/2014,61.72,-0.00226574
25/02/2014,61.86,-0.009492469
24/02/2014,62.45,0.008846057
21/02/2014,61.9,0.00583281
20/02/2014,61.54,0.001789055
19/02/2014,61.43,-0.012778176
18/02/2014,62.22,-0.000482044
14/02/2014,62.25,0.003379197
13/02/2014,62.04,0.002743929
12/02/2014,61.87,0.0016176
11/02/2014,61.77,0.01500599
10/02/2014,60.85,0.00197401
07/02/2014,60.73,0.016268619
06/02/2014,59.75,0.009923553
05/02/2014,59.16,-0.010425519
04/02/2014,59.78,0.023355267
03/02/2014,58.4,-0.030688633
31/01/2014,60.22,-0.014834622
30/01/2014,61.12,0.006895447
29/01/2014,60.7,-0.00098798
28/01/2014,60.76,0.003462208
27/01/2014,60.55,-0.009533274
24/01/2014,61.13,-0.023762534
23/01/2014,62.6,-0.000159732
22/01/2014,62.61,0.032465114
21/01/2014,60.61,-0.001648533
17/01/2014,60.71,-0.005584771
16/01/2014,61.05,-0.002453989
15/01/2014,61.2,0.009852296
14/01/2014,60.6,0.002809223
13/01/2014,60.43,-0.011353474
10/01/2014,61.12,-0.006035415
09/01/2014,61.49,-0.008582354
08/01/2014,62.02,0.005172983
07/01/2014,61.7,0.012722403
06/01/2014,60.92,-0.006218315
03/01/2014,61.3,0.006710885
02/01/2014,60.89,-0.016289658
31/12/2013,61.89,0.002750588
30/12/2013,61.72,0.004384191
27/12/2013,61.45,-0.004222156
26/12/2013,61.71,0.006666149
24/12/2013,61.3,0.000163145
23/12/2013,61.29,0.007862448
20/12/2013,60.81,0.025482268
