Date,Close,SIAL
04/04/2014,93.32,-0.014785144
03/04/2014,94.71,-0.004319661
02/04/2014,95.12,0.00558749
01/04/2014,94.59,0.012874573
31/03/2014,93.38,0.010874939
28/03/2014,92.37,0.002927307
27/03/2014,92.1,-0.000542741
26/03/2014,92.15,-0.006921191
25/03/2014,92.79,-0.003872222
24/03/2014,93.15,-0.013118089
21/03/2014,94.38,0.00063593
20/03/2014,94.32,-0.002329769
19/03/2014,94.54,-0.006221352
18/03/2014,95.13,-0.000105114
17/03/2014,95.14,0.000630849
14/03/2014,95.08,0.004110244
13/03/2014,94.69,0.003067325
12/03/2014,94.4,0.0019086
11/03/2014,94.22,-0.003284771
10/03/2014,94.53,0.001588058
07/03/2014,94.38,0.00137836
06/03/2014,94.25,0.001061571
05/03/2014,94.15,-0.005507905
04/03/2014,94.67,0.01264965
03/03/2014,93.48,-0.00989949
28/02/2014,94.41,0.005310123
27/02/2014,93.91,-0.000851517
26/02/2014,93.99,0.00063857
25/02/2014,93.93,0.007158533
24/02/2014,93.26,0.002576768
21/02/2014,93.02,-0.010799356
20/02/2014,94.03,0.002768905
19/02/2014,93.77,-0.019537028
18/02/2014,95.62,-0.010300252
14/02/2014,96.61,0.009463957
13/02/2014,95.7,0.00513332
12/02/2014,95.21,0.006427502
11/02/2014,94.6,0.016305578
10/02/2014,93.07,0.003120799
07/02/2014,92.78,0.020581115
06/02/2014,90.89,-0.001978457
05/02/2014,91.07,0.003079294
04/02/2014,90.79,-0.002969483
03/02/2014,91.06,-0.020758231
31/01/2014,92.97,-0.009740511
30/01/2014,93.88,0.01805724
29/01/2014,92.2,0.000216943
28/01/2014,92.18,0.010797945
27/01/2014,91.19,-0.00262841
24/01/2014,91.43,-0.020139269
23/01/2014,93.29,-0.002783132
22/01/2014,93.55,-0.000747983
21/01/2014,93.62,0.011927289
17/01/2014,92.51,-0.002590955
16/01/2014,92.75,-0.002476715
15/01/2014,92.98,-0.000322598
14/01/2014,93.01,0.016695965
13/01/2014,91.47,-0.021094405
10/01/2014,93.42,0.000642467
09/01/2014,93.36,-0.000214202
08/01/2014,93.38,0.00644609
07/01/2014,92.78,0.01170872
06/01/2014,91.7,-0.009442736
03/01/2014,92.57,-0.002265984
02/01/2014,92.78,-0.01317006
31/12/2013,94.01,0.000106377
30/12/2013,94,-0.002019237
27/12/2013,94.19,0.021679321
26/12/2013,92.17,-0.000216967
24/12/2013,92.19,0.009810412
23/12/2013,91.29,0.008028638
20/12/2013,90.56,0.007537167
19/12/2013,89.88,-0.011834458
18/12/2013,90.95,0.016183018
17/12/2013,89.49,-0.00290114
16/12/2013,89.75,0.003460018
13/12/2013,89.44,0.003023349
12/12/2013,89.17,-0.005480079
11/12/2013,89.66,0.003463497
10/12/2013,89.35,-0.00234755
09/12/2013,89.56,0.004251993
06/12/2013,89.18,0.0167349
05/12/2013,87.7,0.004227853
04/12/2013,87.33,0.002637163
03/12/2013,87.1,0.006103549
02/12/2013,86.57,0.003819228
29/11/2013,86.24,-0.00911878
27/11/2013,87.03,0.00011491
