Date,Close,PETM
04/04/2014,69.64,-0.010712093
03/04/2014,70.39,0.004128414
02/04/2014,70.1,0.004288784
01/04/2014,69.8,0.012832704
31/03/2014,68.91,0.006113556
28/03/2014,68.49,0.009535758
27/03/2014,67.84,-0.006757775
26/03/2014,68.3,-0.007148619
25/03/2014,68.79,0.037321079
24/03/2014,66.27,0.00377958
21/03/2014,66.02,-0.006792992
20/03/2014,66.47,-0.002854355
19/03/2014,66.66,-0.004191623
18/03/2014,66.94,-0.009515386
17/03/2014,67.58,-0.001774099
14/03/2014,67.7,-0.011163453
13/03/2014,68.46,-0.01262808
12/03/2014,69.33,0.002599655
11/03/2014,69.15,0.003331646
10/03/2014,68.92,0.003197212
07/03/2014,68.7,0.016289156
06/03/2014,67.59,0.01385497
05/03/2014,66.66,-0.01489009
04/03/2014,67.66,0.005780791
03/03/2014,67.27,0.003126631
28/02/2014,67.06,0.006582908
27/02/2014,66.62,0.00980474
26/02/2014,65.97,0.021605069
25/02/2014,64.56,0.011998586
24/02/2014,63.79,-0.016172021
21/02/2014,64.83,0.000771545
20/02/2014,64.78,0.007903954
19/02/2014,64.27,-0.002331185
18/02/2014,64.42,-0.003563961
14/02/2014,64.65,-0.006321816
13/02/2014,65.06,0.005085148
12/02/2014,64.73,-0.001543687
11/02/2014,64.83,0.002316424
10/02/2014,64.68,-0.003857732
07/02/2014,64.93,0.005405001
06/02/2014,64.58,0.025722874
05/02/2014,62.94,0.002067595
04/02/2014,62.81,0.005427855
03/02/2014,62.47,-0.008448285
31/01/2014,63,-0.012618464
30/01/2014,63.8,0.007867861
29/01/2014,63.3,0
28/01/2014,63.3,0.00015799
27/01/2014,63.29,0.010962061
24/01/2014,62.6,-0.030519909
23/01/2014,64.54,0.02224751
22/01/2014,63.12,-0.010401985
21/01/2014,63.78,-0.00951868
17/01/2014,64.39,-0.020749227
16/01/2014,65.74,0.003962816
15/01/2014,65.48,-0.024439291
14/01/2014,67.1,0.004780409
13/01/2014,66.78,-0.014568416
10/01/2014,67.76,-0.012757707
09/01/2014,68.63,-0.008415604
08/01/2014,69.21,-0.005188079
07/01/2014,69.57,-0.00272734
06/01/2014,69.76,-0.028684411
03/01/2014,71.79,-0.005971825
02/01/2014,72.22,-0.00731189
31/12/2013,72.75,-0.005756595
30/12/2013,73.17,0.003285424
27/12/2013,72.93,-0.004651171
26/12/2013,73.27,-0.000409361
24/12/2013,73.3,0.008494365
23/12/2013,72.68,0.001790264
20/12/2013,72.55,0.004974447
19/12/2013,72.19,0.001247488
18/12/2013,72.1,0.008776263
17/12/2013,71.47,-0.013204723
16/12/2013,72.42,0.000828844
13/12/2013,72.36,-0.003448993
12/12/2013,72.61,-0.004260296
11/12/2013,72.92,-0.003012463
10/12/2013,73.14,0.004110158
09/12/2013,72.84,-0.007386164
06/12/2013,73.38,0.005740073
05/12/2013,72.96,0.005359732
04/12/2013,72.57,-0.00165221
03/12/2013,72.69,0.002341438
02/12/2013,72.52,-0.02168809
29/11/2013,74.11,0.007992998
27/11/2013,73.52,-0.00704801
26/11/2013,74.04,-0.000405104
25/11/2013,74.07,0.007317106
22/11/2013,73.53,-0.014447021
21/11/2013,74.6,0.014311031
20/11/2013,73.54,-0.006235617
19/11/2013,74,-0.006734032
18/11/2013,74.5,-0.001877431
15/11/2013,74.64,0.017843134
14/11/2013,73.32,0.005196238
13/11/2013,72.94,-0.001096191
12/11/2013,73.02,-0.000821355
11/11/2013,73.08,0.007416598
08/11/2013,72.54,0
07/11/2013,72.54,-0.007416598
06/11/2013,73.08,0.010454015
05/11/2013,72.32,0.004712413
04/11/2013,71.98,0.000555864
01/11/2013,71.94,-0.011196468
31/10/2013,72.75,-0.000687049
30/10/2013,72.8,-0.00820798
29/10/2013,73.4,0
28/10/2013,73.4,0.005464494
25/10/2013,73,0.004943707
24/10/2013,72.64,-0.00123822
23/10/2013,72.73,0.003857285
22/10/2013,72.45,0.013339089
21/10/2013,71.49,-0.009882466
18/10/2013,72.2,0.004720264
