Date,Close,CFN
04/04/2014,40.67,-0.001474202
03/04/2014,40.73,0.009869313
02/04/2014,40.33,-0.000743587
01/04/2014,40.36,0.003474811
31/03/2014,40.22,0.018823495
28/03/2014,39.47,0.003299077
27/03/2014,39.34,-0.000508259
26/03/2014,39.36,-0.012874089
25/03/2014,39.87,0.004776879
24/03/2014,39.68,-0.013019713
21/03/2014,40.2,-0.017263067
20/03/2014,40.9,0.00269311
19/03/2014,40.79,-0.008300829
18/03/2014,41.13,0.014695342
17/03/2014,40.53,0.007180915
14/03/2014,40.24,-0.013575428
13/03/2014,40.79,-0.003181988
12/03/2014,40.92,-0.003415471
11/03/2014,41.06,-0.01186311
10/03/2014,41.55,0.0048251
07/03/2014,41.35,-0.006268102
06/03/2014,41.61,0.014524584
05/03/2014,41.01,-0.011395444
04/03/2014,41.48,0.030349858
03/03/2014,40.24,-0.007180915
28/02/2014,40.53,-0.007864381
27/02/2014,40.85,0.000244828
26/02/2014,40.84,0.004417185
25/02/2014,40.66,-0.010763313
24/02/2014,41.1,0.000486736
21/02/2014,41.08,-0.013299676
20/02/2014,41.63,0.014030225
19/02/2014,41.05,-0.00897302
18/02/2014,41.42,0.011412046
14/02/2014,40.95,-0.004872117
13/02/2014,41.15,0.008541846
12/02/2014,40.8,0.007380107
11/02/2014,40.5,0.011922645
10/02/2014,40.02,0.011560822
07/02/2014,39.56,0.019913857
06/02/2014,38.78,0.006727063
05/02/2014,38.52,-0.003110422
04/02/2014,38.64,-0.029578903
03/02/2014,39.8,-0.024079605
31/01/2014,40.77,-0.022794391
30/01/2014,41.71,0.028945229
29/01/2014,40.52,0.014918228
28/01/2014,39.92,0.018200705
27/01/2014,39.2,0.00255428
24/01/2014,39.1,-0.030973142
23/01/2014,40.33,-0.011586473
22/01/2014,40.8,0.000490316
21/01/2014,40.78,0.000735925
17/01/2014,40.75,-0.004651741
16/01/2014,40.94,0.001955991
15/01/2014,40.86,-0.004395611
14/01/2014,41.04,0.007091361
13/01/2014,40.75,-0.011467736
10/01/2014,41.22,-0.000727537
09/01/2014,41.25,0.023051536
08/01/2014,40.31,0.006970404
