Date,Close,FRX
04/04/2014,90.56,-0.022816338
03/04/2014,92.65,-0.005704154
02/04/2014,93.18,-0.001394177
01/04/2014,93.31,0.011208222
31/03/2014,92.27,0.007943026
28/03/2014,91.54,0.003721138
27/03/2014,91.2,-0.001095891
26/03/2014,91.3,-0.01251717
25/03/2014,92.45,-0.000540687
24/03/2014,92.5,0.016349138
21/03/2014,91,-0.050254293
20/03/2014,95.69,-0.003234392
19/03/2014,96,-0.006851475
18/03/2014,96.66,0.014694652
17/03/2014,95.25,-0.00272594
14/03/2014,95.51,0.013916935
13/03/2014,94.19,-0.004132018
12/03/2014,94.58,0.007854833
11/03/2014,93.84,0.00770222
10/03/2014,93.12,-0.016613801
07/03/2014,94.68,-0.005267051
06/03/2014,95.18,-0.036619016
05/03/2014,98.73,-0.006360767
04/03/2014,99.36,0.026515932
03/03/2014,96.76,-0.008336383
28/02/2014,97.57,-0.020190408
27/02/2014,99.56,-0.001605781
26/02/2014,99.72,0.001706228
25/02/2014,99.55,0.01314478
24/02/2014,98.25,0.014042152
21/02/2014,96.88,-0.00432589
20/02/2014,97.3,0.034716996
19/02/2014,93.98,0.031783023
18/02/2014,91.04,0.243141167
14/02/2014,71.39,0.014817176
13/02/2014,70.34,0.013021576
12/02/2014,69.43,-0.001007702
11/02/2014,69.5,0.005193318
10/02/2014,69.14,0.003622405
07/02/2014,68.89,0.039075565
06/02/2014,66.25,-0.00796817
05/02/2014,66.78,0.009327584
04/02/2014,66.16,0.026341492
03/02/2014,64.44,-0.028455339
31/01/2014,66.3,0
30/01/2014,66.3,0.022575699
29/01/2014,64.82,-0.019554549
28/01/2014,66.1,0.014629947
27/01/2014,65.14,0.002921057
24/01/2014,64.95,-0.038361696
23/01/2014,67.49,0.006988356
22/01/2014,67.02,-0.014516623
21/01/2014,68,-0.010823566
17/01/2014,68.74,0.006714373
16/01/2014,68.28,-0.011937833
15/01/2014,69.1,-0.012511848
14/01/2014,69.97,0.032537366
13/01/2014,67.73,-0.018577291
10/01/2014,69,-0.002460738
09/01/2014,69.17,-0.001877664
08/01/2014,69.3,0.164983555
07/01/2014,58.76,0.004947549
06/01/2014,58.47,-0.019477286
03/01/2014,59.62,-0.000167715
02/01/2014,59.63,-0.006685634
31/12/2013,60.03,-0.002661788
30/12/2013,60.19,0.009850651
27/12/2013,59.6,0.007578984
26/12/2013,59.15,0.009341894
24/12/2013,58.6,0.007364939
23/12/2013,58.17,0.014720155
20/12/2013,57.32,0.00682716
19/12/2013,56.93,-0.000877886
18/12/2013,56.98,0.023977705
17/12/2013,55.63,0.005407367
16/12/2013,55.33,-0.002346783
13/12/2013,55.46,0.00851069
12/12/2013,54.99,-0.00471699
11/12/2013,55.25,-0.001266166
10/12/2013,55.32,-0.02004362
09/12/2013,56.44,-0.008292946
06/12/2013,56.91,0.020593662
05/12/2013,55.75,-0.009284123
04/12/2013,56.27,-0.003016594
03/12/2013,56.44,0.002128415
02/12/2013,56.32,0.093164047
29/11/2013,51.31,0.00547197
27/11/2013,51.03,-0.011107977
26/11/2013,51.6,0.007977472
