Date,Close,TSO
04/04/2014,50.58,-0.015108695
03/04/2014,51.35,0.007820177
02/04/2014,50.95,-0.015772891
01/04/2014,51.76,0.022863722
31/03/2014,50.59,0.001780592
28/03/2014,50.5,0.020404789
27/03/2014,49.48,-0.005843845
26/03/2014,49.77,-0.004210533
25/03/2014,49.98,0.010054378
24/03/2014,49.48,-0.017827212
21/03/2014,50.37,-0.026062022
20/03/2014,51.7,0.000580439
19/03/2014,51.67,-0.018028873
18/03/2014,52.61,0.006101068
17/03/2014,52.29,-0.0174412
14/03/2014,53.21,0.004331865
13/03/2014,52.98,-0.028286218
12/03/2014,54.5,0.039866793
11/03/2014,52.37,-0.007798423
10/03/2014,52.78,-0.012988418
07/03/2014,53.47,-0.001495048
06/03/2014,53.55,0.03438462
05/03/2014,51.74,0.015779036
04/03/2014,50.93,-0.000785083
03/03/2014,50.97,-0.000784468
28/02/2014,51.01,0.00550424
27/02/2014,50.73,-0.014481662
26/02/2014,51.47,-0.007741475
25/02/2014,51.87,0.01241529
24/02/2014,51.23,0.017525308
21/02/2014,50.34,0.000397377
20/02/2014,50.32,0.000397535
19/02/2014,50.3,-0.002779434
18/02/2014,50.44,0.003574979
14/02/2014,50.26,0.011607094
13/02/2014,49.68,0.024657388
12/02/2014,48.47,-0.006375343
11/02/2014,48.78,0.020922565
10/02/2014,47.77,-0.002508887
07/02/2014,47.89,0.006073953
06/02/2014,47.6,-0.048189744
05/02/2014,49.95,-0.009960242
04/02/2014,50.45,-0.006322882
03/02/2014,50.77,-0.014664453
31/01/2014,51.52,0.005059361
30/01/2014,51.26,-0.011444214
29/01/2014,51.85,0.018885016
28/01/2014,50.88,0
27/01/2014,50.88,0.006111404
24/01/2014,50.57,-0.034211305
23/01/2014,52.33,-0.00723537
22/01/2014,52.71,-0.005486723
21/01/2014,53,0.007956094
17/01/2014,52.58,-0.003417509
16/01/2014,52.76,0.000379147
15/01/2014,52.74,-0.03300999
14/01/2014,54.51,-0.005488488
13/01/2014,54.81,-0.048086187
10/01/2014,57.51,-0.008484165
09/01/2014,58,0.021434993
08/01/2014,56.77,-0.022641162
07/01/2014,58.07,0.008647581
06/01/2014,57.57,0.007497202
03/01/2014,57.14,-0.014248721
02/01/2014,57.96,-0.009273637
31/12/2013,58.5,0.033901552
30/12/2013,56.55,-0.014396316
27/12/2013,57.37,-0.019163297
26/12/2013,58.48,0.004627654
24/12/2013,58.21,-0.001716444
23/12/2013,58.31,0.037568846
20/12/2013,56.16,-0.004087078
19/12/2013,56.39,-0.019840876
18/12/2013,57.52,0.009432384
17/12/2013,56.98,-0.02410173
16/12/2013,58.37,0.036107524
13/12/2013,56.3,-0.011303547
12/12/2013,56.94,0.012192041
11/12/2013,56.25,-0.025797693
10/12/2013,57.72,-0.004666848
09/12/2013,57.99,0.005013408
06/12/2013,57.7,0.036894132
05/12/2013,55.61,-0.003052341
04/12/2013,55.78,-0.028977292
03/12/2013,57.42,-0.024599159
02/12/2013,58.85,0.003745323
29/11/2013,58.63,-0.007645947
27/11/2013,59.08,0.036543191
26/11/2013,56.96,-0.010478615
25/11/2013,57.56,0.002435207
22/11/2013,57.42,0.012089503
21/11/2013,56.73,0.03042468
20/11/2013,55.03,-0.018544055
19/11/2013,56.06,0.012204028
18/11/2013,55.38,0.015467509
15/11/2013,54.53,-0.007672672
14/11/2013,54.95,0.03105036
13/11/2013,53.27,0.020099274
12/11/2013,52.21,0.019729847
11/11/2013,51.19,0.021722813
08/11/2013,50.09,0.036596887
07/11/2013,48.29,0.017758745
06/11/2013,47.44,-0.010067199
05/11/2013,47.92,-0.009140072
04/11/2013,48.36,0.011229064
01/11/2013,47.82,-0.022128915
31/10/2013,48.89,-0.001022181
30/10/2013,48.94,0.034084763
29/10/2013,47.3,0.002752198
28/10/2013,47.17,0.004461922
25/10/2013,46.96,-0.00148952
24/10/2013,47.03,-0.046326697
23/10/2013,49.26,-0.005264236
22/10/2013,49.52,0.011577259
21/10/2013,48.95,-0.003670477
18/10/2013,49.13,0.026607737
17/10/2013,47.84,0.054996676
16/10/2013,45.28,-0.001103631
15/10/2013,45.33,-0.00528054
14/10/2013,45.57,0.008373782
11/10/2013,45.19,0.037655221
10/10/2013,43.52,0.046563784
09/10/2013,41.54,-0.00264455
08/10/2013,41.65,-0.044378687
07/10/2013,43.54,-0.015270952
04/10/2013,44.21,0.009545527
03/10/2013,43.79,0.010791059
02/10/2013,43.32,0.005091425
01/10/2013,43.1,-0.020211988
30/09/2013,43.98,-0.017132971
27/09/2013,44.74,0.004704837
26/09/2013,44.53,-0.020889649
25/09/2013,45.47,0.008392275
24/09/2013,45.09,0.013396048
23/09/2013,44.49,0.001799776
20/09/2013,44.41,-0.026004355
19/09/2013,45.58,0.002196355
18/09/2013,45.48,-0.002196355
17/09/2013,45.58,0.001976502
16/09/2013,45.49,-0.013537325
13/09/2013,46.11,0.028375378
12/09/2013,44.82,-0.025986928
11/09/2013,46,0.001305199
10/09/2013,45.94,-0.004777425
09/09/2013,46.16,-0.013342139
06/09/2013,46.78,0.008156302
05/09/2013,46.4,-0.007728677
04/09/2013,46.76,-0.005544907
03/09/2013,47.02,0.019977036
30/08/2013,46.09,-0.007995721
29/08/2013,46.46,0.001507809
28/08/2013,46.39,0.0010784
27/08/2013,46.34,-0.034361811
26/08/2013,47.96,-0.021657029
23/08/2013,49.01,-0.00549396
22/08/2013,49.28,0.030911177
21/08/2013,47.78,0.022862977
20/08/2013,46.7,-0.007254139
19/08/2013,47.04,-0.036732009
16/08/2013,48.8,-0.011004798
15/08/2013,49.34,-0.036418312
14/08/2013,51.17,-0.010884461
13/08/2013,51.73,-0.010384709
12/08/2013,52.27,-0.015377617
09/08/2013,53.08,-0.004511286
08/08/2013,53.32,0.004134567
07/08/2013,53.1,-0.02050398
06/08/2013,54.2,-0.034276635
05/08/2013,56.09,0.014184635
02/08/2013,55.3,-0.043350441
01/08/2013,57.75,0.015707129
31/07/2013,56.85,0.022592796
30/07/2013,55.58,0.010672074
29/07/2013,54.99,0.008767179
26/07/2013,54.51,-0.000733541
25/07/2013,54.55,0.022056311
24/07/2013,53.36,-0.013033139
23/07/2013,54.06,0.015284547
22/07/2013,53.24,0.028578817
19/07/2013,51.74,0.01244668
18/07/2013,51.1,-0.038392431
17/07/2013,53.1,0.009080653
16/07/2013,52.62,-0.028477009
15/07/2013,54.14,-0.019389669
12/07/2013,55.2,0.033714163
11/07/2013,53.37,0.052902035
10/07/2013,50.62,-0.045567729
09/07/2013,52.98,0.009672906
08/07/2013,52.47,0.022940765
05/07/2013,51.28,0.017706542
03/07/2013,50.38,-0.006528859
02/07/2013,50.71,-0.02338832
01/07/2013,51.91,-0.007867257
