Date,Close,NUE
04/04/2014,51.1,-0.008767713
03/04/2014,51.55,0.0083764
02/04/2014,51.12,0.009631524
01/04/2014,50.63,0.001779184
31/03/2014,50.54,0.009542816
28/03/2014,50.06,-0.002593518
27/03/2014,50.19,-0.010307326
26/03/2014,50.71,-0.01195741
25/03/2014,51.32,0.008021172
24/03/2014,50.91,-0.00626593
21/03/2014,51.23,0.028712001
20/03/2014,49.78,0.004227485
19/03/2014,49.57,-0.00643477
18/03/2014,49.89,0.008454157
17/03/2014,49.47,0.019802627
14/03/2014,48.5,-0.003088011
13/03/2014,48.65,-0.00614756
12/03/2014,48.95,-0.008543583
11/03/2014,49.37,-0.004244574
10/03/2014,49.58,-0.011430988
07/03/2014,50.15,-0.008735414
06/03/2014,50.59,-0.003748648
05/03/2014,50.78,0.003748648
04/03/2014,50.59,0.020569872
03/03/2014,49.56,-0.013627465
28/02/2014,50.24,-0.002385687
27/02/2014,50.36,0.016013152
26/02/2014,49.56,0.006477755
25/02/2014,49.24,-0.009298632
24/02/2014,49.7,-0.014382989
21/02/2014,50.42,-0.013200862
20/02/2014,51.09,0.008254764
19/02/2014,50.67,-0.012941357
18/02/2014,51.33,0
14/02/2014,51.33,0.015312431
13/02/2014,50.55,0.006350488
12/02/2014,50.23,0.026835061
11/02/2014,48.9,0.014210928
10/02/2014,48.21,-0.00496587
07/02/2014,48.45,0.002686785
06/02/2014,48.32,0.023663548
05/02/2014,47.19,0.008726245
04/02/2014,46.78,0.003426128
03/02/2014,46.62,-0.036436588
31/01/2014,48.35,-0.004951527
30/01/2014,48.59,0.003298292
29/01/2014,48.43,-0.011496739
28/01/2014,48.99,0.011703244
27/01/2014,48.42,-0.006997353
24/01/2014,48.76,-0.028307592
23/01/2014,50.16,-0.010708014
22/01/2014,50.7,-0.000985707
21/01/2014,50.75,-0.012337374
17/01/2014,51.38,-0.008527183
16/01/2014,51.82,0.00541797
15/01/2014,51.54,-0.000581903
14/01/2014,51.57,0.000581903
13/01/2014,51.54,-0.026989867
10/01/2014,52.95,0.003973891
09/01/2014,52.74,-0.006237616
08/01/2014,53.07,0.005290018
07/01/2014,52.79,0.004937344
06/01/2014,52.53,-0.004747896
03/01/2014,52.78,0.000947778
02/01/2014,52.73,-0.01225159
31/12/2013,53.38,-0.002058577
30/12/2013,53.49,-0.009489326
27/12/2013,54,0.006502577
26/12/2013,53.65,0.006169974
24/12/2013,53.32,0.017023297
23/12/2013,52.42,0.008236805
20/12/2013,51.99,-0.007664341
19/12/2013,52.39,0.014419167
18/12/2013,51.64,0.002520602
17/12/2013,51.51,-0.010428831
16/12/2013,52.05,0.00887694
13/12/2013,51.59,0.007197774
12/12/2013,51.22,-0.004480382
11/12/2013,51.45,-0.027225608
10/12/2013,52.87,0.006832443
09/12/2013,52.51,0.00572958
06/12/2013,52.21,0.006726267
05/12/2013,51.86,0.007548666
04/12/2013,51.47,0.018036168
03/12/2013,50.55,-0.00118624
02/12/2013,50.61,-0.008852227
29/11/2013,51.06,0.001764187
27/11/2013,50.97,-0.008011767
26/11/2013,51.38,-0.005434796
25/11/2013,51.66,-0.005982841
22/11/2013,51.97,-0.020568236
21/11/2013,53.05,0.00661941
20/11/2013,52.7,-0.009630893
19/11/2013,53.21,0.003765774
18/11/2013,53.01,-0.011255043
15/11/2013,53.61,0.00955869
14/11/2013,53.1,0.013461195
13/11/2013,52.39,-0.026185917
12/11/2013,53.78,-0.012748441
11/11/2013,54.47,-0.002750025
08/11/2013,54.62,0.020531564
07/11/2013,53.51,-0.010780774
06/11/2013,54.09,0.01059391
05/11/2013,53.52,0.004119085
04/11/2013,53.3,0.010372559
01/11/2013,52.75,0.018752941
31/10/2013,51.77,0.007561839
30/10/2013,51.38,-0.003303219
29/10/2013,51.55,0.008180801
28/10/2013,51.13,-0.005266763
25/10/2013,51.4,0.000973236
24/10/2013,51.35,0.003316106
23/10/2013,51.18,-0.004678371
22/10/2013,51.42,0.01350975
21/10/2013,50.73,-0.007071332
18/10/2013,51.09,0.005889299
17/10/2013,50.79,0.019282975
16/10/2013,49.82,0.006847962
15/10/2013,49.48,0.004050228
14/10/2013,49.28,0.007127614
11/10/2013,48.93,0.0113042
10/10/2013,48.38,0.016674
09/10/2013,47.58,-0.009205086
08/10/2013,48.02,-0.01077061
07/10/2013,48.54,-0.004932192
04/10/2013,48.78,0.006994474
03/10/2013,48.44,-0.008018959
02/10/2013,48.83,-0.00265876
01/10/2013,48.96,-0.00122474
30/09/2013,49.02,0.004498065
27/09/2013,48.8,-0.010599365
26/09/2013,49.32,-0.003238869
25/09/2013,49.48,-0.01643653
24/09/2013,50.3,0.008384956
23/09/2013,49.88,-0.009775639
20/09/2013,50.37,0.003380733
19/09/2013,50.2,-0.013258332
18/09/2013,50.87,0.027906934
17/09/2013,49.47,0.007711077
16/09/2013,49.09,0.016223787
13/09/2013,48.3,-0.001034661
12/09/2013,48.35,-0.006802046
11/09/2013,48.68,0.014692453
10/09/2013,47.97,0.006063793
09/09/2013,47.68,0.022696912
06/09/2013,46.61,0.000214569
05/09/2013,46.6,0.005379249
04/09/2013,46.35,0.014560727
03/09/2013,45.68,0.004168044
30/08/2013,45.49,-0.005043317
29/08/2013,45.72,0.001313198
28/08/2013,45.66,0.002851192
27/08/2013,45.53,-0.015690015
26/08/2013,46.25,-0.001512369
23/08/2013,46.32,-0.003017894
22/08/2013,46.46,0.01583719
21/08/2013,45.73,-0.016267575
20/08/2013,46.48,0.006691876
19/08/2013,46.17,-0.016113787
16/08/2013,46.92,-0.00658526
15/08/2013,47.23,-0.010321313
14/08/2013,47.72,-0.008762835
13/08/2013,48.14,-0.010332805
12/08/2013,48.64,-0.011853807
09/08/2013,49.22,0.039367006
08/08/2013,47.32,0.022871575
07/08/2013,46.25,-0.005390849
06/08/2013,46.5,-0.004077696
05/08/2013,46.69,-0.010651997
02/08/2013,47.19,0.001060108
01/08/2013,47.14,0.007666136
31/07/2013,46.78,-0.000213744
30/07/2013,46.79,-0.00042735
29/07/2013,46.81,-0.002134017
26/07/2013,46.91,0.006630331
25/07/2013,46.6,0.016443469
24/07/2013,45.84,-0.01429524
23/07/2013,46.5,0.009290334
22/07/2013,46.07,0.009377454
19/07/2013,45.64,-0.000219082
18/07/2013,45.65,0.007917349
17/07/2013,45.29,0.011771374
16/07/2013,44.76,-0.01155055
15/07/2013,45.28,0.008873173
12/07/2013,44.88,-0.016353956
11/07/2013,45.62,0.032526815
10/07/2013,44.16,-0.014165498
09/07/2013,44.79,0.020526265
08/07/2013,43.88,0.000683917
05/07/2013,43.85,0.006865016
03/07/2013,43.55,-0.005724114
02/07/2013,43.8,-0.000912825
01/07/2013,43.84,0.011932221
28/06/2013,43.32,-0.017391743
27/06/2013,44.08,0.009573814
26/06/2013,43.66,-0.00045798
25/06/2013,43.68,0.012671521
24/06/2013,43.13,-0.019970823
21/06/2013,44,0
20/06/2013,44,-0.019133955
19/06/2013,44.85,-0.000445831
18/06/2013,44.87,-0.002448527
17/06/2013,44.98,0.006244445
14/06/2013,44.7,-0.01200815
13/06/2013,45.24,0.029611854
12/06/2013,43.92,0.00662481
11/06/2013,43.63,-0.016818578
10/06/2013,44.37,-0.002700879
07/06/2013,44.49,0.000224795
06/06/2013,44.48,0.003152446
05/06/2013,44.34,-0.018324535
04/06/2013,45.16,0.004438534
