Date,Close,APA
04/04/2014,85.47,0.00128783
03/04/2014,85.36,0.013326455
02/04/2014,84.23,0.005595586
01/04/2014,83.76,0.00971755
31/03/2014,82.95,-0.000843526
28/03/2014,83.02,0.011387161
27/03/2014,82.08,0.007582279
26/03/2014,81.46,-0.005753122
25/03/2014,81.93,0.014259615
24/03/2014,80.77,0.000743126
21/03/2014,80.71,0.008211044
20/03/2014,80.05,0.009035072
19/03/2014,79.33,-0.008910142
18/03/2014,80.04,0.008406047
17/03/2014,79.37,0.001765448
14/03/2014,79.23,0.003033753
13/03/2014,78.99,-0.002528766
12/03/2014,79.19,-0.004535727
11/03/2014,79.55,-0.01187143
10/03/2014,80.5,0.005605745
07/03/2014,80.05,0.006642877
06/03/2014,79.52,0.006434136
05/03/2014,79.01,-0.01843428
04/03/2014,80.48,0.007733605
03/03/2014,79.86,0.007163084
28/02/2014,79.29,-0.00377644
27/02/2014,79.59,-0.002885643
26/02/2014,79.82,-0.040150258
25/02/2014,83.09,-0.014813316
24/02/2014,84.33,-0.002723668
21/02/2014,84.56,0.002367986
20/02/2014,84.36,0.00344357
19/02/2014,84.07,0.008961169
18/02/2014,83.32,-0.000839782
14/02/2014,83.39,0.029573193
13/02/2014,80.96,-0.003944778
12/02/2014,81.28,-0.001229559
11/02/2014,81.38,0.00777158
10/02/2014,80.75,-0.008017311
07/02/2014,81.4,0.018349139
06/02/2014,79.92,0.02406093
05/02/2014,78.02,-0.006133421
04/02/2014,78.5,-0.002925652
03/02/2014,78.73,-0.019247088
31/01/2014,80.26,-0.012628619
30/01/2014,81.28,0.003203946
29/01/2014,81.02,-0.011901251
28/01/2014,81.99,0.009928377
27/01/2014,81.18,-0.015159214
24/01/2014,82.42,-0.01409577
23/01/2014,83.59,-0.011182605
22/01/2014,84.53,0.000473317
21/01/2014,84.49,0.002132702
17/01/2014,84.31,-0.018683347
16/01/2014,85.9,0.017142606
15/01/2014,84.44,-0.01469491
14/01/2014,85.69,0.016472899
13/01/2014,84.29,-0.022406944
10/01/2014,86.2,0.001276917
09/01/2014,86.09,-0.006483755
08/01/2014,86.65,-0.014322789
07/01/2014,87.9,0.018254338
06/01/2014,86.31,0.008961363
03/01/2014,85.54,0.000701672
02/01/2014,85.48,-0.005366948
31/12/2013,85.94,-0.002556655
30/12/2013,86.16,-0.006017144
27/12/2013,86.68,0.00427771
26/12/2013,86.31,0.001159286
24/12/2013,86.21,0.002904108
23/12/2013,85.96,-0.005221338
20/12/2013,86.41,-0.002080926
19/12/2013,86.59,0.008349811
18/12/2013,85.87,0.006894564
17/12/2013,85.28,-0.010033919
16/12/2013,86.14,-0.000232153
13/12/2013,86.16,0.00150996
12/12/2013,86.03,-0.004523058
11/12/2013,86.42,-0.016753117
10/12/2013,87.88,-0.012439378
09/12/2013,88.98,-0.000449438
06/12/2013,89.02,-0.009169247
05/12/2013,89.84,-0.00055639
04/12/2013,89.89,-0.007425914
03/12/2013,90.56,-0.007042283
02/12/2013,91.2,-0.00317478
29/11/2013,91.49,-0.005993588
27/11/2013,92.04,-0.018301727
26/11/2013,93.74,0.005348178
25/11/2013,93.24,-0.012576101
22/11/2013,94.42,0.004564521
21/11/2013,93.99,0.008655287
20/11/2013,93.18,0.001826092
19/11/2013,93.01,0.011027139
18/11/2013,91.99,-0.005528769
15/11/2013,92.5,0.004008021
14/11/2013,92.13,0.013990828
13/11/2013,90.85,0.012627549
12/11/2013,89.71,-0.000891365
11/11/2013,89.79,-0.000111365
08/11/2013,89.8,0.013565991
07/11/2013,88.59,0.001581564
06/11/2013,88.45,-0.007658558
05/11/2013,89.13,-0.013595039
04/11/2013,90.35,0.012361647
01/11/2013,89.24,0.00494272
31/10/2013,88.8,-0.001462893
