Date,Close,XOM
04/04/2014,97.36,-0.005837489
03/04/2014,97.93,-0.000204207
02/04/2014,97.95,0.00224857
01/04/2014,97.73,0.000511745
31/03/2014,97.68,-0.000204729
28/03/2014,97.7,0.015056487
27/03/2014,96.24,0.016131071
26/03/2014,94.7,-0.002215074
25/03/2014,94.91,0.002848854
24/03/2014,94.64,0.003492991
21/03/2014,94.31,-0.002858809
20/03/2014,94.58,0.009027728
19/03/2014,93.73,-0.010401282
18/03/2014,94.71,0.004126335
17/03/2014,94.32,0.009052727
14/03/2014,93.47,-0.001817113
13/03/2014,93.64,-0.00606869
12/03/2014,94.21,0.002125173
11/03/2014,94.01,-0.015725088
10/03/2014,95.5,0.005354625
07/03/2014,94.99,0.013033297
06/03/2014,93.76,-0.00042653
05/03/2014,93.8,-0.028585385
04/03/2014,96.52,0.010623993
03/03/2014,95.5,-0.008030496
28/02/2014,96.27,0.004476609
27/02/2014,95.84,0.000521839
26/02/2014,95.79,-0.00541386
25/02/2014,96.31,-0.001348898
24/02/2014,96.44,0.014728422
21/02/2014,95.03,-0.003571432
20/02/2014,95.37,0.015001338
19/02/2014,93.95,-0.00127646
18/02/2014,94.07,-0.000425125
14/02/2014,94.11,0.028890659
13/02/2014,91.43,0.003835411
12/02/2014,91.08,0.002638524
11/02/2014,90.84,0.014637653
10/02/2014,89.52,-0.011771374
07/02/2014,90.58,0.008648463
06/02/2014,89.8,0.002452895
05/02/2014,89.58,-0.004899787
04/02/2014,90.02,-0.000333204
03/02/2014,90.05,-0.023161125
31/01/2014,92.16,-0.019662197
30/01/2014,93.99,-0.011845723
29/01/2014,95.11,-0.005661579
28/01/2014,95.65,0.007661264
27/01/2014,94.92,0.000737735
24/01/2014,94.85,-0.022104956
23/01/2014,96.97,-0.009340586
22/01/2014,97.88,-0.00631431
21/01/2014,98.5,-0.006678159
17/01/2014,99.16,0.002221101
16/01/2014,98.94,0.001618451
15/01/2014,98.78,-0.003436082
14/01/2014,99.12,0.005767204
13/01/2014,98.55,-0.019792679
10/01/2014,100.52,0.007589411
09/01/2014,99.76,-0.009775639
08/01/2014,100.74,-0.003270406
07/01/2014,101.07,0.014048953
06/01/2014,99.66,0.001506251
03/01/2014,99.51,-0.002408914
02/01/2014,99.75,-0.014431701
31/12/2013,101.2,0.008833366
30/12/2013,100.31,-0.011891925
27/12/2013,101.51,0.006027388
26/12/2013,100.9,0.01679032
24/12/2013,99.22,0.007181541
23/12/2013,98.51,-0.001724226
20/12/2013,98.68,-0.007571587
19/12/2013,99.43,-0.001105694
18/12/2013,99.54,0.028429242
17/12/2013,96.75,-0.00484612
16/12/2013,97.22,0.019841715
13/12/2013,95.31,-0.000524466
12/12/2013,95.36,0.011602282
11/12/2013,94.26,-0.015265865
10/12/2013,95.71,-0.001357348
09/12/2013,95.84,0.001984438
06/12/2013,95.65,0.01601889
05/12/2013,94.13,-0.005720355
04/12/2013,94.67,0.002962025
03/12/2013,94.39,0.009259818
02/12/2013,93.52,0.000427807
29/11/2013,93.48,-0.003417346
27/11/2013,93.8,-0.004998149
26/11/2013,94.27,-0.008660806
25/11/2013,95.09,0.000841662
22/11/2013,95.01,0.003373751
21/11/2013,94.69,0.000105613
20/11/2013,94.68,-0.007785415
19/11/2013,95.42,-0.00031435
18/11/2013,95.45,0.001887584
15/11/2013,95.27,0.021752675
14/11/2013,93.22,0.006781146
13/11/2013,92.59,-0.000863651
12/11/2013,92.67,-0.003124498
11/11/2013,92.96,0.002477248
08/11/2013,92.73,0.008338345
07/11/2013,91.96,-0.013608591
06/11/2013,93.22,0.013282415
05/11/2013,91.99,-0.001195068
04/11/2013,92.1,0.025067276
01/11/2013,89.82,0.002229158
31/10/2013,89.62,0.009079253
30/10/2013,88.81,-0.001350287
29/10/2013,88.93,0.007902502
28/10/2013,88.23,0.002951194
25/10/2013,87.97,-0.005102341
24/10/2013,88.42,0.009203042
23/10/2013,87.61,-0.004214369
22/10/2013,87.98,0.008561207
21/10/2013,87.23,-0.00366175
18/10/2013,87.55,0.000799863
17/10/2013,87.48,0.001945192
16/10/2013,87.31,0.005973596
15/10/2013,86.79,-0.00928959
14/10/2013,87.6,0.007447757
11/10/2013,86.95,0.010520936
10/10/2013,86.04,0.010280464
09/10/2013,85.16,-0.004101488
08/10/2013,85.51,-0.004550501
07/10/2013,85.9,-0.004877492
04/10/2013,86.32,0.009544945
03/10/2013,85.5,-0.00676072
02/10/2013,86.08,0.0009298
01/10/2013,86,-0.000465008
30/09/2013,86.04,-0.009945728
27/09/2013,86.9,-0.001954361
26/09/2013,87.07,-0.000803628
25/09/2013,87.14,-0.002521491
24/09/2013,87.36,-0.00445435
23/09/2013,87.75,-0.010316967
20/09/2013,88.66,-0.006968669
19/09/2013,89.28,-0.003354582
18/09/2013,89.58,0.007170096
17/09/2013,88.94,0.003040372
16/09/2013,88.67,0.003049644
13/09/2013,88.4,0.004762454
12/09/2013,87.98,-0.009727483
11/09/2013,88.84,0.011547734
10/09/2013,87.82,-0.002501992
09/09/2013,88.04,0.009013696
06/09/2013,87.25,-0.001145475
05/09/2013,87.35,-0.004682779
04/09/2013,87.76,0.006975044
03/09/2013,87.15,-0.000114738
30/08/2013,87.16,-0.001261251
29/08/2013,87.27,-0.017830238
28/08/2013,88.84,0.022999989
27/08/2013,86.82,-0.003105057
26/08/2013,87.09,-0.004925272
23/08/2013,87.52,0.006189132
22/08/2013,86.98,0.006459077
21/08/2013,86.42,-0.004733054
20/08/2013,86.83,-0.001035971
19/08/2013,86.92,-0.011325408
16/08/2013,87.91,-0.002839782
15/08/2013,88.16,-0.008921069
14/08/2013,88.95,-0.005046268
13/08/2013,89.4,-0.005466018
12/08/2013,89.89,-0.009191139
09/08/2013,90.72,-0.011616569
08/08/2013,91.78,0.004805601
07/08/2013,91.34,-0.001422242
06/08/2013,91.47,-0.001311046
05/08/2013,91.59,-0.003922856
02/08/2013,91.95,-0.008447094
01/08/2013,92.73,-0.01093962
31/07/2013,93.75,-0.000639795
30/07/2013,93.81,-0.00234242
29/07/2013,94.03,-0.008050038
26/07/2013,94.79,-0.001897134
25/07/2013,94.97,-0.000210571
24/07/2013,94.99,-0.002208319
23/07/2013,95.2,0.003894127
22/07/2013,94.83,-0.003578951
19/07/2013,95.17,0.00833558
18/07/2013,94.38,0.009795649
17/07/2013,93.46,0.001713429
16/07/2013,93.3,0.000536049
15/07/2013,93.25,-0.001607287
12/07/2013,93.4,0.001392832
11/07/2013,93.27,0.004836379
10/07/2013,92.82,-0.005586607
09/07/2013,93.34,0.011746458
08/07/2013,92.25,0.007398576
05/07/2013,91.57,0.00965661
03/07/2013,90.69,0.000551481
02/07/2013,90.64,0.003758156
01/07/2013,90.3,-0.000553557
28/06/2013,90.35,0.003437001
27/06/2013,90.04,0.002669041
26/06/2013,89.8,0.007713414
25/06/2013,89.11,0.007095024
24/06/2013,88.48,-0.011238599
21/06/2013,89.48,0.004817127
20/06/2013,89.05,-0.021661497
19/06/2013,91,-0.010167911
18/06/2013,91.93,0.004579162
17/06/2013,91.51,0.010214818
14/06/2013,90.58,-0.008245883
13/06/2013,91.33,0.01756272
12/06/2013,89.74,-0.007991164
11/06/2013,90.46,-0.007269555
10/06/2013,91.12,-0.003615056
