Date,Close,LNC
04/04/2014,50.38,-0.02295794
03/04/2014,51.55,-0.000387898
02/04/2014,51.57,0.013077185
01/04/2014,50.9,0.004528904
31/03/2014,50.67,0.015112636
28/03/2014,49.91,0.00321092
27/03/2014,49.75,-0.025207249
26/03/2014,51.02,-0.014593118
25/03/2014,51.77,-0.004240561
24/03/2014,51.99,-0.000192326
21/03/2014,52,-0.002880463
20/03/2014,52.15,0.016433429
19/03/2014,51.3,0.015717416
18/03/2014,50.5,0.001783768
17/03/2014,50.41,0
14/03/2014,50.41,-0.009476873
13/03/2014,50.89,-0.01753064
12/03/2014,51.79,-0.003854312
11/03/2014,51.99,-0.004031102
10/03/2014,52.2,-0.013698844
07/03/2014,52.92,0.018884681
06/03/2014,51.93,0.015329688
05/03/2014,51.14,0.000978187
04/03/2014,51.09,0.025774623
03/03/2014,49.79,-0.006805471
28/02/2014,50.13,0.009621241
27/02/2014,49.65,-0.001006543
26/02/2014,49.7,-0.008614698
25/02/2014,50.13,-0.012685998
24/02/2014,50.77,0.016283124
21/02/2014,49.95,0.002806738
20/02/2014,49.81,0.004224933
19/02/2014,49.6,-0.008232152
18/02/2014,50.01,0.016735949
14/02/2014,49.18,-0.007898775
13/02/2014,49.57,0.003232979
12/02/2014,49.41,0.004462482
11/02/2014,49.19,0.013096156
10/02/2014,48.55,-0.014924124
07/02/2014,49.28,0.024444064
06/02/2014,48.09,0.020588963
05/02/2014,47.11,0.00532086
04/02/2014,46.86,0.023317119
03/02/2014,45.78,-0.047978501
31/01/2014,48.03,0.000624805
30/01/2014,48,0.023823199
29/01/2014,46.87,-0.02006615
28/01/2014,47.82,0.013050069
27/01/2014,47.2,-0.014095111
24/01/2014,47.87,-0.042333281
23/01/2014,49.94,-0.032117823
22/01/2014,51.57,0.004275172
21/01/2014,51.35,-0.004662919
17/01/2014,51.59,-0.002903322
16/01/2014,51.74,-0.014581993
15/01/2014,52.5,0.01574231
14/01/2014,51.68,0.012069448
13/01/2014,51.06,-0.020739187
10/01/2014,52.13,-0.004402342
09/01/2014,52.36,0.007668749
08/01/2014,51.96,0.00850411
07/01/2014,51.52,0.006816659
06/01/2014,51.17,0.007257068
03/01/2014,50.8,0.005329135
02/01/2014,50.53,-0.021341975
31/12/2013,51.62,0.005828655
30/12/2013,51.32,-0.006409656
27/12/2013,51.65,-0.005791522
26/12/2013,51.95,0.002312585
24/12/2013,51.83,0.005416922
23/12/2013,51.55,0.003692551
20/12/2013,51.36,0.000973994
19/12/2013,51.31,0
18/12/2013,51.31,0.024263938
17/12/2013,50.08,-0.018399965
16/12/2013,51.01,0.001373222
13/12/2013,50.94,0.007092228
12/12/2013,50.58,0.003366673
11/12/2013,50.41,-0.013399215
10/12/2013,51.09,-0.011868998
09/12/2013,51.7,0.005236122
06/12/2013,51.43,0.015282429
05/12/2013,50.65,-0.008845267
04/12/2013,51.1,0.008055845
03/12/2013,50.69,-0.020115901
02/12/2013,51.72,0.007569177
29/11/2013,51.33,-0.004082829
27/11/2013,51.54,0.011709736
26/11/2013,50.94,0.004919817
25/11/2013,50.69,0.004151434
22/11/2013,50.48,0.002578599
21/11/2013,50.35,0.016218195
20/11/2013,49.54,-0.00423004
19/11/2013,49.75,-0.009203746
18/11/2013,50.21,0.004191205
15/11/2013,50,0.00020002
14/11/2013,49.99,0.016132635
13/11/2013,49.19,0.009190303
12/11/2013,48.74,0.002053811
11/11/2013,48.64,-0.002464067
08/11/2013,48.76,0.055230052
07/11/2013,46.14,-0.018467349
06/11/2013,47,0.007260335
05/11/2013,46.66,0.010773644
04/11/2013,46.16,0.012205906
01/11/2013,45.6,0.004175371
31/10/2013,45.41,0.003308705
30/10/2013,45.26,-0.004629128
29/10/2013,45.47,0.025616725
28/10/2013,44.32,-0.007642204
25/10/2013,44.66,0.004938282
24/10/2013,44.44,0.014734484
23/10/2013,43.79,-0.025255006
22/10/2013,44.91,-0.00466512
21/10/2013,45.12,-0.007507211
18/10/2013,45.46,0.018874769
17/10/2013,44.61,0.00022419
16/10/2013,44.6,0.018785208
15/10/2013,43.77,-0.003876416
14/10/2013,43.94,0.00319125
11/10/2013,43.8,0.011019395
10/10/2013,43.32,0.04099514
09/10/2013,41.58,-0.003121626
08/10/2013,41.71,-0.016407454
07/10/2013,42.4,-0.016374635
04/10/2013,43.1,0.026806214
03/10/2013,41.96,-0.008306681
02/10/2013,42.31,-0.008003809
01/10/2013,42.65,0.015595779
30/09/2013,41.99,-0.00380319
27/09/2013,42.15,-0.010619569
26/09/2013,42.6,0.0051777
25/09/2013,42.38,0.008530857
24/09/2013,42.02,0.003337309
23/09/2013,41.88,-0.008795968
20/09/2013,42.25,0.000947194
19/09/2013,42.21,-0.037433174
18/09/2013,43.82,-0.025015389
17/09/2013,44.93,0.006251416
16/09/2013,44.65,0.00493939
13/09/2013,44.43,0.003381809
12/09/2013,44.28,-0.019235664
11/09/2013,45.14,0.003550825
10/09/2013,44.98,0.016814655
09/09/2013,44.23,0.011368926
06/09/2013,43.73,-0.002740353
05/09/2013,43.85,0.000684385
04/09/2013,43.82,0.027766707
03/09/2013,42.62,0.013702081
30/08/2013,42.04,-0.010411831
29/08/2013,42.48,0.007324309
28/08/2013,42.17,-0.003786987
27/08/2013,42.33,-0.040736945
26/08/2013,44.09,-0.00226552
23/08/2013,44.19,-0.005866443
22/08/2013,44.45,0.028061611
21/08/2013,43.22,0.00185271
20/08/2013,43.14,0.009081446
19/08/2013,42.75,-0.018540508
16/08/2013,43.55,0.021351473
15/08/2013,42.63,-0.007478418
14/08/2013,42.95,-0.004645769
13/08/2013,43.15,0.007910697
12/08/2013,42.81,-0.011611835
09/08/2013,43.31,-0.001845445
08/08/2013,43.39,0.002769446
07/08/2013,43.27,-0.002999887
06/08/2013,43.4,-0.010771274
05/08/2013,43.87,-0.008398642
02/08/2013,44.24,-0.004510608
01/08/2013,44.44,0.064358519
31/07/2013,41.67,0.011828744
30/07/2013,41.18,-0.005811154
29/07/2013,41.42,-0.003133665
26/07/2013,41.55,0.004583291
25/07/2013,41.36,0.000967586
24/07/2013,41.32,-0.005550877
23/07/2013,41.55,0.002892265
22/07/2013,41.43,0.013119722
19/07/2013,40.89,-0.01408474
18/07/2013,41.47,0.039596959
17/07/2013,39.86,-0.006501648
16/07/2013,40.12,0.004246291
15/07/2013,39.95,0.009810165
12/07/2013,39.56,-0.002272441
11/07/2013,39.65,-0.008538475
10/07/2013,39.99,0.013848893
09/07/2013,39.44,0.019457859
