Date,Close,CHK
04/04/2014,26.59,-0.001127608
03/04/2014,26.62,0.006406655
02/04/2014,26.45,0.012172079
01/04/2014,26.13,0.019710783
31/03/2014,25.62,-0.001949698
28/03/2014,25.67,-0.005439019
27/03/2014,25.81,0.039112234
26/03/2014,24.82,-0.016383983
25/03/2014,25.23,0.020825743
24/03/2014,24.71,0.001620089
21/03/2014,24.67,-0.000810373
20/03/2014,24.69,0.000810373
19/03/2014,24.67,-0.011285892
18/03/2014,24.95,0.010475519
17/03/2014,24.69,-0.013676802
14/03/2014,25.03,-0.007165636
13/03/2014,25.21,0.002780538
12/03/2014,25.14,-0.004761914
11/03/2014,25.26,-0.014541423
10/03/2014,25.63,-0.008547061
07/03/2014,25.85,0.012848142
06/03/2014,25.52,0.000784006
05/03/2014,25.5,-0.006644543
04/03/2014,25.67,0.002730643
03/03/2014,25.6,-0.012036643
28/02/2014,25.91,0.000386026
27/02/2014,25.9,0.011260068
26/02/2014,25.61,-0.050629271
25/02/2014,26.94,-0.012908164
24/02/2014,27.29,0.026737575
21/02/2014,26.57,-0.003006391
20/02/2014,26.65,0.00942514
19/02/2014,26.4,0.021827403
18/02/2014,25.83,0.027076404
14/02/2014,25.14,0.007586381
13/02/2014,24.95,0.008048333
12/02/2014,24.75,-0.002824291
11/02/2014,24.82,0.005656581
10/02/2014,24.68,0.003653343
07/02/2014,24.59,0.007346972
06/02/2014,24.41,-0.071148133
05/02/2014,26.21,-0.012512012
04/02/2014,26.54,0.02094118
03/02/2014,25.99,-0.034786116
31/01/2014,26.91,-0.002597886
30/01/2014,26.98,-0.007017573
29/01/2014,27.17,0.015205188
28/01/2014,26.76,0.028427156
27/01/2014,26.01,-0.032901436
24/01/2014,26.88,-0.000743771
23/01/2014,26.9,-0.00851384
22/01/2014,27.13,0.025383968
21/01/2014,26.45,0.038540415
17/01/2014,25.45,-0.019070436
16/01/2014,25.94,0.018677586
15/01/2014,25.46,-0.006654947
14/01/2014,25.63,0.018905644
13/01/2014,25.15,-0.022022125
10/01/2014,25.71,0.003897121
09/01/2014,25.61,-0.009327701
08/01/2014,25.85,-0.017638494
07/01/2014,26.31,0.004189684
06/01/2014,26.2,-0.008361888
03/01/2014,26.42,-0.007541514
02/01/2014,26.62,-0.019345841
31/12/2013,27.14,0.003321649
30/12/2013,27.05,-0.016135297
27/12/2013,27.49,-0.008331872
26/12/2013,27.72,0.003976148
24/12/2013,27.61,0.006540721
23/12/2013,27.43,0.011734641
20/12/2013,27.11,-0.003681889
19/12/2013,27.21,0.021170707
18/12/2013,26.64,0.010566136
17/12/2013,26.36,-0.015434148
16/12/2013,26.77,-0.008555008
13/12/2013,27,0.010050336
12/12/2013,26.73,0.010908515
11/12/2013,26.44,-0.013896937
10/12/2013,26.81,0.016168805
09/12/2013,26.38,-0.003783584
06/12/2013,26.48,-0.021297274
05/12/2013,27.05,-0.001846723
04/12/2013,27.1,0.00332656
03/12/2013,27.01,0.008551828
02/12/2013,26.78,-0.003355082
29/11/2013,26.87,0.008221272
27/11/2013,26.65,0.012840056
26/11/2013,26.31,0.001521491
25/11/2013,26.27,-0.001141335
22/11/2013,26.3,-0.001140034
21/11/2013,26.33,0.030071657
