Date,Close,WFC
04/04/2014,49.56,-0.005433156
03/04/2014,49.83,0.001405764
02/04/2014,49.76,-0.000200944
01/04/2014,49.77,0.000602954
31/03/2014,49.74,0.009088218
28/03/2014,49.29,0.003862186
27/03/2014,49.1,0.012295237
26/03/2014,48.5,-0.00943984
25/03/2014,48.96,-0.000408413
24/03/2014,48.98,-0.002854232
21/03/2014,49.12,0.001833928
20/03/2014,49.03,0.025197533
19/03/2014,47.81,-0.012264991
18/03/2014,48.4,0.00559413
17/03/2014,48.13,0.015283455
14/03/2014,47.4,-0.009239881
13/03/2014,47.84,-0.005835781
12/03/2014,48.12,0.006463068
11/03/2014,47.81,-0.007086316
10/03/2014,48.15,0.004162337
07/03/2014,47.95,0.012803197
06/03/2014,47.34,0.00529494
05/03/2014,47.09,0.007460335
04/03/2014,46.74,0.012703368
03/03/2014,46.15,-0.00583344
28/02/2014,46.42,0.008002638
27/02/2014,46.05,0
26/02/2014,46.05,-0.000651254
25/02/2014,46.08,0
24/02/2014,46.08,0.0104713
21/02/2014,45.6,-0.000657678
20/02/2014,45.63,0.002193946
19/02/2014,45.53,-0.013092048
18/02/2014,46.13,0
14/02/2014,46.13,0.003256978
13/02/2014,45.98,-0.000217462
12/02/2014,45.99,0.000434972
11/02/2014,45.97,0.00983722
10/02/2014,45.52,0.003300696
07/02/2014,45.37,0.013089483
06/02/2014,44.78,0.012358319
05/02/2014,44.23,-0.01213498
04/02/2014,44.77,0.007623355
03/02/2014,44.43,-0.020274728
31/01/2014,45.34,-0.015538118
30/01/2014,46.05,0.010039368
29/01/2014,45.59,-0.008083059
28/01/2014,45.96,0.009400004
27/01/2014,45.53,0.00109878
24/01/2014,45.48,-0.018948623
23/01/2014,46.35,-0.006880268
22/01/2014,46.67,0.003649247
21/01/2014,46.5,0.002368394
17/01/2014,46.39,0
16/01/2014,46.39,-0.00021554
15/01/2014,46.4,0.017611065
14/01/2014,45.59,0.000658256
13/01/2014,45.56,-0.008306059
10/01/2014,45.94,-0.004777425
09/01/2014,46.16,0.00521287
08/01/2014,45.92,0.011388647
07/01/2014,45.4,-0.000440432
06/01/2014,45.42,0.001762892
03/01/2014,45.34,0.00708281
02/01/2014,45.02,-0.00840527
31/12/2013,45.4,-0.002200221
30/12/2013,45.5,0
27/12/2013,45.5,-0.000878735
26/12/2013,45.54,0.003299244
24/12/2013,45.39,0.003973515
23/12/2013,45.21,0.005545096
20/12/2013,44.96,-0.00133363
19/12/2013,45.02,0.002001112
18/12/2013,44.93,0.030277957
17/12/2013,43.59,-0.008907219
16/12/2013,43.98,0.00570062
13/12/2013,43.73,0.005273427
12/12/2013,43.5,-0.000459664
11/12/2013,43.52,-0.013465912
10/12/2013,44.11,-0.004749528
09/12/2013,44.32,0.004749528
06/12/2013,44.11,0.019689281
05/12/2013,43.25,-0.011494379
04/12/2013,43.75,0.000457247
03/12/2013,43.73,-0.010237833
02/12/2013,44.18,0.003628122
29/11/2013,44.02,-0.005663171
27/11/2013,44.27,-0.000903138
26/11/2013,44.31,-0.003829265
25/11/2013,44.48,0.002701487
22/11/2013,44.36,0.006331998
21/11/2013,44.08,0.010490404
20/11/2013,43.62,0.001376463
19/11/2013,43.56,0.003449469
18/11/2013,43.41,-0.002990226
15/11/2013,43.54,0.010389104
14/11/2013,43.09,0.007687865
13/11/2013,42.76,0.011288925
12/11/2013,42.28,-0.011055034
11/11/2013,42.75,0.000936111
08/11/2013,42.71,0.023692177
07/11/2013,41.71,-0.017350406
06/11/2013,42.44,-0.004466917
05/11/2013,42.63,-0.001640689
04/11/2013,42.7,0.000702823
01/11/2013,42.67,-0.000468604
31/10/2013,42.69,-0.009558296
30/10/2013,43.1,0.003253547
29/10/2013,42.96,0.003030659
28/10/2013,42.83,-0.000700198
25/10/2013,42.86,0.003974289
24/10/2013,42.69,-0.001638385
23/10/2013,42.76,-0.004200706
22/10/2013,42.94,0.007480166
21/10/2013,42.62,-0.0014068
18/10/2013,42.68,0
17/10/2013,42.68,0.011073267
16/10/2013,42.21,0.016000341
15/10/2013,41.54,-0.005042633
14/10/2013,41.75,0.007694195
11/10/2013,41.43,-0.000241342
10/10/2013,41.44,0.026407402
09/10/2013,40.36,0.00297767
08/10/2013,40.24,-0.00939903
07/10/2013,40.62,-0.016601944
04/10/2013,41.3,0.007290433
03/10/2013,41,-0.006321441
02/10/2013,41.26,-0.005558927
01/10/2013,41.49,0.00410579
30/09/2013,41.32,-0.00651311
27/09/2013,41.59,-0.000480769
26/09/2013,41.61,-0.004795022
25/09/2013,41.81,0.001915251
24/09/2013,41.73,-0.01380317
23/09/2013,42.31,-0.01268218
20/09/2013,42.85,-0.002563805
19/09/2013,42.96,-0.008114105
18/09/2013,43.31,0.01067791
17/09/2013,42.85,-0.000933053
16/09/2013,42.89,0.016455472
13/09/2013,42.19,-0.001657786
12/09/2013,42.26,-0.005663064
11/09/2013,42.5,0.001177163
10/09/2013,42.45,0.017346283
09/09/2013,41.72,0.006975374
06/09/2013,41.43,-0.009369438
05/09/2013,41.82,0.007681267
04/09/2013,41.5,0.002654121
03/09/2013,41.39,0.007517921
30/08/2013,41.08,-0.004129728
29/08/2013,41.25,0
28/08/2013,41.25,0.003399712
27/08/2013,41.11,-0.030661084
26/08/2013,42.39,-0.008690601
23/08/2013,42.76,0.006569709
22/08/2013,42.48,0.002828856
21/08/2013,42.36,-0.005414963
20/08/2013,42.59,0.00235073
19/08/2013,42.49,-0.006100441
16/08/2013,42.75,-0.005598335
15/08/2013,42.99,-0.002555467
14/08/2013,43.1,-0.005091425
13/08/2013,43.32,0.002773927
12/08/2013,43.2,-0.000694203
09/08/2013,43.23,0.000231348
08/08/2013,43.22,-0.001156203
07/08/2013,43.27,-0.017411666
06/08/2013,44.03,-0.007015984
05/08/2013,44.34,-0.003377241
02/08/2013,44.49,0.00518311
01/08/2013,44.26,0.017320397
31/07/2013,43.5,0.005532518
30/07/2013,43.26,0.000231187
29/07/2013,43.25,-0.005993563
26/07/2013,43.51,-0.003212486
25/07/2013,43.65,-0.015007103
24/07/2013,44.31,-0.005850602
