Date,Close,THC
04/04/2014,41.88,-0.013047273
03/04/2014,42.43,-0.003998594
02/04/2014,42.6,0.000939408
01/04/2014,42.56,-0.005856875
31/03/2014,42.81,0.022441003
28/03/2014,41.86,0.013468217
27/03/2014,41.3,0.008999209
26/03/2014,40.93,0.05086904
25/03/2014,38.9,-0.009211938
24/03/2014,39.26,-0.02341202
21/03/2014,40.19,-0.008917572
20/03/2014,40.55,-0.012985604
19/03/2014,41.08,0.009293293
18/03/2014,40.7,0.016598919
17/03/2014,40.03,0.005762261
14/03/2014,39.8,-0.010994614
13/03/2014,40.24,-0.026243076
12/03/2014,41.31,-0.019180641
11/03/2014,42.11,0.002377557
10/03/2014,42.01,-0.00711578
07/03/2014,42.31,-0.011981818
06/03/2014,42.82,-0.013223717
05/03/2014,43.39,-0.012823624
04/03/2014,43.95,0.006849342
03/03/2014,43.65,-0.010709912
28/02/2014,44.12,0.001133916
27/02/2014,44.07,-0.006107925
26/02/2014,44.34,0.009289746
25/02/2014,43.93,-0.095455028
24/02/2014,48.33,0.030674674
21/02/2014,46.87,0.016131117
20/02/2014,46.12,0.000650689
19/02/2014,46.09,-0.010145797
18/02/2014,46.56,0
14/02/2014,46.56,-0.009405798
13/02/2014,47,0.028487036
12/02/2014,45.68,-0.002405161
11/02/2014,45.79,0.00877391
10/02/2014,45.39,0.013306916
07/02/2014,44.79,0.002235137
06/02/2014,44.69,0.013970484
05/02/2014,44.07,-0.009485166
04/02/2014,44.49,-0.010731156
03/02/2014,44.97,-0.022863163
31/01/2014,46.01,0.014889699
30/01/2014,45.33,0.002429598
29/01/2014,45.22,-0.012744624
28/01/2014,45.8,0.019400961
27/01/2014,44.92,-0.000667631
24/01/2014,44.95,-0.025479085
23/01/2014,46.11,0.006527438
22/01/2014,45.81,0.005911347
21/01/2014,45.54,-0.036649931
17/01/2014,47.24,0.000211707
16/01/2014,47.23,0.015792048
15/01/2014,46.49,-0.000645092
14/01/2014,46.52,0.013199369
13/01/2014,45.91,-0.016632849
10/01/2014,46.68,0.018158735
09/01/2014,45.84,0.010526413
08/01/2014,45.36,-0.016182291
07/01/2014,46.1,0.047760326
06/01/2014,43.95,-0.005672165
03/01/2014,44.2,0.024737862
02/01/2014,43.12,0.023464239
31/12/2013,42.12,0.013625166
30/12/2013,41.55,0.016011987
27/12/2013,40.89,0.001223541
26/12/2013,40.84,-0.001712539
24/12/2013,40.91,0.027256395
23/12/2013,39.81,-0.01248144
20/12/2013,40.31,0.011477172
19/12/2013,39.85,-0.026496536
18/12/2013,40.92,0.026245626
17/12/2013,39.86,-0.018641027
16/12/2013,40.61,0.006670809
13/12/2013,40.34,-0.001981179
12/12/2013,40.42,-0.008867053
11/12/2013,40.78,-0.04248809
10/12/2013,42.55,-0.005157067
09/12/2013,42.77,0.001638002
06/12/2013,42.7,-0.000702329
05/12/2013,42.73,-0.007925449
04/12/2013,43.07,-0.001855718
03/12/2013,43.15,0.018241853
02/12/2013,42.37,-0.018241853
29/11/2013,43.15,0.007677134
27/11/2013,42.82,0.006090438
26/11/2013,42.56,0.01348335
25/11/2013,41.99,-0.002616246
22/11/2013,42.1,0.00095057
21/11/2013,42.06,0.019446057
20/11/2013,41.25,0.015144403
19/11/2013,40.63,-0.032448367
18/11/2013,41.97,-0.009957408
15/11/2013,42.39,-0.022394218
14/11/2013,43.35,-0.002304148
13/11/2013,43.45,-0.003216915
12/11/2013,43.59,0.034542524
11/11/2013,42.11,-0.005210812
08/11/2013,42.33,0.014755146
07/11/2013,41.71,-0.048207743
06/11/2013,43.77,-0.005240983
05/11/2013,44,-0.092413426
04/11/2013,48.26,0.022421054
01/11/2013,47.19,0
31/10/2013,47.19,0.049744211
30/10/2013,44.9,-0.020064613
29/10/2013,45.81,0.014069258
28/10/2013,45.17,-0.016685349
25/10/2013,45.93,0.014473937
24/10/2013,45.27,-0.022281394
23/10/2013,46.29,-0.020526699
22/10/2013,47.25,0.00148258
21/10/2013,47.18,-0.012846339
18/10/2013,47.79,0.012846339
17/10/2013,47.18,0.004248095
16/10/2013,46.98,0.01263806
15/10/2013,46.39,0.002374016
14/10/2013,46.28,0.001513677
11/10/2013,46.21,0.006731108
10/10/2013,45.9,0.006338126
09/10/2013,45.61,-0.013069234
08/10/2013,46.21,0.002383275
07/10/2013,46.1,0
04/10/2013,46.1,-0.003680853
03/10/2013,46.27,0.052579483
02/10/2013,43.9,0.05935834
01/10/2013,41.37,0.004360472
30/09/2013,41.19,0.0210999
27/09/2013,40.33,-0.007657194
26/09/2013,40.64,0.00790518
25/09/2013,40.32,-0.000991572
24/09/2013,40.36,-0.016464311
23/09/2013,41.03,-0.024080143
20/09/2013,42.03,-0.017453273
19/09/2013,42.77,-0.004432528
18/09/2013,42.96,0.030248053
17/09/2013,41.68,0.023302025
16/09/2013,40.72,0.012354988
13/09/2013,40.22,0.050743837
12/09/2013,38.23,-0.013510208
11/09/2013,38.75,-0.008991711
10/09/2013,39.1,0.018325458
09/09/2013,38.39,-0.037576306
06/09/2013,39.86,-0.020363256
05/09/2013,40.68,0.032478498
04/09/2013,39.38,0.008671312
03/09/2013,39.04,-0.000256115
30/08/2013,39.05,-0.013228379
29/08/2013,39.57,-0.000757863
28/08/2013,39.6,0.00430217
27/08/2013,39.43,-0.023312248
26/08/2013,40.36,0.009209773
23/08/2013,39.99,0.004260124
22/08/2013,39.82,0.003018111
21/08/2013,39.7,-0.012267021
20/08/2013,40.19,0.030056562
19/08/2013,39,-0.017033588
16/08/2013,39.67,-0.01501154
15/08/2013,40.27,-0.029604608
14/08/2013,41.48,0.000241109
13/08/2013,41.47,-0.008643511
12/08/2013,41.83,0.00407235
09/08/2013,41.66,0.00650213
08/08/2013,41.39,-0.003135933
07/08/2013,41.52,-0.034559652
06/08/2013,42.98,-0.038343355
05/08/2013,44.66,0.016480788
02/08/2013,43.93,-0.010416761
01/08/2013,44.39,-0.005840088
31/07/2013,44.65,0.005614838
30/07/2013,44.4,-0.01342302
29/07/2013,45,0.004900879
26/07/2013,44.78,0.027622313
25/07/2013,43.56,0.008993488
24/07/2013,43.17,0.001622812
23/07/2013,43.1,-0.000695814
22/07/2013,43.13,0.011191537
19/07/2013,42.65,-0.024320828
18/07/2013,43.7,-0.004566218
17/07/2013,43.9,-0.028961503
16/07/2013,45.19,0.033298915
15/07/2013,43.71,-0.002285193
12/07/2013,43.81,0.004804951
11/07/2013,43.6,0.009911341
10/07/2013,43.17,-0.017223988
09/07/2013,43.92,0.013063094
08/07/2013,43.35,0.001616069
05/07/2013,43.28,-0.008283526
03/07/2013,43.64,-0.044372056
02/07/2013,45.62,-0.013282721
01/07/2013,46.23,0.002815988
28/06/2013,46.1,-0.015070253
27/06/2013,46.8,0.030811724
26/06/2013,45.38,0.009743213
25/06/2013,44.94,0.027293901
24/06/2013,43.73,0.043942568
21/06/2013,41.85,-0.016117912
20/06/2013,42.53,-0.036476805
19/06/2013,44.11,-0.038252384
18/06/2013,45.83,0.006787109
17/06/2013,45.52,-0.02494977
14/06/2013,46.67,-0.009808181
13/06/2013,47.13,0.022313734
12/06/2013,46.09,0.000434028
11/06/2013,46.07,-0.008214486
10/06/2013,46.45,-0.002794799
07/06/2013,46.58,0.017760917
06/06/2013,45.76,0.030846782
05/06/2013,44.37,-0.035207888
04/06/2013,45.96,-0.023226851
03/06/2013,47.04,-0.006990813
31/05/2013,47.37,0.00423102
30/05/2013,47.17,0.030566306
29/05/2013,45.75,-0.01926675
28/05/2013,46.64,0.038243489
24/05/2013,44.89,-0.002447437
23/05/2013,45,0.00445435
22/05/2013,44.8,-0.006895812
21/05/2013,45.11,0.009577977
20/05/2013,44.68,-0.025194703
17/05/2013,45.82,-0.026702706
16/05/2013,47.06,-0.008042371
15/05/2013,47.44,-0.037443613
14/05/2013,49.25,0.005293172
13/05/2013,48.99,0.006758858
10/05/2013,48.66,0.020345315
09/05/2013,47.68,-0.008146259
08/05/2013,48.07,0.017417291
07/05/2013,47.24,0.00509339
06/05/2013,47,0.010265274
03/05/2013,46.52,0.006686103
02/05/2013,46.21,0.042211548
01/05/2013,44.3,-0.023645982
30/04/2013,45.36,0.034084017
29/04/2013,43.84,0.063079732
26/04/2013,41.16,0.03184275
25/04/2013,39.87,-0.011223462
24/04/2013,40.32,-0.003466208
23/04/2013,40.46,0.017703991
22/04/2013,39.75,-0.007269113
19/04/2013,40.04,0.019672766
18/04/2013,39.26,-0.01290667
17/04/2013,39.77,-0.015716926
16/04/2013,40.4,0.015465512
15/04/2013,39.78,-0.063784089
12/04/2013,42.4,-0.000942952
11/04/2013,42.44,0.03111043
10/04/2013,41.14,-0.056239718
09/04/2013,43.52,-0.011650617
08/04/2013,44.03,0.004780886
05/04/2013,43.82,0.002055969
04/04/2013,43.73,-0.008198634
03/04/2013,44.09,-0.081001823
02/04/2013,47.81,-0.003966188
01/04/2013,48,0.008788506
28/03/2013,47.58,0.000841043
27/03/2013,47.54,-0.000630849
26/03/2013,47.57,0.019315044
25/03/2013,46.66,0.027815787
22/03/2013,45.38,0.005967528
21/03/2013,45.11,0.004888899
20/03/2013,44.89,0.020252717
19/03/2013,43.99,-0.004988672
18/03/2013,44.21,-0.000226168
15/03/2013,44.22,-0.01659603
14/03/2013,44.96,0.017953804
13/03/2013,44.16,0.01161612
12/03/2013,43.65,0.010362787
11/03/2013,43.2,0
08/03/2013,43.2,0.033901552
07/03/2013,41.76,0.033604331
06/03/2013,40.38,0.003473087
05/03/2013,40.24,0.027461103
04/03/2013,39.15,-0.008393792
01/03/2013,39.48,0.004315275
28/02/2013,39.31,0.009200167
27/02/2013,38.95,0.02811953
26/02/2013,37.87,0.006357637
25/02/2013,37.63,-0.043677335
22/02/2013,39.31,0.008173736
21/02/2013,38.99,-0.006646241
20/02/2013,39.25,-0.036276648
19/02/2013,40.7,0.014851758
15/02/2013,40.1,-0.000249345
14/02/2013,40.11,0.018113703
13/02/2013,39.39,0.010206774
12/02/2013,38.99,-0.014513304
11/02/2013,39.56,-0.007303898
08/02/2013,39.85,0.017466588
07/02/2013,39.16,-0.002295627
06/02/2013,39.25,0.010500801
05/02/2013,38.84,-0.000514801
04/02/2013,38.86,-0.012022142
01/02/2013,39.33,0.012794443
31/01/2013,38.83,0.006199968
30/01/2013,38.59,0.021742834
29/01/2013,37.76,-0.024330827
28/01/2013,38.69,-0.009261708
25/01/2013,39.05,0.010554867
24/01/2013,38.64,0.023037668
23/01/2013,37.76,-0.01184692
22/01/2013,38.21,0.004459024
18/01/2013,38.04,0.02448233
17/01/2013,37.12,0.037605639
16/01/2013,35.75,0.007863
15/01/2013,35.47,0.022524117
14/01/2013,34.68,0.011017798
11/01/2013,34.3,0.033801024
10/01/2013,33.16,-0.009006365
09/01/2013,33.46,-0.00029882
08/01/2013,33.47,-0.024495839
07/01/2013,34.3,0.005554758
04/01/2013,34.11,-0.004971497
03/01/2013,34.28,0.02630564
02/01/2013,33.39,0.027939868
31/12/2012,32.47,0.035740481
28/12/2012,31.33,-0.020534602
27/12/2012,31.98,-0.010884884
26/12/2012,32.33,0
24/12/2012,32.33,-0.003088329
21/12/2012,32.43,-0.032461519
20/12/2012,33.5,0.015037877
19/12/2012,33,0.016190975
18/12/2012,32.47,0.040539722
17/12/2012,31.18,0.017796943
14/12/2012,30.63,0.014137996
13/12/2012,30.2,0.001657001
12/12/2012,30.15,0.001992033
11/12/2012,30.09,0.016080749
10/12/2012,29.61,0.026002149
07/12/2012,28.85,-0.00828448
06/12/2012,29.09,0.004133661
05/12/2012,28.97,0.001381693
04/12/2012,28.93,-0.002416711
03/12/2012,29,0.001380262
30/11/2012,28.96,0.000345363
29/11/2012,28.95,0.019885532
28/11/2012,28.38,0.024613335
27/11/2012,27.69,-0.013986242
26/11/2012,28.08,-0.007450806
23/11/2012,28.29,0.010303875
21/11/2012,28,0.007168489
20/11/2012,27.8,0.011213719
19/11/2012,27.49,0.040837152
16/11/2012,26.39,0.048127254
15/11/2012,25.15,-0.001192132
14/11/2012,25.18,-0.03741668
13/11/2012,26.14,-0.016316052
12/11/2012,26.57,0.013641742
09/11/2012,26.21,-0.003427922
08/11/2012,26.3,-0.038781892
07/11/2012,27.34,0.091477009
06/11/2012,24.95,-0.038141049
05/11/2012,25.92,0.034939766
02/11/2012,25.03,-0.014674069
01/11/2012,25.4,0.073502462
31/10/2012,23.6,0.011506626
26/10/2012,23.33,-0.017842444
25/10/2012,23.75,0.015701574
24/10/2012,23.38,0.003856872
23/10/2012,23.29,-0.022081577
22/10/2012,23.81,0.012679798
19/10/2012,23.51,-0.025615509
18/10/2012,24.12,-0.007434978
17/10/2012,24.3,0.007434978
16/10/2012,24.12,-0.002484473
15/10/2012,24.18,0.021317422
12/10/2012,23.67,-0.017588393
11/10/2012,24.09,1.395049889
10/10/2012,5.97,0.001676446
09/10/2012,5.96,-0.028124269
08/10/2012,6.13,-0.009740337
05/10/2012,6.19,-0.014434894
04/10/2012,6.28,-0.01892801
03/10/2012,6.4,-0.009331327
02/10/2012,6.46,-0.003091193
01/10/2012,6.48,0.032944156
28/09/2012,6.27,-0.011102414
27/09/2012,6.34,0.011102414
26/09/2012,6.27,0.027487583
25/09/2012,6.1,-0.033846905
24/09/2012,6.31,0.020817405
21/09/2012,6.18,-0.004842624
20/09/2012,6.21,0.003225809
19/09/2012,6.19,0.016287005
18/09/2012,6.09,0.03000225
17/09/2012,5.91,0.025708357
14/09/2012,5.76,0.070109566
13/09/2012,5.37,-0.016620881
12/09/2012,5.46,0.007352974
11/09/2012,5.42,0.01113184
10/09/2012,5.36,-0.009285118
07/09/2012,5.41,0
06/09/2012,5.41,0.02621873
05/09/2012,5.27,-0.007561473
04/09/2012,5.31,0.022858138
31/08/2012,5.19,-0.017192401
