Date,Close,MYL
04/04/2014,50.63,0.015325208
03/04/2014,49.86,-0.018086551
02/04/2014,50.77,0.029178729
01/04/2014,49.31,0.009782022
31/03/2014,48.83,0
28/03/2014,48.83,0.005132954
27/03/2014,48.58,-0.011868361
26/03/2014,49.16,-0.031042845
25/03/2014,50.71,0.014700304
24/03/2014,49.97,-0.042509583
21/03/2014,52.14,-0.008973807
20/03/2014,52.61,-0.013030115
19/03/2014,53.3,-0.011194147
18/03/2014,53.9,0.007075062
17/03/2014,53.52,0.016769116
14/03/2014,52.63,0.011658039
13/03/2014,52.02,-0.019795089
12/03/2014,53.06,-0.017375496
11/03/2014,53.99,0.01080085
10/03/2014,53.41,-0.026786491
07/03/2014,54.86,0.005850108
06/03/2014,54.54,-0.023556081
05/03/2014,55.84,-0.02406344
04/03/2014,57.2,0.029810582
03/03/2014,55.52,-0.000900171
28/02/2014,55.57,-0.012518046
27/02/2014,56.27,0.090134332
26/02/2014,51.42,0.001751825
25/02/2014,51.33,0.005469832
24/02/2014,51.05,-0.016898528
21/02/2014,51.92,-0.006527188
20/02/2014,52.26,0.021468768
19/02/2014,51.15,0.057330932
18/02/2014,48.3,0.046618611
14/02/2014,46.1,-0.001950374
13/02/2014,46.19,0.011759717
12/02/2014,45.65,0.003511085
11/02/2014,45.49,0.014391923
10/02/2014,44.84,-0.005338091
07/02/2014,45.08,0.035907663
06/02/2014,43.49,0.001150351
05/02/2014,43.44,-0.004822607
04/02/2014,43.65,0
03/02/2014,43.65,-0.039529063
31/01/2014,45.41,-0.003078279
30/01/2014,45.55,0.023770974
29/01/2014,44.48,-0.004933852
28/01/2014,44.7,0.015556621
27/01/2014,44.01,-0.006793504
24/01/2014,44.31,-0.021213255
23/01/2014,45.26,-0.014259318
22/01/2014,45.91,-0.011693507
21/01/2014,46.45,0.015184674
17/01/2014,45.75,0.007459447
16/01/2014,45.41,-0.001100473
15/01/2014,45.46,-0.016579786
14/01/2014,46.22,0.021430954
13/01/2014,45.24,-0.016007359
10/01/2014,45.97,0.019106763
09/01/2014,45.1,0.008237829
08/01/2014,44.73,0.039909526
07/01/2014,42.98,0.016893879
06/01/2014,42.26,-0.010826182
03/01/2014,42.72,0.003282535
02/01/2014,42.58,-0.019074782
31/12/2013,43.4,0.011354542
30/12/2013,42.91,0.003034195
27/12/2013,42.78,-0.00093458
26/12/2013,42.82,0.005855503
24/12/2013,42.57,-0.003517415
23/12/2013,42.72,0.004927852
20/12/2013,42.51,-0.000470367
19/12/2013,42.53,-0.007262536
18/12/2013,42.84,0.023141529
17/12/2013,41.86,-0.00095511
16/12/2013,41.9,0.002868071
13/12/2013,41.78,-0.001912961
12/12/2013,41.86,0.010566861
11/12/2013,41.42,-0.028325112
10/12/2013,42.61,-0.028913775
09/12/2013,43.86,-0.006363658
06/12/2013,44.14,0.018059698
05/12/2013,43.35,0.008804505
04/12/2013,42.97,-0.005801153
03/12/2013,43.22,-0.025809358
02/12/2013,44.35,0.004972885
29/11/2013,44.13,-0.000226578
27/11/2013,44.14,-0.008122788
26/11/2013,44.5,0.006312014
25/11/2013,44.22,0.035681078
22/11/2013,42.67,0.006819544
21/11/2013,42.38,0.001416765
20/11/2013,42.32,0.009973961
19/11/2013,41.9,0.002150282
18/11/2013,41.81,-0.013068975
15/11/2013,42.36,0.009011206
14/11/2013,41.98,0.008612493
13/11/2013,41.62,0.004816965
12/11/2013,41.42,0.008729444
11/11/2013,41.06,0.015957133
08/11/2013,40.41,0.035772076
07/11/2013,38.99,-0.013248601
06/11/2013,39.51,-0.009321141
05/11/2013,39.88,0.012616872
04/11/2013,39.38,0.03540879
01/11/2013,38.01,0.003690041
31/10/2013,37.87,-0.0141586
30/10/2013,38.41,-0.006228933
29/10/2013,38.65,0.010664687
28/10/2013,38.24,-0.004956316
25/10/2013,38.43,-0.001560063
24/10/2013,38.49,-0.003630709
23/10/2013,38.63,-0.009276026
22/10/2013,38.99,0.011089733
21/10/2013,38.56,0.00025937
18/10/2013,38.55,-0.029646945
17/10/2013,39.71,0.000503778
16/10/2013,39.69,0.012677655
15/10/2013,39.19,-0.007372602
14/10/2013,39.48,-0.010832704
11/10/2013,39.91,0.004268682
10/10/2013,39.74,0.02084998
09/10/2013,38.92,0.001285512
08/10/2013,38.87,-0.030155585
07/10/2013,40.06,-0.004731674
04/10/2013,40.25,0.006480581
03/10/2013,39.99,0.012581948
02/10/2013,39.49,0.001013428
01/10/2013,39.45,0.032984181
30/09/2013,38.17,-0.003922086
27/09/2013,38.32,-0.001303951
26/09/2013,38.37,0.006012304
25/09/2013,38.14,0.000262226
24/09/2013,38.13,0.001574803
23/09/2013,38.07,-0.015378903
20/09/2013,38.66,0.008572594
19/09/2013,38.33,-0.007019397
18/09/2013,38.6,0.002594035
17/09/2013,38.5,-0.011620531
16/09/2013,38.95,0.000770515
13/09/2013,38.92,0.005151995
12/09/2013,38.72,0.017455178
11/09/2013,38.05,-0.004981004
10/09/2013,38.24,0.046843838
09/09/2013,36.49,0.033438613
06/09/2013,35.29,-0.0165804
05/09/2013,35.88,-0.001392564
04/09/2013,35.93,0.00614184
03/09/2013,35.71,0.010415295
30/08/2013,35.34,0
29/08/2013,35.34,0.007954587
28/08/2013,35.06,0.008593579
27/08/2013,34.76,-0.021628618
26/08/2013,35.52,-0.007572607
23/08/2013,35.79,0.005884843
22/08/2013,35.58,0.003942557
21/08/2013,35.44,-0.008149546
20/08/2013,35.73,-0.00725045
19/08/2013,35.99,-0.005541715
16/08/2013,36.19,-0.000276281
15/08/2013,36.2,-0.016982057
14/08/2013,36.82,-0.008922595
13/08/2013,37.15,-0.001076137
12/08/2013,37.19,0
09/08/2013,37.19,0.003771556
08/08/2013,37.05,-0.000809389
07/08/2013,37.08,0.007036565
06/08/2013,36.82,-0.001628223
05/08/2013,36.88,0.013100624
02/08/2013,36.4,0.068796658
01/08/2013,33.98,0.012437235
31/07/2013,33.56,0.004479625
30/07/2013,33.41,0.009321974
29/07/2013,33.1,-0.009920418
26/07/2013,33.43,0.025448208
25/07/2013,32.59,0.006464545
24/07/2013,32.38,0.001854715
23/07/2013,32.32,-0.010158622
22/07/2013,32.65,-0.00061237
19/07/2013,32.67,0.011389995
18/07/2013,32.3,0.009956523
17/07/2013,31.98,-0.004056801
16/07/2013,32.11,-0.000622665
15/07/2013,32.13,0.001245718
12/07/2013,32.09,0.020463488
11/07/2013,31.44,0.005102052
10/07/2013,31.28,0.002881385
09/07/2013,31.19,0.009341347
08/07/2013,30.9,0.001943635
05/07/2013,30.84,0.012069956
03/07/2013,30.47,0.003287314
02/07/2013,30.37,-0.016005568
01/07/2013,30.86,-0.005493632
28/06/2013,31.03,0.004198295
27/06/2013,30.9,0.013685453
26/06/2013,30.48,0.002628122
25/06/2013,30.4,0.004946424
24/06/2013,30.25,-0.012483736
21/06/2013,30.63,0.009183403
