Date,Close,CSX
04/04/2014,28.76,-0.01140894
03/04/2014,29.09,-0.004458934
02/04/2014,29.22,0.003428183
01/04/2014,29.12,0.005164412
31/03/2014,28.97,0.013553639
28/03/2014,28.58,0.010906001
27/03/2014,28.27,-0.013352271
26/03/2014,28.65,-0.014553271
25/03/2014,29.07,0.013158085
24/03/2014,28.69,-0.002436903
21/03/2014,28.76,0.004530414
20/03/2014,28.63,0.002798183
19/03/2014,28.55,-0.006632945
18/03/2014,28.74,0.003834762
17/03/2014,28.63,0.008770447
14/03/2014,28.38,-0.002814921
13/03/2014,28.46,-0.014995922
12/03/2014,28.89,0.001732202
11/03/2014,28.84,-0.001732202
10/03/2014,28.89,0.000692521
07/03/2014,28.87,0.004861121
06/03/2014,28.73,0.006635261
05/03/2014,28.54,0.008444807
04/03/2014,28.3,0.025046032
03/03/2014,27.6,-0.003977586
28/02/2014,27.71,0.009062959
27/02/2014,27.46,0.009145848
26/02/2014,27.21,-0.003668383
25/02/2014,27.31,-0.013818402
24/02/2014,27.69,0.013452302
21/02/2014,27.32,-0.001097494
20/02/2014,27.35,0.009551873
19/02/2014,27.09,-0.011743254
18/02/2014,27.41,-0.004368409
14/02/2014,27.53,0.005828796
13/02/2014,27.37,-0.00073046
12/02/2014,27.39,0.002925048
11/02/2014,27.31,0.008826832
10/02/2014,27.07,-0.006627417
07/02/2014,27.25,0.008106161
06/02/2014,27.03,0.01942534
05/02/2014,26.51,0.006053745
04/02/2014,26.35,0.012602802
03/02/2014,26.02,-0.033632492
31/01/2014,26.91,0.005216107
30/01/2014,26.77,0.024197778
29/01/2014,26.13,-0.014815086
28/01/2014,26.52,0.014432457
27/01/2014,26.14,-0.002292703
24/01/2014,26.2,-0.030817922
23/01/2014,27.02,-0.007374665
22/01/2014,27.22,0.006634746
21/01/2014,27.04,-0.007002056
17/01/2014,27.23,-0.000367175
16/01/2014,27.24,-0.070509098
15/01/2014,29.23,0.012046265
14/01/2014,28.88,0.015704388
13/01/2014,28.43,-0.015704388
10/01/2014,28.88,0.007646892
09/01/2014,28.66,0.01511718
08/01/2014,28.23,-0.004241788
07/01/2014,28.35,0.004596084
06/01/2014,28.22,-0.007413979
03/01/2014,28.43,0.006351468
02/01/2014,28.25,-0.01823972
31/12/2013,28.77,0.015058943
30/12/2013,28.34,0.001765849
27/12/2013,28.29,-0.00493654
26/12/2013,28.43,0.002465224
24/12/2013,28.36,0.004240289
23/12/2013,28.24,0.005681833
20/12/2013,28.08,0.007147993
19/12/2013,27.88,-0.001791794
18/12/2013,27.93,0.009352586
17/12/2013,27.67,-0.006125042
16/12/2013,27.84,0.00974561
13/12/2013,27.57,0.010574392
12/12/2013,27.28,-0.002562696
11/12/2013,27.35,-0.023130775
10/12/2013,27.99,-0.003210276
09/12/2013,28.08,0.011821739
