Date,Close,RF
04/04/2014,10.97,-0.009977407
03/04/2014,11.08,-0.00090212
02/04/2014,11.09,-0.014324327
01/04/2014,11.25,0.012522525
31/03/2014,11.11,0.014506147
28/03/2014,10.95,0.014719677
27/03/2014,10.79,-0.019275494
26/03/2014,11,-0.009950331
25/03/2014,11.11,0.003606857
24/03/2014,11.07,-0.001805055
21/03/2014,11.09,-0.018758924
20/03/2014,11.3,0.018758924
19/03/2014,11.09,0.02557217
18/03/2014,10.81,0.000925498
17/03/2014,10.8,0.015865942
14/03/2014,10.63,-0.003755873
13/03/2014,10.67,-0.007469689
12/03/2014,10.75,-0.00464038
11/03/2014,10.8,-0.009216655
10/03/2014,10.9,-0.013667639
07/03/2014,11.05,0.020110367
06/03/2014,10.83,0.009276504
05/03/2014,10.73,-0.004649009
04/03/2014,10.78,0.023464239
03/03/2014,10.53,-0.010392158
28/02/2014,10.64,0.006600684
27/02/2014,10.57,0.004741593
26/02/2014,10.52,0.006676229
25/02/2014,10.45,0.000957396
24/02/2014,10.44,0.019342963
21/02/2014,10.24,0.001955035
20/02/2014,10.22,0.011811161
19/02/2014,10.1,-0.026381598
18/02/2014,10.37,0.001930503
14/02/2014,10.35,0.004842624
13/02/2014,10.3,0.00486619
12/02/2014,10.25,-0.00486619
11/02/2014,10.3,0.009756175
10/02/2014,10.2,-0.00293686
07/02/2014,10.23,-0.003902444
06/02/2014,10.27,0.036692267
05/02/2014,9.9,-0.007045827
04/02/2014,9.97,0.015159462
03/02/2014,9.82,-0.035021088
31/01/2014,10.17,-0.025244059
30/01/2014,10.43,0.011571971
29/01/2014,10.31,-0.021114028
28/01/2014,10.53,0.011461444
27/01/2014,10.41,-0.013358977
24/01/2014,10.55,-0.03447011
23/01/2014,10.92,-0.009115833
22/01/2014,11.02,0.014625489
21/01/2014,10.86,0.027066515
17/01/2014,10.57,0.008551121
16/01/2014,10.48,-0.014211513
15/01/2014,10.63,0.02476317
14/01/2014,10.37,0.005802724
13/01/2014,10.31,-0.016354381
10/01/2014,10.48,0.0028667
09/01/2014,10.45,0.019324273
08/01/2014,10.25,0.014742282
07/01/2014,10.1,0.002974717
06/01/2014,10.07,0.020060853
03/01/2014,9.87,-0.002024292
02/01/2014,9.89,0
31/12/2013,9.89,0.005068435
30/12/2013,9.84,0.001016777
27/12/2013,9.83,-0.005073578
26/12/2013,9.88,0.003041057
24/12/2013,9.85,0.003050333
23/12/2013,9.82,0.019537897
20/12/2013,9.63,0.004162337
19/12/2013,9.59,-0.00104221
18/12/2013,9.6,0.00836825
17/12/2013,9.52,-0.005238357
16/12/2013,9.57,0.004188488
13/12/2013,9.53,0.001049869
12/12/2013,9.52,0.01055976
11/12/2013,9.42,-0.014752638
10/12/2013,9.56,-0.007295499
09/12/2013,9.63,-0.008273056
06/12/2013,9.71,0.015568555
05/12/2013,9.56,-0.011440582
04/12/2013,9.67,0.012487155
03/12/2013,9.55,-0.019699963
02/12/2013,9.74,0.001027221
29/11/2013,9.73,-0.009207226
27/11/2013,9.82,0.006128722
26/11/2013,9.76,-0.006128722
25/11/2013,9.82,-0.004065046
22/11/2013,9.86,0.012245051
21/11/2013,9.74,0.013436895
20/11/2013,9.61,0.003126631
