Date,Close,PFE
04/04/2014,32.16,-0.007434978
03/04/2014,32.4,0.003400838
02/04/2014,32.29,0.010585404
01/04/2014,31.95,-0.005306708
31/03/2014,32.12,0.007500035
28/03/2014,31.88,-0.006877176
27/03/2014,32.1,-0.002489111
26/03/2014,32.18,0.011250119
25/03/2014,31.82,0.010424988
24/03/2014,31.49,-0.021675106
21/03/2014,32.18,0.008425701
20/03/2014,31.91,0.006287352
19/03/2014,31.71,-0.006913918
18/03/2014,31.93,0.016101374
17/03/2014,31.42,0.006065462
14/03/2014,31.23,0.003528472
13/03/2014,31.12,-0.027260008
12/03/2014,31.98,-0.013664809
11/03/2014,32.42,0.000925783
10/03/2014,32.39,-0.001234187
07/03/2014,32.43,-0.000924642
06/03/2014,32.46,-0.0088944
05/03/2014,32.75,0.001833741
04/03/2014,32.69,0.021958513
03/03/2014,31.98,-0.004056801
28/02/2014,32.11,-0.003730188
27/02/2014,32.23,0.007474342
26/02/2014,31.99,0.003130873
25/02/2014,31.89,-0.003130873
24/02/2014,31.99,0.016706456
21/02/2014,31.46,-0.002856691
20/02/2014,31.55,0.002221165
19/02/2014,31.48,-0.01262643
18/02/2014,31.88,-0.001880289
14/02/2014,31.94,0.007542462
13/02/2014,31.7,0.002843155
12/02/2014,31.61,-0.008505328
11/02/2014,31.88,0.012944143
10/02/2014,31.47,0.007975796
07/02/2014,31.22,0.012246366
06/02/2014,30.84,0.006179886
05/02/2014,30.65,-0.025448305
04/02/2014,31.44,0.027080959
03/02/2014,30.6,0.006557401
31/01/2014,30.4,-0.013721221
30/01/2014,30.82,0.023306487
29/01/2014,30.11,-0.010242944
28/01/2014,30.42,0.02530095
27/01/2014,29.66,-0.014393554
24/01/2014,30.09,-0.030116842
23/01/2014,31.01,-0.008349438
22/01/2014,31.27,0.00128
21/01/2014,31.23,0.004492947
17/01/2014,31.09,-0.00256987
16/01/2014,31.17,-0.00032077
15/01/2014,31.18,0.005789659
14/01/2014,31,0.014949905
13/01/2014,30.54,-0.004899569
10/01/2014,30.69,-0.007789718
09/01/2014,30.93,-0.000646412
08/01/2014,30.95,0.006808261
07/01/2014,30.74,0.006200052
06/01/2014,30.55,0.000982479
03/01/2014,30.52,0.001967859
02/01/2014,30.46,-0.005565573
31/12/2013,30.63,-0.001956948
30/12/2013,30.69,0.001630524
27/12/2013,30.64,0.002941659
26/12/2013,30.55,0.008547061
24/12/2013,30.29,-0.001978892
23/12/2013,30.35,0.003300333
20/12/2013,30.25,-0.01509215
19/12/2013,30.71,-0.001951855
18/12/2013,30.77,0.020686996
17/12/2013,30.14,-0.003642991
16/12/2013,30.25,0
13/12/2013,30.25,0
12/12/2013,30.25,-0.013136478
11/12/2013,30.65,-0.022262575
10/12/2013,31.34,-0.007628772
09/12/2013,31.58,0.001267427
06/12/2013,31.54,0.009237205
05/12/2013,31.25,-0.000639795
04/12/2013,31.27,0.001600256
03/12/2013,31.22,-0.019350326
02/12/2013,31.83,0.003146636
29/11/2013,31.73,-0.004716248
27/11/2013,31.88,-0.000313627
26/11/2013,31.89,-0.007808879
25/11/2013,32.14,0.000622471
22/11/2013,32.12,0.004680926
21/11/2013,31.97,0.00156519
20/11/2013,31.92,0.008178718
19/11/2013,31.66,-0.0109943
18/11/2013,32.01,-0.005918099
15/11/2013,32.2,0.00623055
14/11/2013,32,0.004070774
13/11/2013,31.87,0.015494381
12/11/2013,31.38,0.004471422
11/11/2013,31.24,-0.002557546
08/11/2013,31.32,0.013177115
07/11/2013,30.91,-0.001939238
06/11/2013,30.97,-0.008680331
05/11/2013,31.24,-0.00064
04/11/2013,31.26,0.002883231
01/11/2013,31.17,0.015519225
31/10/2013,30.69,-0.007789718
30/10/2013,30.93,-0.010292789
29/10/2013,31.25,0.016454638
28/10/2013,30.74,0.004237985
25/10/2013,30.61,0
24/10/2013,30.61,0.000326744
23/10/2013,30.6,-0.002610968
22/10/2013,30.68,0.009168368
21/10/2013,30.4,-0.00361189
18/10/2013,30.51,0.00822779
17/10/2013,30.26,0.015318315
16/10/2013,29.8,0.021710486
15/10/2013,29.16,-0.006494639
14/10/2013,29.35,0.021698802
11/10/2013,28.72,-0.001739433
10/10/2013,28.77,0.016824792
09/10/2013,28.29,0.001768973
08/10/2013,28.24,-0.013366362
07/10/2013,28.62,-0.013190056
04/10/2013,29,0.007962652
03/10/2013,28.77,-0.008307421
02/10/2013,29.01,0.004145084
01/10/2013,28.89,0.005553641
30/09/2013,28.73,-0.005207441
27/09/2013,28.88,0.012543718
26/09/2013,28.52,0.001052447
