Date,Close,HRS
04/04/2014,72.43,-0.024008792
03/04/2014,74.19,-0.009123906
02/04/2014,74.87,0.014123579
01/04/2014,73.82,0.008980874
31/03/2014,73.16,0.017650762
28/03/2014,71.88,-0.001112347
27/03/2014,71.96,-0.004575398
26/03/2014,72.29,-0.012099694
25/03/2014,73.17,0.007407441
24/03/2014,72.63,-0.012587387
21/03/2014,73.55,-0.010145505
20/03/2014,74.3,0.003235376
19/03/2014,74.06,0.002027439
18/03/2014,73.91,0.00433899
17/03/2014,73.59,0.014095341
14/03/2014,72.56,-0.009327914
13/03/2014,73.24,-0.012213478
12/03/2014,74.14,-0.00645337
11/03/2014,74.62,-0.005479466
10/03/2014,75.03,0.00414024
07/03/2014,74.72,-0.001203772
06/03/2014,74.81,0.003347396
05/03/2014,74.56,-0.001875922
04/03/2014,74.7,0.012256871
03/03/2014,73.79,-0.000406477
28/02/2014,73.82,-0.003380894
27/02/2014,74.07,0.021837909
26/02/2014,72.47,0.002763578
25/02/2014,72.27,-0.005519539
24/02/2014,72.67,-0.002473888
21/02/2014,72.85,0.002886798
20/02/2014,72.64,0.000964121
19/02/2014,72.57,-0.018972793
18/02/2014,73.96,0.026858288
14/02/2014,72,0.004314851
13/02/2014,71.69,0.001675276
12/02/2014,71.57,0.003779664
11/02/2014,71.3,0.003231021
10/02/2014,71.07,0.002112826
07/02/2014,70.92,0.028751176
06/02/2014,68.91,0.013734874
05/02/2014,67.97,0.009460529
04/02/2014,67.33,0.001337594
03/02/2014,67.24,-0.030753632
31/01/2014,69.34,-0.006182178
30/01/2014,69.77,-0.010124864
29/01/2014,70.48,0.000567698
28/01/2014,70.44,0.025012084
27/01/2014,68.7,0.00935953
24/01/2014,68.06,-0.024671111
23/01/2014,69.76,-0.015363033
22/01/2014,70.84,0.004811103
21/01/2014,70.5,-0.000567215
17/01/2014,70.54,-0.000708567
16/01/2014,70.59,0.007821984
15/01/2014,70.04,0.010765912
14/01/2014,69.29,0.019528455
13/01/2014,67.95,-0.014754486
10/01/2014,68.96,0.008592494
09/01/2014,68.37,0.006750833
08/01/2014,67.91,-0.016068123
07/01/2014,69.01,0.003047677
06/01/2014,68.8,-0.007241161
03/01/2014,69.3,0.011903174
02/01/2014,68.48,-0.019235534
31/12/2013,69.81,0.000286533
30/12/2013,69.79,-0.005287615
27/12/2013,70.16,0.007008539
26/12/2013,69.67,0.010098182
24/12/2013,68.97,-0.001448856
23/12/2013,69.07,0.004789212
20/12/2013,68.74,0.011411975
19/12/2013,67.96,0.006495447
18/12/2013,67.52,0.015071538
17/12/2013,66.51,0.001655256
16/12/2013,66.4,0.012883846
13/12/2013,65.55,0.003514942
12/12/2013,65.32,-0.003057171
11/12/2013,65.52,-0.001372684
10/12/2013,65.61,-0.015426803
09/12/2013,66.63,0.003156711
06/12/2013,66.42,0.024538304
05/12/2013,64.81,0.00138964
04/12/2013,64.72,0.007911311
03/12/2013,64.21,0.002651074
02/12/2013,64.04,-0.007312362
29/11/2013,64.51,-0.004639662
27/11/2013,64.81,0.004639662
26/11/2013,64.51,0.001085692
25/11/2013,64.44,-0.016162901
22/11/2013,65.49,0.01120933
21/11/2013,64.76,0.018231904
20/11/2013,63.59,-0.000628832
19/11/2013,63.63,-0.008762378
18/11/2013,64.19,-0.003576709
15/11/2013,64.42,0.00108721
14/11/2013,64.35,0.007643747
13/11/2013,63.86,0.008176146
12/11/2013,63.34,-0.003467301
11/11/2013,63.56,-0.000943545
08/11/2013,63.62,0.01856165
07/11/2013,62.45,-0.004632966
06/11/2013,62.74,0.009126634
05/11/2013,62.17,0.000965562
04/11/2013,62.11,0.006298979
01/11/2013,61.72,-0.003880988
31/10/2013,61.96,-0.002900888
30/10/2013,62.14,-0.009928024
29/10/2013,62.76,0.055023701
28/10/2013,59.4,-0.003529119
25/10/2013,59.61,-0.007520717
24/10/2013,60.06,-0.014873849
23/10/2013,60.96,-0.001966569
22/10/2013,61.08,0.024361135
21/10/2013,59.61,0.001847033
18/10/2013,59.5,0.006576198
17/10/2013,59.11,0.005768594
16/10/2013,58.77,-0.003397319
15/10/2013,58.97,-0.012805567
14/10/2013,59.73,0.007225101
11/10/2013,59.3,-0.005046268
10/10/2013,59.6,0.025662042
09/10/2013,58.09,0.001550521
08/10/2013,58,-0.008070792
07/10/2013,58.47,-0.018973973
04/10/2013,59.59,0.020514409
03/10/2013,58.38,-0.009376933
02/10/2013,58.93,-0.014153564
01/10/2013,59.77,0.007894557
30/09/2013,59.3,0.001181136
27/09/2013,59.23,0.001013514
26/09/2013,59.17,-0.004889161
25/09/2013,59.46,0.024516039
24/09/2013,58.02,0.000862143
23/09/2013,57.97,-0.003100244
20/09/2013,58.15,0.002927755
19/09/2013,57.98,-0.007217766
18/09/2013,58.4,-0.010052048
17/09/2013,58.99,0.010394573
16/09/2013,58.38,0.00773798
13/09/2013,57.93,-0.004821776
12/09/2013,58.21,-0.001716444
11/09/2013,58.31,0.004124426
10/09/2013,58.07,0.005699005
09/09/2013,57.74,0.007998652
06/09/2013,57.28,-0.019877934
05/09/2013,58.43,0.003600518
04/09/2013,58.22,0.011401056
03/09/2013,57.56,0.016289002
30/08/2013,56.63,0.002298242
29/08/2013,56.5,0.004968073
28/08/2013,56.22,0.010010809
27/08/2013,55.66,-0.024140327
26/08/2013,57.02,0.00087727
23/08/2013,56.97,0.007399611
22/08/2013,56.55,0.008167659
21/08/2013,56.09,-0.004802144
20/08/2013,56.36,-0.00141844
19/08/2013,56.44,-0.014947961
16/08/2013,57.29,0.006303645
15/08/2013,56.93,-0.022406495
14/08/2013,58.22,-0.000858443
13/08/2013,58.27,0.010350274
12/08/2013,57.67,0.000346861
09/08/2013,57.65,0.000346981
08/08/2013,57.63,0.010991998
07/08/2013,57,-0.005074821
06/08/2013,57.29,-0.007997261
05/08/2013,57.75,0.010969031
02/08/2013,57.12,-0.006456702
01/08/2013,57.49,0.007332435
31/07/2013,57.07,0.001753771
30/07/2013,56.97,0.075445602
29/07/2013,52.83,0.00170503
26/07/2013,52.74,-0.007932053
25/07/2013,53.16,0.006795043
24/07/2013,52.8,0.007222993
23/07/2013,52.42,-0.004567956
22/07/2013,52.66,-0.000759301
19/07/2013,52.7,0.004755121
18/07/2013,52.45,0.011891203
17/07/2013,51.83,0.000578983
16/07/2013,51.8,-0.000964785
15/07/2013,51.85,0.001737284
12/07/2013,51.76,0.013616238
11/07/2013,51.06,0.017584173
10/07/2013,50.17,0.005396236
09/07/2013,49.9,0.00401607
08/07/2013,49.7,0.002820876
05/07/2013,49.56,0.009732437
03/07/2013,49.08,-0.004878058
02/07/2013,49.32,-0.012893007
01/07/2013,49.96,0.014313318
28/06/2013,49.25,-0.004254894
27/06/2013,49.46,0.012409884
26/06/2013,48.85,0.015056487
25/06/2013,48.12,0.006253929
24/06/2013,47.82,-0.015767962
21/06/2013,48.58,0.002679585
20/06/2013,48.45,-0.028486158
19/06/2013,49.85,-0.004802891
18/06/2013,50.09,0.004802891
17/06/2013,49.85,0.000601987
14/06/2013,49.82,-0.003406476
13/06/2013,49.99,0.018982799
12/06/2013,49.05,-0.015174798
11/06/2013,49.8,-0.010983635
10/06/2013,50.35,0
07/06/2013,50.35,0.00477803
06/06/2013,50.11,0.011642042
05/06/2013,49.53,-0.01104318
04/06/2013,50.08,-0.007559216
03/06/2013,50.46,0.006561312
31/05/2013,50.13,-0.017794064
30/05/2013,51.03,-0.002544282
29/05/2013,51.16,-0.001367321
28/05/2013,51.23,0.016929538
24/05/2013,50.37,0.005374752
23/05/2013,50.1,0.004000005
22/05/2013,49.9,-0.005396236
21/05/2013,50.17,-0.003779971
20/05/2013,50.36,-0.001983734
17/05/2013,50.46,0.020623416
16/05/2013,49.43,-0.007858983
15/05/2013,49.82,0.010695289
14/05/2013,49.29,0.006105025
13/05/2013,48.99,0.004090822
10/05/2013,48.79,0.00554929
09/05/2013,48.52,0.004751584
08/05/2013,48.29,0.022830607
07/05/2013,47.2,0.012793351
06/05/2013,46.6,0.002793598
03/05/2013,46.47,0.012341826
02/05/2013,45.9,0.01492565
01/05/2013,45.22,-0.021440331
30/04/2013,46.2,0.035470179
29/04/2013,44.59,0.014912161
26/04/2013,43.93,-0.007483877
25/04/2013,44.26,0.015483005
24/04/2013,43.58,0.011075332
23/04/2013,43.1,0.008387747
22/04/2013,42.74,0.017941935
19/04/2013,41.98,0.007651879
18/04/2013,41.66,-0.001199472
17/04/2013,41.71,-0.015463613
16/04/2013,42.36,-0.010333582
15/04/2013,42.8,-0.029014239
12/04/2013,44.06,-0.055189462
11/04/2013,46.56,0.016239396
10/04/2013,45.81,0.018951647
09/04/2013,44.95,0.004682805
08/04/2013,44.74,0.00492943
05/04/2013,44.52,-0.016706035
04/04/2013,45.27,-0.01163953
03/04/2013,45.8,-0.009777373
02/04/2013,46.25,0.00455088
01/04/2013,46.04,-0.006494935
28/03/2013,46.34,0.022919261
27/03/2013,45.29,0.008648463
26/03/2013,44.9,0.006031516
25/03/2013,44.63,0.014443943
22/03/2013,43.99,-0.003177488
21/03/2013,44.13,-0.019078123
20/03/2013,44.98,0.008259897
19/03/2013,44.61,0.006973372
18/03/2013,44.3,-0.001353485
15/03/2013,44.36,-0.01187689
14/03/2013,44.89,-0.008208587
13/03/2013,45.26,0.007317917
12/03/2013,44.93,0.002451255
11/03/2013,44.82,-0.013298068
08/03/2013,45.42,-0.007020652
07/03/2013,45.74,0.000218651
06/03/2013,45.73,-0.032274746
05/03/2013,47.23,-0.00211506
04/03/2013,47.33,-0.007996676
01/03/2013,47.71,-0.007517262
28/02/2013,48.07,0.000208052
27/02/2013,48.06,0.015728541
26/02/2013,47.31,0.004448689
25/02/2013,47.1,-0.018511256
22/02/2013,47.98,0.020636656
21/02/2013,47,-0.009739649
20/02/2013,47.46,-0.003995379
19/02/2013,47.65,0.000839807
15/02/2013,47.61,-0.002726798
14/02/2013,47.74,0.01349662
13/02/2013,47.1,0.007458745
12/02/2013,46.75,0.004502098
