Date,Close,JOY
04/04/2014,59.73,0.009588769
03/04/2014,59.16,0.001183932
02/04/2014,59.09,0.015691947
01/04/2014,58.17,0.002926747
31/03/2014,58,0.000689893
28/03/2014,57.96,0.007446567
27/03/2014,57.53,0.000173837
26/03/2014,57.52,-0.017748377
25/03/2014,58.55,0.031225434
24/03/2014,56.75,0.004238043
21/03/2014,56.51,0.024360868
20/03/2014,55.15,0
19/03/2014,55.15,-0.022235092
18/03/2014,56.39,-0.001240585
17/03/2014,56.46,0.012655012
14/03/2014,55.75,0.002514369
13/03/2014,55.61,0.00198002
12/03/2014,55.5,-0.003776643
11/03/2014,55.71,0.005038701
10/03/2014,55.43,-0.024767413
07/03/2014,56.82,-0.005265942
06/03/2014,57.12,0.023559676
05/03/2014,55.79,0.009002582
04/03/2014,55.29,0.010180055
03/03/2014,54.73,-0.00492118
28/02/2014,55,-0.018732536
27/02/2014,56.04,0.004291852
26/02/2014,55.8,0.012624153
25/02/2014,55.1,-0.041591209
24/02/2014,57.44,0.012437753
21/02/2014,56.73,0.002294186
20/02/2014,56.6,0.012981422
19/02/2014,55.87,-0.020023704
18/02/2014,57,0.005982773
14/02/2014,56.66,0.007262453
13/02/2014,56.25,0.000711364
12/02/2014,56.21,0.01145119
11/02/2014,55.57,0.012494504
10/02/2014,54.88,0.001641288
07/02/2014,54.79,0.017676763
06/02/2014,53.83,0.026924341
05/02/2014,52.4,-0.0058986
04/02/2014,52.71,0.018960637
03/02/2014,51.72,-0.020477225
31/01/2014,52.79,-0.000568128
30/01/2014,52.82,-0.00472189
29/01/2014,53.07,-0.01496194
28/01/2014,53.87,0.017036825
27/01/2014,52.96,0.004921456
24/01/2014,52.7,-0.043263036
23/01/2014,55.03,0.00145481
22/01/2014,54.95,-0.009779143
21/01/2014,55.49,-0.013247598
17/01/2014,56.23,-0.006911857
16/01/2014,56.62,0.001237077
15/01/2014,56.55,0.020545609
14/01/2014,55.4,0.009248411
13/01/2014,54.89,-0.016263459
10/01/2014,55.79,0.011175315
09/01/2014,55.17,0.000181274
08/01/2014,55.16,-0.005243661
07/01/2014,55.45,-0.000901307
06/01/2014,55.5,-0.003237995
03/01/2014,55.68,-0.012138671
02/01/2014,56.36,-0.037096112
31/12/2013,58.49,0.008585218
30/12/2013,57.99,0.002244282
27/12/2013,57.86,0.01954687
26/12/2013,56.74,0.006719742
24/12/2013,56.36,0.013936263
23/12/2013,55.58,0.020540575
20/12/2013,54.45,0.006818418
19/12/2013,54.08,0.001295217
18/12/2013,54.01,0.009113799
17/12/2013,53.52,-0.010409016
16/12/2013,54.08,0.010222187
13/12/2013,53.53,0.000186829
12/12/2013,53.52,0.006937311
11/12/2013,53.15,-0.056510143
10/12/2013,56.24,0.005527339
09/12/2013,55.93,-0.000893575
06/12/2013,55.98,0.008071069
05/12/2013,55.53,-0.009855827
04/12/2013,56.08,0.009495727
03/12/2013,55.55,0.002523433
02/12/2013,55.41,-0.020541939
29/11/2013,56.56,0.015142358
27/11/2013,55.71,0.007929398
26/11/2013,55.27,-0.00379233
25/11/2013,55.48,0.006509969
22/11/2013,55.12,0.005822433
21/11/2013,54.8,-0.008720986
20/11/2013,55.28,-0.000180881
19/11/2013,55.29,-0.01899018
18/11/2013,56.35,-0.007778013
15/11/2013,56.79,0.001233372
14/11/2013,56.72,-0.003519891
13/11/2013,56.92,0.01041952
12/11/2013,56.33,0.000888021
11/11/2013,56.28,-0.023183335
08/11/2013,57.6,-0.006920443
07/11/2013,58,0.008658063
06/11/2013,57.5,0.001044023
05/11/2013,57.44,-0.005728685
04/11/2013,57.77,0.019577622
01/11/2013,56.65,-0.001763669
31/10/2013,56.75,-0.007898242
30/10/2013,57.2,-0.010088797
29/10/2013,57.78,-0.015797032
28/10/2013,58.7,0.010446195
25/10/2013,58.09,0.016839214
24/10/2013,57.12,0.045120435
23/10/2013,54.6,0.002016684
22/10/2013,54.49,0.011257847
21/10/2013,53.88,-0.005921557
18/10/2013,54.2,0.028255224
17/10/2013,52.69,0.015877904
16/10/2013,51.86,0.006965972
15/10/2013,51.5,-0.010238668
14/10/2013,52.03,0.014324674
11/10/2013,51.29,-0.002336905
10/10/2013,51.41,0.007419011
09/10/2013,51.03,0.015602173
08/10/2013,50.24,-0.019318559
07/10/2013,51.22,-0.013766577
04/10/2013,51.93,0.013376181
03/10/2013,51.24,-0.013568729
02/10/2013,51.94,0.006373754
01/10/2013,51.61,0.011105813
30/09/2013,51.04,-0.003325186
27/09/2013,51.21,-0.010489607
26/09/2013,51.75,-0.009424053
25/09/2013,52.24,-0.023459267
24/09/2013,53.48,0.011093467
23/09/2013,52.89,-0.000378072
20/09/2013,52.91,-0.018538121
19/09/2013,53.9,0.006514681
18/09/2013,53.55,0.011078885
17/09/2013,52.96,-0.015364739
16/09/2013,53.78,-0.000371816
13/09/2013,53.8,0.005778747
12/09/2013,53.49,-0.014845327
11/09/2013,54.29,-0.001104566
10/09/2013,54.35,0.021386217
09/09/2013,53.2,0.042232764
