Date,Close,WYN
04/04/2014,72.39,-0.013719518
03/04/2014,73.39,-0.017290718
02/04/2014,74.67,0.007393004
01/04/2014,74.12,0.012080228
31/03/2014,73.23,0.007676528
28/03/2014,72.67,0.015951514
27/03/2014,71.52,0.007578984
26/03/2014,70.98,-0.02710193
25/03/2014,72.93,0.011446033
24/03/2014,72.1,-0.011446033
21/03/2014,72.93,0.004397424
20/03/2014,72.61,-0.009185067
19/03/2014,73.28,-0.007071011
18/03/2014,73.8,0.010214593
17/03/2014,73.05,0.012674092
14/03/2014,72.13,-0.000277239
13/03/2014,72.15,-0.023559506
12/03/2014,73.87,-0.013179319
11/03/2014,74.85,0.002273792
10/03/2014,74.68,-0.013565842
07/03/2014,75.7,-0.000528262
06/03/2014,75.74,0.012488537
05/03/2014,74.8,0.002007361
04/03/2014,74.65,0.02605657
03/03/2014,72.73,-0.002060299
28/02/2014,72.88,-0.001234145
27/02/2014,72.97,0.013382279
26/02/2014,72,0.012297528
25/02/2014,71.12,0.006630482
24/02/2014,70.65,0.009814459
21/02/2014,69.96,0.010489355
20/02/2014,69.23,-0.000866301
19/02/2014,69.29,-0.009908891
18/02/2014,69.98,-0.015174368
14/02/2014,71.05,0.010754313
13/02/2014,70.29,-0.001279591
12/02/2014,70.38,0.005985482
11/02/2014,69.96,-0.004990386
10/02/2014,70.31,-0.000426591
07/02/2014,70.34,-0.028589391
06/02/2014,72.38,0.035436779
05/02/2014,69.86,0
04/02/2014,69.86,0.017909202
03/02/2014,68.62,-0.033250412
31/01/2014,70.94,-0.011214023
30/01/2014,71.74,0.009523882
29/01/2014,71.06,-0.023641763
28/01/2014,72.76,0.009806031
27/01/2014,72.05,0.00277971
24/01/2014,71.85,-0.032587769
23/01/2014,74.23,-0.010319732
22/01/2014,75,0.008569951
21/01/2014,74.36,-0.000134472
17/01/2014,74.37,0.006881225
16/01/2014,73.86,-0.000541419
15/01/2014,73.9,0.000947675
14/01/2014,73.83,0.032347463
13/01/2014,71.48,-0.020630707
10/01/2014,72.97,0.009777672
09/01/2014,72.26,-0.003453758
08/01/2014,72.51,0.010676011
07/01/2014,71.74,-0.01026219
06/01/2014,72.48,-0.00013796
03/01/2014,72.49,-0.014108857
02/01/2014,73.52,-0.002309627
31/12/2013,73.69,0.005033682
30/12/2013,73.32,0.004237005
27/12/2013,73.01,-0.002599003
26/12/2013,73.2,0.006716494
24/12/2013,72.71,0.003030305
23/12/2013,72.49,-0.006599776
20/12/2013,72.97,0.014076964
19/12/2013,71.95,-0.006511071
18/12/2013,72.42,0.028147206
17/12/2013,70.41,-0.011859521
16/12/2013,71.25,0.009306328
13/12/2013,70.59,0.004828183
12/12/2013,70.25,-0.006950876
11/12/2013,70.74,-0.013061066
10/12/2013,71.67,-0.010962435
09/12/2013,72.46,0.000828386
06/12/2013,72.4,0.01685394
05/12/2013,71.19,-0.007138388
04/12/2013,71.7,-0.004175371
03/12/2013,72,-0.00097175
02/12/2013,72.07,0.005007661
