Date,Close,FLIR
04/04/2014,36.56,-0.011963166
03/04/2014,37,0.005420067
02/04/2014,36.8,0.001903985
01/04/2014,36.73,0.020074921
31/03/2014,36,0.021053409
28/03/2014,35.25,0.013710583
27/03/2014,34.77,-0.006878789
26/03/2014,35.01,-0.005412348
25/03/2014,35.2,0.000284131
24/03/2014,35.19,0.000284212
21/03/2014,35.18,0.015180014
20/03/2014,34.65,0.007531901
19/03/2014,34.39,-0.006376833
18/03/2014,34.61,0.007831802
17/03/2014,34.34,0.006134093
14/03/2014,34.13,-0.004385331
13/03/2014,34.28,-0.017064767
12/03/2014,34.87,-0.000859969
11/03/2014,34.9,-0.006853254
10/03/2014,35.14,-0.001137657
07/03/2014,35.18,-0.001136364
06/03/2014,35.22,0.006266042
05/03/2014,35,0.008608375
04/03/2014,34.7,0.013929418
03/03/2014,34.22,0.002340551
28/02/2014,34.14,0.028221092
27/02/2014,33.19,-0.003609026
26/02/2014,33.31,0.014819567
25/02/2014,32.82,-0.005469476
24/02/2014,33,0.006383971
21/02/2014,32.79,0.01971114
20/02/2014,32.15,0.030635587
19/02/2014,31.18,-0.007667769
18/02/2014,31.42,0.017012126
14/02/2014,30.89,-0.001940492
13/02/2014,30.95,-0.005156312
12/02/2014,31.11,-0.000642674
11/02/2014,31.13,0.021101254
10/02/2014,30.48,-0.007517604
07/02/2014,30.71,-0.047067511
06/02/2014,32.19,0.038959797
05/02/2014,30.96,-0.007080815
04/02/2014,31.18,0.013886869
03/02/2014,30.75,-0.031057403
31/01/2014,31.72,-0.032566066
30/01/2014,32.77,0.018168321
29/01/2014,32.18,-0.015724079
28/01/2014,32.69,0.006136871
27/01/2014,32.49,-0.005524876
24/01/2014,32.67,-0.039903299
23/01/2014,34,-0.004987542
22/01/2014,34.17,0.008818399
21/01/2014,33.87,0.012776879
17/01/2014,33.44,0.005998818
16/01/2014,33.24,0
15/01/2014,33.24,0.021898685
14/01/2014,32.52,0.001846723
13/01/2014,32.46,0.004941332
10/01/2014,32.3,-0.006172859
09/01/2014,32.5,-0.012232568
08/01/2014,32.9,0.033691952
07/01/2014,31.81,0.092484876
06/01/2014,29,-0.000689417
03/01/2014,29.02,-0.00309651
02/01/2014,29.11,-0.033443414
31/12/2013,30.1,0.01169604
30/12/2013,29.75,-0.000336078
27/12/2013,29.76,0.003028776
26/12/2013,29.67,0.006424367
24/12/2013,29.48,-0.003048267
23/12/2013,29.57,0.014648533
20/12/2013,29.14,0.016260521
19/12/2013,28.67,-0.003481898
18/12/2013,28.77,0.001739433
17/12/2013,28.72,0.009094152
16/12/2013,28.46,-0.00839753
13/12/2013,28.7,-0.002783579
12/12/2013,28.78,0.006623695
11/12/2013,28.59,-0.015617184
10/12/2013,29.04,0.002068253
09/12/2013,28.98,-0.013708234
06/12/2013,29.38,0.011639981
05/12/2013,29.04,-0.012660563
04/12/2013,29.41,-0.005425581
03/12/2013,29.57,0.007467788
02/12/2013,29.35,-0.010843888
29/11/2013,29.67,-0.003364741
27/11/2013,29.77,-0.003018617
26/11/2013,29.86,0.004699572
25/11/2013,29.72,-0.000672721
22/11/2013,29.74,0.00471858
21/11/2013,29.6,0.017723709
20/11/2013,29.08,-0.003090131
19/11/2013,29.17,-0.007513697
18/11/2013,29.39,-0.004752215
15/11/2013,29.53,0.000677507
14/11/2013,29.51,-0.000338811
13/11/2013,29.52,0.01639381
12/11/2013,29.04,-0.007888911
11/11/2013,29.27,0.007200443
08/11/2013,29.06,0.029331712
07/11/2013,28.22,-0.004948755
06/11/2013,28.36,-0.007727471
05/11/2013,28.58,0.003505086
04/11/2013,28.48,0.003517415
01/11/2013,28.38,-0.003517415
31/10/2013,28.48,-0.001754079
30/10/2013,28.53,-0.002100841
29/10/2013,28.59,0.014799424
28/10/2013,28.17,-0.01304903
25/10/2013,28.54,-0.00419581
24/10/2013,28.66,-0.004178279
23/10/2013,28.78,-0.008649077
22/10/2013,29.03,0.004488183
21/10/2013,28.9,-0.018172967
18/10/2013,29.43,0.015063619
17/10/2013,28.99,0.021618694
16/10/2013,28.37,-0.007724758
15/10/2013,28.59,-0.148588847
14/10/2013,33.17,0.015188627
11/10/2013,32.67,0.014490773
10/10/2013,32.2,0.016912398
09/10/2013,31.66,-0.00409772
08/10/2013,31.79,-0.010327114
07/10/2013,32.12,-0.008988128
04/10/2013,32.41,0.001543925
03/10/2013,32.36,0.020606411
02/10/2013,31.7,0.001262626
01/10/2013,31.66,0.008246162
30/09/2013,31.4,0.002551022
27/09/2013,31.32,-0.005095552
26/09/2013,31.48,0.00957556
25/09/2013,31.18,-0.012747145
24/09/2013,31.58,0.013067915
23/09/2013,31.17,-0.013384521
20/09/2013,31.59,-0.017571836
19/09/2013,32.15,0.00749301
18/09/2013,31.91,0.001568136
17/09/2013,31.86,-0.000941177
16/09/2013,31.89,0.001255099
13/09/2013,31.85,-0.000941472
12/09/2013,31.88,-0.013397926
11/09/2013,32.31,-0.002472953
10/09/2013,32.39,0.011489026
09/09/2013,32.02,0.010359534
06/09/2013,31.69,-0.007231599
05/09/2013,31.92,0.000313332
04/09/2013,31.91,0.018662569
03/09/2013,31.32,0.001277955
30/08/2013,31.28,-0.015543533
29/08/2013,31.77,0.008217493
28/08/2013,31.51,0.005728851
27/08/2013,31.33,-0.032037916
26/08/2013,32.35,0.001237241
23/08/2013,32.31,-0.019310945
22/08/2013,32.94,0.022410761
21/08/2013,32.21,0.003732508
20/08/2013,32.09,0.004059334
19/08/2013,31.96,-0.007481332
16/08/2013,32.2,0.000310607
15/08/2013,32.19,-0.022120718
14/08/2013,32.91,-0.008773313
13/08/2013,33.2,0.000602591
12/08/2013,33.18,0.0057428
09/08/2013,32.99,0.01035963
08/08/2013,32.65,-0.007019714
07/08/2013,32.88,-0.004854378
06/08/2013,33.04,-0.003625382
05/08/2013,33.16,-0.017636087
02/08/2013,33.75,0.027942332
01/08/2013,32.82,0.0107215
31/07/2013,32.47,0.011149078
30/07/2013,32.11,0.006875027
29/07/2013,31.89,-0.017099748
26/07/2013,32.44,0.016472789
25/07/2013,31.91,0.092524968
24/07/2013,29.09,0.003098643
23/07/2013,29,-0.002754823
22/07/2013,29.08,0.003789841
19/07/2013,28.97,-0.002413378
18/07/2013,29.04,-0.003780723
17/07/2013,29.15,0.003780723
16/07/2013,29.04,-0.010959014
15/07/2013,29.36,0.005807019
12/07/2013,29.19,0.002400962
11/07/2013,29.12,0.007929709
10/07/2013,28.89,0.003814813
09/07/2013,28.78,0.010478615
08/07/2013,28.48,0.020217039
05/07/2013,27.91,0.015890547
03/07/2013,27.47,0.008040979
02/07/2013,27.25,-0.004028572
01/07/2013,27.36,0.014356956
28/06/2013,26.97,0.006696454
27/06/2013,26.79,0.023414967
26/06/2013,26.17,0.016567514
25/06/2013,25.74,0.010937609
24/06/2013,25.46,-0.010549033
21/06/2013,25.73,0.00584683
20/06/2013,25.58,-0.025855193
19/06/2013,26.25,-0.009101314
18/06/2013,26.49,0.059893481
17/06/2013,24.95,0.020652688
14/06/2013,24.44,0.012350919
13/06/2013,24.14,0.017973316
12/06/2013,23.71,-0.015899917
11/06/2013,24.09,-0.011145626
10/06/2013,24.36,-0.001640689
07/06/2013,24.4,0.010712917
06/06/2013,24.14,0.007484442
05/06/2013,23.96,-0.006240919
04/06/2013,24.11,0.004156282
03/06/2013,24.01,-0.014472033
31/05/2013,24.36,-0.006138755
30/05/2013,24.51,0.00040808
29/05/2013,24.5,-0.006914813
28/05/2013,24.67,0.02130355
