Date,Close,PSA
04/04/2014,169.55,0.001357453
03/04/2014,169.32,-0.00371386
02/04/2014,169.95,0.002710348
01/04/2014,169.49,0.005917527
31/03/2014,168.49,0.002733866
28/03/2014,168.03,0.002622014
27/03/2014,167.59,-0.001431042
26/03/2014,167.83,-0.006236841
25/03/2014,168.88,0.005819839
24/03/2014,167.9,-0.008658063
21/03/2014,169.36,0.010506106
20/03/2014,167.59,0.004185608
19/03/2014,166.89,-0.008769631
18/03/2014,168.36,0.001545503
17/03/2014,168.1,-0.000416332
14/03/2014,168.17,0.00608376
13/03/2014,167.15,0.002096123
12/03/2014,166.8,-0.006036897
11/03/2014,167.81,0.00465895
10/03/2014,167.03,-0.003108377
07/03/2014,167.55,-0.010567659
06/03/2014,169.33,-0.010807741
05/03/2014,171.17,0.00163714
04/03/2014,170.89,0.012957364
03/03/2014,168.69,-0.001836004
28/02/2014,169,0.014663194
27/02/2014,166.54,-0.003416757
26/02/2014,167.11,-0.003285841
25/02/2014,167.66,0.005742329
24/02/2014,166.7,0.001560906
21/02/2014,166.44,-0.001620892
20/02/2014,166.71,0.001560812
19/02/2014,166.45,-0.002759781
18/02/2014,166.91,0.006974116
14/02/2014,165.75,0.007448486
13/02/2014,164.52,0.006157993
12/02/2014,163.51,0.000795375
11/02/2014,163.38,0.008173846
10/02/2014,162.05,0.011169834
07/02/2014,160.25,0.011548487
06/02/2014,158.41,0.003224687
05/02/2014,157.9,-0.004234215
04/02/2014,158.57,0.017237968
03/02/2014,155.86,-0.011038555
31/01/2014,157.59,0.004961842
30/01/2014,156.81,0.014776062
29/01/2014,154.51,-0.001422843
28/01/2014,154.73,0.013664971
27/01/2014,152.63,0.001376824
24/01/2014,152.42,-0.013295295
23/01/2014,154.46,-0.005552342
22/01/2014,155.32,0.001868858
21/01/2014,155.03,0.000387097
17/01/2014,154.97,-0.006688558
16/01/2014,156.01,0.00623696
15/01/2014,155.04,-0.00444059
14/01/2014,155.73,0.01143091
13/01/2014,153.96,-0.001946662
10/01/2014,154.26,0.007874825
09/01/2014,153.05,0.01926308
08/01/2014,150.13,0.00180006
07/01/2014,149.86,-0.001133749
06/01/2014,150.03,-0.000533085
03/01/2014,150.11,0.00775768
02/01/2014,148.95,-0.010485287
31/12/2013,150.52,-0.006951599
30/12/2013,151.57,0.002973341
27/12/2013,151.12,-0.000198498
26/12/2013,151.15,-0.002972752
24/12/2013,151.6,0.00032987
23/12/2013,151.55,-0.001780005
20/12/2013,151.82,0.00435673
19/12/2013,151.16,-0.006527998
18/12/2013,152.15,0.017436713
17/12/2013,149.52,-0.009915897
16/12/2013,151.01,0.009782144
13/12/2013,149.54,-0.001136174
12/12/2013,149.71,-0.005595165
11/12/2013,150.55,-0.027192503
10/12/2013,154.7,-0.00322685
09/12/2013,155.2,0.007762005
06/12/2013,154,0.018679881
05/12/2013,151.15,-0.005147167
04/12/2013,151.93,0.009988507
03/12/2013,150.42,-0.015698495
02/12/2013,152.8,0.000654665
29/11/2013,152.7,-0.009710396
27/11/2013,154.19,0.010037889
26/11/2013,152.65,-0.006919991
25/11/2013,153.71,-0.007453773
22/11/2013,154.86,0.00083982
21/11/2013,154.73,0.001163994
20/11/2013,154.55,-0.015409615
19/11/2013,156.95,-0.016116639
18/11/2013,159.5,-0.01808008
15/11/2013,162.41,-0.001599607
14/11/2013,162.67,0.014926112
13/11/2013,160.26,0.007138862
12/11/2013,159.12,-0.004827444
11/11/2013,159.89,-0.000125078
08/11/2013,159.91,-0.007972636
07/11/2013,161.19,-0.021359678
06/11/2013,164.67,-0.003394971
05/11/2013,165.23,-0.020487119
04/11/2013,168.65,-0.00201398
01/11/2013,168.99,0.012025386
31/10/2013,166.97,-0.003945014
30/10/2013,167.63,-0.011801471
29/10/2013,169.62,-0.016082688
28/10/2013,172.37,-0.010905108
25/10/2013,174.26,0.013751878
24/10/2013,171.88,0.002388235
23/10/2013,171.47,0.000233304
22/10/2013,171.43,0.004033088
21/10/2013,170.74,-0.008282345
18/10/2013,172.16,-0.002320725
17/10/2013,172.56,0.01042738
16/10/2013,170.77,0.020409475
15/10/2013,167.32,-0.001493028
14/10/2013,167.57,-0.005000308
11/10/2013,168.41,0.012487839
10/10/2013,166.32,0.026070425
09/10/2013,162.04,0.001235025
08/10/2013,161.84,-0.009654187
07/10/2013,163.41,0.003985657
04/10/2013,162.76,0.004742118
03/10/2013,161.99,-0.010561965
02/10/2013,163.71,0.005881289
01/10/2013,162.75,0.013609861
30/09/2013,160.55,-0.012626274
27/09/2013,162.59,-0.002579854
26/09/2013,163.01,0.004549934
25/09/2013,162.27,0.011154605
24/09/2013,160.47,-0.010969711
23/09/2013,162.24,-0.009752584
20/09/2013,163.83,-0.013158484
19/09/2013,166,0.002231403
18/09/2013,165.63,0.043749458
17/09/2013,158.54,0.00594675
16/09/2013,157.6,0.010011881
13/09/2013,156.03,0.000576979
12/09/2013,155.94,-0.00760217
11/09/2013,157.13,-0.004698421
10/09/2013,157.87,0.00616325
09/09/2013,156.9,0.025040028
06/09/2013,153.02,0.011568421
05/09/2013,151.26,-0.008492201
04/09/2013,152.55,0.000983768
03/09/2013,152.4,-0.001770086
30/08/2013,152.67,-0.00091659
29/08/2013,152.81,0.0010476
28/08/2013,152.65,-0.007570355
27/08/2013,153.81,-0.010477395
26/08/2013,155.43,-0.014372193
23/08/2013,157.68,0.002285715
22/08/2013,157.32,0.001399402
21/08/2013,157.1,0.004401781
20/08/2013,156.41,0.019823087
19/08/2013,153.34,-0.003970196
16/08/2013,153.95,-0.022353041
15/08/2013,157.43,-0.013501782
14/08/2013,159.57,-0.003753054
13/08/2013,160.17,-0.010619569
12/08/2013,161.88,-0.007814703
09/08/2013,163.15,0.010350656
08/08/2013,161.47,-0.007404242
07/08/2013,162.67,0.003078441
06/08/2013,162.17,-6.16618E-05
05/08/2013,162.18,0.008980891
02/08/2013,160.73,-0.003416046
01/08/2013,161.28,0.012855091
31/07/2013,159.22,-0.002007781
30/07/2013,159.54,-0.000313352
29/07/2013,159.59,-0.008796339
26/07/2013,161,0.006543099
25/07/2013,159.95,0.005202632
24/07/2013,159.12,-0.0237234
23/07/2013,162.94,-0.002635532
22/07/2013,163.37,0.005093442
19/07/2013,162.54,-0.00251928
18/07/2013,162.95,0.007700639
17/07/2013,161.7,0.008446206
16/07/2013,160.34,0.00393689
15/07/2013,159.71,0.00395245
12/07/2013,159.08,-0.001821323
11/07/2013,159.37,0.026127412
10/07/2013,155.26,0.000128824
09/07/2013,155.24,0.015449837
08/07/2013,152.86,-6.54172E-05
05/07/2013,152.87,-0.002547939
03/07/2013,153.26,-0.009222641
02/07/2013,154.68,0.01899225
01/07/2013,151.77,-0.010226244
28/06/2013,153.33,-0.005009281
27/06/2013,154.1,0.016686139
26/06/2013,151.55,0.004961148
25/06/2013,150.8,0.010666768
24/06/2013,149.2,-0.003545984
21/06/2013,149.73,0.025912217
20/06/2013,145.9,-0.022366232
19/06/2013,149.2,-0.021220955
18/06/2013,152.4,-0.006149035
17/06/2013,153.34,0.010093813
14/06/2013,151.8,-0.00361664
13/06/2013,152.35,0.030929613
12/06/2013,147.71,-0.008628298
11/06/2013,148.99,-0.009818079
10/06/2013,150.46,-0.021825741
07/06/2013,153.78,-0.000845006
06/06/2013,153.91,0.019816921
05/06/2013,150.89,-0.004298522
04/06/2013,151.54,-0.025731804
03/06/2013,155.49,0.024017556
31/05/2013,151.8,-0.0143238
30/05/2013,153.99,-0.021076408
29/05/2013,157.27,-0.022321654
28/05/2013,160.82,-0.010945967
24/05/2013,162.59,0.01568295
23/05/2013,160.06,-0.018140104
22/05/2013,162.99,-0.028607073
21/05/2013,167.72,0.004721359
20/05/2013,166.93,-0.003110236
17/05/2013,167.45,0.013527938
16/05/2013,165.2,-0.011854398
15/05/2013,167.17,0.015249987
14/05/2013,164.64,-0.004303167
13/05/2013,165.35,0.006553024
10/05/2013,164.27,-0.002128372
09/05/2013,164.62,-0.00551266
08/05/2013,165.53,-0.008182465
07/05/2013,166.89,0.00077926
06/05/2013,166.76,0.001680471
03/05/2013,166.48,0.003610547
02/05/2013,165.88,0.005925406
01/05/2013,164.9,-0.000606244
30/04/2013,165,0.018410869
29/04/2013,161.99,0.012548307
26/04/2013,159.97,0.005453362
25/04/2013,159.1,-0.002009294
24/04/2013,159.42,0.004841711
23/04/2013,158.65,0.006069438
22/04/2013,157.69,-0.007014468
19/04/2013,158.8,0.014525643
18/04/2013,156.51,0.00140665
17/04/2013,156.29,0
16/04/2013,156.29,0.00796561
15/04/2013,155.05,-0.022070037
12/04/2013,158.51,-0.000315388
11/04/2013,158.56,0.009314181
10/04/2013,157.09,-0.000381874
09/04/2013,157.15,0.002676184
08/04/2013,156.73,0.010454509
05/04/2013,155.1,0.004652975
04/04/2013,154.38,0.014090253
03/04/2013,152.22,-0.004588066
02/04/2013,152.92,0.003471885
01/04/2013,152.39,0.000459453
28/03/2013,152.32,0.007380107
27/03/2013,151.2,-0.001652074
26/03/2013,151.45,0.007954964
25/03/2013,150.25,-0.003056887
22/03/2013,150.71,-0.000398036
21/03/2013,150.77,-0.002120189
20/03/2013,151.09,0.008240892
19/03/2013,149.85,0.009790851
18/03/2013,148.39,0.000943905
15/03/2013,148.25,0.006768215
14/03/2013,147.25,0.003878479
13/03/2013,146.68,-0.002179244
12/03/2013,147,-0.01290951
11/03/2013,148.91,-0.010421632
08/03/2013,150.47,6.64606E-05
07/03/2013,150.46,-0.014057318
06/03/2013,152.59,-0.009068138
05/03/2013,153.98,0.008020126
04/03/2013,152.75,0.005251079
01/03/2013,151.95,0.00488192
28/02/2013,151.21,-0.004157736
27/02/2013,151.84,0.004620775
26/02/2013,151.14,0.007704608
25/02/2013,149.98,-0.016072306
22/02/2013,152.41,0.00262795
21/02/2013,152.01,-0.002955958
20/02/2013,152.46,-0.001703913
19/02/2013,152.72,0.009605969
15/02/2013,151.26,-0.019250251
14/02/2013,154.2,-0.012118235
13/02/2013,156.08,-0.006704792
12/02/2013,157.13,0.001783554
11/02/2013,156.85,-0.003500401
08/02/2013,157.4,0.008677951
07/02/2013,156.04,-0.006260801
06/02/2013,157.02,0.000509619
05/02/2013,156.94,0.003510679
04/02/2013,156.39,0.005707156
01/02/2013,155.5,0.010147778
31/01/2013,153.93,0.000714866
30/01/2013,153.82,-0.002597067
29/01/2013,154.22,0.005070543
28/01/2013,153.44,0.004834399
25/01/2013,152.7,0.006372587
24/01/2013,151.73,0.006015553
23/01/2013,150.82,-0.000662822
22/01/2013,150.92,0.004382768
18/01/2013,150.26,0.01454693
17/01/2013,148.09,0.00087823
16/01/2013,147.96,0.001961912
15/01/2013,147.67,0.009252396
14/01/2013,146.31,-0.005045007
11/01/2013,147.05,0.005250072
10/01/2013,146.28,0.005415238
09/01/2013,145.49,0.003649513
08/01/2013,144.96,-0.006806255
07/01/2013,145.95,-0.00184824
04/01/2013,146.22,0.004592667
03/01/2013,145.55,-0.0037032
02/01/2013,146.09,0.007765028
31/12/2012,144.96,0.010401592
28/12/2012,143.46,-0.006323198
27/12/2012,144.37,-6.92641E-05
26/12/2012,144.38,-0.010267101
24/12/2012,145.87,0.004397121
21/12/2012,145.23,-0.006246374
20/12/2012,146.14,0.015376962
19/12/2012,143.91,0.000903751
18/12/2012,143.78,0.009644355
17/12/2012,142.4,0.016283546
14/12/2012,140.1,0.004076821
13/12/2012,139.53,-0.009628832
12/12/2012,140.88,-0.003401364
11/12/2012,141.36,0.002479018
10/12/2012,141.01,-0.009247234
07/12/2012,142.32,0.004648223
06/12/2012,141.66,0.000776809
05/12/2012,141.55,-0.006688988
04/12/2012,142.5,-0.000140341
03/12/2012,142.52,0.013278907
30/11/2012,140.64,-0.004540303
29/11/2012,141.28,-0.007404568
28/11/2012,142.33,-0.002736364
27/11/2012,142.72,-0.017915902
26/11/2012,145.3,0.000206491
23/11/2012,145.27,0.006768917
21/11/2012,144.29,-0.001661935
20/11/2012,144.53,-0.002832765
19/11/2012,144.94,0.007479259
16/11/2012,143.86,-0.002707301
15/11/2012,144.25,-0.005185837
14/11/2012,145,-0.012677915
13/11/2012,146.85,0.010748743
12/11/2012,145.28,-0.002886798
09/11/2012,145.7,0.026286195
08/11/2012,141.92,-0.009955912
07/11/2012,143.34,0.016246797
06/11/2012,141.03,0.007044538
05/11/2012,140.04,-0.001854891
02/11/2012,140.3,0.002998075
01/11/2012,139.88,0.008976399
31/10/2012,138.63,0.015044435
26/10/2012,136.56,-0.004456954
25/10/2012,137.17,-0.005597776
24/10/2012,137.94,0.006035285
23/10/2012,137.11,0.001678894
22/10/2012,136.88,-0.008293973
19/10/2012,138.02,0.002175964
18/10/2012,137.72,0.003782923
17/10/2012,137.2,-0.00443621
16/10/2012,137.81,0.003998987
15/10/2012,137.26,0.005259325
12/10/2012,136.54,-0.007224463
11/10/2012,137.53,-0.007750012
10/10/2012,138.6,-0.00064914
09/10/2012,138.69,-0.00359868
08/10/2012,139.19,0
05/10/2012,139.19,0.001222099
04/10/2012,139.02,-0.004807874
03/10/2012,139.69,0.00329844
02/10/2012,139.23,0.00194112
01/10/2012,138.96,-0.001510085
28/09/2012,139.17,0.001222274
27/09/2012,139,-0.002514821
26/09/2012,139.35,-0.002937912
25/09/2012,139.76,-0.008336647
24/09/2012,140.93,-0.004107073
21/09/2012,141.51,-0.003808722
20/09/2012,142.05,-0.013773071
19/09/2012,144.02,-0.01132296
18/09/2012,145.66,-0.013840344
17/09/2012,147.69,-0.007286007
14/09/2012,148.77,0.008031088
13/09/2012,147.58,0.013301243
12/09/2012,145.63,0.011047547
11/09/2012,144.03,-0.001248959
10/09/2012,144.21,-0.017936776
07/09/2012,146.82,-0.004485227
06/09/2012,147.48,0.0070085
05/09/2012,146.45,-0.00129653
04/09/2012,146.64,0.007392231
31/08/2012,145.56,0.006547909
30/08/2012,144.61,0.006591067
29/08/2012,143.66,0.000348105
28/08/2012,143.61,0.007899653
27/08/2012,142.48,-0.001402722
24/08/2012,142.68,0.009719071
23/08/2012,141.3,-0.008246162
22/08/2012,142.47,0
21/08/2012,142.47,-0.000771794
20/08/2012,142.58,-0.019516541
17/08/2012,145.39,0.002961945
16/08/2012,144.96,0.007825796
15/08/2012,143.83,0.005018481
14/08/2012,143.11,-0.004670788
13/08/2012,143.78,-0.005410293
10/08/2012,144.56,0.005688534
09/08/2012,143.74,-0.009348127
08/08/2012,145.09,-0.003028011
07/08/2012,145.53,-0.005345407
06/08/2012,146.31,-0.010808711
03/08/2012,147.9,-0.006133955
02/08/2012,148.81,0.001277612
01/08/2012,148.62,-0.002217966
31/07/2012,148.95,-0.006424435
30/07/2012,149.91,0.003608665
27/07/2012,149.37,0.015653784
26/07/2012,147.05,0.014176863
25/07/2012,144.98,-0.001034091
24/07/2012,145.13,-0.002339987
23/07/2012,145.47,-0.001991554
20/07/2012,145.76,-0.002672058
19/07/2012,146.15,-0.011767643
18/07/2012,147.88,-0.007410935
17/07/2012,148.98,0.010729934
16/07/2012,147.39,0.00489697
13/07/2012,146.67,0.012762627
12/07/2012,144.81,0.005192659
11/07/2012,144.06,-0.000624545
10/07/2012,144.15,-0.0048443
09/07/2012,144.85,0.001658261
06/07/2012,144.61,0.003047305
05/07/2012,144.17,-0.006498917
03/07/2012,145.11,-0.000206718
02/07/2012,145.14,0.005042318
29/06/2012,144.41,0.024109374
28/06/2012,140.97,0.005405803
27/06/2012,140.21,0.001141797
26/06/2012,140.05,0.016559054
25/06/2012,137.75,-0.001740771
22/06/2012,137.99,-0.001231215
21/06/2012,138.16,-0.008217447
20/06/2012,139.3,-0.002509412
19/06/2012,139.65,0.00301205
18/06/2012,139.23,0.010469032
15/06/2012,137.78,0.003708421
14/06/2012,137.27,0.011576917
13/06/2012,135.69,-0.006391206
12/06/2012,136.56,0.006170139
11/06/2012,135.72,-0.021791483
08/06/2012,138.71,0.015621344
07/06/2012,136.56,0.000219708
06/06/2012,136.53,0.021170295
05/06/2012,133.67,0.007584612
04/06/2012,132.66,0.004987542
01/06/2012,132,-0.011074811
31/05/2012,133.47,0.007445043
30/05/2012,132.48,-0.017360508
29/05/2012,134.8,0.011264993
25/05/2012,133.29,0.002854998
24/05/2012,132.91,0.006037299
23/05/2012,132.11,-0.000529721
22/05/2012,132.18,-0.007536967
21/05/2012,133.18,0.020251745
18/05/2012,130.51,-0.000765931
17/05/2012,130.61,-0.025250812
16/05/2012,133.95,-0.013495682
15/05/2012,135.77,-0.008726635
14/05/2012,136.96,-0.017802048
11/05/2012,139.42,0.002369754
10/05/2012,139.09,-0.00136509
09/05/2012,139.28,-0.009788239
08/05/2012,140.65,-0.0004265
07/05/2012,140.71,0.001564723
04/05/2012,140.49,-0.031390513
03/05/2012,144.97,-0.003649262
02/05/2012,145.5,0.00316652
01/05/2012,145.04,0.012348405
30/04/2012,143.26,-0.004526943
27/04/2012,143.91,0.008653833
