Date,Close,AME
04/04/2014,51.4,-0.024787512
03/04/2014,52.69,-0.002842795
02/04/2014,52.84,0.006264852
01/04/2014,52.51,0.019616014
31/03/2014,51.49,0.003112237
28/03/2014,51.33,0.000194837
27/03/2014,51.32,-0.007957344
26/03/2014,51.73,-0.018197993
25/03/2014,52.68,0.003613202
24/03/2014,52.49,-0.008158664
21/03/2014,52.92,-0.002076452
20/03/2014,53.03,0.00018859
19/03/2014,53.02,-0.016461277
18/03/2014,53.9,0.004649009
17/03/2014,53.65,0.019385193
14/03/2014,52.62,-0.002088278
13/03/2014,52.73,-0.009437594
12/03/2014,53.23,0.004896432
11/03/2014,52.97,-0.012196417
10/03/2014,53.62,-0.009835841
07/03/2014,54.15,0.007414306
06/03/2014,53.75,0.002421534
05/03/2014,53.62,-0.002049372
04/03/2014,53.73,0.021065289
03/03/2014,52.61,-0.011903778
28/02/2014,53.24,0.00451808
27/02/2014,53,0.005866229
26/02/2014,52.69,-0.003788601
25/02/2014,52.89,0.000567376
24/02/2014,52.86,0.009694972
21/02/2014,52.35,0.001720677
20/02/2014,52.26,0.012515808
19/02/2014,51.61,0.00310499
18/02/2014,51.45,0.001361471
14/02/2014,51.38,0.003118911
13/02/2014,51.22,0.009809771
12/02/2014,50.72,0.013897385
11/02/2014,50.02,0.011663112
10/02/2014,49.44,-0.004439967
07/02/2014,49.66,0.018494583
06/02/2014,48.75,0.016754968
05/02/2014,47.94,-0.003124026
04/02/2014,48.09,0.008981784
03/02/2014,47.66,-0.036262729
31/01/2014,49.42,-0.012867085
30/01/2014,50.06,0.006412848
29/01/2014,49.74,-0.003211564
28/01/2014,49.9,0.010273028
27/01/2014,49.39,-0.004847515
24/01/2014,49.63,-0.034458855
23/01/2014,51.37,-0.013918647
22/01/2014,52.09,-0.00057576
21/01/2014,52.12,0.001920492
17/01/2014,52.02,-0.01108786
16/01/2014,52.6,-0.003037208
15/01/2014,52.76,0.009904843
14/01/2014,52.24,0.011164697
13/01/2014,51.66,-0.016700647
10/01/2014,52.53,0.006493529
09/01/2014,52.19,0.004031876
08/01/2014,51.98,-0.00230592
07/01/2014,52.1,0.004231589
06/01/2014,51.88,-0.005574258
03/01/2014,52.17,0.001534625
02/01/2014,52.09,-0.011073042
31/12/2013,52.67,0.002851984
30/12/2013,52.52,0.001333715
27/12/2013,52.45,-0.00228528
26/12/2013,52.57,0.000380518
24/12/2013,52.55,0.009368198
23/12/2013,52.06,0.000576424
20/12/2013,52.03,0.012766131
19/12/2013,51.37,0.002533867
18/12/2013,51.24,0.022100347
17/12/2013,50.12,0.005802918
16/12/2013,49.83,0.011098893
13/12/2013,49.28,0.006106268
12/12/2013,48.98,0.00758278
11/12/2013,48.61,-0.011251014
10/12/2013,49.16,-0.004465199
09/12/2013,49.38,-0.002023064
06/12/2013,49.48,0.011791151
05/12/2013,48.9,-0.00469245
04/12/2013,49.13,0.008380223
03/12/2013,48.72,-0.002460026
02/12/2013,48.84,-0.007750396
29/11/2013,49.22,-0.005470584
27/11/2013,49.49,0.002225145
26/11/2013,49.38,-0.001214329
25/11/2013,49.44,-0.00625065
22/11/2013,49.75,0.008478048
21/11/2013,49.33,0.018000077
20/11/2013,48.45,-0.003091193
19/11/2013,48.6,-0.008808825
18/11/2013,49.03,-0.004477012
15/11/2013,49.25,0.003050333
14/11/2013,49.1,0.000611185
13/11/2013,49.07,0.007363502
12/11/2013,48.71,0.001232539
11/11/2013,48.65,0.002469645
08/11/2013,48.53,0.012231934
07/11/2013,47.94,-0.009136276
06/11/2013,48.38,0.009762254
05/11/2013,47.91,-0.002501565
04/11/2013,48.03,0.004800176
01/11/2013,47.8,-0.000627418
31/10/2013,47.83,0.004400217
30/10/2013,47.62,-0.004191121
29/10/2013,47.82,0.036197267
28/10/2013,46.12,-0.020813969
25/10/2013,47.09,0.008744857
24/10/2013,46.68,-0.000856531
23/10/2013,46.72,-0.003205473
22/10/2013,46.87,0.012019891
21/10/2013,46.31,0.005195942
18/10/2013,46.07,0.008939338
17/10/2013,45.66,0.01145387
16/10/2013,45.14,0.004663048
15/10/2013,44.93,-0.015021268
14/10/2013,45.61,0.003954311
11/10/2013,45.43,0.007512187
10/10/2013,45.09,0.031083584
09/10/2013,43.71,-0.005020549
08/10/2013,43.93,-0.018270498
07/10/2013,44.74,-0.00534999
04/10/2013,44.98,0.003340388
03/10/2013,44.83,-0.013515216
02/10/2013,45.44,-0.005486681
01/10/2013,45.69,-0.007196629
30/09/2013,46.02,0.00829156
27/09/2013,45.64,-0.0124117
26/09/2013,46.21,0.000865988
25/09/2013,46.17,-0.001082368
24/09/2013,46.22,0.004119247
23/09/2013,46.03,0.000651961
20/09/2013,46,-0.000434688
19/09/2013,46.02,0.00522877
18/09/2013,45.78,0.006794547
17/09/2013,45.47,0.003304332
16/09/2013,45.32,0.003979665
13/09/2013,45.14,-0.009480834
12/09/2013,45.57,0.02398516
11/09/2013,44.49,0.00405406
10/09/2013,44.31,0.009296065
09/09/2013,43.9,-0.001820665
06/09/2013,43.98,0.002732242
05/09/2013,43.86,0.011234785
04/09/2013,43.37,0.017913705
03/09/2013,42.6,-0.007483664
30/08/2013,42.92,-0.012963144
29/08/2013,43.48,0.000690211
28/08/2013,43.45,0.004151297
27/08/2013,43.27,-0.025104011
26/08/2013,44.37,0.002708194
23/08/2013,44.25,0.00045208
22/08/2013,44.23,0.0102262
21/08/2013,43.78,-0.007962731
20/08/2013,44.13,0.007734342
19/08/2013,43.79,0.008255034
16/08/2013,43.43,-0.006197656
15/08/2013,43.7,-0.028869844
14/08/2013,44.98,-0.016536591
13/08/2013,45.73,-0.000655809
12/08/2013,45.76,0.00745781
09/08/2013,45.42,-0.007020652
08/08/2013,45.74,0.004162565
07/08/2013,45.55,-0.034523385
06/08/2013,47.15,-0.01369163
05/08/2013,47.8,0.000418498
02/08/2013,47.78,0.001675744
01/08/2013,47.7,0.030221496
31/07/2013,46.28,0.00498214
30/07/2013,46.05,0.006973225
29/07/2013,45.73,-0.000655809
26/07/2013,45.76,0.002625822
25/07/2013,45.64,-0.00306279
24/07/2013,45.78,-0.003488883
23/07/2013,45.94,-0.002391565
22/07/2013,46.05,0.005225355
19/07/2013,45.81,0.001310616
18/07/2013,45.75,0.01054723
17/07/2013,45.27,0.003097348
16/07/2013,45.13,-0.006185131
15/07/2013,45.41,0.00176328
12/07/2013,45.33,0.009308578
11/07/2013,44.91,0.008272825
10/07/2013,44.54,0
09/07/2013,44.54,0.00698437
08/07/2013,44.23,0.001810365
05/07/2013,44.15,0.015982075
03/07/2013,43.45,0.004382431
02/07/2013,43.26,0.000925069
01/07/2013,43.22,0.021516265
28/06/2013,42.3,0.007117468
27/06/2013,42,0.02239169
26/06/2013,41.07,0.004636982
25/06/2013,40.88,0.011316234
24/06/2013,40.42,0.000990099
21/06/2013,40.38,-0.006910195
20/06/2013,40.66,-0.028368977
19/06/2013,41.83,-0.012590735
18/06/2013,42.36,0.010918694
17/06/2013,41.9,-0.020317259
14/06/2013,42.76,0.000701837
13/06/2013,42.73,0.012007207
12/06/2013,42.22,-0.007550767
11/06/2013,42.54,-0.009126072
10/06/2013,42.93,-0.003952115
07/06/2013,43.1,0.013078187
06/06/2013,42.54,-0.003051287
05/06/2013,42.67,-0.007006101
04/06/2013,42.97,-0.008573798
03/06/2013,43.34,0.004393579
31/05/2013,43.15,-0.008078521
30/05/2013,43.5,0.012957146
29/05/2013,42.94,-0.010425207
28/05/2013,43.39,0.010658118
24/05/2013,42.93,-0.004184107
23/05/2013,43.11,-0.003473432
22/05/2013,43.26,-0.009890822
21/05/2013,43.69,0.004358305
20/05/2013,43.5,0.003223581
17/05/2013,43.36,0.014870162
16/05/2013,42.72,-0.004903688
15/05/2013,42.93,0.005606181
14/05/2013,42.69,0.021068361
13/05/2013,41.8,-0.00095648
10/05/2013,41.84,0.001195743
09/05/2013,41.79,0.001197175
08/05/2013,41.74,0.013264393
07/05/2013,41.19,0.008288687
06/05/2013,40.85,-0.000489476
03/05/2013,40.87,0.019518841
02/05/2013,40.08,0.006508158
01/05/2013,39.82,-0.022104464
30/04/2013,40.71,0.003937982
29/04/2013,40.55,0.00024664
26/04/2013,40.54,-0.009818439
25/04/2013,40.94,-0.005116347
24/04/2013,41.15,0.00805177
23/04/2013,40.82,0.012076548
22/04/2013,40.33,0.003228613
19/04/2013,40.2,0.007490672
18/04/2013,39.9,-0.008982096
17/04/2013,40.26,-0.010623942
16/04/2013,40.69,0.023372521
15/04/2013,39.75,-0.029741969
12/04/2013,40.95,-0.005843698
11/04/2013,41.19,-0.013264393
10/04/2013,41.74,0.023513385
09/04/2013,40.77,-0.003428015
