Date,Close,PCL
04/04/2014,42.07,-0.003559145
03/04/2014,42.22,0.000473821
02/04/2014,42.2,0.005465144
01/04/2014,41.97,-0.001666469
31/03/2014,42.04,0.009560302
28/03/2014,41.64,0.017197953
27/03/2014,40.93,-0.009725338
26/03/2014,41.33,-0.001209044
25/03/2014,41.38,-0.006743764
24/03/2014,41.66,-0.000959693
21/03/2014,41.7,-0.001198322
20/03/2014,41.75,-0.000478927
19/03/2014,41.77,-0.014026142
18/03/2014,42.36,0.009964495
17/03/2014,41.94,0.001909308
14/03/2014,41.86,-0.005004181
13/03/2014,42.07,0.002618114
12/03/2014,41.96,-0.015841447
11/03/2014,42.63,0.000938747
10/03/2014,42.59,-0.011671468
07/03/2014,43.09,-0.01359938
06/03/2014,43.68,0.020352229
05/03/2014,42.8,-0.003731348
04/03/2014,42.96,-0.001163197
03/03/2014,43.01,-0.006489015
28/02/2014,43.29,-0.000461894
27/02/2014,43.31,-0.000692441
26/02/2014,43.34,0.017456512
25/02/2014,42.59,0.00235073
24/02/2014,42.49,0.002356269
21/02/2014,42.39,-0.01055976
20/02/2014,42.84,0.003976148
19/02/2014,42.67,-0.004209548
18/02/2014,42.85,-0.002563805
14/02/2014,42.96,0.010530108
13/02/2014,42.51,0.00141243
12/02/2014,42.45,-0.016355505
11/02/2014,43.15,0.008611714
10/02/2014,42.78,0.00304343
07/02/2014,42.65,-0.005145007
06/02/2014,42.87,0.024080484
05/02/2014,41.85,-0.007142888
04/02/2014,42.15,0.002851035
03/02/2014,42.03,-0.02444305
31/01/2014,43.07,0.001161575
30/01/2014,43.02,-0.003249017
29/01/2014,43.16,-0.032146847
28/01/2014,44.57,0.021774505
27/01/2014,43.61,0.016880965
24/01/2014,42.88,-0.017110244
23/01/2014,43.62,-0.009809592
22/01/2014,44.05,0
21/01/2014,44.05,-0.004530019
17/01/2014,44.25,0.00045208
16/01/2014,44.23,-0.001355626
15/01/2014,44.29,0
14/01/2014,44.29,0.008389121
13/01/2014,43.92,-0.004996604
10/01/2014,44.14,0.000226578
09/01/2014,44.13,0.001814471
08/01/2014,44.05,-0.00903961
07/01/2014,44.45,-0.006726483
06/01/2014,44.75,-0.034914074
03/01/2014,46.34,0.001079564
02/01/2014,46.29,-0.004741388
31/12/2013,46.51,0.000430108
30/12/2013,46.49,0.001937776
27/12/2013,46.4,0.003454235
26/12/2013,46.24,-0.006252041
24/12/2013,46.53,0
23/12/2013,46.53,0.003444567
20/12/2013,46.37,0.006707804
19/12/2013,46.06,-0.002385342
18/12/2013,46.17,0.0185818
17/12/2013,45.32,0.002430135
16/12/2013,45.21,0.017178337
13/12/2013,44.44,0.005867767
12/12/2013,44.18,-0.004967271
11/12/2013,44.4,-0.006734032
10/12/2013,44.7,-0.003127097
09/12/2013,44.84,0.001338987
06/12/2013,44.78,0.017117535
05/12/2013,44.02,0.000454442
04/12/2013,44,0.005698021
03/12/2013,43.75,0.000228598
02/12/2013,43.74,0
29/11/2013,43.74,-0.014075147
27/11/2013,44.36,0.030905516
26/11/2013,43.01,-0.003713163
25/11/2013,43.17,-0.006004637
22/11/2013,43.43,-0.005281905
21/11/2013,43.66,0.003901325
20/11/2013,43.49,-0.001149029
19/11/2013,43.54,-0.002981312
18/11/2013,43.67,-0.008890974
15/11/2013,44.06,0.014401895
14/11/2013,43.43,-0.002988852
13/11/2013,43.56,-0.015037877
12/11/2013,44.22,-0.013254153
11/11/2013,44.81,0.00424914
08/11/2013,44.62,0
07/11/2013,44.62,-0.007146078
06/11/2013,44.94,-0.001778569
05/11/2013,45.02,-0.020882174
04/11/2013,45.97,-0.000652387
01/11/2013,46,0.013129291
31/10/2013,45.4,0
30/10/2013,45.4,-0.021140593
29/10/2013,46.37,-0.067942791
28/10/2013,49.63,-0.005625894
25/10/2013,49.91,0.008652836
24/10/2013,49.48,0.004253171
23/10/2013,49.27,-0.001622389
22/10/2013,49.35,0.010797701
21/10/2013,48.82,0
18/10/2013,48.82,-0.005515283
17/10/2013,49.09,0.011473185
16/10/2013,48.53,0.023348987
15/10/2013,47.41,-0.006936444
14/10/2013,47.74,0.003987832
11/10/2013,47.55,0.011634187
10/10/2013,47,0.030459207
09/10/2013,45.59,0.004176289
08/10/2013,45.4,-0.016168148
07/10/2013,46.14,-0.005188079
04/10/2013,46.38,-0.004302933
03/10/2013,46.58,-0.018505261
02/10/2013,47.45,-0.006093096
01/10/2013,47.74,0.019245598
30/09/2013,46.83,-0.005111832
27/09/2013,47.07,-0.00487444
26/09/2013,47.3,0.013194488
25/09/2013,46.68,-0.007895059
24/09/2013,47.05,0.002340676
23/09/2013,46.94,-0.017736951
20/09/2013,47.78,-0.022147237
19/09/2013,48.85,0.020265375
18/09/2013,47.87,0.032699304
17/09/2013,46.33,-0.005596226
16/09/2013,46.59,0.011658163
13/09/2013,46.05,0.002391565
12/09/2013,45.94,-0.002174387
11/09/2013,46.04,0.006756046
10/09/2013,45.73,-0.000437254
09/09/2013,45.75,0.024113545
06/09/2013,44.66,0.014661366
05/09/2013,44.01,0.004326547
04/09/2013,43.82,0.002284671
03/09/2013,43.72,-0.013404722
30/08/2013,44.31,-0.005401769
29/08/2013,44.55,0.008792752
28/08/2013,44.16,-0.006995403
27/08/2013,44.47,-0.008954615
26/08/2013,44.87,-0.005334531
23/08/2013,45.11,0.008235995
22/08/2013,44.74,0.005154073
21/08/2013,44.51,-0.001795736
20/08/2013,44.59,0.019246603
19/08/2013,43.74,-0.017226174
16/08/2013,44.5,-0.008948606
15/08/2013,44.9,-0.030272108
14/08/2013,46.28,-0.001295617
13/08/2013,46.34,-0.017964555
12/08/2013,47.18,-0.011590057
09/08/2013,47.73,0.012014055
08/08/2013,47.16,-0.004020744
07/08/2013,47.35,-0.006525652
06/08/2013,47.66,-0.008357759
05/08/2013,48.06,-0.008701111
02/08/2013,48.48,-0.003500467
01/08/2013,48.65,-0.002668584
31/07/2013,48.78,-0.008573231
30/07/2013,49.2,0.010419953
29/07/2013,48.69,-0.00858901
26/07/2013,49.11,0.002650629
25/07/2013,48.98,0.004706854
24/07/2013,48.75,-0.015873349
23/07/2013,49.53,-0.003225159
22/07/2013,49.69,-0.000201227
19/07/2013,49.7,-0.000804505
18/07/2013,49.74,0.015193243
17/07/2013,48.99,0.001838799
16/07/2013,48.9,0.005331159
15/07/2013,48.64,0.003294896
12/07/2013,48.48,-0.001030822
11/07/2013,48.53,0.023348987
10/07/2013,47.41,-0.001475393
09/07/2013,47.48,0.010586591
08/07/2013,46.98,0.010699867
05/07/2013,46.48,0.001938194
03/07/2013,46.39,-0.005589009
02/07/2013,46.65,0.011426232
01/07/2013,46.12,-0.011854865
28/06/2013,46.67,0.000643018
27/06/2013,46.64,0.012296563
26/06/2013,46.07,0.005004907
25/06/2013,45.84,0.018272385
24/06/2013,45.01,-0.00620157
21/06/2013,45.29,0.017372375
20/06/2013,44.51,-0.0160467
19/06/2013,45.23,-0.047705171
18/06/2013,47.44,-0.002316034
