Date,Close,CMA
04/04/2014,51.09,-0.016885408
03/04/2014,51.96,-0.001538462
02/04/2014,52.04,0.007522458
01/04/2014,51.65,-0.002899954
31/03/2014,51.8,0.013801366
28/03/2014,51.09,0.013200862
27/03/2014,50.42,-0.020805461
26/03/2014,51.48,-0.007161552
25/03/2014,51.85,-0.009214886
24/03/2014,52.33,-0.000764088
21/03/2014,52.37,0.008052191
20/03/2014,51.95,0.028704499
19/03/2014,50.48,0.018998672
18/03/2014,49.53,0.010962351
17/03/2014,48.99,0.007992665
14/03/2014,48.6,-0.007992665
13/03/2014,48.99,-0.005496197
12/03/2014,49.26,-0.003242808
11/03/2014,49.42,-0.009665802
10/03/2014,49.9,0.008250374
07/03/2014,49.49,0.01097126
06/03/2014,48.95,0.00224972
05/03/2014,48.84,0.004309025
04/03/2014,48.63,0.022669162
03/03/2014,47.54,-0.013372535
28/02/2014,48.18,0.008336855
27/02/2014,47.78,-0.00605114
26/02/2014,48.07,0.011297191
25/02/2014,47.53,-0.000210371
24/02/2014,47.54,0.016971133
21/02/2014,46.74,0.000642055
20/02/2014,46.71,-0.001497487
19/02/2014,46.78,-0.021988201
18/02/2014,47.82,0.003981147
14/02/2014,47.63,0.021004273
13/02/2014,46.64,0.003866815
12/02/2014,46.46,-0.000215216
11/02/2014,46.47,0.012777651
10/02/2014,45.88,0.002837501
07/02/2014,45.75,-0.001310616
06/02/2014,45.81,0.020287355
05/02/2014,44.89,0.001337495
04/02/2014,44.83,0.018460677
03/02/2014,44.01,-0.03986721
31/01/2014,45.8,-0.023733584
30/01/2014,46.9,0.009856519
29/01/2014,46.44,-0.007294604
28/01/2014,46.78,0.004499204
27/01/2014,46.57,-0.014072727
24/01/2014,47.23,-0.03249609
23/01/2014,48.79,-0.02289635
22/01/2014,49.92,0.008247055
21/01/2014,49.51,0.038292039
17/01/2014,47.65,0.00462769
16/01/2014,47.43,-0.006305191
15/01/2014,47.73,0.010954396
14/01/2014,47.21,-0.000211797
13/01/2014,47.22,-0.012208108
10/01/2014,47.8,-0.004383683
09/01/2014,48.01,0.008156481
08/01/2014,47.62,0.006742546
07/01/2014,47.3,0.006362694
06/01/2014,47,-0.001700681
03/01/2014,47.08,0.004897274
02/01/2014,46.85,-0.014620453
31/12/2013,47.54,-0.001891353
30/12/2013,47.63,0.003364882
27/12/2013,47.47,-0.000842283
26/12/2013,47.51,0.002951098
24/12/2013,47.37,0.005079376
23/12/2013,47.13,0.008523384
20/12/2013,46.73,0.004074199
19/12/2013,46.54,0.003875139
18/12/2013,46.36,0.018944497
17/12/2013,45.49,-0.001537617
16/12/2013,45.56,0.011479155
13/12/2013,45.04,-0.010381098
12/12/2013,45.51,0.014608494
11/12/2013,44.85,-0.020086759
10/12/2013,45.76,-0.006751632
09/12/2013,46.07,0.00478678
06/12/2013,45.85,0.019601993
05/12/2013,44.96,-0.006650435
04/12/2013,45.26,0.006872879
03/12/2013,44.95,-0.01457623
02/12/2013,45.61,0.005716814
29/11/2013,45.35,-0.006155218
27/11/2013,45.63,0.001754771
26/11/2013,45.55,-0.003068832
25/11/2013,45.69,0.002191061
22/11/2013,45.59,0.006602137
21/11/2013,45.29,0.011101357
20/11/2013,44.79,-0.001338688
19/11/2013,44.85,0.001785316
18/11/2013,44.77,-0.002899522
15/11/2013,44.9,0.004688032
14/11/2013,44.69,0.000447628
13/11/2013,44.67,0.000671817
12/11/2013,44.64,-0.006475405
11/11/2013,44.93,-0.005991364
08/11/2013,45.2,0.041098581
07/11/2013,43.38,-0.015326847
06/11/2013,44.05,0.006605194
05/11/2013,43.76,0.010567523
04/11/2013,43.3,0.006022719
01/11/2013,43.04,-0.006022719
31/10/2013,43.3,-0.00368834
30/10/2013,43.46,0.00092081
29/10/2013,43.42,0.010883516
28/10/2013,42.95,0.005369454
25/10/2013,42.72,0.005633818
24/10/2013,42.48,0.001177718
23/10/2013,42.43,-0.003763825
22/10/2013,42.59,0.007305323
21/10/2013,42.28,0.005216991
18/10/2013,42.06,0.006918792
17/10/2013,41.77,0.004559096
16/10/2013,41.58,0.024590405
15/10/2013,40.57,-0.005408076
14/10/2013,40.79,0.003930243
11/10/2013,40.63,0.008651642
10/10/2013,40.28,0.033576296
09/10/2013,38.95,0.007731997
08/10/2013,38.65,-0.002842012
07/10/2013,38.76,-0.021945254
04/10/2013,39.62,0.014235116
03/10/2013,39.06,-0.006125593
02/10/2013,39.3,-0.009874748
01/10/2013,39.69,0.009620327
30/09/2013,39.31,0.003057327
27/09/2013,39.19,-0.002039256
26/09/2013,39.27,-0.008115693
25/09/2013,39.59,0.003796031
24/09/2013,39.44,0.000760939
23/09/2013,39.41,-0.008086979
20/09/2013,39.73,0.001259287
19/09/2013,39.68,-0.020207748
18/09/2013,40.49,-0.016168897
17/09/2013,41.15,0.007806822
16/09/2013,40.83,0.007868248
13/09/2013,40.51,0.003957462
12/09/2013,40.35,-0.010845559
11/09/2013,40.79,-0.009515748
10/09/2013,41.18,-0.002183142
09/09/2013,41.27,0.000484731
06/09/2013,41.25,-0.010610179
05/09/2013,41.69,0.015714091
04/09/2013,41.04,0.007582279
03/09/2013,40.73,-0.002697072
30/08/2013,40.84,-0.006832628
29/08/2013,41.12,0.00389864
28/08/2013,40.96,0.002444391
27/08/2013,40.86,-0.039822964
26/08/2013,42.52,-0.007264238
23/08/2013,42.83,-0.004891124
22/08/2013,43.04,0.017106451
21/08/2013,42.31,-0.003067849
20/08/2013,42.44,0.012328274
19/08/2013,41.92,-0.01538674
16/08/2013,42.57,0.015863953
15/08/2013,41.9,-0.007134394
14/08/2013,42.2,-0.002603244
13/08/2013,42.31,0.005926294
12/08/2013,42.06,-0.006162617
09/08/2013,42.32,-0.002831526
08/08/2013,42.44,0.000471365
07/08/2013,42.42,-0.005641764
06/08/2013,42.66,-0.012347274
05/08/2013,43.19,0.00162206
