Date,Close,GAS
04/04/2014,49.13,-0.003454235
03/04/2014,49.3,0.009579203
02/04/2014,48.83,0.001229508
01/04/2014,48.77,-0.003888268
31/03/2014,48.96,0.012951152
28/03/2014,48.33,-0.001860466
27/03/2014,48.42,0.003102702
26/03/2014,48.27,-0.005783945
25/03/2014,48.55,0.018291926
24/03/2014,47.67,-0.001467352
21/03/2014,47.74,-0.009796848
20/03/2014,48.21,-0.010728388
19/03/2014,48.73,-0.019911263
18/03/2014,49.71,0.003829492
17/03/2014,49.52,0.011577259
14/03/2014,48.95,0.012126343
13/03/2014,48.36,0.010392943
12/03/2014,47.86,0.010713263
11/03/2014,47.35,-0.005265942
10/03/2014,47.6,0.011834458
07/03/2014,47.04,-0.003395589
06/03/2014,47.2,-0.001058761
05/03/2014,47.25,-0.002747545
04/03/2014,47.38,0.010395766
03/03/2014,46.89,-0.00319387
28/02/2014,47.04,0.007040029
27/02/2014,46.71,0.001071008
26/02/2014,46.66,0.00472611
25/02/2014,46.44,-0.003224769
24/02/2014,46.59,-0.004283579
21/02/2014,46.79,0.006217192
20/02/2014,46.5,0.00972455
19/02/2014,46.05,-0.012087348
18/02/2014,46.61,0.005593818
14/02/2014,46.35,0.004757794
13/02/2014,46.13,0.01441073
12/02/2014,45.47,-0.010065731
11/02/2014,45.93,0.001961426
10/02/2014,45.84,-0.003701692
07/02/2014,46.01,-0.006283197
06/02/2014,46.3,-0.002157498
05/02/2014,46.4,-0.013060886
04/02/2014,47.01,0.001703215
03/02/2014,46.93,-0.017950012
31/01/2014,47.78,-0.000209271
30/01/2014,47.79,0.008405177
29/01/2014,47.39,-0.000421941
28/01/2014,47.41,0.006560176
27/01/2014,47.1,-0.000848896
24/01/2014,47.14,-0.009920926
23/01/2014,47.61,-0.003145646
22/01/2014,47.76,0.000628338
21/01/2014,47.73,0.018182319
17/01/2014,46.87,0.000640273
16/01/2014,46.84,0.008791737
15/01/2014,46.43,0.00172451
14/01/2014,46.35,0.000647459
13/01/2014,46.32,-0.015637033
10/01/2014,47.05,0.017149402
09/01/2014,46.25,0.002381211
08/01/2014,46.14,-0.003245702
07/01/2014,46.29,0.01436056
06/01/2014,45.63,-0.001314061
03/01/2014,45.69,-0.008716551
02/01/2014,46.09,-0.024433277
31/12/2013,47.23,0.002331745
30/12/2013,47.12,-0.002331745
27/12/2013,47.23,0.002119543
26/12/2013,47.13,0.003826535
24/12/2013,46.95,0.003627444
23/12/2013,46.78,-0.006392521
20/12/2013,47.08,0.019951321
19/12/2013,46.15,-0.006264196
18/12/2013,46.44,0.003667354
17/12/2013,46.27,0.002163566
16/12/2013,46.17,0.012641842
13/12/2013,45.59,0.003735858
12/12/2013,45.42,0.005298026
11/12/2013,45.18,-0.010787116
10/12/2013,45.67,0.003509545
09/12/2013,45.51,-0.00722499
06/12/2013,45.84,0.011408636
05/12/2013,45.32,0.000662179
04/12/2013,45.29,-0.017726692
03/12/2013,46.1,0.003912198
02/12/2013,45.92,-0.013411406
29/11/2013,46.54,-0.003646117
27/11/2013,46.71,-0.003846159
26/11/2013,46.89,-0.007436558
25/11/2013,47.24,-0.001057865
22/11/2013,47.29,0.005087991
21/11/2013,47.05,0.007252592
20/11/2013,46.71,-0.00810239
19/11/2013,47.09,-0.006772513
18/11/2013,47.41,-0.001475393
15/11/2013,47.48,0.000210637
14/11/2013,47.47,-0.00042123
13/11/2013,47.49,-0.001683148
12/11/2013,47.57,-0.014193517
11/11/2013,48.25,0.013983323
08/11/2013,47.58,-0.005449605
07/11/2013,47.84,-0.004796172
06/11/2013,48.07,0.008985537
05/11/2013,47.64,-0.006068869
04/11/2013,47.93,0.000208659
01/11/2013,47.92,0.001252871
31/10/2013,47.86,0.00104526
30/10/2013,47.81,-0.000627287
29/10/2013,47.84,-0.001879504
28/10/2013,47.93,-0.001459398
25/10/2013,48,0.014902154
24/10/2013,47.29,0.002540759
23/10/2013,47.17,0.004674892
22/10/2013,46.95,0.013293506
21/10/2013,46.33,-0.002371457
18/10/2013,46.44,0.005614353
17/10/2013,46.18,0.021892293
16/10/2013,45.18,0.010457321
15/10/2013,44.71,-0.01222645
14/10/2013,45.26,-0.001324796
11/10/2013,45.32,0.001545766
10/10/2013,45.25,0.014693052
09/10/2013,44.59,-0.004698521
08/10/2013,44.8,-0.00267499
07/10/2013,44.92,-0.004442477
04/10/2013,45.12,0.001996673
03/10/2013,45.03,-0.01629992
02/10/2013,45.77,-0.004795127
01/10/2013,45.99,-0.000869376
30/09/2013,46.03,0.004572681
27/09/2013,45.82,-0.003920719
