Date,Close,HOT
04/04/2014,78.5,-0.02702018
03/04/2014,80.65,-0.009256468
02/04/2014,81.4,0.012858733
01/04/2014,80.36,0.009502447
31/03/2014,79.6,0.014552614
28/03/2014,78.45,0.015544022
27/03/2014,77.24,0.002722501
26/03/2014,77.03,-0.006341011
25/03/2014,77.52,0.001161665
24/03/2014,77.43,-0.010278903
21/03/2014,78.23,0.00243169
20/03/2014,78.04,-0.000640492
19/03/2014,78.09,-0.007272759
18/03/2014,78.66,0.003821174
17/03/2014,78.36,0.003579651
14/03/2014,78.08,-0.003324386
13/03/2014,78.34,-0.022217526
12/03/2014,80.1,0.008903438
11/03/2014,79.39,-0.001384606
10/03/2014,79.5,-0.014485768
07/03/2014,80.66,-0.005193532
06/03/2014,81.08,0.004449946
05/03/2014,80.72,-0.000247739
04/03/2014,80.74,0.000247739
03/03/2014,80.72,-0.021326951
28/02/2014,82.46,0.006936444
27/02/2014,81.89,0.012163059
26/02/2014,80.9,-0.010941163
25/02/2014,81.79,0.004902571
24/02/2014,81.39,0.015976561
21/02/2014,80.1,0.018395378
20/02/2014,78.64,0.009197817
19/02/2014,77.92,0.001284192
18/02/2014,77.82,-0.010227652
14/02/2014,78.62,0.04234949
13/02/2014,75.36,-0.02269694
12/02/2014,77.09,0.004289899
11/02/2014,76.76,0.014830641
10/02/2014,75.63,-0.011045477
07/02/2014,76.47,0.019277069
06/02/2014,75.01,0.021697502
05/02/2014,73.4,-0.000680967
04/02/2014,73.45,0.017719027
03/02/2014,72.16,-0.034728076
31/01/2014,74.71,-0.010518704
30/01/2014,75.5,0.000795018
29/01/2014,75.44,-0.023061819
28/01/2014,77.2,0.012250903
27/01/2014,76.26,-0.004579062
24/01/2014,76.61,-0.036651975
23/01/2014,79.47,-0.014491197
22/01/2014,80.63,0.021562826
21/01/2014,78.91,0.000507035
17/01/2014,78.87,0.002030715
16/01/2014,78.71,0.001780265
15/01/2014,78.57,0.005104005
14/01/2014,78.17,0.011968485
13/01/2014,77.24,-0.01936082
10/01/2014,78.75,0.002161064
09/01/2014,78.58,-0.000254485
08/01/2014,78.6,0.010487371
07/01/2014,77.78,-0.001798331
06/01/2014,77.92,-0.008434555
03/01/2014,78.58,-0.005330638
02/01/2014,79,-0.005680041
31/12/2013,79.45,0.003277865
30/12/2013,79.19,0.002022501
27/12/2013,79.03,-0.003536697
26/12/2013,79.31,0.001893103
24/12/2013,79.16,0.005827965
23/12/2013,78.7,-0.002538072
20/12/2013,78.9,0.014554068
19/12/2013,77.76,-0.004490929
18/12/2013,78.11,0.030415654
17/12/2013,75.77,-0.001845992
16/12/2013,75.91,0.022784278
13/12/2013,74.2,0.012749393
12/12/2013,73.26,0.014297742
11/12/2013,72.22,-0.022995812
10/12/2013,73.9,-0.005532704
09/12/2013,74.31,0.004450746
06/12/2013,73.98,0.015117755
05/12/2013,72.87,-0.006838101
04/12/2013,73.37,-0.010574936
03/12/2013,74.15,-0.003634654
02/12/2013,74.42,-0.00080591
29/11/2013,74.48,0.000940292
27/11/2013,74.41,0.00188324
26/11/2013,74.27,-0.000807537
25/11/2013,74.33,0.004449546
22/11/2013,74,-0.003237995
21/11/2013,74.24,0.008386361
20/11/2013,73.62,-0.008251653
19/11/2013,74.23,-0.005642143
18/11/2013,74.65,-0.003610354
15/11/2013,74.92,0.002673084
14/11/2013,74.72,0.002009512
13/11/2013,74.57,0.006187806
12/11/2013,74.11,-0.001078894
11/11/2013,74.19,-0.003364062
08/11/2013,74.44,0.018575546
07/11/2013,73.07,-0.022865097
06/11/2013,74.76,0.001070664
05/11/2013,74.68,-0.002273792
04/11/2013,74.85,0.00294354
01/11/2013,74.63,0.013625843
31/10/2013,73.62,-0.00568876
30/10/2013,74.04,-0.004581601
29/10/2013,74.38,0.001884
28/10/2013,74.24,-0.004301082
25/10/2013,74.56,0.012823284
24/10/2013,73.61,0.043877648
