Date,Close,DGX
04/04/2014,59.61,-0.016801526
03/04/2014,60.62,-0.008704991
02/04/2014,61.15,0.019318689
01/04/2014,59.98,0.034948425
31/03/2014,57.92,0.002073972
28/03/2014,57.8,-0.001383126
27/03/2014,57.88,-0.00189868
26/03/2014,57.99,0.054028901
25/03/2014,54.94,-0.010501636
24/03/2014,55.52,-0.004492774
21/03/2014,55.77,0.001615074
20/03/2014,55.68,-0.002332049
19/03/2014,55.81,0.011896319
18/03/2014,55.15,0.019592314
17/03/2014,54.08,0.009101948
14/03/2014,53.59,-0.00836203
13/03/2014,54.04,0.002408524
12/03/2014,53.91,-0.004072571
11/03/2014,54.13,0.027532407
10/03/2014,52.66,0.001520335
07/03/2014,52.58,0.003429228
06/03/2014,52.4,0.005741643
05/03/2014,52.1,-0.003066311
04/03/2014,52.26,-0.002293579
03/03/2014,52.38,-0.011767074
28/02/2014,53,0.004538586
27/02/2014,52.76,-0.005293018
26/02/2014,53.04,-0.002259888
25/02/2014,53.16,-0.01215309
24/02/2014,53.81,0.014224458
21/02/2014,53.05,0.00150915
20/02/2014,52.97,0.003782868
19/02/2014,52.77,-0.002649509
18/02/2014,52.91,0.005876237
14/02/2014,52.6,0.007633625
13/02/2014,52.2,0.002685595
12/02/2014,52.06,-0.005363998
11/02/2014,52.34,0.01152972
10/02/2014,51.74,0.018334822
07/02/2014,50.8,-0.005105057
06/02/2014,51.06,-0.000783085
05/02/2014,51.1,-0.002345584
04/02/2014,51.22,0.00273705
03/02/2014,51.08,-0.027420138
31/01/2014,52.5,0.002288331
30/01/2014,52.38,-0.027120306
29/01/2014,53.82,0.008583744
28/01/2014,53.36,-0.007468295
27/01/2014,53.76,0.000930492
24/01/2014,53.71,-0.013683645
23/01/2014,54.45,-0.011685362
22/01/2014,55.09,0.010217203
21/01/2014,54.53,-0.002747003
17/01/2014,54.68,0.000914829
16/01/2014,54.63,0.002565984
15/01/2014,54.49,0.010330289
14/01/2014,53.93,0.003343242
13/01/2014,53.75,-0.00223007
10/01/2014,53.87,0.002602232
09/01/2014,53.73,0.010101096
08/01/2014,53.19,-0.00525034
07/01/2014,53.47,0.024229843
06/01/2014,52.19,-0.010103985
03/01/2014,52.72,-0.002462822
02/01/2014,52.85,-0.012971326
31/12/2013,53.54,-0.009480506
30/12/2013,54.05,-0.000924642
27/12/2013,54.1,0.004260449
26/12/2013,53.87,-0.011626965
24/12/2013,54.5,0.008291158
23/12/2013,54.05,0.009854128
20/12/2013,53.52,0.013733637
19/12/2013,52.79,-0.01279897
18/12/2013,53.47,-0.001495048
17/12/2013,53.55,-0.014276686
16/12/2013,54.32,0.002211575
13/12/2013,54.2,0.007221585
12/12/2013,53.81,-0.02550363
11/12/2013,55.2,-0.059771743
10/12/2013,58.6,-0.029094796
09/12/2013,60.33,0.005651611
06/12/2013,59.99,-0.00366057
05/12/2013,60.21,-0.010737693
04/12/2013,60.86,-0.009322171
03/12/2013,61.43,0.011131233
02/12/2013,60.75,-0.003122691
29/11/2013,60.94,-0.007845741
27/11/2013,61.42,-0.010688361
26/11/2013,62.08,-0.004500168
25/11/2013,62.36,0.00902068
22/11/2013,61.8,0.005191446
21/11/2013,61.48,0.002116748
20/11/2013,61.35,-0.002767154
19/11/2013,61.52,-0.005511442
18/11/2013,61.86,-0.005481232
15/11/2013,62.2,-0.007208682
14/11/2013,62.65,-0.003664467
13/11/2013,62.88,-0.006973087
12/11/2013,63.32,-0.004412235
11/11/2013,63.6,0.004412235
08/11/2013,63.32,-0.005983328
07/11/2013,63.7,0.009305327
06/11/2013,63.11,0.007315554
05/11/2013,62.65,0.009784343
04/11/2013,62.04,0.018053674
01/11/2013,60.93,0.016882228
31/10/2013,59.91,0.004349288
30/10/2013,59.65,0.005210534
29/10/2013,59.34,0.006593988
28/10/2013,58.95,0.006125593
25/10/2013,58.59,0.005476652
24/10/2013,58.27,-0.004964488
23/10/2013,58.56,0.00273598
22/10/2013,58.4,0.003774237
21/10/2013,58.18,0.004478905
18/10/2013,57.92,-0.016778343
17/10/2013,58.9,0.002549938
16/10/2013,58.75,0.014573768
15/10/2013,57.9,-0.012529126
14/10/2013,58.63,0.008736672
11/10/2013,58.12,-0.009248225
10/10/2013,58.66,-0.050525867
09/10/2013,61.7,-0.002751479
08/10/2013,61.87,-0.006123126
07/10/2013,62.25,0.007255171
04/10/2013,61.8,-0.011263192
03/10/2013,62.5,-0.001119373
02/10/2013,62.57,0.006735112
01/10/2013,62.15,0.005809279
30/09/2013,61.79,0.001133512
27/09/2013,61.72,-0.010796979
26/09/2013,62.39,0.003371601
25/09/2013,62.18,-0.000803794
24/09/2013,62.23,-0.004009307
23/09/2013,62.48,0.00771212
20/09/2013,62,0.003069221
