Date,Close,UNM
04/04/2014,34.79,-0.017381831
03/04/2014,35.4,-0.001411433
02/04/2014,35.45,0.000564334
01/04/2014,35.43,0.003392709
31/03/2014,35.31,0.02494753
28/03/2014,34.44,0.002907824
27/03/2014,34.34,-0.019037206
26/03/2014,35,-0.011928571
25/03/2014,35.42,-0.007313675
24/03/2014,35.68,0.000841161
21/03/2014,35.65,0.001684447
20/03/2014,35.59,0.007615324
19/03/2014,35.32,0.001700199
18/03/2014,35.26,0.005118009
17/03/2014,35.08,0.005717568
14/03/2014,34.88,-0.007141867
13/03/2014,35.13,-0.015254533
12/03/2014,35.67,0.001964362
11/03/2014,35.6,-0.011173301
10/03/2014,36,0.002224695
07/03/2014,35.92,0.007264631
06/03/2014,35.66,0.007600318
05/03/2014,35.39,0.000565291
04/03/2014,35.37,0.019700851
03/03/2014,34.68,-0.002879357
28/02/2014,34.78,0.011858418
27/02/2014,34.37,0.010823566
26/02/2014,34,0.004126148
25/02/2014,33.86,-0.001180638
24/02/2014,33.9,0.010378151
21/02/2014,33.55,-0.000595948
20/02/2014,33.57,0.002385924
19/02/2014,33.49,-0.011577983
18/02/2014,33.88,0.010086113
14/02/2014,33.54,0.001193318
13/02/2014,33.5,-0.004467617
12/02/2014,33.65,0.01376443
11/02/2014,33.19,0.008775968
10/02/2014,32.9,-0.002125399
07/02/2014,32.97,0.00944697
06/02/2014,32.66,0.025741846
05/02/2014,31.83,0.016791144
04/02/2014,31.3,0.019029763
03/02/2014,30.71,-0.047378118
31/01/2014,32.2,-0.014490773
30/01/2014,32.67,0.025419844
29/01/2014,31.85,-0.014339398
28/01/2014,32.31,0.00527542
27/01/2014,32.14,-0.000622084
24/01/2014,32.16,-0.034233172
23/01/2014,33.28,-0.029897151
22/01/2014,34.29,-0.002039331
21/01/2014,34.36,0.000291078
17/01/2014,34.35,-0.006094925
16/01/2014,34.56,-0.006058002
15/01/2014,34.77,0.016529302
14/01/2014,34.2,0.007042283
13/01/2014,33.96,-0.022420505
10/01/2014,34.73,-0.009742197
09/01/2014,35.07,0.009454303
08/01/2014,34.74,0.006352895
07/01/2014,34.52,0.0066851
06/01/2014,34.29,-0.001457089
03/01/2014,34.34,0.000291248
02/01/2014,34.33,-0.02161156
31/12/2013,35.08,0.003712699
30/12/2013,34.95,-0.003712699
27/12/2013,35.08,-0.002277905
26/12/2013,35.16,0.008569033
24/12/2013,34.86,0.00287274
23/12/2013,34.76,0.0109923
20/12/2013,34.38,0.002621233
19/12/2013,34.29,-0.009577783
18/12/2013,34.62,0.016895246
17/12/2013,34.04,-0.002640459
16/12/2013,34.13,0.006466807
13/12/2013,33.91,0.003841045
12/12/2013,33.78,-0.009428473
11/12/2013,34.1,-0.00584797
10/12/2013,34.3,0
09/12/2013,34.3,-0.000291503
06/12/2013,34.31,0.028079279
05/12/2013,33.36,-0.016352379
04/12/2013,33.91,0.016652184
03/12/2013,33.35,-0.005084503
02/12/2013,33.52,-0.001490535
29/11/2013,33.57,-0.003865026
27/11/2013,33.7,-0.001778832
26/11/2013,33.76,-0.003843316
25/11/2013,33.89,-0.001179593
22/11/2013,33.93,0.008583744
21/11/2013,33.64,0.014371505
20/11/2013,33.16,-0.001506705
19/11/2013,33.21,-0.003006617
18/11/2013,33.31,0
15/11/2013,33.31,0.002705548
14/11/2013,33.22,0.012723589
13/11/2013,32.8,0.001525553
12/11/2013,32.75,-0.006088299
11/11/2013,32.95,-0.006353069
08/11/2013,33.16,0.037172149
07/11/2013,31.95,-0.01244184
06/11/2013,32.35,-0.007084582
05/11/2013,32.58,0.025490967
04/11/2013,31.76,0.007902681
01/11/2013,31.51,-0.007272759
31/10/2013,31.74,-0.000629921
30/10/2013,31.76,-0.002829746
29/10/2013,31.85,0.014548011
28/10/2013,31.39,0.001275104
25/10/2013,31.35,0.00159617
24/10/2013,31.3,0.004482877
23/10/2013,31.16,-0.016865953
22/10/2013,31.69,-0.005036208
21/10/2013,31.85,-0.002195391
18/10/2013,31.92,0.000313332
17/10/2013,31.91,0.001568136
16/10/2013,31.86,0.023821994
15/10/2013,31.11,-0.005449605
14/10/2013,31.28,0.014166367
11/10/2013,30.84,0.017664836
10/10/2013,30.3,0.026079713
09/10/2013,29.52,-0.009104767
08/10/2013,29.79,-0.016314662
07/10/2013,30.28,-0.014751948
04/10/2013,30.73,0.019054453
03/10/2013,30.15,-0.00957261
02/10/2013,30.44,-0.012730709
01/10/2013,30.83,0.012730709
30/09/2013,30.44,-0.005895857
27/09/2013,30.62,-0.010719609
26/09/2013,30.95,0.004858309
25/09/2013,30.8,0.010443959
24/09/2013,30.48,0.004933409
23/09/2013,30.33,0.002310613
20/09/2013,30.26,-0.005273578
19/09/2013,30.42,-0.028198271
18/09/2013,31.29,-0.003827756
17/09/2013,31.41,0.004147398
16/09/2013,31.28,0.009314344
13/09/2013,30.99,-0.000967586
12/09/2013,31.02,-0.01408474
11/09/2013,31.46,0.013762419
10/09/2013,31.03,0.012321816
09/09/2013,30.65,0.012805954
06/09/2013,30.26,-0.007572053
05/09/2013,30.49,0.002956153
04/09/2013,30.4,0.021949667
03/09/2013,29.74,0.007086245
30/08/2013,29.53,-0.007422436
29/08/2013,29.75,0.008438869
28/08/2013,29.5,0.009194684
27/08/2013,29.23,-0.028332418
26/08/2013,30.07,-0.002325196
23/08/2013,30.14,-0.005294519
22/08/2013,30.3,0.026757449
21/08/2013,29.5,-0.001693481
20/08/2013,29.55,0.004409029
19/08/2013,29.42,-0.006437427
16/08/2013,29.61,0.007457662
15/08/2013,29.39,-0.014860118
14/08/2013,29.83,-0.005349394
13/08/2013,29.99,0.012076631
12/08/2013,29.63,-0.023020199
09/08/2013,30.32,-0.007884404
08/08/2013,30.56,0.003934431
07/08/2013,30.44,-0.015645691
06/08/2013,30.92,-0.045210797
05/08/2013,32.35,-0.005856081
02/08/2013,32.54,-0.011002556
01/08/2013,32.9,0.039050515
31/07/2013,31.64,0.008251396
30/07/2013,31.38,-0.001592104
29/07/2013,31.43,-0.004761158
26/07/2013,31.58,0.000633513
25/07/2013,31.56,-0.000633513
24/07/2013,31.58,-0.005998439
23/07/2013,31.77,0.000629723
22/07/2013,31.75,0.009175828
19/07/2013,31.46,-0.008230499
18/07/2013,31.72,0.018133152
17/07/2013,31.15,-0.003205131
16/07/2013,31.25,-0.005425257
15/07/2013,31.42,-0.00476267
12/07/2013,31.57,0.005717932
11/07/2013,31.39,-0.00254534
10/07/2013,31.47,0.001590078
09/07/2013,31.42,0.022205257
08/07/2013,30.73,0.008168645
05/07/2013,30.48,0.026934297
03/07/2013,29.67,-0.005713341
02/07/2013,29.84,0.003356834
01/07/2013,29.74,0.012519196
28/06/2013,29.37,-0.014534648
27/06/2013,29.8,0.01862882
26/06/2013,29.25,0.017241806
25/06/2013,28.75,0.008382864
24/06/2013,28.51,-0.024598503
21/06/2013,29.22,0.011011811
20/06/2013,28.9,0.019567361
19/06/2013,28.34,-0.012622889
18/06/2013,28.7,0.011917421
17/06/2013,28.36,0.021383566
14/06/2013,27.76,-0.022440835
13/06/2013,28.39,0.013475381
12/06/2013,28.01,-0.007114936
11/06/2013,28.21,-0.014429249
10/06/2013,28.62,-0.004531993
07/06/2013,28.75,0.023936377
06/06/2013,28.07,0.020879088
05/06/2013,27.49,-0.024790204
04/06/2013,28.18,-0.011642396
03/06/2013,28.51,0.001052816
31/05/2013,28.48,-0.013600907
30/05/2013,28.87,0.021355616
29/05/2013,28.26,0.017491076
