Date,Close,HRL
04/04/2014,47.83,-0.010606318
03/04/2014,48.34,-0.00247934
02/04/2014,48.46,-0.009038681
01/04/2014,48.9,-0.00753798
31/03/2014,49.27,0.017815563
28/03/2014,48.4,0.004140793
27/03/2014,48.2,-0.000622213
26/03/2014,48.23,0.006239621
25/03/2014,47.93,0.010275858
24/03/2014,47.44,0.002955459
21/03/2014,47.3,-0.001267695
20/03/2014,47.36,0.003384098
19/03/2014,47.2,-0.006967198
18/03/2014,47.53,0.007602993
17/03/2014,47.17,0.000848356
14/03/2014,47.13,0.007881604
13/03/2014,46.76,-0.009577598
12/03/2014,47.21,0.004883755
11/03/2014,46.98,-0.008900249
10/03/2014,47.4,0.002534856
07/03/2014,47.28,-0.000634317
06/03/2014,47.31,-0.011558393
05/03/2014,47.86,0.004397452
04/03/2014,47.65,0.012671764
03/03/2014,47.05,-0.008465659
28/02/2014,47.45,0.005918428
27/02/2014,47.17,0.004036118
26/02/2014,46.98,0.001917546
25/02/2014,46.89,-0.001278773
24/02/2014,46.95,0.005124931
21/02/2014,46.71,0.01119495
20/02/2014,46.19,0.019235566
19/02/2014,45.31,0.003537479
18/02/2014,45.15,-0.000221459
14/02/2014,45.16,0.008450128
13/02/2014,44.78,0.010551226
12/02/2014,44.31,-0.001803834
11/02/2014,44.39,0.016352851
10/02/2014,43.67,-0.002287284
07/02/2014,43.77,0.00848921
06/02/2014,43.4,0.006936444
05/02/2014,43.1,-0.000927644
04/02/2014,43.14,-0.007390334
03/02/2014,43.46,-0.0445518
31/01/2014,45.44,0.008175938
30/01/2014,45.07,0.015878674
29/01/2014,44.36,-0.030635026
28/01/2014,45.74,0.004821399
27/01/2014,45.52,0.008383018
24/01/2014,45.14,-0.009919623
23/01/2014,45.59,-0.007647803
22/01/2014,45.94,0.000217699
21/01/2014,45.93,0.0017433
17/01/2014,45.85,-0.017083343
16/01/2014,46.64,0.005805844
15/01/2014,46.37,-0.001293104
14/01/2014,46.43,0.028841851
13/01/2014,45.11,-0.010365072
10/01/2014,45.58,0.010365072
09/01/2014,45.11,0.006895812
08/01/2014,44.8,-0.010878118
07/01/2014,45.29,0.011101357
06/01/2014,44.79,-0.002675587
03/01/2014,44.91,0.006254208
02/01/2014,44.63,-0.012026871
31/12/2013,45.17,0.000885936
30/12/2013,45.13,0.006892745
27/12/2013,44.82,-0.00022309
26/12/2013,44.83,-0.000668971
24/12/2013,44.86,0.00133839
23/12/2013,44.8,0.001563722
20/12/2013,44.73,-0.005573529
19/12/2013,44.98,0.002894358
18/12/2013,44.85,0.015504187
17/12/2013,44.16,-0.002713706
16/12/2013,44.28,0.00226091
13/12/2013,44.18,-0.009461661
12/12/2013,44.6,-0.008706384
11/12/2013,44.99,-0.005320341
10/12/2013,45.23,-0.016880813
09/12/2013,46,0.004138989
06/12/2013,45.81,0.016063719
05/12/2013,45.08,-0.017808539
04/12/2013,45.89,-0.001959291
03/12/2013,45.98,0.003922428
02/12/2013,45.8,0.017177256
29/11/2013,45.02,-0.000222099
27/11/2013,45.03,0.001778173
26/11/2013,44.95,0.057459447
25/11/2013,42.44,-0.010780512
22/11/2013,42.9,0.002100106
21/11/2013,42.81,0.013640851
20/11/2013,42.23,-0.027328572
19/11/2013,43.4,-0.008260717
18/11/2013,43.76,-0.003421926
15/11/2013,43.91,0.003421926
14/11/2013,43.76,0.007569712
13/11/2013,43.43,0.011113798
12/11/2013,42.95,0.000465766
11/11/2013,42.93,-0.006269613
08/11/2013,43.2,0.005803847
07/11/2013,42.95,-0.021194067
06/11/2013,43.87,0.008010113
05/11/2013,43.52,0.007843177
04/11/2013,43.18,-0.003929278
01/11/2013,43.35,-0.002534272
31/10/2013,43.46,-0.005278268
30/10/2013,43.69,-0.009567271
29/10/2013,44.11,0.012776811
28/10/2013,43.55,-0.001606057
25/10/2013,43.62,-0.003204397
24/10/2013,43.76,0.000914495
23/10/2013,43.72,0.005504601
22/10/2013,43.48,0.013662364
21/10/2013,42.89,-0.003955793
18/10/2013,43.06,-0.007404013
17/10/2013,43.38,0.003232513
16/10/2013,43.24,0.014677025
15/10/2013,42.61,-0.00841323
14/10/2013,42.97,-0.003020799
11/10/2013,43.1,0.005584007
10/10/2013,42.86,0.025042651
09/10/2013,41.8,0.005517586
08/10/2013,41.57,-0.005039003
07/10/2013,41.78,-0.005965893
04/10/2013,42.03,0.006923747
03/10/2013,41.74,-0.011197258
02/10/2013,42.21,-0.004727024
01/10/2013,42.41,0.006861496
30/09/2013,42.12,-0.004027964
27/09/2013,42.29,-0.009179775
26/09/2013,42.68,0.000937647
25/09/2013,42.64,-0.011657861
24/09/2013,43.14,-0.007390334
23/09/2013,43.46,-0.007792843
20/09/2013,43.8,-0.003418807
19/09/2013,43.95,-0.00386057
18/09/2013,44.12,0.020147202
17/09/2013,43.24,0.003011004
16/09/2013,43.11,0.007918067
13/09/2013,42.77,0.001638002
12/09/2013,42.7,-0.00210551
11/09/2013,42.79,0.008213117
10/09/2013,42.44,0.00448696
09/09/2013,42.25,0.000947194
06/09/2013,42.21,0.009521614
05/09/2013,41.81,-0.002866016
04/09/2013,41.93,0.016108054
03/09/2013,41.26,-0.004111748
30/08/2013,41.43,0.002416628
29/08/2013,41.33,0.009725338
28/08/2013,40.93,-0.009241311
27/08/2013,41.31,-0.015850476
26/08/2013,41.97,-0.017478008
23/08/2013,42.71,-0.000936111
22/08/2013,42.75,0.015083953
21/08/2013,42.11,-0.015785461
20/08/2013,42.78,0.007037327
19/08/2013,42.48,-0.007271053
16/08/2013,42.79,0.001403181
15/08/2013,42.73,-0.016018915
14/08/2013,43.42,-0.008941937
13/08/2013,43.81,0.009633102
12/08/2013,43.39,0.004620013
09/08/2013,43.19,-0.000231508
08/08/2013,43.2,0.002085506
07/08/2013,43.11,-0.006243517
06/08/2013,43.38,0.00415801
05/08/2013,43.2,0.003942948
02/08/2013,43.03,0.001395349
01/08/2013,42.97,0.014533777
31/07/2013,42.35,0.006633523
30/07/2013,42.07,-0.004032742
29/07/2013,42.24,0.019121041
26/07/2013,41.44,0.003141997
25/07/2013,41.31,0.00363769
24/07/2013,41.16,-0.006055487
23/07/2013,41.41,0.003144276
22/07/2013,41.28,-0.002177859
19/07/2013,41.37,0.006061359
18/07/2013,41.12,-0.00097229
17/07/2013,41.16,-0.006055487
16/07/2013,41.41,0.004841452
15/07/2013,41.21,0.005596803
12/07/2013,40.98,0.009069801
11/07/2013,40.61,0.020398717
10/07/2013,39.79,0.000502765
09/07/2013,39.77,0.005041604
08/07/2013,39.57,0.011693067
05/07/2013,39.11,0.013903417
03/07/2013,38.57,-0.011343251
02/07/2013,39.01,-0.00715201
01/07/2013,39.29,0.018236026
28/06/2013,38.58,-0.001554002
27/06/2013,38.64,0.002850851
26/06/2013,38.53,0.011222877
25/06/2013,38.1,0.003154577
24/06/2013,37.98,0.002108593
21/06/2013,37.9,0.007415288
20/06/2013,37.62,-0.032686921
19/06/2013,38.87,-0.008198867
18/06/2013,39.19,-0.036577224
17/06/2013,40.65,0.012874652
14/06/2013,40.13,0.007754886
13/06/2013,39.82,0.008068627
12/06/2013,39.5,-0.003538038
11/06/2013,39.64,0.000757098
10/06/2013,39.61,0.000252493
07/06/2013,39.6,0.018349139
06/06/2013,38.88,-0.004618946
05/06/2013,39.06,-0.018767987
04/06/2013,39.8,0.000502639
03/06/2013,39.78,-0.001005025
31/05/2013,39.82,-0.017673142
30/05/2013,40.53,-0.007374665
29/05/2013,40.83,-0.020604292
28/05/2013,41.68,0.00360534
24/05/2013,41.53,0.00652255
23/05/2013,41.26,-0.027254855
22/05/2013,42.4,-0.004940605
21/05/2013,42.61,0.002114414
20/05/2013,42.52,-0.004224367
17/05/2013,42.7,0.001640689
16/05/2013,42.63,-0.009339316
15/05/2013,43.03,0.003258848
14/05/2013,42.89,0.019541528
13/05/2013,42.06,0.013885787
10/05/2013,41.48,0.005317876
09/05/2013,41.26,-0.003145798
08/05/2013,41.39,-0.007221986
07/05/2013,41.69,0.006738894
06/05/2013,41.41,-0.007937504
03/05/2013,41.74,-0.006685794
02/05/2013,42.02,0.02043586
01/05/2013,41.17,-0.002426008
30/04/2013,41.27,0.000727185
29/04/2013,41.24,0.000727714
26/04/2013,41.21,-0.004599935
25/04/2013,41.4,0.003872222
24/04/2013,41.24,-0.014683138
23/04/2013,41.85,0.01686787
22/04/2013,41.15,-0.001457018
19/04/2013,41.21,0.011470535
18/04/2013,40.74,-0.004164121
17/04/2013,40.91,-0.00365988
16/04/2013,41.06,0.016452182
15/04/2013,40.39,-0.013281061
12/04/2013,40.93,0.004162082
11/04/2013,40.76,0.002948405
10/04/2013,40.64,0.011383444
09/04/2013,40.18,-0.00298211
08/04/2013,40.3,0.005224542
05/04/2013,40.09,-0.008939717
04/04/2013,40.45,0
03/04/2013,40.45,-0.013261491
02/04/2013,40.99,0.006608762
01/04/2013,40.72,-0.014627272
28/03/2013,41.32,0.028724204
27/03/2013,40.15,0
26/03/2013,40.15,0.012279317
25/03/2013,39.66,0
22/03/2013,39.66,0.007593051
21/03/2013,39.36,-0.010865552
20/03/2013,39.79,0.006555747
19/03/2013,39.53,0.013498231
18/03/2013,39,-0.007153837
15/03/2013,39.28,0.007666789
14/03/2013,38.98,-0.011224608
13/03/2013,39.42,0.021539294
12/03/2013,38.58,0.001296849
11/03/2013,38.53,-0.000518941
08/03/2013,38.55,0.007289801
07/03/2013,38.27,0.00497709
06/03/2013,38.08,-0.002360657
05/03/2013,38.17,0.004990161
04/03/2013,37.98,0.013519093
01/03/2013,37.47,0.001602564
28/02/2013,37.41,0.001605137
27/02/2013,37.35,0.009414999
26/02/2013,37,0.011963166
25/02/2013,36.56,-0.015470522
22/02/2013,37.13,0.016839073
21/02/2013,36.51,0.010739467
20/02/2013,36.12,-0.011560822
19/02/2013,36.54,0.012668856
15/02/2013,36.08,0.004722887
14/02/2013,35.91,0.00195122
13/02/2013,35.84,0.005876608
12/02/2013,35.63,0
11/02/2013,35.63,-0.005597552
08/02/2013,35.83,0.007001849
07/02/2013,35.58,0.00112486
06/02/2013,35.54,0.003099904
05/02/2013,35.43,0.009357788
04/02/2013,35.1,-0.009075502
01/02/2013,35.42,0.023133975
31/01/2013,34.61,-0.008057598
30/01/2013,34.89,-0.00343348
29/01/2013,35.01,-0.003990883
28/01/2013,35.15,-0.005390849
25/01/2013,35.34,0.001982723
24/01/2013,35.27,0.009973013
23/01/2013,34.92,0.001146132
22/01/2013,34.88,0.005462138
18/01/2013,34.69,0.006072015
17/01/2013,34.48,0.001741655
16/01/2013,34.42,-0.000871207
15/01/2013,34.45,0.0026159
14/01/2013,34.36,-0.00377633
11/01/2013,34.49,-0.000289897
10/01/2013,34.5,-0.000289813
09/01/2013,34.51,0.00581228
08/01/2013,34.31,0.004674271
07/01/2013,34.15,-0.004674271
04/01/2013,34.31,0.032886981
03/01/2013,33.2,0.036501522
02/01/2013,32.01,0.025309798
31/12/2012,31.21,0.01712758
28/12/2012,30.68,-0.001302932
27/12/2012,30.72,0.000325574
26/12/2012,30.71,-0.011010474
24/12/2012,31.05,0.001934237
21/12/2012,30.99,-0.011549695
20/12/2012,31.35,0.000638162
19/12/2012,31.33,-0.006680477
18/12/2012,31.54,0.004767211
17/12/2012,31.39,0.009281552
14/12/2012,31.1,-0.001927402
13/12/2012,31.16,0.003536413
12/12/2012,31.05,-0.000322009
11/12/2012,31.06,0.007108269
10/12/2012,30.84,-0.00614193
07/12/2012,31.03,0.000322321
06/12/2012,31.02,0
05/12/2012,31.02,0.001290323
04/12/2012,30.98,-0.000967898
03/12/2012,31.01,0
30/11/2012,31.01,0.005497184
29/11/2012,30.84,0.004224214
28/11/2012,30.71,0.005223649
27/11/2012,30.55,0.001965925
26/11/2012,30.49,-0.004907584
23/11/2012,30.64,0.006548812
21/11/2012,30.44,0.012894872
20/11/2012,30.05,-0.040755437
19/11/2012,31.3,0.013833259
16/11/2012,30.87,0.008458086
15/11/2012,30.61,0.011500045
14/11/2012,30.26,-0.00066072
13/11/2012,30.28,0.01129205
12/11/2012,29.94,0.011083237
09/11/2012,29.61,0.000675676
08/11/2012,29.59,-0.005392666
07/11/2012,29.75,-0.010698865
06/11/2012,30.07,0.006673365
05/11/2012,29.87,0.0040255
02/11/2012,29.75,-0.010033529
01/11/2012,30.05,0.017455965
31/10/2012,29.53,0.006454923
26/10/2012,29.34,0.001705612
25/10/2012,29.29,0.023839443
24/10/2012,28.6,-0.001048401
23/10/2012,28.63,-0.010424
22/10/2012,28.93,0.001037524
19/10/2012,28.9,-0.020548668
18/10/2012,29.5,-0.005071862
17/10/2012,29.65,0.00948838
16/10/2012,29.37,0.010611087
15/10/2012,29.06,0.007946146
12/10/2012,28.83,-0.010008712
11/10/2012,29.12,0.003095445
10/10/2012,29.03,-0.000344412
09/10/2012,29.04,-0.009936693
08/10/2012,29.33,-0.004083027
05/10/2012,29.45,0.00203943
04/10/2012,29.39,-0.005767616
03/10/2012,29.56,-0.006407036
02/10/2012,29.75,0.007083855
01/10/2012,29.54,0.010207642
28/09/2012,29.24,0.000684229
27/09/2012,29.22,0.005146692
26/09/2012,29.07,0.001376937
25/09/2012,29.03,-0.010962768
24/09/2012,29.35,0.003754911
21/09/2012,29.24,-0.006476927
20/09/2012,29.43,0.002040817
19/09/2012,29.37,0.004778166
18/09/2012,29.23,0.001712036
17/09/2012,29.18,0.006877606
14/09/2012,28.98,-0.007562772
13/09/2012,29.2,0.005838931
12/09/2012,29.03,-0.001376937
11/09/2012,29.07,0.000688231
10/09/2012,29.05,0.000344293
07/09/2012,29.04,0.002413378
06/09/2012,28.97,0.013203805
05/09/2012,28.59,-0.011476391
04/09/2012,28.92,0.006939653
31/08/2012,28.72,0.007338841
30/08/2012,28.51,-0.007338841
29/08/2012,28.72,-0.001739433
28/08/2012,28.77,0.004528835
27/08/2012,28.64,-0.004876359
24/08/2012,28.78,-0.001388889
23/08/2012,28.82,0.013976468
22/08/2012,28.42,-0.00316178
21/08/2012,28.51,0.001404002
20/08/2012,28.47,-0.005953441
17/08/2012,28.64,0.008767372
16/08/2012,28.39,-0.005619966
15/08/2012,28.55,0.005619966
14/08/2012,28.39,0.006360445
13/08/2012,28.21,-0.00318528
10/08/2012,28.3,0.001414427
09/08/2012,28.26,0.003189795
08/08/2012,28.17,0.014301281
07/08/2012,27.77,0.001080886
06/08/2012,27.74,-0.009329095
03/08/2012,28,0.018746043
02/08/2012,27.48,-0.006528859
