Date,Close,AGN
04/04/2014,124.12,-0.010100286
03/04/2014,125.38,-0.001195648
02/04/2014,125.53,0.014362184
01/04/2014,123.74,-0.002905102
31/03/2014,124.1,0.024884009
28/03/2014,121.05,0.004304999
27/03/2014,120.53,-0.014905369
26/03/2014,122.34,-0.018063753
25/03/2014,124.57,0.001526411
24/03/2014,124.38,-0.005372262
21/03/2014,125.05,-0.038820793
20/03/2014,130,-0.01093994
19/03/2014,131.43,0.001675297
18/03/2014,131.21,0.00995719
17/03/2014,129.91,0.012158911
14/03/2014,128.34,0.004529488
13/03/2014,127.76,-0.006942035
12/03/2014,128.65,0.000777605
11/03/2014,128.55,-0.00543058
10/03/2014,129.25,0.009796378
07/03/2014,127.99,0.008789196
06/03/2014,126.87,-0.013154994
05/03/2014,128.55,-0.002718976
04/03/2014,128.9,0.02021854
03/03/2014,126.32,-0.005368717
28/02/2014,127,-0.012130847
27/02/2014,128.55,0.009849986
26/02/2014,127.29,0.013843515
25/02/2014,125.54,0.008318717
24/02/2014,124.5,-0.004567865
21/02/2014,125.07,-0.017280075
20/02/2014,127.25,0.017839918
19/02/2014,125,-0.004708896
18/02/2014,125.59,0.008154826
14/02/2014,124.57,-0.003205902
13/02/2014,124.97,0.014183492
12/02/2014,123.21,0.004066369
11/02/2014,122.71,-0.002035251
10/02/2014,122.96,0.034081049
07/02/2014,118.84,0.012446712
06/02/2014,117.37,0.01866159
05/02/2014,115.2,0.004436912
04/02/2014,114.69,0.021415227
03/02/2014,112.26,-0.020630195
31/01/2014,114.6,-0.004440389
30/01/2014,115.11,0.007586694
29/01/2014,114.24,0.002190773
28/01/2014,113.99,0.000789855
27/01/2014,113.9,-0.008480184
24/01/2014,114.87,-0.012887779
23/01/2014,116.36,-0.018392889
22/01/2014,118.52,-0.012993183
21/01/2014,120.07,-0.000666056
17/01/2014,120.15,0.002750346
16/01/2014,119.82,-0.01721042
15/01/2014,121.9,0.00559396
14/01/2014,121.22,0.057731188
13/01/2014,114.42,-0.00670705
10/01/2014,115.19,0.004524501
09/01/2014,114.67,0.001047029
08/01/2014,114.55,0.017613842
07/01/2014,112.55,0.015490304
06/01/2014,110.82,-0.011127179
03/01/2014,112.06,0.016011856
02/01/2014,110.28,-0.007228076
31/12/2013,111.08,0.002975254
30/12/2013,110.75,-0.000902527
27/12/2013,110.85,0.008607075
26/12/2013,109.9,0.011715309
24/12/2013,108.62,0.011388485
23/12/2013,107.39,-0.003161029
20/12/2013,107.73,0.037547557
19/12/2013,103.76,0.025673722
18/12/2013,101.13,0.020580147
17/12/2013,99.07,-0.011640874
16/12/2013,100.23,0.037199411
13/12/2013,96.57,-0.00268873
12/12/2013,96.83,0.012261168
11/12/2013,95.65,-0.018233179
10/12/2013,97.41,-0.006446684
09/12/2013,98.04,-0.001630657
06/12/2013,98.2,0.017463207
05/12/2013,96.5,0.006028498
04/12/2013,95.92,-0.000729509
03/12/2013,95.99,-0.00446963
02/12/2013,96.42,-0.006512661
29/11/2013,97.05,-0.002264307
27/11/2013,97.27,-0.001232919
26/11/2013,97.39,-0.005223014
25/11/2013,97.9,-0.006820406
22/11/2013,98.57,-0.002128199
21/11/2013,98.78,0.001925319
20/11/2013,98.59,0.00498247
19/11/2013,98.1,0.011070224
18/11/2013,97.02,0.006307212
15/11/2013,96.41,0.010426536
14/11/2013,95.41,0.006413986
13/11/2013,94.8,0.03324703
12/11/2013,91.7,0.007333257
11/11/2013,91.03,0.011935162
08/11/2013,89.95,0.016477423
07/11/2013,88.48,-0.003610112
06/11/2013,88.8,-0.00494272
05/11/2013,89.24,-0.009701777
04/11/2013,90.11,-0.004208201
01/11/2013,90.49,-0.001325235
31/10/2013,90.61,-0.007914738
30/10/2013,91.33,-0.014781271
29/10/2013,92.69,-0.007416598
28/10/2013,93.38,0.006015056
25/10/2013,92.82,0.000107741
24/10/2013,92.81,0.013450685
23/10/2013,91.57,-0.00196378
22/10/2013,91.75,0.014049183
21/10/2013,90.47,-0.00297997
18/10/2013,90.74,0.000551177
17/10/2013,90.69,0.00975077
16/10/2013,89.81,0.001114082
15/10/2013,89.71,-0.00577972
14/10/2013,90.23,0.002996839
11/10/2013,89.96,0.001112223
10/10/2013,89.86,0.014911426
09/10/2013,88.53,-0.004845353
08/10/2013,88.96,-0.013177187
07/10/2013,90.14,-0.005752228
04/10/2013,90.66,0.004421851
03/10/2013,90.26,-0.001549873
02/10/2013,90.4,-0.004084567
01/10/2013,90.77,0.003531623
30/09/2013,90.45,-0.006501759
27/09/2013,91.04,-0.005695525
26/09/2013,91.56,-0.001527884
25/09/2013,91.7,0.000218126
24/09/2013,91.68,-0.000218126
23/09/2013,91.7,-0.010090684
20/09/2013,92.63,0.015558166
19/09/2013,91.2,0.025542755
18/09/2013,88.9,-0.000674688
17/09/2013,88.96,-0.003590668
16/09/2013,89.28,0.005728744
13/09/2013,88.77,-0.001013342
12/09/2013,88.86,0.012570235
11/09/2013,87.75,-0.011782169
10/09/2013,88.79,-0.000900597
09/09/2013,88.87,-0.003818513
06/09/2013,89.21,0.001570563
05/09/2013,89.07,0.00224795
04/09/2013,88.87,-0.01063304
03/09/2013,89.82,0.016161968
30/08/2013,88.38,0.000452694
29/08/2013,88.34,0.004424535
28/08/2013,87.95,-0.000113695
27/08/2013,87.96,-0.013438179
26/08/2013,89.15,-0.004365109
23/08/2013,89.54,-0.013973833
22/08/2013,90.8,0.005189654
21/08/2013,90.33,-0.019079526
20/08/2013,92.07,0.035824727
19/08/2013,88.83,0.010183387
16/08/2013,87.93,-0.00193149
15/08/2013,88.1,-0.02798168
14/08/2013,90.6,0.001657001
13/08/2013,90.45,-0.00683123
12/08/2013,91.07,-0.000329363
09/08/2013,91.1,-0.013086337
08/08/2013,92.3,0.02157451
07/08/2013,90.33,-0.005630086
06/08/2013,90.84,-0.01268886
05/08/2013,92,0.00250313
02/08/2013,91.77,0.0054633
01/08/2013,91.27,0.001644827
31/07/2013,91.12,0.001207929
30/07/2013,91.01,0.008274996
