Date,Close,WAT
04/04/2014,111.03,0.001622499
03/04/2014,110.85,0.00180587
02/04/2014,110.65,0.016125708
01/04/2014,108.88,0.004326023
31/03/2014,108.41,0.00675647
28/03/2014,107.68,-0.001206553
27/03/2014,107.81,0.004182745
26/03/2014,107.36,-0.011667879
25/03/2014,108.62,0.001289728
24/03/2014,108.48,-0.020619287
21/03/2014,110.74,-0.015679217
20/03/2014,112.49,-0.00275201
19/03/2014,112.8,-0.012597621
18/03/2014,114.23,0.005090409
17/03/2014,113.65,0.005381812
14/03/2014,113.04,0.003012317
13/03/2014,112.7,-0.004780039
12/03/2014,113.24,-0.001059135
11/03/2014,113.36,0.002561499
10/03/2014,113.07,0.003100228
07/03/2014,112.72,-0.000532151
06/03/2014,112.78,-0.000974875
05/03/2014,112.89,0.002660991
04/03/2014,112.59,0.018375455
03/03/2014,110.54,-0.007749881
28/02/2014,111.4,-0.007244788
27/02/2014,112.21,0.003034633
26/02/2014,111.87,-0.006415419
25/02/2014,112.59,-0.008842572
24/02/2014,113.59,0.002468049
21/02/2014,113.31,-0.014282828
20/02/2014,114.94,0.024840527
19/02/2014,112.12,0.00205348
18/02/2014,111.89,-0.005259182
14/02/2014,112.48,0.003830228
13/02/2014,112.05,0.011308683
12/02/2014,110.79,0.008520719
11/02/2014,109.85,0.006026315
10/02/2014,109.19,0.004313714
07/02/2014,108.72,0.016881952
06/02/2014,106.9,0.014985437
05/02/2014,105.31,0.000854985
04/02/2014,105.22,0.001045975
03/02/2014,105.11,-0.029620686
31/01/2014,108.27,-0.014123492
30/01/2014,109.81,0.009148358
29/01/2014,108.81,-0.014597467
28/01/2014,110.41,0.070443067
27/01/2014,102.9,-0.001165501
24/01/2014,103.02,-0.015029185
23/01/2014,104.58,-0.003626996
22/01/2014,104.96,-0.000857102
21/01/2014,105.05,0.006206752
17/01/2014,104.4,-0.008108797
16/01/2014,105.25,0.012428458
15/01/2014,103.95,0.009181026
14/01/2014,103,0.024471763
