Date,Close,JWN
04/04/2014,63.47,0.00157679
03/04/2014,63.37,-0.004094494
02/04/2014,63.63,0.011697889
01/04/2014,62.89,0.007020932
31/03/2014,62.45,0.009977553
28/03/2014,61.83,0.000808996
27/03/2014,61.78,-0.002909328
26/03/2014,61.96,-0.00835749
25/03/2014,62.48,0.010943141
24/03/2014,61.8,-0.011263192
21/03/2014,62.5,0.002242513
20/03/2014,62.36,0.00289064
19/03/2014,62.18,-0.003692114
18/03/2014,62.41,0.005140574
17/03/2014,62.09,0.012315826
14/03/2014,61.33,-0.002930644
13/03/2014,61.51,-0.011155237
12/03/2014,62.2,-0.001285347
11/03/2014,62.28,-0.00560405
10/03/2014,62.63,0.003518878
07/03/2014,62.41,0.013388376
06/03/2014,61.58,0
05/03/2014,61.58,-0.001136087
04/03/2014,61.65,0.007162655
03/03/2014,61.21,-0.004401344
28/02/2014,61.48,0.001790802
27/02/2014,61.37,0.007359588
26/02/2014,60.92,0.028133358
25/02/2014,59.23,0.01052284
24/02/2014,58.61,-0.010691659
21/02/2014,59.24,-0.003370411
20/02/2014,59.44,0.009465926
19/02/2014,58.88,-0.000679117
18/02/2014,58.92,0.007666789
14/02/2014,58.47,-0.001538067
13/02/2014,58.56,0.005136118
12/02/2014,58.26,-0.01126484
11/02/2014,58.92,0.006299502
10/02/2014,58.55,-0.004090682
07/02/2014,58.79,0.001532046
06/02/2014,58.7,0.02763561
05/02/2014,57.1,0.030585599
04/02/2014,55.38,-0.005941146
03/02/2014,55.71,-0.03075534
31/01/2014,57.45,0.002090957
30/01/2014,57.33,0.011049836
29/01/2014,56.7,-0.026626475
28/01/2014,58.23,0.007065949
27/01/2014,57.82,-0.005863097
24/01/2014,58.16,-0.015356043
23/01/2014,59.06,-0.00574035
22/01/2014,59.4,-0.004367553
21/01/2014,59.66,-0.004515435
17/01/2014,59.93,-0.002999003
16/01/2014,60.11,-0.012564225
15/01/2014,60.87,0.018571252
14/01/2014,59.75,0.00436096
13/01/2014,59.49,-0.026867288
10/01/2014,61.11,-0.006199041
09/01/2014,61.49,0.016396498
08/01/2014,60.49,-0.004453616
07/01/2014,60.76,-0.010641011
06/01/2014,61.41,-0.01229988
03/01/2014,62.17,0.00354496
02/01/2014,61.95,0.002424244
31/12/2013,61.8,-0.000808734
30/12/2013,61.85,0.006976584
27/12/2013,61.42,-0.00308868
26/12/2013,61.61,0.000162324
24/12/2013,61.6,0.000974501
23/12/2013,61.54,0.005703592
20/12/2013,61.19,0.015647194
19/12/2013,60.24,-0.00165865
18/12/2013,60.34,0.008488026
17/12/2013,59.83,-0.011962263
16/12/2013,60.55,0.007626032
13/12/2013,60.09,-0.004648854
12/12/2013,60.37,-0.006933009
11/12/2013,60.79,-0.007865025
10/12/2013,61.27,0.009346629
09/12/2013,60.7,0.005617064
06/12/2013,60.36,-0.011366567
05/12/2013,61.05,-0.004901971
04/12/2013,61.35,-0.008440238
03/12/2013,61.87,0.00129387
02/12/2013,61.79,-0.006774219
29/11/2013,62.21,-0.008005166
27/11/2013,62.71,-0.003025239
26/11/2013,62.9,0.005579927
25/11/2013,62.55,0.007220248
22/11/2013,62.1,-0.000643915
21/11/2013,62.14,0.006133998
20/11/2013,61.76,-0.001779504
19/11/2013,61.87,-0.009811096
18/11/2013,62.48,-0.005108568
15/11/2013,62.8,-0.009981862
14/11/2013,63.43,0.000788581
13/11/2013,63.38,0.024921418
12/11/2013,61.82,-0.000323468
11/11/2013,61.84,0.013348725
08/11/2013,61.02,0.011537956
07/11/2013,60.32,-0.003144917
06/11/2013,60.51,0.002813407
05/11/2013,60.34,-0.001986756
04/11/2013,60.46,0.008137552
01/11/2013,59.97,-0.008302937
31/10/2013,60.47,0.00148945
30/10/2013,60.38,-0.001324065
29/10/2013,60.46,0.005140547
28/10/2013,60.15,0.014738167
25/10/2013,59.27,0.003210818
24/10/2013,59.08,0.003560835
23/10/2013,58.87,-0.002714166
22/10/2013,59.03,0.003223894
21/10/2013,58.84,0.00170097
18/10/2013,58.74,0.001533351
17/10/2013,58.65,0.007530414
16/10/2013,58.21,0.022059079
15/10/2013,56.94,0.000175639
14/10/2013,56.93,0.00158214
11/10/2013,56.84,0.001937132
10/10/2013,56.73,0.017067081
09/10/2013,55.77,0.002693242
08/10/2013,55.62,-0.018172601
07/10/2013,56.64,-0.008613923
04/10/2013,57.13,0.00508907
03/10/2013,56.84,0.000703978
02/10/2013,56.8,0.015077891
01/10/2013,55.95,-0.004458322
30/09/2013,56.2,-0.004438534
27/09/2013,56.45,-0.002300275
26/09/2013,56.58,0.013702501
25/09/2013,55.81,-0.010693383
24/09/2013,56.41,-0.003892432
23/09/2013,56.63,-0.006512388
20/09/2013,57,-0.009602867
19/09/2013,57.55,-0.008305983
18/09/2013,58.03,-0.002581535
17/09/2013,58.18,0.00344353
16/09/2013,57.98,0.012146601
13/09/2013,57.28,0.004374077
12/09/2013,57.03,-0.003326042
11/09/2013,57.22,0.002099371
10/09/2013,57.1,0.009148551
09/09/2013,56.58,0.011733468
06/09/2013,55.92,-0.004816707
05/09/2013,56.19,0.00124655
04/09/2013,56.12,0.011289431
03/09/2013,55.49,-0.004315777
30/08/2013,55.73,-0.004475883
29/08/2013,55.98,-0.009776987
28/08/2013,56.53,-0.001590809
27/08/2013,56.62,-0.011938344
26/08/2013,57.3,0.000349101
23/08/2013,57.28,0.001922237
22/08/2013,57.17,0.007373629
21/08/2013,56.75,-0.00614846
20/08/2013,57.1,0.014820314
19/08/2013,56.26,-0.003017129
16/08/2013,56.43,-0.050114148
15/08/2013,59.33,-0.003533275
14/08/2013,59.54,-0.010691716
