Date,Close,DPS
04/04/2014,53.71,-0.001116487
03/04/2014,53.77,0.000744186
02/04/2014,53.73,-0.000558191
01/04/2014,53.76,-0.012936791
31/03/2014,54.46,0.009408796
28/03/2014,53.95,0.00427232
27/03/2014,53.72,0.006161909
26/03/2014,53.39,0.011870135
25/03/2014,52.76,0.006846737
24/03/2014,52.4,-0.007036256
21/03/2014,52.77,0.004368063
20/03/2014,52.54,0.004387227
19/03/2014,52.31,-0.00875529
18/03/2014,52.77,0.000947957
17/03/2014,52.72,0.006470051
14/03/2014,52.38,0.009977059
13/03/2014,51.86,-0.021555436
12/03/2014,52.99,0
11/03/2014,52.99,0.009671072
10/03/2014,52.48,0.003626996
07/03/2014,52.29,0.00556143
06/03/2014,52,-0.001537279
05/03/2014,52.08,0.00249928
04/03/2014,51.95,0.005210858
03/03/2014,51.68,-0.008286009
28/02/2014,52.11,0.008866673
27/02/2014,51.65,0.00116234
26/02/2014,51.59,-0.017104289
25/02/2014,52.48,0.014007712
24/02/2014,51.75,0.000193255
21/02/2014,51.74,0.005232063
20/02/2014,51.47,0.009958102
19/02/2014,50.96,0.006694256
18/02/2014,50.62,0.006341678
14/02/2014,50.3,0.004583051
13/02/2014,50.07,0.001599041
12/02/2014,49.99,0.022045589
11/02/2014,48.9,0.004098366
10/02/2014,48.7,-0.003893847
07/02/2014,48.89,0.021292794
06/02/2014,47.86,0.006077772
05/02/2014,47.57,0.005480621
04/02/2014,47.31,0.001904158
03/02/2014,47.22,-0.013880349
31/01/2014,47.88,-0.008526619
30/01/2014,48.29,0.008108995
29/01/2014,47.9,-0.022296547
28/01/2014,48.98,-0.001428134
27/01/2014,49.05,0.011895136
24/01/2014,48.47,-0.012710298
23/01/2014,49.09,-0.007104465
22/01/2014,49.44,-0.004238577
21/01/2014,49.65,0.023640799
17/01/2014,48.49,0.002891369
16/01/2014,48.35,0.00580794
15/01/2014,48.07,0.000624285
14/01/2014,48.04,0.012779057
13/01/2014,47.43,-0.020864517
10/01/2014,48.43,0.009543641
09/01/2014,47.97,0.005225218
08/01/2014,47.72,-0.00793158
07/01/2014,48.1,0.00793158
06/01/2014,47.72,0.002517836
03/01/2014,47.6,-0.001469508
02/01/2014,47.67,-0.021787354
31/12/2013,48.72,-0.002460026
30/12/2013,48.84,0.000819336
27/12/2013,48.8,0.004312564
26/12/2013,48.59,0.00185395
24/12/2013,48.5,0.006412267
23/12/2013,48.19,-0.004761421
20/12/2013,48.42,0.012887312
19/12/2013,47.8,-0.008748233
18/12/2013,48.22,0.018207053
17/12/2013,47.35,-0.008412247
16/12/2013,47.75,0.003566562
13/12/2013,47.58,0.005902209
12/12/2013,47.3,-0.021128283
11/12/2013,48.31,-0.001654602
