Date,Close,HCBK
04/04/2014,9.79,-0.013191465
03/04/2014,9.92,0.003028776
02/04/2014,9.89,-0.002020203
01/04/2014,9.91,0.008105414
31/03/2014,9.83,0.003056548
28/03/2014,9.8,0.008196767
27/03/2014,9.72,-0.008196767
26/03/2014,9.8,0.005115101
25/03/2014,9.75,-0.001025115
24/03/2014,9.76,-0.003069056
21/03/2014,9.79,-0.001020929
20/03/2014,9.8,0.022704794
19/03/2014,9.58,0
18/03/2014,9.58,0.001044387
17/03/2014,9.57,0.001045478
14/03/2014,9.56,0.008403411
13/03/2014,9.48,-0.017773599
12/03/2014,9.65,0.004153692
11/03/2014,9.61,-0.009321663
10/03/2014,9.7,0
07/03/2014,9.7,0.004132237
06/03/2014,9.66,0.007272759
05/03/2014,9.59,0.002087683
04/03/2014,9.57,0.018987912
03/03/2014,9.39,-0.011646505
28/02/2014,9.5,0.012712036
27/02/2014,9.38,0.001066667
26/02/2014,9.37,0.008574543
25/02/2014,9.29,-0.005367699
24/02/2014,9.34,0.012931215
21/02/2014,9.22,0.009809343
20/02/2014,9.13,0.003291281
19/02/2014,9.1,-0.013100624
18/02/2014,9.22,-0.005408342
14/02/2014,9.27,0.006493529
13/02/2014,9.21,0.001086366
12/02/2014,9.2,-0.006500565
11/02/2014,9.26,0.01085787
10/02/2014,9.16,-0.002181026
07/02/2014,9.18,0.004366819
06/02/2014,9.14,0.009895628
05/02/2014,9.05,0.003320424
04/02/2014,9.02,0.023556894
03/02/2014,8.81,-0.025771734
31/01/2014,9.04,-0.012094705
30/01/2014,9.15,0.007679687
29/01/2014,9.08,0.004415018
28/01/2014,9.04,0.004434597
27/01/2014,9,-0.00554018
24/01/2014,9.05,-0.007705046
23/01/2014,9.12,-0.002190581
22/01/2014,9.14,0.007688121
21/01/2014,9.07,-0.001101928
17/01/2014,9.08,-0.021787354
16/01/2014,9.28,-0.003227544
15/01/2014,9.31,0.001074691
14/01/2014,9.3,0.005390849
13/01/2014,9.25,-0.016086138
10/01/2014,9.4,-0.007419218
09/01/2014,9.47,0.008483614
08/01/2014,9.39,0.003200003
07/01/2014,9.36,0.007506738
06/01/2014,9.29,-0.007506738
03/01/2014,9.36,0.005356199
02/01/2014,9.31,-0.012807005
