Date,Close,CMI
04/04/2014,147.08,-0.015851399
03/04/2014,149.43,0.00060247
02/04/2014,149.34,0.002614906
01/04/2014,148.95,-0.00026851
31/03/2014,148.99,0.020272568
28/03/2014,146,0.013237921
27/03/2014,144.08,0.000624848
26/03/2014,143.99,-0.002427775
25/03/2014,144.34,0.013812567
24/03/2014,142.36,-0.013881845
21/03/2014,144.35,0.0055575
20/03/2014,143.55,0.005518508
19/03/2014,142.76,0.000560538
18/03/2014,142.68,-0.000770659
17/03/2014,142.79,0.024314506
14/03/2014,139.36,-0.009000704
13/03/2014,140.62,-0.017272804
12/03/2014,143.07,0.001188936
11/03/2014,142.9,-0.006973529
10/03/2014,143.9,-0.011881875
07/03/2014,145.62,-0.003427713
06/03/2014,146.12,0.005902962
05/03/2014,145.26,-0.003024473
04/03/2014,145.7,0.018705083
03/03/2014,143,-0.020213896
28/02/2014,145.92,0.004257956
27/02/2014,145.3,-0.004120885
26/02/2014,145.9,0.001852297
25/02/2014,145.63,-0.002605954
24/02/2014,146.01,0.022020001
21/02/2014,142.83,0.007590169
20/02/2014,141.75,0.012565387
19/02/2014,139.98,-0.022044131
18/02/2014,143.1,0.006871915
14/02/2014,142.12,0.008479418
13/02/2014,140.92,0.016672419
12/02/2014,138.59,0.022400703
11/02/2014,135.52,0.018619738
10/02/2014,133.02,-0.009799966
07/02/2014,134.33,0.026782937
06/02/2014,130.78,0.031931243
05/02/2014,126.67,0.002133798
04/02/2014,126.4,0.021592202
03/02/2014,123.7,-0.026170314
31/01/2014,126.98,-0.011743656
30/01/2014,128.48,-0.000855798
29/01/2014,128.59,-0.000311018
28/01/2014,128.63,0.021055063
27/01/2014,125.95,-0.0028542
24/01/2014,126.31,-0.044668597
23/01/2014,132.08,-0.020977695
22/01/2014,134.88,-0.011279562
21/01/2014,136.41,-0.009702794
17/01/2014,137.74,-0.000725742
16/01/2014,137.84,0.000362805
15/01/2014,137.79,0.004801406
14/01/2014,137.13,0.007172162
13/01/2014,136.15,-0.014220841
10/01/2014,138.1,-0.004118949
09/01/2014,138.67,-0.004891744
08/01/2014,139.35,-0.003867646
07/01/2014,139.89,0.008398886
06/01/2014,138.72,-0.003166837
03/01/2014,139.16,0.004320905
02/01/2014,138.56,-0.017243657
31/12/2013,140.97,0.007404804
30/12/2013,139.93,0.000714899
27/12/2013,139.83,-0.000143021
26/12/2013,139.85,0.003222921
24/12/2013,139.4,0.005322605
23/12/2013,138.66,0.006584445
20/12/2013,137.75,0.004000733
19/12/2013,137.2,0.008564266
18/12/2013,136.03,0.020648387
17/12/2013,133.25,0.001201472
16/12/2013,133.09,0.023414221
13/12/2013,130.01,0.003621657
12/12/2013,129.54,-0.008608816
11/12/2013,130.66,-0.016697413
10/12/2013,132.86,0.0090731
09/12/2013,131.66,0.009002884
06/12/2013,130.48,0.006767174
05/12/2013,129.6,0.004485353
04/12/2013,129.02,-0.007797762
03/12/2013,130.03,-0.022433548
02/12/2013,132.98,0.004673258
29/11/2013,132.36,-0.002037813
27/11/2013,132.63,0.012518657
26/11/2013,130.98,0.001375201
25/11/2013,130.8,0.003292877
22/11/2013,130.37,0.008550682
21/11/2013,129.26,0.004031013
20/11/2013,128.74,-0.009739584
19/11/2013,130,-0.01972721
18/11/2013,132.59,0.004156753
15/11/2013,132.04,-0.003402264
14/11/2013,132.49,0.007120163
13/11/2013,131.55,0.011083622
12/11/2013,130.1,0
11/11/2013,130.1,-0.004601235
08/11/2013,130.7,0.013945293
07/11/2013,128.89,-0.027472363
06/11/2013,132.48,0.005753233
05/11/2013,131.72,0.013836555
04/11/2013,129.91,0.008192966
01/11/2013,128.85,0.014304383
31/10/2013,127.02,0.012516998
30/10/2013,125.44,-0.019421152
29/10/2013,127.9,-0.053359181
28/10/2013,134.91,-0.005027737
25/10/2013,135.59,-0.016603051
24/10/2013,137.86,0.016971878
23/10/2013,135.54,-0.019290383
22/10/2013,138.18,0.009233407
21/10/2013,136.91,0.003438818
18/10/2013,136.44,0.018194422
17/10/2013,133.98,0.005163329
16/10/2013,133.29,0.005793628
15/10/2013,132.52,-0.011628474
14/10/2013,134.07,0.013214398
11/10/2013,132.31,-0.002566427
10/10/2013,132.65,0.025269485
09/10/2013,129.34,-0.001004598
08/10/2013,129.47,-0.012892512
07/10/2013,131.15,-0.015585124
04/10/2013,133.21,0.010944744
03/10/2013,131.76,-0.021622464
02/10/2013,134.64,0.01428756
01/10/2013,132.73,-0.001054217
30/09/2013,132.87,-0.005029852
27/09/2013,133.54,-0.004855648
26/09/2013,134.19,0.003658222
25/09/2013,133.7,-0.001718791
24/09/2013,133.93,0.002392167
23/09/2013,133.61,-0.007159401
20/09/2013,134.57,-0.005040408
19/09/2013,135.25,0.011376856
18/09/2013,133.72,0.013249215
17/09/2013,131.96,-0.014220924
16/09/2013,133.85,0.001270886
13/09/2013,133.68,0.004723887
12/09/2013,133.05,0.005350629
11/09/2013,132.34,0.004468181
10/09/2013,131.75,0.018152377
09/09/2013,129.38,0.02037939
06/09/2013,126.77,-0.002678432
05/09/2013,127.11,0.000865767
04/09/2013,127,0.022857683
03/09/2013,124.13,0.007520352
30/08/2013,123.2,-0.001946157
29/08/2013,123.44,0.005523978
28/08/2013,122.76,0.005964314
27/08/2013,122.03,-0.020600891
26/08/2013,124.57,-0.005124521
23/08/2013,125.21,-0.010724176
22/08/2013,126.56,0.02504231
21/08/2013,123.43,-0.001133603
20/08/2013,123.57,-0.00210186
19/08/2013,123.83,-0.008923965
16/08/2013,124.94,0.001762397
15/08/2013,124.72,-0.022123568
14/08/2013,127.51,-7.84221E-05
13/08/2013,127.52,0.013261956
12/08/2013,125.84,0.014568416
09/08/2013,124.02,0.002583564
08/08/2013,123.7,0.012282069
07/08/2013,122.19,0.000818733
06/08/2013,122.09,-0.005228343
05/08/2013,122.73,-0.002603956
02/08/2013,123.05,0.000894345
01/08/2013,122.94,0.014336869
31/07/2013,121.19,0.024727682
30/07/2013,118.23,0.015255761
29/07/2013,116.44,0.004820946
26/07/2013,115.88,-0.00602256
25/07/2013,116.58,0.002920713
24/07/2013,116.24,-0.012227077
23/07/2013,117.67,-0.00288527
22/07/2013,118.01,-0.001100995
19/07/2013,118.14,0.009525502
18/07/2013,117.02,0.004625276
17/07/2013,116.48,0.004215604
16/07/2013,115.99,-0.01114552
15/07/2013,117.29,0.016245146
12/07/2013,115.4,0.001040402
11/07/2013,115.28,0.013800551
10/07/2013,113.7,0.009544081
09/07/2013,112.62,0.016021824
08/07/2013,110.83,0.000360978
05/07/2013,110.79,0.017206488
03/07/2013,108.9,-0.011866867
02/07/2013,110.2,-0.001178978
01/07/2013,110.33,0.017094433
28/06/2013,108.46,-0.000460893
27/06/2013,108.51,0.010654661
26/06/2013,107.36,-0.000744879
25/06/2013,107.44,0.014059656
24/06/2013,105.94,-0.047737802
21/06/2013,111.12,-0.011631159
20/06/2013,112.42,-0.027894099
19/06/2013,115.6,-0.015195382
18/06/2013,117.37,0.011224039
17/06/2013,116.06,-0.000602954
14/06/2013,116.13,-0.018259893
13/06/2013,118.27,0.02162385
