Date,Close,STJ
04/04/2014,65.04,-0.017980067
03/04/2014,66.22,-0.000452933
02/04/2014,66.25,-0.005719462
01/04/2014,66.63,0.018785585
31/03/2014,65.39,0.009372428
28/03/2014,64.78,0.002472953
27/03/2014,64.62,-0.008935509
26/03/2014,65.2,-0.002144937
25/03/2014,65.34,-0.002598397
24/03/2014,65.51,-0.001677725
21/03/2014,65.62,-0.011816529
20/03/2014,66.4,-0.0095924
19/03/2014,67.04,-0.00327625
18/03/2014,67.26,0.013471241
17/03/2014,66.36,0.015337025
14/03/2014,65.35,-0.009442653
13/03/2014,65.97,-0.014895333
12/03/2014,66.96,0.007495163
11/03/2014,66.46,-0.000601685
10/03/2014,66.5,-0.008534902
07/03/2014,67.07,-0.013329581
06/03/2014,67.97,-0.002204424
05/03/2014,68.12,-0.005270876
04/03/2014,68.48,0.021849112
03/03/2014,67,-0.00476475
28/02/2014,67.32,-0.010050336
27/02/2014,68,0.003830858
26/02/2014,67.74,0.004438534
25/02/2014,67.44,-0.004143244
24/02/2014,67.72,0.006964539
21/02/2014,67.25,-0.010060745
20/02/2014,67.93,0.014083696
19/02/2014,66.98,-0.004022951
18/02/2014,67.25,0.0116663
14/02/2014,66.47,0.004674667
13/02/2014,66.16,0.012930887
12/02/2014,65.31,0.01979344
11/02/2014,64.03,0.006895498
10/02/2014,63.59,0.02532184
07/02/2014,62,0.02449102
06/02/2014,60.5,0.0063008
05/02/2014,60.12,0.003332226
04/02/2014,59.92,0.008716113
03/02/2014,59.4,-0.022143584
31/01/2014,60.73,-0.00852604
30/01/2014,61.25,0.004253933
29/01/2014,60.99,-0.014487109
28/01/2014,61.88,0.008601855
27/01/2014,61.35,-0.012311835
24/01/2014,62.11,-0.026689432
23/01/2014,63.79,-0.018483092
22/01/2014,64.98,-0.014968967
21/01/2014,65.96,0.000910056
17/01/2014,65.9,-0.013564639
16/01/2014,66.8,0.013564639
15/01/2014,65.9,-0.003786449
14/01/2014,66.15,-0.003470916
13/01/2014,66.38,0.005741064
10/01/2014,66,0.010050336
09/01/2014,65.34,-0.000917852
08/01/2014,65.4,0.007674635
07/01/2014,64.9,0.01960542
06/01/2014,63.64,0.039258426
03/01/2014,61.19,-0.008462215
02/01/2014,61.71,-0.003881616
31/12/2013,61.95,0.000161434
30/12/2013,61.94,-0.004992361
27/12/2013,62.25,-0.007840667
26/12/2013,62.74,0.003672659
24/12/2013,62.51,0.001280615
23/12/2013,62.43,0.008687313
20/12/2013,61.89,0.017439934
19/12/2013,60.82,0.005110042
18/12/2013,60.51,0.018177771
17/12/2013,59.42,0.00641569
16/12/2013,59.04,0.017944598
13/12/2013,57.99,-0.000344828
12/12/2013,58.01,-0.002410469
11/12/2013,58.15,-0.021436683
10/12/2013,59.41,0.005062448
09/12/2013,59.11,-0.010769076
06/12/2013,59.75,0.02834782
05/12/2013,58.08,-0.004980689
04/12/2013,58.37,-0.025373486
03/12/2013,59.87,0.014977142
02/12/2013,58.98,0.009540106
29/11/2013,58.42,-0.010387492
27/11/2013,59.03,0.01743038
26/11/2013,58.01,-0.007214047
25/11/2013,58.43,0.006352498
22/11/2013,58.06,0.002068966
21/11/2013,57.94,0.019871667
20/11/2013,56.8,-0.002286117
19/11/2013,56.93,0.002110076
18/11/2013,56.81,-0.009809152
15/11/2013,57.37,-0.002611195
14/11/2013,57.52,-0.002430979
13/11/2013,57.66,0.014499337
12/11/2013,56.83,-0.002986913
11/11/2013,57,0.000175454
08/11/2013,56.99,0.013603248
07/11/2013,56.22,-0.009911586
06/11/2013,56.78,-0.0131224
05/11/2013,57.53,-0.023364746
04/11/2013,58.89,0.012817402
01/11/2013,58.14,0.012983823
31/10/2013,57.39,-0.007464664
30/10/2013,57.82,-0.009124622
29/10/2013,58.35,0.012416093
28/10/2013,57.63,0.006266339
25/10/2013,57.27,0.013713295
24/10/2013,56.49,-0.004063251
23/10/2013,56.72,0.008498635
22/10/2013,56.24,-0.005320105
21/10/2013,56.54,-0.005291951
18/10/2013,56.84,0.003348316
17/10/2013,56.65,0.010826266
16/10/2013,56.04,0.011847204
15/10/2013,55.38,-0.011668744
14/10/2013,56.03,0.015649209
11/10/2013,55.16,0.009471838
10/10/2013,54.64,-0.016697303
09/10/2013,55.56,0.017796003
08/10/2013,54.58,-0.023539019
07/10/2013,55.88,-0.006243888
04/10/2013,56.23,0.025942727
03/10/2013,54.79,-0.000729794
02/10/2013,54.83,0.006771002
01/10/2013,54.46,0.015171429
30/09/2013,53.64,0.023579325
27/09/2013,52.39,-0.007984833
26/09/2013,52.81,0.001136794
25/09/2013,52.75,-0.013556977
24/09/2013,53.47,-0.002801384
23/09/2013,53.62,-0.000932053
20/09/2013,53.67,-0.004090746
19/09/2013,53.89,-0.002594516
18/09/2013,54.03,0.004080124
17/09/2013,53.81,0.013847527
16/09/2013,53.07,0.00472189
13/09/2013,52.82,-0.00509868
12/09/2013,53.09,0.001696673
11/09/2013,53,-0.007706081
10/09/2013,53.41,0.017375319
09/09/2013,52.49,-0.000571374
06/09/2013,52.52,0.030153038
05/09/2013,50.96,-0.000784621
04/09/2013,51,0.014218249
03/09/2013,50.28,-0.002582184
30/08/2013,50.41,-0.003762008
29/08/2013,50.6,-0.000197609
28/08/2013,50.61,0.003166438
27/08/2013,50.45,-0.031990245
26/08/2013,52.09,0.003268919
23/08/2013,51.92,-0.000192585
22/08/2013,51.93,0.006374985
21/08/2013,51.6,-0.009451319
20/08/2013,52.09,0.012556912
19/08/2013,51.44,-0.000583034
16/08/2013,51.47,-0.012933295
15/08/2013,52.14,-0.023503735
14/08/2013,53.38,0.001499813
13/08/2013,53.3,-0.005612737
12/08/2013,53.6,-0.004653336
09/08/2013,53.85,0.00876626
08/08/2013,53.38,0.006012795
07/08/2013,53.06,0.002075277
