Date,Close,EXPE
04/04/2014,70.05,-0.047123299
03/04/2014,73.43,-0.034532339
02/04/2014,76.01,0.001448226
01/04/2014,75.9,0.045830123
31/03/2014,72.5,0.004008021
28/03/2014,72.21,0.005276324
27/03/2014,71.83,0.009371353
26/03/2014,71.16,-0.012707006
25/03/2014,72.07,-0.003047938
24/03/2014,72.29,-0.026078343
21/03/2014,74.2,-0.013520051
20/03/2014,75.21,-0.001063123
19/03/2014,75.29,-0.021548594
18/03/2014,76.93,0.002212246
17/03/2014,76.76,0.012981235
14/03/2014,75.77,0.00396721
13/03/2014,75.47,-0.013686225
12/03/2014,76.51,0.023406027
11/03/2014,74.74,-0.006534664
10/03/2014,75.23,0.000531844
07/03/2014,75.19,0.006404291
06/03/2014,74.71,-0.013560431
05/03/2014,75.73,-0.017150384
04/03/2014,77.04,0.004423059
03/03/2014,76.7,-0.023579009
28/02/2014,78.53,-0.001145403
27/02/2014,78.62,0.001272751
26/02/2014,78.52,-0.01164865
25/02/2014,79.44,0.002268432
24/02/2014,79.26,-0.009168039
21/02/2014,79.99,0.003506578
20/02/2014,79.71,0.001129731
19/02/2014,79.62,0.020300113
18/02/2014,78.02,0.011472894
14/02/2014,77.13,0.005720988
13/02/2014,76.69,0.010881786
12/02/2014,75.86,0.01420535
11/02/2014,74.79,0.006304092
10/02/2014,74.32,-0.001747665
07/02/2014,74.45,0.133588959
06/02/2014,65.14,0.018750065
05/02/2014,63.93,-0.000625489
04/02/2014,63.97,0.01100294
03/02/2014,63.27,-0.026668247
31/01/2014,64.98,-0.008275909
30/01/2014,65.52,0.000763417
29/01/2014,65.47,-0.02235405
28/01/2014,66.95,0.022506803
27/01/2014,65.46,-0.012750628
24/01/2014,66.3,-0.00301205
23/01/2014,66.5,-0.008385793
22/01/2014,67.06,-0.009055209
21/01/2014,67.67,-0.04366117
17/01/2014,70.69,0.031762388
16/01/2014,68.48,-0.013633279
15/01/2014,69.42,0.001297297
14/01/2014,69.33,0.021283602
13/01/2014,67.87,-0.025170457
10/01/2014,69.6,0.000718649
09/01/2014,69.55,-0.010868118
08/01/2014,70.31,-0.016083868
07/01/2014,71.45,0.035471278
06/01/2014,68.96,-0.003474236
03/01/2014,69.2,-0.000144498
02/01/2014,69.21,-0.006480904
31/12/2013,69.66,0.011841294
30/12/2013,68.84,0.001162791
27/12/2013,68.76,-0.003919012
26/12/2013,69.03,0.007707447
24/12/2013,68.5,-0.002624291
23/12/2013,68.68,0.015702135
20/12/2013,67.61,0.012052821
19/12/2013,66.8,-0.011164984
18/12/2013,67.55,0.017321622
17/12/2013,66.39,0.007711537
16/12/2013,65.88,0.048995103
13/12/2013,62.73,0.00303345
12/12/2013,62.54,0.003684425
11/12/2013,62.31,-0.014182375
10/12/2013,63.2,-0.004735605
09/12/2013,63.5,0.00031501
06/12/2013,63.48,-0.00157406
05/12/2013,63.58,0.011707142
04/12/2013,62.84,0.004465717
03/12/2013,62.56,-0.000798914
02/12/2013,62.61,-0.017102555
29/11/2013,63.69,0.006142235
27/11/2013,63.3,0.015442478
26/11/2013,62.33,0.015195895
25/11/2013,61.39,-0.010693556
22/11/2013,62.05,-0.008665009
21/11/2013,62.59,0.023930002
20/11/2013,61.11,0.006731821
19/11/2013,60.7,-0.005749502
18/11/2013,61.05,-0.002290577
15/11/2013,61.19,0.00245439
14/11/2013,61.04,-0.011078641
13/11/2013,61.72,-0.004848886
12/11/2013,62.02,0.012493064
11/11/2013,61.25,0.02262129
08/11/2013,59.88,0.016331704
07/11/2013,58.91,-0.015162016
06/11/2013,59.81,0.003852924
05/11/2013,59.58,-0.011016636
04/11/2013,60.24,0.002160366
01/11/2013,60.11,0.019147377
31/10/2013,58.97,0.165806155
30/10/2013,49.96,-0.01430867
29/10/2013,50.68,0.014909331
28/10/2013,49.93,-0.010360722
25/10/2013,50.45,-0.000990589
24/10/2013,50.5,0.026079713
23/10/2013,49.2,0.005911749
22/10/2013,48.91,0.014830344
21/10/2013,48.19,-0.004967926
18/10/2013,48.43,0.004552988
17/10/2013,48.21,0.006450964
16/10/2013,47.9,0.00020879
15/10/2013,47.89,-0.012863248
14/10/2013,48.51,-0.064267922
11/10/2013,51.73,0.006594283
10/10/2013,51.39,0.027620616
09/10/2013,49.99,-0.012721301
08/10/2013,50.63,-0.022266545
07/10/2013,51.77,0.001933489
04/10/2013,51.67,-0.009246839
03/10/2013,52.15,-0.024809529
02/10/2013,53.46,0.011286802
01/10/2013,52.86,0.020063728
30/09/2013,51.81,-0.007690867
27/09/2013,52.21,0.003645787
26/09/2013,52.02,0.008300405
25/09/2013,51.59,-0.01156305
24/09/2013,52.19,0.006343126
23/09/2013,51.86,-0.018342127
20/09/2013,52.82,-0.005663598
19/09/2013,53.12,-0.006567244
18/09/2013,53.47,0.022889489
17/09/2013,52.26,-0.003056938
16/09/2013,52.42,0.023743997
