Date,Close,PWR
04/04/2014,36.45,-0.010371272
03/04/2014,36.83,-0.004605182
02/04/2014,37,-0.001080497
01/04/2014,37.04,0.003786859
31/03/2014,36.9,0.001084599
28/03/2014,36.86,0.020834087
27/03/2014,36.1,-0.005524876
26/03/2014,36.3,-0.001376463
25/03/2014,36.35,-0.003295801
24/03/2014,36.47,-0.008464214
21/03/2014,36.78,0.005725987
20/03/2014,36.57,0.012381504
19/03/2014,36.12,-0.00083022
18/03/2014,36.15,0.008891417
17/03/2014,35.83,0.013487139
14/03/2014,35.35,0.002265648
13/03/2014,35.27,-0.005372556
12/03/2014,35.46,-0.013445581
11/03/2014,35.94,-0.005826067
10/03/2014,36.15,-0.009909247
07/03/2014,36.51,0.002193585
06/03/2014,36.43,0.017444718
05/03/2014,35.8,-0.001674575
04/03/2014,35.86,0.013758465
03/03/2014,35.37,0.00453387
28/02/2014,35.21,0.005696398
27/02/2014,35.01,0.007166435
26/02/2014,34.76,0.007797873
25/02/2014,34.49,-0.008373082
24/02/2014,34.78,0.008083185
21/02/2014,34.5,-0.001158749
20/02/2014,34.54,0.073262043
19/02/2014,32.1,-0.007757991
18/02/2014,32.35,0.011190667
14/02/2014,31.99,0.006900906
13/02/2014,31.77,0.004732617
12/02/2014,31.62,0.005708864
11/02/2014,31.44,0.003824096
10/02/2014,31.32,0.002557546
07/02/2014,31.24,0.017110991
06/02/2014,30.71,0.001955672
05/02/2014,30.65,0.001632653
04/02/2014,30.6,0.018803127
03/02/2014,30.03,-0.037259212
31/01/2014,31.17,0.005468889
30/01/2014,31,0.017572857
29/01/2014,30.46,-0.012073894
28/01/2014,30.83,0.003574334
27/01/2014,30.72,-0.011328815
24/01/2014,31.07,-0.030117984
23/01/2014,32.02,-0.003740653
22/01/2014,32.14,0.005303397
21/01/2014,31.97,0.01037582
17/01/2014,31.64,0.008888947
16/01/2014,31.36,-0.003819228
15/01/2014,31.48,-0.002854879
14/01/2014,31.57,0.013393057
13/01/2014,31.15,-0.017502436
10/01/2014,31.7,-0.002835094
09/01/2014,31.79,0.014894904
08/01/2014,31.32,0.003518315
07/01/2014,31.21,0.008042508
06/01/2014,30.96,-0.012518218
03/01/2014,31.35,0.001915709
02/01/2014,31.29,-0.008591938
31/12/2013,31.56,0.01115194
30/12/2013,31.21,-0.003837549
27/12/2013,31.33,0.001277547
26/12/2013,31.29,0.004163337
24/12/2013,31.16,0.005148017
23/12/2013,31,0.011028331
20/12/2013,30.66,0.012471445
19/12/2013,30.28,-0.011818916
18/12/2013,30.64,0.049165561
17/12/2013,29.17,0.004466594
16/12/2013,29.04,0.010732317
13/12/2013,28.73,-0.003127718
12/12/2013,28.82,-0.006571008
11/12/2013,29.01,-0.012673573
10/12/2013,29.38,-0.009822264
09/12/2013,29.67,0.004391157
06/12/2013,29.54,0.014320054
05/12/2013,29.12,-0.00820798
04/12/2013,29.36,-0.004418019
03/12/2013,29.49,0.004077478
02/12/2013,29.37,-0.008138397
29/11/2013,29.61,-0.000337667
27/11/2013,29.62,0.004398586
26/11/2013,29.49,0.003056548
25/11/2013,29.4,0.009569451
22/11/2013,29.12,-0.00820798
21/11/2013,29.36,0.003070103
20/11/2013,29.27,-0.00647031
19/11/2013,29.46,-0.00945953
18/11/2013,29.74,-0.009370885
15/11/2013,30.02,-0.001664171
14/11/2013,30.07,0.003664838
13/11/2013,29.96,0.004013383
12/11/2013,29.84,0
11/11/2013,29.84,-0.000670017
08/11/2013,29.86,-0.00033484
07/11/2013,29.87,-0.014623059
06/11/2013,30.31,0.001320568
05/11/2013,30.27,-0.009207563
04/11/2013,30.55,-0.001308473
01/11/2013,30.59,0.012500163
31/10/2013,30.21,0.01467182
30/10/2013,29.77,0.007079079
29/10/2013,29.56,0.01156869
28/10/2013,29.22,0.002398494
25/10/2013,29.15,-0.002398494
24/10/2013,29.22,0.001369863
23/10/2013,29.18,-0.003421146
22/10/2013,29.28,0.019310945
21/10/2013,28.72,-0.001044023
18/10/2013,28.75,0.00488146
17/10/2013,28.61,0.018698728
16/10/2013,28.08,0.008943004
15/10/2013,27.83,-0.019217673
14/10/2013,28.37,0.000352547
11/10/2013,28.36,0.024269571
10/10/2013,27.68,0.02376277
09/10/2013,27.03,-0.000739645
08/10/2013,27.05,-0.01686257
07/10/2013,27.51,-0.010486446
04/10/2013,27.8,0.002160606
03/10/2013,27.74,-0.006109633
02/10/2013,27.91,0.003589379
01/10/2013,27.81,0.010846093
30/09/2013,27.51,-0.004714424
27/09/2013,27.64,-0.020412526
26/09/2013,28.21,0.007829221
25/09/2013,27.99,0.011859977
24/09/2013,27.66,0.015300845
23/09/2013,27.24,-0.004761042
20/09/2013,27.37,-0.013788317
19/09/2013,27.75,0.006144968
18/09/2013,27.58,0.016450746
17/09/2013,27.13,0.020104921
16/09/2013,26.59,0.021669732
13/09/2013,26.02,-0.006893938
12/09/2013,26.2,0.009202519
11/09/2013,25.96,-0.004611845
10/09/2013,26.08,0.01156974
09/09/2013,25.78,0
06/09/2013,25.78,-0.01156974
05/09/2013,26.08,0.004611845
04/09/2013,25.96,0.001156292
03/09/2013,25.93,-0.008066109
30/08/2013,26.14,-0.007621988
29/08/2013,26.34,0.003803732
28/08/2013,26.24,-0.008349195
27/08/2013,26.46,-0.017606748
26/08/2013,26.93,-0.00739922
23/08/2013,27.13,0.009629704
22/08/2013,26.87,0.021821784
21/08/2013,26.29,0.00266616
20/08/2013,26.22,0.008041399
19/08/2013,26.01,-0.020171949
16/08/2013,26.54,-0.007133501
15/08/2013,26.73,-0.015222124
14/08/2013,27.14,-0.008438869
13/08/2013,27.37,-0.009092625
12/08/2013,27.62,0.000724375
09/08/2013,27.6,0.009099244
08/08/2013,27.35,0.008076402
07/08/2013,27.13,-0.015362409
06/08/2013,27.55,-0.016201975
05/08/2013,28,-0.005698021
02/08/2013,28.16,0.00071048
01/08/2013,28.14,0.048417099
31/07/2013,26.81,0.009745205
30/07/2013,26.55,-0.001505458
29/07/2013,26.59,-0.034741114
26/07/2013,27.53,-0.008679982
25/07/2013,27.77,-0.002876665
24/07/2013,27.85,-0.016382133
23/07/2013,28.31,-0.006338049
22/07/2013,28.49,0.007751977
19/07/2013,28.27,0.016045985
18/07/2013,27.82,0.001078943
17/07/2013,27.79,-0.005025136
16/07/2013,27.93,0.005025136
15/07/2013,27.79,0.001800829
12/07/2013,27.74,0.014524584
11/07/2013,27.34,0.005869423
10/07/2013,27.18,0.000736106
09/07/2013,27.16,0.014463445
08/07/2013,26.77,0.013917847
05/07/2013,26.4,0.007986352
03/07/2013,26.19,0.002676354
02/07/2013,26.12,-0.012932854
01/07/2013,26.46,0
28/06/2013,26.46,-0.009029407
27/06/2013,26.7,0.019667805
26/06/2013,26.18,-0.00076365
25/06/2013,26.2,0.017713209
24/06/2013,25.74,-0.002715812
21/06/2013,25.81,-0.013851703
20/06/2013,26.17,-0.028998454
19/06/2013,26.94,-0.006290493
18/06/2013,27.11,0.01974361
17/06/2013,26.58,0.01173145
14/06/2013,26.27,0.000380735
13/06/2013,26.26,0.000761905
12/06/2013,26.24,-0.019623271
11/06/2013,26.76,-0.018145286
10/06/2013,27.25,-0.014933805
07/06/2013,27.66,0.013466992
06/06/2013,27.29,0.01402237
05/06/2013,26.91,-0.00851069
04/06/2013,27.14,-0.0365387
03/06/2013,28.15,-0.007784894
31/05/2013,28.37,-0.007024967
30/05/2013,28.57,0.002102313
29/05/2013,28.51,-0.012894411
28/05/2013,28.88,0.000692761
24/05/2013,28.86,-0.015130963
23/05/2013,29.3,-0.003407158
22/05/2013,29.4,-0.02220071
21/05/2013,30.06,-0.007622241
20/05/2013,30.29,0.002975701
17/05/2013,30.2,0.015348983
16/05/2013,29.74,-0.002015452
15/05/2013,29.8,0.013173641
14/05/2013,29.41,0.023741008
13/05/2013,28.72,-0.014518057
10/05/2013,29.14,0.012083696
09/05/2013,28.79,-0.007957143
08/05/2013,29.02,-0.002409225
07/05/2013,29.09,-0.006851688
06/05/2013,29.29,0.012712764
03/05/2013,28.92,0.010078278
02/05/2013,28.63,0.057877787
01/05/2013,27.02,-0.016881135
30/04/2013,27.48,-0.003632405
29/04/2013,27.58,0.000725426
26/04/2013,27.56,-0.007950891
25/04/2013,27.78,0.014868814
24/04/2013,27.37,-0.007280702
23/04/2013,27.57,0.005455551
22/04/2013,27.42,0.004019739
19/04/2013,27.31,0.02258937
18/04/2013,26.7,-0.010432285
17/04/2013,26.98,-0.012157085
16/04/2013,27.31,0.022214908
15/04/2013,26.71,-0.049307048
12/04/2013,28.06,0.004285721
11/04/2013,27.94,-0.006066031
10/04/2013,28.11,0.007140337
09/04/2013,27.91,-0.002504922
08/04/2013,27.98,0.038249062
05/04/2013,26.93,0.011202507
04/04/2013,26.63,0.009053249
03/04/2013,26.39,-0.023592182
02/04/2013,27.02,-0.032407715
01/04/2013,27.91,-0.023722125
28/03/2013,28.58,0.008785859
27/03/2013,28.33,-0.004226847
26/03/2013,28.45,0.000351556
25/03/2013,28.44,-0.010841162
22/03/2013,28.75,0.00488146
21/03/2013,28.61,-0.028937603
20/03/2013,29.45,0.006130809
19/03/2013,29.27,-0.001706776
18/03/2013,29.32,-0.003744685
15/03/2013,29.43,-0.010142075
14/03/2013,29.73,0.00505818
13/03/2013,29.58,0.002369268
12/03/2013,29.51,-0.011455651
11/03/2013,29.85,0.012133617
08/03/2013,29.49,0.007829827
07/03/2013,29.26,0
06/03/2013,29.26,0.007547206
05/03/2013,29.04,0.022637219
04/03/2013,28.39,0.007069665
01/03/2013,28.19,-0.00742184
28/02/2013,28.4,0.012757083
27/02/2013,28.04,0.005363861
26/02/2013,27.89,-0.00963433
25/02/2013,28.16,-0.018994591
22/02/2013,28.7,0.009100518
21/02/2013,28.44,0.010604553
20/02/2013,28.14,-0.026303463
19/02/2013,28.89,0.005205634
15/02/2013,28.74,-0.012791877
14/02/2013,29.11,0.004130815
13/02/2013,28.99,0.013194636
12/02/2013,28.61,0.014789002
11/02/2013,28.19,-0.008125818
08/02/2013,28.42,-0.004914015
07/02/2013,28.56,0.001050972
06/02/2013,28.53,0.012698583
05/02/2013,28.17,0
04/02/2013,28.17,-0.017244841
01/02/2013,28.66,-0.010758389
31/01/2013,28.97,-0.001379786
30/01/2013,29.01,-0.030552275
29/01/2013,29.91,0.006036236
28/01/2013,29.73,0.000336417
25/01/2013,29.72,0.004383753
24/01/2013,29.59,0.013952923
23/01/2013,29.18,-0.008531019
22/01/2013,29.43,0.02025125
18/01/2013,28.84,0.008007005
17/01/2013,28.61,0.001049135
16/01/2013,28.58,-0.010442142
15/01/2013,28.88,0.007646892
14/01/2013,28.66,-0.012482825
11/01/2013,29.02,-0.005840937
10/01/2013,29.19,0.012756594
09/01/2013,28.82,0.012218689
08/01/2013,28.47,0.007757444
07/01/2013,28.25,0.01031854
04/01/2013,27.96,0.010426124
03/01/2013,27.67,-0.008636254
02/01/2013,27.91,0.022464713
31/12/2012,27.29,0.030130604
28/12/2012,26.48,-0.019076696
27/12/2012,26.99,-0.001850824
26/12/2012,27.04,-0.005532007
24/12/2012,27.19,-0.000735294
21/12/2012,27.21,-0.01423122
20/12/2012,27.6,0.012028576
19/12/2012,27.27,-0.011666191
18/12/2012,27.59,0.012032962
17/12/2012,27.26,0.00625577
14/12/2012,27.09,0.001477651
13/12/2012,27.05,-0.012125815
12/12/2012,27.38,0.015087683
11/12/2012,26.97,0.001855632
10/12/2012,26.92,0.034004032
07/12/2012,26.02,0.012374481
06/12/2012,25.7,-0.008909608
05/12/2012,25.93,-0.006917783
04/12/2012,26.11,0.011556369
03/12/2012,25.81,-0.00193536
30/11/2012,25.86,0.017948199
29/11/2012,25.4,0.011881328
28/11/2012,25.1,-0.000398327
27/11/2012,25.11,-0.021277398
26/11/2012,25.65,0.007042283
23/11/2012,25.47,0.010657294
21/11/2012,25.2,0.002383791
20/11/2012,25.14,-0.005948858
19/11/2012,25.29,0.007541215
16/11/2012,25.1,0.004792341
15/11/2012,24.98,-0.001999601
14/11/2012,25.03,-0.018603347
13/11/2012,25.5,-0.013632149
12/11/2012,25.85,-0.009241498
09/11/2012,26.09,0.001918282
08/11/2012,26.04,-0.023155333
07/11/2012,26.65,0.00942514
06/11/2012,26.4,0.016036999
05/11/2012,25.98,0.020611268
02/11/2012,25.45,-0.010553156
01/11/2012,25.72,-0.0081317
31/10/2012,25.93,0.094153888
26/10/2012,23.6,0.002120892
25/10/2012,23.55,0.011531198
24/10/2012,23.28,0.001289491
23/10/2012,23.25,-0.003434954
22/10/2012,23.33,-0.009385734
19/10/2012,23.55,-0.024744395
18/10/2012,24.14,-0.004133946
17/10/2012,24.24,-0.010668956
16/10/2012,24.5,0.016046425
15/10/2012,24.11,-0.007849658
12/10/2012,24.3,0.009510099
11/10/2012,24.07,0.00583335
10/10/2012,23.93,-0.010392943
09/10/2012,24.18,-0.018439367
08/10/2012,24.63,-0.004860277
05/10/2012,24.75,-0.003227111
04/10/2012,24.83,-0.002011668
03/10/2012,24.88,0.002414488
02/10/2012,24.82,0.005251476
01/10/2012,24.69,-0.00040494
28/09/2012,24.7,-0.001213838
27/09/2012,24.73,0
26/09/2012,24.73,0.000404449
25/09/2012,24.72,-0.013261195
24/09/2012,25.05,0.006006024
21/09/2012,24.9,-0.001204094
20/09/2012,24.93,-0.016312277
19/09/2012,25.34,-0.006294277
18/09/2012,25.5,-0.001567398
17/09/2012,25.54,-0.010903535
14/09/2012,25.82,0.004658394
13/09/2012,25.7,0.032828734
12/09/2012,24.87,0.013357819
11/09/2012,24.54,0.003265309
10/09/2012,24.46,-0.011786359
07/09/2012,24.75,-0.001211387
06/09/2012,24.78,0.03115006
05/09/2012,24.02,-0.002079435
04/09/2012,24.07,0.002912421
31/08/2012,24,0.01596002
30/08/2012,23.62,-0.012621118
29/08/2012,23.92,-0.012876606
28/08/2012,24.23,0.004135655
27/08/2012,24.13,-0.002896754
24/08/2012,24.2,-0.004535155
23/08/2012,24.31,-0.001233299
22/08/2012,24.34,-0.01710836
21/08/2012,24.76,0.003236249
20/08/2012,24.68,-0.011281344
17/08/2012,24.96,-0.004796172
16/08/2012,25.08,0.012437472
15/08/2012,24.77,0.008921389
14/08/2012,24.55,-0.000407249
13/08/2012,24.56,-0.008917773
10/08/2012,24.78,0.008103772
09/08/2012,24.58,-0.007296344
08/08/2012,24.76,0.008110345
07/08/2012,24.56,0.003262646
06/08/2012,24.48,-0.009351562
03/08/2012,24.71,0.032075118
02/08/2012,23.93,0.062951816
01/08/2012,22.47,-0.022878253
31/07/2012,22.99,-0.012105639
30/07/2012,23.27,0.005602256
27/07/2012,23.14,0.019638423
26/07/2012,22.69,0.025894304
25/07/2012,22.11,0.002717393
24/07/2012,22.05,-0.007680182
23/07/2012,22.22,0.009495889
20/07/2012,22.01,-0.031308461
19/07/2012,22.71,-0.034195065
18/07/2012,23.5,-0.000425441
17/07/2012,23.51,0.00983124
16/07/2012,23.28,-0.004713958
13/07/2012,23.39,0.012043156
12/07/2012,23.11,0.016579786
11/07/2012,22.73,-0.015713986
10/07/2012,23.09,-0.017600798
09/07/2012,23.5,0
06/07/2012,23.5,-0.01394487
05/07/2012,23.83,0.007582176
03/07/2012,23.65,-0.010096846
02/07/2012,23.89,-0.00750629
29/06/2012,24.07,0.02226515
28/06/2012,23.54,0.027127605
27/06/2012,22.91,0.014951906
26/06/2012,22.57,0.010242797
25/06/2012,22.34,-0.021696667
22/06/2012,22.83,0.004389823
21/06/2012,22.73,-0.018309143
20/06/2012,23.15,-0.003880151
19/06/2012,23.24,-0.003865154
18/06/2012,23.33,0.02254105
15/06/2012,22.81,-0.00306413
14/06/2012,22.88,0.026125019
13/06/2012,22.29,-0.004476283
12/06/2012,22.39,0.009423449
