Date,Close,NEE
04/04/2014,95.01,0.004324673
03/04/2014,94.6,0.005937252
02/04/2014,94.04,-0.008681897
01/04/2014,94.86,-0.007979883
31/03/2014,95.62,0.009456832
28/03/2014,94.72,0.001161992
27/03/2014,94.61,0.007745808
26/03/2014,93.88,-0.00732293
25/03/2014,94.57,0.005194817
24/03/2014,94.08,-0.005194817
21/03/2014,94.57,0.010951149
20/03/2014,93.54,0.002569044
19/03/2014,93.3,-0.012462216
18/03/2014,94.47,-0.003592565
17/03/2014,94.81,0.005817967
14/03/2014,94.26,0.005105308
13/03/2014,93.78,0.017099949
12/03/2014,92.19,0.013431815
11/03/2014,90.96,-0.002415725
10/03/2014,91.18,-0.006776723
07/03/2014,91.8,0.011614023
06/03/2014,90.74,0.000992337
05/03/2014,90.65,-0.011080142
04/03/2014,91.66,0.015170127
03/03/2014,90.28,-0.012220111
28/02/2014,91.39,0.008902625
27/02/2014,90.58,0.001325674
26/02/2014,90.46,-0.012960094
25/02/2014,91.64,-0.001526551
24/02/2014,91.78,-0.008462674
21/02/2014,92.56,0.001189125
20/02/2014,92.45,0.000108172
19/02/2014,92.44,-0.009796085
18/02/2014,93.35,0.000857357
14/02/2014,93.27,0.004513225
13/02/2014,92.85,0.007025157
12/02/2014,92.2,0.002388968
11/02/2014,91.98,0.006982354
10/02/2014,91.34,0.008024226
07/02/2014,90.61,0.009202349
06/02/2014,89.78,0.004689079
05/02/2014,89.36,-0.008690863
04/02/2014,90.14,-0.011910154
03/02/2014,91.22,-0.007753247
31/01/2014,91.93,0.010607568
30/01/2014,90.96,0.024371094
29/01/2014,88.77,-0.000112644
28/01/2014,88.78,0.021518449
27/01/2014,86.89,-0.001954585
24/01/2014,87.06,-0.019789114
23/01/2014,88.8,-0.000675448
22/01/2014,88.86,-0.002135912
21/01/2014,89.05,0.015732315
17/01/2014,87.66,0.001255636
16/01/2014,87.55,0.008603437
15/01/2014,86.8,0.000922084
14/01/2014,86.72,0.000461361
13/01/2014,86.68,-0.006554384
10/01/2014,87.25,0.014197734
09/01/2014,86.02,0.008522613
08/01/2014,85.29,0.003170691
07/01/2014,85.02,0.007319121
06/01/2014,84.4,0.000474046
03/01/2014,84.36,0.001304786
02/01/2014,84.25,-0.016130331
31/12/2013,85.62,0.006679582
30/12/2013,85.05,0.004123717
27/12/2013,84.7,0.001299545
26/12/2013,84.59,-0.001653674
24/12/2013,84.73,0.000354129
23/12/2013,84.7,-0.001415762
20/12/2013,84.82,0.012934028
19/12/2013,83.73,0.000597336
18/12/2013,83.68,0.01262719
17/12/2013,82.63,-0.002779626
16/12/2013,82.86,0.001811923
13/12/2013,82.71,-0.000604339
12/12/2013,82.76,0.004359416
11/12/2013,82.4,-0.0053256
10/12/2013,82.84,-0.015214429
09/12/2013,84.11,-0.006163348
06/12/2013,84.63,0.012364918
05/12/2013,83.59,-0.007389783
04/12/2013,84.21,0.001901819
03/12/2013,84.05,0.001428742
02/12/2013,83.93,-0.007832938
29/11/2013,84.59,-0.004129069
27/11/2013,84.94,-0.002234375
26/11/2013,85.13,-0.011329912
25/11/2013,86.1,-0.005674924
22/11/2013,86.59,0
21/11/2013,86.59,0.00416619
20/11/2013,86.23,-0.012332318
19/11/2013,87.3,-0.019959837
18/11/2013,89.06,0.0055171
15/11/2013,88.57,0.012154406
14/11/2013,87.5,0.016129382
13/11/2013,86.1,0.005240187
12/11/2013,85.65,-0.010453057
11/11/2013,86.55,-0.006564197
08/11/2013,87.12,0.00137836
07/11/2013,87,-0.01539808
06/11/2013,88.35,0.012414031
05/11/2013,87.26,-0.009466851
04/11/2013,88.09,-0.00056744
01/11/2013,88.14,0.039220713
31/10/2013,84.75,-0.009745865
30/10/2013,85.58,-0.0046631
29/10/2013,85.98,0.009582871
