Date,Close,KMB
04/04/2014,109.77,0.000182216
03/04/2014,109.75,0.002280503
02/04/2014,109.5,-0.000912825
01/04/2014,109.6,-0.00591314
31/03/2014,110.25,0.003907852
28/03/2014,109.82,0.00164039
27/03/2014,109.64,-0.009079416
26/03/2014,110.64,0.000723327
25/03/2014,110.56,-0.000904077
24/03/2014,110.66,0.004528583
21/03/2014,110.16,0.003546587
20/03/2014,109.77,-0.00081956
19/03/2014,109.86,-0.008519946
18/03/2014,110.8,-0.002253776
17/03/2014,111.05,0.01259588
14/03/2014,109.66,0.005303112
13/03/2014,109.08,-0.006123494
12/03/2014,109.75,0.006398559
11/03/2014,109.05,-0.001099808
10/03/2014,109.17,0.002017239
07/03/2014,108.95,-0.004030417
06/03/2014,109.39,0.006879814
05/03/2014,108.64,-0.02022848
04/03/2014,110.86,0.016553357
03/03/2014,109.04,-0.011942345
28/02/2014,110.35,0.013227103
27/02/2014,108.9,0.003127014
26/02/2014,108.56,-0.013086437
25/02/2014,109.99,-0.001544402
24/02/2014,110.16,0.002818056
21/02/2014,109.85,-0.001091802
20/02/2014,109.97,0.010880107
19/02/2014,108.78,-0.008695309
18/02/2014,109.73,-0.004637004
14/02/2014,110.24,0.013608137
13/02/2014,108.75,0.007290882
12/02/2014,107.96,-0.005818534
11/02/2014,108.59,0.009065742
10/02/2014,107.61,0.006619762
07/02/2014,106.9,0.005158276
06/02/2014,106.35,0.00707717
05/02/2014,105.6,0.00037886
04/02/2014,105.56,0.00066335
03/02/2014,105.49,-0.036120468
31/01/2014,109.37,0.00890854
30/01/2014,108.4,0.012905801
29/01/2014,107.01,-0.015209419
28/01/2014,108.65,0.011106084
27/01/2014,107.45,0.000465441
24/01/2014,107.4,0.018607811
23/01/2014,105.42,-0.005581058
22/01/2014,106.01,-0.003954063
21/01/2014,106.43,0.009155758
17/01/2014,105.46,-0.005578947
16/01/2014,106.05,0.006337816
15/01/2014,105.38,-0.000474361
14/01/2014,105.43,0.006661616
13/01/2014,104.73,-0.001240517
10/01/2014,104.86,0.010834758
09/01/2014,103.73,0.004347623
08/01/2014,103.28,-0.006754826
07/01/2014,103.98,-0.003647887
06/01/2014,104.36,9.58267E-05
03/01/2014,104.35,0.004899381
02/01/2014,103.84,-0.00595297
31/12/2013,104.46,-0.013974276
30/12/2013,105.93,0.007866221
27/12/2013,105.1,0.00104717
26/12/2013,104.99,0.00190676
24/12/2013,104.79,0.002388574
23/12/2013,104.54,-0.006103395
20/12/2013,105.18,0.007635082
19/12/2013,104.38,-0.007254709
18/12/2013,105.14,0.022993942
17/12/2013,102.75,-0.012380466
16/12/2013,104.03,0.001057947
13/12/2013,103.92,0.000866426
12/12/2013,103.83,-0.014817918
11/12/2013,105.38,0.004470025
10/12/2013,104.91,-0.008731193
09/12/2013,105.83,0.002365074
06/12/2013,105.58,0.016040061
05/12/2013,103.9,-0.002883231
04/12/2013,104.2,-0.021645045
03/12/2013,106.48,-0.006272548
02/12/2013,107.15,-0.018584974
29/11/2013,109.16,0.008648504
27/11/2013,108.22,0.000831985
26/11/2013,108.13,-0.00212481
25/11/2013,108.36,-0.005888865
22/11/2013,109,0.00995767
21/11/2013,107.92,0.000927042
20/11/2013,107.82,-0.000556328
19/11/2013,107.88,-0.001111729
18/11/2013,108,-0.011599136
15/11/2013,109.26,-0.004110158
14/11/2013,109.71,0.007961607
13/11/2013,108.84,0.00580513
12/11/2013,108.21,0.002312995
11/11/2013,107.96,-0.000648178
08/11/2013,108.03,0.001389468
07/11/2013,107.88,-0.016091561
06/11/2013,109.63,0.007507818
05/11/2013,108.81,-0.000367546
04/11/2013,108.85,0.007746972
01/11/2013,108.01,9.25883E-05
31/10/2013,108,0.000926355
30/10/2013,107.9,-0.002499191
29/10/2013,108.17,0.007982222
28/10/2013,107.31,0.016916107
25/10/2013,105.51,0.012397641
24/10/2013,104.21,-0.007171231
23/10/2013,104.96,0.019141642
22/10/2013,102.97,0.041036481
21/10/2013,98.83,-0.003535179
18/10/2013,99.18,0.001412572
17/10/2013,99.04,0.01055633
16/10/2013,98,0.01490647
15/10/2013,96.55,-0.004237513
14/10/2013,96.96,0.000103141
11/10/2013,96.95,0.010576623
10/10/2013,95.93,0.017349681
09/10/2013,94.28,0.011628658
08/10/2013,93.19,-0.007163891
07/10/2013,93.86,-0.004252611
04/10/2013,94.26,-0.001907791
03/10/2013,94.44,0.001907791
02/10/2013,94.26,-0.001272265
01/10/2013,94.38,0.001696713
30/09/2013,94.22,-0.006031445
27/09/2013,94.79,-0.007043393
26/09/2013,95.46,0.008098914
25/09/2013,94.69,-0.007155666
24/09/2013,95.37,-0.004394232
23/09/2013,95.79,-0.004271062
20/09/2013,96.2,-0.010341354
19/09/2013,97.2,-0.005233196
18/09/2013,97.71,0.01391273
17/09/2013,96.36,-0.000726179
16/09/2013,96.43,0.007703557
13/09/2013,95.69,0.008817103
12/09/2013,94.85,0.003062143
11/09/2013,94.56,0.007004167
10/09/2013,93.9,0.003093171
09/09/2013,93.61,0.005892769
06/09/2013,93.06,0.008525385
05/09/2013,92.27,-0.002381469
04/09/2013,92.49,-0.001620483
03/09/2013,92.64,-0.009026496
30/08/2013,93.48,0.005685796
29/08/2013,92.95,0.004528798
28/08/2013,92.53,-0.010749324
27/08/2013,93.53,-0.010635004
26/08/2013,94.53,-0.014284457
23/08/2013,95.89,0.002924284
22/08/2013,95.61,0.016131933
21/08/2013,94.08,-0.009626139
20/08/2013,94.99,0.004114147
19/08/2013,94.6,-0.003587637
16/08/2013,94.94,-0.009017572
15/08/2013,95.8,-0.010177676
14/08/2013,96.78,-0.013954669
13/08/2013,98.14,-0.001628996
12/08/2013,98.3,-0.002337043
09/08/2013,98.53,-0.000405885
08/08/2013,98.57,-0.003948772
07/08/2013,98.96,-0.007851072
06/08/2013,99.74,0.004219839
05/08/2013,99.32,-0.002915601
02/08/2013,99.61,0.008266176
01/08/2013,98.79,-0.00010122
